建築物名稱,縣(市),鄉鎮市區,村里別,地址,避難樓層,"防空避難 設備面積 (平方公尺)",是否兼作停車空間,"容量 （自動計算）",轄管分局,"建檔日期 （西元年/月/日）","最後修正日期 （西元年/月/日）",緯經度,備註
卓蘭國小,苗栗縣,卓蘭鎮,新厝里15鄰,苗栗縣卓蘭鎮新厝里15鄰中山路125號,1.0,500.0,,555.0,大湖分局,12/29/1984,12/31/2022,"24.31251160265144, 120.82497698095708",
公寓,苗栗縣,卓蘭鎮,中街里6鄰,苗栗縣卓蘭鎮中街里6鄰中山路101號,1.0,85.0,,94.0,大湖分局,12/24/1985,12/31/2022,"24.312003338628156,120.82644027573909",
住宅,苗栗縣,卓蘭鎮,新厝里1鄰,苗栗縣卓蘭鎮新厝里1鄰新厝路7-6號,1.0,20.0,,22.0,大湖分局,12/22/1986,12/31/2022,"  24.305903292032934, 120.82401069154668",
培德幼兒園,苗栗縣,卓蘭鎮,中街里10鄰,苗栗縣卓蘭鎮中街里民族路88號,1.0,70.0,,77.0,大湖分局,7/9/1988,12/31/2022,"24.31370740226156,120.82708956681005",
卓蘭高中(勵學樓),苗栗縣,卓蘭鎮,老庄里18鄰,苗栗縣卓蘭鎮老庄里老庄161號,1.0,800.0,,888.0,大湖分局,11/7/1993,12/31/2022,"24.31287419859529,120.8319717263379",
卓蘭高中(崇德樓),苗栗縣,卓蘭鎮,老庄里18鄰,苗栗縣卓蘭鎮老庄里老庄161號,1.0,800.0,,888.0,大湖分局,6/1/1994,12/31/2022,"24.31287419859529,120.8319717263379",
昭忠廟,苗栗縣,卓蘭鎮,老庄里1鄰,苗栗縣卓蘭鎮老庄里1鄰老庄2-6號,1.0,150.0,,166.0,大湖分局,9/3/1996,12/31/2022,"24.311084212464674,120.83442800982574",
大樓,苗栗縣,卓蘭鎮,中街里4鄰,苗栗縣卓蘭鎮中街里4鄰中山路82號,1.0,625.0,v,434.0,大湖分局,7/1/1996,12/31/2022,"24.312188549903226,120.82639674468531",
卓蘭鎮戶政事務所,苗栗縣,卓蘭鎮,新厝里16鄰,苗栗縣卓蘭鎮新厝里16鄰三和路15號,1.0,605.0,v,420.0,大湖分局,7/1/1996,12/31/2022,"24.31287766278021,120.82536753561939",
卓蘭高中(活動中心),苗栗縣,卓蘭鎮,老庄里18鄰,苗栗縣卓蘭鎮老庄里老庄161號,1.0,2259.0,,2510.0,大湖分局,4/2/1997,12/31/2022,"24.31287419859529,120.8319717263379",
虎山溫泉會館,苗栗縣,泰安鄉,錦水村11鄰,苗栗縣泰安鄉錦水村11鄰圓墩73號,1.0,282.0,,313.0,大湖分局,11/14/1990,12/31/2022,"24.46852522862672,120.94050609750403",
苗栗區農業改良場大湖分場(生物大樓),苗栗縣,大湖鄉,大湖村14鄰,苗栗縣大湖鄉大湖村14鄰民族路42號,1.0,52.0,,57.0,大湖分局,7/11/1978,12/31/2022,"24.423717327382455,120.86974162035048",
大湖鄉公所,苗栗縣,大湖鄉,明湖村12鄰,苗栗縣大湖鄉明湖村中正路80號,1.0,250.0,,277.0,大湖分局,8/3/1977,12/31/2022,"24.423525309380697,120.86617809750328",
大湖農會酒莊,苗栗縣,大湖鄉,富興村8鄰,苗栗縣大湖鄉富興村9鄰八寮灣2-4號,1.0,953.76,v,662.0,大湖分局,1/5/1979,12/31/2022,"24.429178192831024, 120.86834548354337",
苗栗區農業改良場大湖分場(行政大樓),苗栗縣,大湖鄉,大湖村14鄰,苗栗縣大湖鄉大湖村14鄰民族路42號,1.0,125.0,,138.0,大湖分局,2/23/1983,12/31/2022,"24.423717327382455,120.86974162035048",
中華電信苗栗營運處大湖服務中心,苗栗縣,大湖鄉,靜湖村5鄰,苗栗縣大湖鄉靜湖村5鄰民族路105號,1.0,700.0,,777.0,大湖分局,10/24/1985,12/31/2022,"24.4260796755726, 120.87029533983042",
大湖地政事務所,苗栗縣,大湖鄉,明湖村12鄰,苗栗縣大湖鄉明湖村12鄰博愛街35號,1.0,150.0,,166.0,大湖分局,10/9/1990,12/31/2022,"24.42383949575475, 120.86629558860875",
大湖鄉圖書館,苗栗縣,大湖鄉,大湖村15鄰,苗栗縣大湖鄉大湖村15鄰民族路40之2號,1.0,150.0,,166.0,大湖分局,11/7/1990,12/31/2022,"24.423341964178864, 120.86951805379282",
大順醫院,苗栗縣,大湖鄉,大湖村6鄰,苗栗縣大湖鄉大湖村6鄰中正路48-5號,1.0,250.0,,277.0,大湖分局,9/6/1993,12/31/2022,"24.42248298389276, 120.86760627178772",
全泰建設公司,苗栗縣,大湖鄉,大湖村11鄰,苗栗縣大湖鄉大湖村11鄰重光路105-123號,1.0,3000.0,v,2083.0,大湖分局,11/25/1994,12/31/2022,"  24.421535847974678, 120.8675489176451",
