類別,電腦編號,村里別,地址,緯經度,地下樓層數,可容納人數,備註
一般住宅,CNA00001,南門里,臺南市中西區南門里16鄰府前路一段235號,"22.988880,120.203418",1.0,40.0,
一般住宅,CNA00002,南門里,臺南市中西區南門里15鄰府前路一段287號,"22.989505,120.201815",1.0,66.0,
臺南市政府財政稅務局,CNA00004,南門里,臺南市中西區南門里14鄰忠義路一段96號,"22.987891,120.202129",1.0,1333.0,
第一幼稚園,CNA00005,南門里,臺南市中西區南門里16鄰南門路28號,"22.987023,120.204218",1.0,106.0,
建興國中,CNA00006,南門里,臺南市中西區南門里16鄰府前路一段239號,"22.988661,120.202922",1.0,1333.0,
一般住宅,CNA00014,南門里,臺南市中西區南門里16鄰府前路一段267號,"22.989267,120.202391",1.0,14.0,
一般住宅,CNA00015,南門里,臺南市中西區南門里16鄰府前路一段269號,"22.989314,120.20233",1.0,24.0,
一般住宅,CNA00017,南門里,臺南市中西區南門里16鄰府前路一段217號,"22.989104,120.2037",1.0,6.0,
一般住宅,CNA00018,南門里,臺南市中西區南門里16鄰府前路一段235號,"22.988880,120.203418",1.0,8.0,
動物防疫保護處-忠義辦公室,CNA00019,南門里,臺南市中西區南門里11鄰忠義路一段87號,"22.987128,120.201742",1.0,1133.0,
一般住宅,CNA00020,南門里,臺南市中西區南門里11鄰永福路一段74號,"22.987102,120.200271",1.0,6.0,
地方法院,CNA00022,南門里,臺南市中西區南門里15鄰府前路一段305號,"22.989049,120.201939",1.0,266.0,
一般住宅,CNA00025,南門里,臺南市中西區南門里11鄰忠義路一段107號,"22.987506,120.201758",1.0,10.0,
一般住宅,CNA00026,南門里,臺南市中西區南門里11鄰忠義路一段105號,"22.987476,120.201755",1.0,10.0,
一般住宅,CNA00027,南門里,臺南市中西區南門里11鄰忠義路一段99號,"22.987458,120.201525",1.0,10.0,
一般住宅,CNA00028,南門里,臺南市中西區南門里11鄰忠義路一段93號,"22.987361,120.201751",1.0,10.0,
一般住宅,CNA00029,南門里,臺南市中西區南門里11鄰忠義路一段91號,"22.987328,120.20175",1.0,10.0,
一般住宅,CNA00030,南門里,臺南市中西區南門里11鄰忠義路一段89號,"22.987290,120.201747",1.0,10.0,
台南地方法院,CNA00034,南門里,臺南市中西區南門里15鄰府前路一段305號,"22.989049,120.201939",1.0,46.0,
台南地方法院檢察署,CNA00035,南門里,臺南市中西區南門里15鄰府前路一段305號,"22.989049,120.201939",1.0,180.0,
一般住宅,CNA00036,南門里,臺南市中西區南門里15鄰忠義路一段123號,"22.988475,120.201792",1.0,666.0,
台南地檢署,CNA00037,南門里,臺南市中西區南門里15鄰府前路一段305號,"22.989049,120.201939",1.0,293.0,
一般住宅,CNA00038,小西門里,臺南市中西區小西門里19鄰西門路一段702巷10號,"22.989487,120.198044",1.0,73.0,
一般住宅,CNA00039,小西門里,臺南市中西區小西門里16鄰府前路一段371巷19弄5號,"22.989346,120.199077",1.0,13.0,
一般住宅,CNA00041,小西門里,臺南市中西區小西門里16鄰府前路一段371巷19弄3號,"22.989367,120.199026",1.0,12.0,
一般住宅,CNA00042,小西門里,臺南市中西區小西門里16鄰府前路一段371巷19弄5號,"22.989346,120.199077",1.0,26.0,
一般住宅,CNA00044,小西門里,臺南市中西區小西門里18鄰府前路一段387號,"22.989968,120.198688",1.0,13.0,
一般住宅,CNA00045,小西門里,臺南市中西區小西門里19鄰西門路一段678號,"22.989201,120.197723",1.0,26.0,
一般住宅,CNA00047,小西門里,臺南市中西區小西門里17鄰府前路一段371巷25號,"22.989165,120.198977",1.0,33.0,
一般住宅,CNA00048,小西門里,臺南市中西區小西門里18鄰府前路一段419號,"22.990116,120.198263",1.0,100.0,
一般住宅,CNA00049,小西門里,臺南市中西區小西門里15鄰西門路一段672號,"22.989097,120.197736",1.0,133.0,
一般住宅,CNA00050,小西門里,臺南市中西區小西門里16鄰府前路一段359巷38號,"22.989514,120.199414",1.0,120.0,
三元建設,CNA00051,小西門里,臺南市中西區小西門里16鄰府前路一段359巷26號,"22.989733,120.199268",1.0,160.0,
一般住宅,CNA00052,小西門里,臺南市中西區小西門里16鄰府前路一段359巷36號,"22.989577,120.199388",1.0,100.0,
一般住宅,CNA00053,小西門里,臺南市中西區小西門里18鄰府前路一段327號,"22.989865,120.199861",1.0,26.0,
一般住宅,CNA00054,小西門里,臺南市中西區小西門里18鄰府前路一段313號,"22.989832,120.200132",1.0,66.0,
一般住宅,CNA00055,小西門里,臺南市中西區小西門里18鄰府前路一段327號,"22.989865,120.199861",1.0,12.0,
一般住宅,CNA00056,小西門里,臺南市中西區小西門里18鄰府前路一段325號,"22.989847,120.199893",1.0,12.0,
一般住宅,CNA00057,小西門里,臺南市中西區小西門里18鄰府前路一段331號,"22.989868,120.199798",1.0,13.0,
一般住宅,CNA00058,小西門里,臺南市中西區小西門里18鄰府前路一段361號,"22.989979,120.199166",1.0,10.0,
一般住宅,CNA00059,小西門里,臺南市中西區小西門里18鄰府前路一段369號,"22.990009,120.198981",1.0,73.0,
