類別,電腦編號,村里別,地址,緯經度,地下樓層數,可容納人數,轄管分局,備註
一般住宅,WVA01652,三玉里,臺北市士林區忠誠路二段1號,"25.108689,121.530797",1,834.0,士林分局,
一般住宅,WVA03129,三玉里,臺北市士林區忠誠路二段21巷20號,"25.109323,121.531419",1,408.0,士林分局,
一般住宅,WVA03156,三玉里,臺北市士林區忠誠路二段10巷5號,"25.108848,121.529763",1,123.0,士林分局,
一般住宅,WVA03162,三玉里,臺北市士林區德行東路177號,"25.108785,121.531015",1,888.0,士林分局,
一般住宅,WVA01679,三玉里,臺北市士林區忠誠路二段21巷72號,"25.110054,121.533821",1,213.0,士林分局,
一般住宅,WVA02910,三玉里,臺北市士林區士東路200巷49弄2號,"25.1108,121.534234",1,194.0,士林分局,
一般住宅,WVA02932,三玉里,臺北市士林區士東路200巷31弄16號,"25.111512,121.534588",1,238.0,士林分局,
一般住宅,WVA02941,三玉里,臺北市士林區芝玉路二段61巷2-8號,"25.111865,121.534668",3,446.0,士林分局,
一般住宅,WVA02942,三玉里,臺北市士林區士東路200巷68號,"25.110306,121.533906",2,127.0,士林分局,
一般住宅,WVA01674,三玉里,臺北市士林區忠誠路二段21巷15號,"25.109473,121.531234",2,445.0,士林分局,
一般住宅,WVA01677,三玉里,臺北市士林區忠誠路二段21巷43號,"25.109981,121.532825",1,794.0,士林分局,
一般住宅,WVA01678,三玉里,臺北市士林區忠誠路二段21巷47號,"25.110075,121.533187",1,903.0,士林分局,
一般住宅,WVA01683,三玉里,臺北市士林區忠誠路二段41巷32號,"25.110059,121.531848",1,163.0,士林分局,
一般住宅,WVA02697,三玉里,臺北市士林區德行東路221號,"25.109385,121.532884",1,263.0,士林分局,
一般住宅,WVA02729,三玉里,臺北市士林區德行東路219巷17號,"25.11005,121.532453",1,163.0,士林分局,
一般住宅,WVA02791,三玉里,臺北市士林區忠誠路二段247號,"25.11792,121.534902",1,526.0,士林分局,
一般住宅,WVA02792,三玉里,臺北市士林區忠誠路二段55號,"25.11181,121.531437",3,9204.0,士林分局,
一般住宅,WVA02850,三玉里,臺北市士林區忠誠路二段41巷30號,"25.109923,121.531584",2,321.0,士林分局,
一般住宅,WVA03048,三玉里,臺北市士林區忠誠路二段21巷17號,"25.109503,121.531377",1,81.0,士林分局,
一般住宅,WVA03066,三玉里,臺北市士林區忠誠路二段25號,"25.109338,121.530756",3,1197.0,士林分局,
一般住宅,WVA03304,三玉里,臺北市士林區忠誠路二段21巷22號,"25.109309,121.531647",1,128.0,士林分局,
一般住宅,WVA03123,三玉里,臺北市士林區士東路200巷49弄1號,"25.111111,121.534149",1,227.0,士林分局,
一般住宅,WVA03134,三玉里,臺北市士林區士東路200巷59號,"25.11061,121.53406",3,715.0,士林分局,
一般住宅,WVA03159,三玉里,臺北市士林區士東路200巷51號,"25.110866,121.534049",1,293.0,士林分局,
一般住宅,WVA02846,三玉里,臺北市士林區忠誠路二段53巷7號,"25.111419,121.532376",2,1240.0,士林分局,
一般住宅,WVA03320,三玉里,臺北市士林區忠誠路二段21巷26號,"25.109432,121.531865",1,344.0,士林分局,
公有建築物,WVA01169,三玉里,臺北市士林區天母東路116號,"25.117995,121.537323",1,2804.0,士林分局,
公有建築物,WVA02794,三玉里,臺北市士林區忠誠路二段207巷1號,"25.116544,121.535223",1,965.0,士林分局,
公有建築物,WVA00014,三玉里,臺北市士林區士東路301號,"25.114732,121.537719",1,3574.0,士林分局,
公有建築物,WVA00007,三玉里,臺北市士林區士東路180號,"25.1123,121.53229",1,401.0,士林分局,
公有建築物,WVA03173,三玉里,臺北市士林區忠誠路二段101號,"25.11624,121.536531",2、3,13472.0,士林分局,
公有建築物,WVA03196,三玉里,臺北市士林區忠誠路二段101號,"25.11624,121.536531",3,13472.0,士林分局,
公有建築物,WVA03045,三玉里,臺北市士林區忠誠路二段207巷6號,"25.116551,121.536362",2,7136.0,士林分局,
公有建築物,WVA03290,三玉里,臺北市士林區士東路190之3號,"25.110914,121.533344",3,1338.0,士林分局,
公有建築物,WVA01655,三玉里,臺北市士林區忠誠路二段51號,"25.110582,121.531058",1,381.0,士林分局,
公有建築物,WVB01655,三玉里,臺北市士林區忠誠路二段51號,"25.110582,121.531058",1,338.0,士林分局,
公有建築物,WVC01655,三玉里,臺北市士林區忠誠路二段51號,"25.110582,121.531058",1,445.0,士林分局,
公有建築物,WVD01655,三玉里,臺北市士林區忠誠路二段51號,"25.110582,121.531058",1,325.0,士林分局,
一般住宅,WVA00073,仁勇里,臺北市士林區大北路116號,"25.090537,121.523885",1,21.0,士林分局,
一般住宅,WVA00081,仁勇里,臺北市士林區大北路62號,"25.090121,121.525306",1,35.0,士林分局,
一般住宅,WVA00083,仁勇里,臺北市士林區大北路64號,"25.090135,121.52526",1,183.0,士林分局,
一般住宅,WVA00086,仁勇里,臺北市士林區大北路74號,"25.090198,121.525049",1,142.0,士林分局,
一般住宅,WVA00087,仁勇里,臺北市士林區大北路80號,"25.090243,121.524886",1,44.0,士林分局,
一般住宅,WVA00089,仁勇里,臺北市士林區大北路90號,"25.090354,121.52464",1,47.0,士林分局,
一般住宅,WVA00092,仁勇里,臺北市士林區大西路62號,"25.091245,121.524734",1,156.0,士林分局,
一般住宅,WVA00093,仁勇里,臺北市士林區大西路64號,"25.09128,121.524745",1,374.0,士林分局,
一般住宅,WVA00094,仁勇里,臺北市士林區大西路70-1號,"25.091286,121.525268",1,36.0,士林分局,
一般住宅,WVA00150,仁勇里,臺北市士林區小北街41號,"25.090752,121.524794",1,83.0,士林分局,
一般住宅,WVA00161,仁勇里,臺北市士林區小西街76-3號,"25.090833,121.524103",1,94.0,士林分局,
一般住宅,WVA02918,仁勇里,臺北市士林區大西路71號,"25.091515,121.524726",2,625.0,士林分局,
一般住宅,WVA00098,仁勇里,臺北市士林區大東路127號,"25.091705,121.525431",1,23.0,士林分局,
一般住宅,WVA00099,仁勇里,臺北市士林區大東路128號,"25.091725,121.525553",1,166.0,士林分局,
一般住宅,WVA00100,仁勇里,臺北市士林區大東路129號,"25.091754,121.525419",1,80.0,士林分局,
一般住宅,WVA00102,仁勇里,臺北市士林區大東路133號,"25.091847,121.525395",1,74.0,士林分局,
一般住宅,WVA00103,仁勇里,臺北市士林區大東路140號,"25.091951,121.525491",1,34.0,士林分局,
一般住宅,WVA00104,仁勇里,臺北市士林區大東路142號,"25.091996,121.525478",3,47.0,士林分局,
一般住宅,WVA00105,仁勇里,臺北市士林區大東路144號,"25.09204,121.525465",1,61.0,士林分局,
一般住宅,WVA00122,仁勇里,臺北市士林區大東路83號,"25.090833,121.525668",2,117.0,士林分局,
一般住宅,WVA00123,仁勇里,臺北市士林區大東路88巷3號,"25.091453,121.525809",1,20.0,士林分局,
一般住宅,WVA01290,仁勇里,臺北市士林區文林路66號,"25.086884,121.525763",1,218.0,士林分局,
一般住宅,WVA01294,仁勇里,臺北市士林區文林路255巷13號,"25.090841,121.52642",1,62.0,士林分局,
一般住宅,WVA03296,仁勇里,臺北市士林區小北街28號,"25.090845,121.525285",1,217.0,士林分局,
一般住宅,WVA00107,仁勇里,臺北市士林區大東路16-10號,"25.088021,121.525223",1,25.0,士林分局,
一般住宅,WVA00113,仁勇里,臺北市士林區大東路22號,"25.088733,121.525129",1,104.0,士林分局,
一般住宅,WVA00169,仁勇里,臺北市士林區小南街14號,"25.088743,121.525718",1,66.0,士林分局,
一般住宅,WVA00170,仁勇里,臺北市士林區小南街20號,"25.088837,121.525561",1,33.0,士林分局,
一般住宅,WVA00171,仁勇里,臺北市士林區小南街27號,"25.088705,121.525375",1,26.0,士林分局,
一般住宅,WVA00172,仁勇里,臺北市士林區小南街32號,"25.088792,121.525332",1,97.0,士林分局,
一般住宅,WVA01258,仁勇里,臺北市士林區文林路102號,"25.0879,121.526315",5,650.0,士林分局,
一般住宅,WVA01259,仁勇里,臺北市士林區文林路112號,"25.088137,121.52636",1,156.0,士林分局,
一般住宅,WVA01260,仁勇里,臺北市士林區文林路132號,"25.088585,121.526568",1,52.0,士林分局,
一般住宅,WVA01261,仁勇里,臺北市士林區文林路146號,"25.088861,121.5267",1,93.0,士林分局,
一般住宅,WVA01267,仁勇里,臺北市士林區文林路170號,"25.089386,121.526948",1,33.0,士林分局,
一般住宅,WVA01274,仁勇里,臺北市士林區文林路283號,"25.091685,121.526211",1,553.0,士林分局,
一般住宅,WVA01275,仁勇里,臺北市士林區文林路291號,"25.091899,121.526158",1,392.0,士林分局,
一般住宅,WVA01375,仁勇里,臺北市士林區安平街5巷3號,"25.088244,121.5256",1,54.0,士林分局,
一般住宅,WVA00069,仁勇里,臺北市士林區大北路10號,"25.089731,121.526674",1,82.0,士林分局,
一般住宅,WVA00074,仁勇里,臺北市士林區大北路12號,"25.089763,121.526638",1,88.0,士林分局,
一般住宅,WVA00075,仁勇里,臺北市士林區大北路14號,"25.089777,121.526591",1,61.0,士林分局,
一般住宅,WVA00076,仁勇里,臺北市士林區大北路20號,"25.089815,121.526476",1,101.0,士林分局,
一般住宅,WVA00077,仁勇里,臺北市士林區大北路28號,"25.089846,121.526262",1,28.0,士林分局,
一般住宅,WVA00078,仁勇里,臺北市士林區大北路32號,"25.089873,121.526169",1,111.0,士林分局,
一般住宅,WVA00080,仁勇里,臺北市士林區大北路48號,"25.089986,121.525803",1,45.0,士林分局,
一般住宅,WVA00088,仁勇里,臺北市士林區大北路9號,"25.089637,121.526636",1,70.0,士林分局,
一般住宅,WVA00115,仁勇里,臺北市士林區大東路40號,"25.089448,121.52536",1,76.0,士林分局,
一般住宅,WVA00117,仁勇里,臺北市士林區大東路44號,"25.089541,121.52539",1,62.0,士林分局,
一般住宅,WVA00118,仁勇里,臺北市士林區大東路46號,"25.089586,121.525403",1,48.0,士林分局,
一般住宅,WVA00119,仁勇里,臺北市士林區大東路48號,"25.089631,121.52542",1,65.0,士林分局,
一般住宅,WVA00120,仁勇里,臺北市士林區大東路76號,"25.090394,121.525803",1,107.0,士林分局,
一般住宅,WVA00121,仁勇里,臺北市士林區大東路78號,"25.090453,121.525949",1,78.0,士林分局,
一般住宅,WVA00126,仁勇里,臺北市士林區大南路16號,"25.089086,121.525946",1,37.0,士林分局,
一般住宅,WVA00134,仁勇里,臺北市士林區大南路34-1號,"25.08923,121.525428",1,41.0,士林分局,
一般住宅,WVA00148,仁勇里,臺北市士林區小北街19號,"25.090387,121.526168",1,48.0,士林分局,
一般住宅,WVA00149,仁勇里,臺北市士林區小北街23號,"25.090409,121.526093",1,40.0,士林分局,
一般住宅,WVA00151,仁勇里,臺北市士林區小北街7號,"25.090316,121.526478",1,120.0,士林分局,
一般住宅,WVA00162,仁勇里,臺北市士林區小東街18號,"25.089048,121.526211",1,34.0,士林分局,
一般住宅,WVA00164,仁勇里,臺北市士林區小東街24號,"25.089148,121.526247",1,64.0,士林分局,
一般住宅,WVA00165,仁勇里,臺北市士林區小東街28號,"25.089224,121.526273",1,97.0,士林分局,
一般住宅,WVA00166,仁勇里,臺北市士林區小東街31號,"25.089348,121.526227",1,73.0,士林分局,
一般住宅,WVA00167,仁勇里,臺北市士林區小東街35號,"25.08944,121.526231",1,220.0,士林分局,
一般住宅,WVA00168,仁勇里,臺北市士林區小東街36號,"25.089379,121.526328",1,23.0,士林分局,
一般住宅,WVA01266,仁勇里,臺北市士林區文林路169號,"25.089461,121.526767",1,83.0,士林分局,
一般住宅,WVA01268,仁勇里,臺北市士林區文林路193-197號,"25.089731,121.526878",1,191.0,士林分局,
一般住宅,WVA01269,仁勇里,臺北市士林區文林路199號,"25.089915,121.526977",1,90.0,士林分局,
一般住宅,WVA01270,仁勇里,臺北市士林區文林路201號,"25.089976,121.526988",1,66.0,士林分局,
一般住宅,WVA03331,仁勇里,臺北市士林區文林路144巷10號,"25.088588,121.526917",1,192.0,士林分局,
公有建築物,WVA01264,仁勇里,臺北市士林區文林路162號,"25.089186,121.526855",1,243.0,士林分局,
公有建築物,WVA01271,仁勇里,臺北市士林區文林路205號,"25.090085,121.526976",1,126.0,士林分局,
供公眾使用建築物,WVA01262,仁勇里,臺北市士林區文林路158號,"25.089067,121.526867",1,381.0,士林分局,
供公眾使用建築物,WVA01263,仁勇里,臺北市士林區文林路158-1號,"25.089023,121.527024",1,396.0,士林分局,
一般住宅,WVA00955,天山里,臺北市士林區中山北路七段14巷30弄2號,"25.119026,121.533041",1,454.0,士林分局,
一般住宅,WVA00957,天山里,臺北市士林區中山北路七段14巷30弄9號,"25.119208,121.533514",1,388.0,士林分局,
一般住宅,WVA00958,天山里,臺北市士林區天母東路43巷4弄1號,"25.118642,121.532483",1,1155.0,士林分局,
一般住宅,WVA00959,天山里,臺北市士林區天母東路43巷4弄2號,"25.118473,121.532486",1,511.0,士林分局,
一般住宅,WVA00962,天山里,臺北市士林區天母東路61巷8號,"25.11857,121.533994",1,95.0,士林分局,
一般住宅,WVA00963,天山里,臺北市士林區天母東路37巷3號,"25.118189,121.532118",1,431.0,士林分局,
一般住宅,WVA00964,天山里,臺北市士林區天母東路69巷7號,"25.118943,121.5342",1,324.0,士林分局,
一般住宅,WVA01174,天山里,臺北市士林區天母東路45號,"25.118216,121.532445",1,311.0,士林分局,
一般住宅,WVA01176,天山里,臺北市士林區天母東路49號,"25.118217,121.532869",1,700.0,士林分局,
一般住宅,WVA01178,天山里,臺北市士林區天母東路59號,"25.11822,121.533638",1,265.0,士林分局,
一般住宅,WVA01178,天山里,臺北市士林區天母東路59號,"25.11822,121.533638",2,469.0,士林分局,
一般住宅,WVA01180,天山里,臺北市士林區天母東路63號,"25.118227,121.534034",1,470.0,士林分局,
一般住宅,WVA01188,天山里,臺北市士林區天母東路43巷4弄12號,"25.118483,121.53319",1,564.0,士林分局,
一般住宅,WVA01189,天山里,臺北市士林區天母東路43巷4弄13號,"25.118673,121.533169",2,1348.0,士林分局,
一般住宅,WVA01192,天山里,臺北市士林區天母東路61巷5號,"25.118891,121.53381",1,291.0,士林分局,
