編號,里別,地址,避難所在之地下樓層數,可容納人數,經度,緯度,轄管分局,"unnamed (1)","unnamed (2)","unnamed (3)"
1.0,南屯里,臺中市南屯區南屯里黎明路1-62號,1.0,83.0,120.636422,24.136113,第四分局,,,
2.0,春社里,臺中市南屯區春社里嶺東路1號,1.0,1064.0,120.6102219,24.1370185,第四分局,,,
3.0,三和里,臺中市南屯區三和里1鄰大墩十二街888號,2.0,62.0,120.6277234,24.1494542,第四分局,,,
4.0,三和里,臺中市南屯區三和里5鄰益豐東街182號,1.0,1273.0,120.6265225,24.1504638,第四分局,,,
5.0,三和里,臺中市南屯區三和里大墩11街818號,1.0,520.0,120.6312266,24.1484633,第四分局,,,
6.0,三和里,臺中市南屯區三和里大墩11街868號,1.0,4003.0,120.6299563,24.1482955,第四分局,,,
7.0,三和里,臺中市南屯區三和里大墩十二街636號,2.0,393.0,120.6342435,24.1503342,第四分局,,,
8.0,三和里,臺中市南屯區三和里公益路二段500號,1.0,334.0,120.6325287,24.151443,第四分局,,,
9.0,三和里,臺中市南屯區三和里公益路二段507號,1.0,334.0,120.6344871,24.1512529,第四分局,,,
10.0,三和里,臺中市南屯區三和里公益路二段535巷26號,1.0,516.0,120.633678,24.1504112,第四分局,,,
11.0,三和里,臺中市南屯區三和里公益路二段757號,1.0,527.0,120.6273939,24.1507386,第四分局,,,
12.0,三和里,臺中市南屯區三和里公益路二段808之1號,1.0,3674.0,120.6263526,24.1513381,第四分局,,,
13.0,三和里,臺中市南屯區三和里文心南五路392巷53號,1.0,1074.0,120.6297702,24.149026,第四分局,,,
14.0,三和里,臺中市南屯區三和里永春東七路880號,1.0,677.0,120.6311444,24.1495075,第四分局,,,
15.0,三和里,臺中市南屯區三和里河南路4段420號,1.0,3485.0,120.6346555,24.150897,第四分局,,,
16.0,三和里,臺中市南屯區三和里河南路四段460號,1.0,1245.0,120.6348966,24.1492686,第四分局,,,
17.0,三和里,臺中市南屯區三和里益豐東街18之1號,1.0,1228.0,120.6299859,24.1502986,第四分局,,,
18.0,三和里,臺中市南屯區三和里益豐路四段590號,1.0,1259.0,120.6262897,24.1497525,第四分局,,,
19.0,三和里,臺中市南屯區三和里惠中路三段36號,1.0,7511.0,120.637773,24.1490175,第四分局,,,
20.0,三和里,臺中市南屯區三和里黎明東街433號,1.0,277.0,120.6337368,24.1504156,第四分局,,,
21.0,三和里,臺中市南屯區三和里黎明東街506號,1.0,1934.0,120.6340336,24.1508446,第四分局,,,
22.0,三和里,臺中市南屯區三和里黎明路二段286號,1.0,122.0,120.6332606,24.1487756,第四分局,,,
23.0,三和里,臺中市南屯區三和里黎明路二段288號,1.0,122.0,120.6333348,24.1488176,第四分局,,,
24.0,三和里,臺中市南屯區三和里黎明路二段290號,1.0,83.0,120.6333198,24.1488459,第四分局,,,
25.0,三和里,臺中市南屯區三和里黎明路二段302號,1.0,754.0,120.6332228,24.1491676,第四分局,,,
26.0,三和里,臺中市南屯區三和里黎明路二段423號,1.0,708.0,120.6322111,24.1518629,第四分局,,,
27.0,三和里,臺中市南屯區三和里黎明路二段425號,1.0,773.0,120.6319892,24.1519404,第四分局,,,
28.0,三厝里,臺中市南屯區三厝里7鄰黎明路42之53號,1.0,1562.0,120.6319892,24.1519404,第四分局,,,
29.0,三厝里,臺中市南屯區三厝里三和街158號,1.0,138.0,120.6321538,24.1449445,第四分局,,,
30.0,三厝里,臺中市南屯區三厝里三和街160號,1.0,66.0,120.6321526,24.1449419,第四分局,,,
31.0,三厝里,臺中市南屯區三厝里三和街36號,1.0,778.0,120.6344527,24.1454401,第四分局,,,
32.0,三厝里,臺中市南屯區三厝里大墩十一街605號,1.0,1649.0,120.6340916,24.1485657,第四分局,,,
33.0,三厝里,臺中市南屯區三厝里大墩十一街771號,1.0,1731.0,120.6319723,24.1482867,第四分局,,,
34.0,三厝里,臺中市南屯區三厝里五權西路二段899號,1.0,895.0,120.6312034,24.1444417,第四分局,,,
35.0,三厝里,臺中市南屯區三厝里五權西路二段957號,1.0,497.0,120.6301955,24.1450704,第四分局,,,
36.0,三厝里,臺中市南屯區三厝里永春東七路770巷3號,1.0,5102.0,120.631713,24.1471386,第四分局,,,
37.0,三厝里,臺中市南屯區三厝里永春東七路800號,1.0,1031.0,120.6313051,24.1479021,第四分局,,,
38.0,三厝里,臺中市南屯區三厝里向上路二段201號,1.0,833.0,120.6371168,24.1464172,第四分局,,,
39.0,三厝里,臺中市南屯區三厝里向上路二段426號,1.0,866.0,120.6352524,24.1472679,第四分局,,,
40.0,三厝里,臺中市南屯區三厝里向上路三段111號,1.0,634.0,120.6310516,24.1459113,第四分局,,,
41.0,三厝里,臺中市南屯區三厝里向上路三段201號,1.0,497.0,120.6292723,24.1448769,第四分局,,,
42.0,三厝里,臺中市南屯區三厝里向上路三段33號,1.0,2342.0,120.6331046,24.1463181,第四分局,,,
43.0,三厝里,臺中市南屯區三厝里河南路四段468號,1.0,1146.0,120.6349803,24.1485819,第四分局,,,
44.0,三厝里,臺中市南屯區三厝里河南路四段476號,1.0,85.0,120.6350844,24.1480932,第四分局,,,
45.0,三厝里,臺中市南屯區三厝里河南路四段500號,1.0,996.0,120.635493,24.1473964,第四分局,,,
46.0,三厝里,臺中市南屯區三厝里河南路四段502號,1.0,1039.0,120.635574,24.1470169,第四分局,,,
47.0,三厝里,臺中市南屯區三厝里河南路四段530號,1.0,181.0,120.6358415,24.146325,第四分局,,,
48.0,三厝里,臺中市南屯區三厝里河南路四段610號,1.0,946.0,120.6359288,24.1461712,第四分局,,,
49.0,三厝里,臺中市南屯區三厝里河南路四段650巷35號,1.0,2089.0,120.6360402,24.1456442,第四分局,,,
50.0,三厝里,臺中市南屯區三厝里南屯路二段1040號,1.0,1041.0,120.634661,24.143581,第四分局,,,
51.0,三厝里,臺中市南屯區三厝里益昌五街68號,1.0,1094.0,120.6297273,24.1436169,第四分局,,,
52.0,三厝里,臺中市南屯區三厝里惠中路3段36號,1.0,992.0,120.637773,24.1490175,第四分局,,,
53.0,三厝里,臺中市南屯區三厝里惠中路三段98號,1.0,1390.0,120.6378271,24.1448554,第四分局,,,
54.0,三厝里,臺中市南屯區三厝里黎明東街137號,1.0,4661.0,120.6352678,24.1452575,第四分局,,,
55.0,三厝里,臺中市南屯區三厝里黎明東街151號,1.0,1374.0,120.6351518,24.1456497,第四分局,,,
56.0,三厝里,臺中市南屯區三厝里黎明路2段237號,1.0,54.0,120.6330499,24.1479698,第四分局,,,
57.0,三厝里,臺中市南屯區三厝里黎明路二段141號,1.0,104.0,120.6339504,24.145544,第四分局,,,
58.0,三厝里,臺中市南屯區三厝里黎明路二段184號,1.0,618.0,120.6339481,24.1464069,第四分局,,,
59.0,三厝里,臺中市南屯區三厝里黎明路二段201之1號,1.0,277.0,120.6330793,24.1466243,第四分局,,,
60.0,三厝里,臺中市南屯區三厝里黎明路二段231號,1.0,69.0,120.633062,24.1478819,第四分局,,,
61.0,三厝里,臺中市南屯區三厝里黎明路二段233號,1.0,54.0,120.6330611,24.1478944,第四分局,,,
62.0,三厝里,臺中市南屯區三厝里黎明路二段237號,1.0,54.0,120.6330499,24.1479698,第四分局,,,
63.0,三厝里,臺中市南屯區三厝里黎明路二段236號,1.0,68.0,120.6335017,24.1476544,第四分局,,,
64.0,三義里,臺中市南屯區三義里大業路563號,1.0,199.0,120.6335048,24.153373,第四分局,,,
65.0,三義里,臺中市南屯區三義里大業路586號,1.0,2023.0,120.6328572,24.1539051,第四分局,,,
66.0,三義里,臺中市南屯區三義里大業路591號,1.0,2083.0,120.6329161,24.153614,第四分局,,,
67.0,三義里,臺中市南屯區三義里五權西路二段863號,1.0,100.0,120.6321261,24.1436859,第四分局,,,
68.0,三義里,臺中市南屯區三義里公益路二段298號,1.0,202.0,120.637346,24.1515206,第四分局,,,
69.0,三義里,臺中市南屯區三義里公益路二段300號,1.0,3994.0,120.6357282,24.1516694,第四分局,,,
70.0,三義里,臺中市南屯區三義里公益路二段370號,1.0,946.0,120.6333261,24.1515247,第四分局,,,
71.0,三義里,臺中市南屯區三義里市政南二路181號,1.0,898.0,120.6331561,24.1556905,第四分局,,,
