類別,電腦編號,村里別,地下樓層數,可容納人數,轄管分局,備註
德龍國小,A001,八德里,1,"688 ",龍潭分局,
工廠,A003,八德里,1,"157 ",龍潭分局,
工廠,A004,八德里,1,"54 ",龍潭分局,
工廠,A005,聖德里,2,"1382 ",龍潭分局,
工廠,A006,聖德里,1,"149 ",龍潭分局,
工廠,A007,聖德里,1,"61 ",龍潭分局,
一般大樓,A009,烏樹林里,1,"650 ",龍潭分局,
龍潭分局,A010,凌雲里,1,"2288 ",龍潭分局,(機敏單位)
潛龍國小,A011,烏林里,1,"783 ",龍潭分局,
一般大樓,A012,烏林里,2,"3782 ",龍潭分局,
一般大樓,A013,烏林里,1,"212 ",龍潭分局,
一般大樓,A015,烏林里,2,"154 ",龍潭分局,
一般大樓,A016,烏林里,2,"1548 ",龍潭分局,
一般大樓,A017,烏林里,1,"175 ",龍潭分局,
一般大樓,A018,烏林里,2,"12543 ",龍潭分局,
一般大樓,A019,烏林里,1,"694 ",龍潭分局,
工廠,A020,烏林里,2,"134 ",龍潭分局,
工廠,A021,烏林里,1,"3067 ",龍潭分局,
工廠,A022,烏林里,1,"2876 ",龍潭分局,
工廠,A023,烏林里,1,"1118 ",龍潭分局,
工廠,A024,烏林里,2,"794 ",龍潭分局,
一般大樓,A025,"桃園市龍潭區凌雲里聖亭路272號 ",2,"6498 ",龍潭分局,
一般大樓,A026,龍祥里,2,"1946 ",龍潭分局,
一般大樓,A027,桃園市龍潭區凌雲里聖亭路130號,1,"2121 ",龍潭分局,"桃園市龍潭區凌雲里聖亭路130號 "
一般大樓,A028,烏林裡,1,"9916 ",龍潭分局,
一般大樓,A029,烏林里,2,"2111 ",龍潭分局,
一般大樓,A030,烏林里,1,"1991 ",龍潭分局,
一般大樓,A031,烏樹林里,1,"4237 ",龍潭分局,
一般大樓,A032,烏樹林里,1,"1952 ",龍潭分局,
工廠,A033,烏林里,1,"724 ",龍潭分局,
一般大樓,A034,烏林里,2,"1574 ",龍潭分局,
