電腦編號,建築物名稱,鄉鎮市區,村里別,地址,地下樓層,可容納人數,轄管分局
ZN2253,大樓,楠梓區,仁昌里,高雄市楠梓區壽豐路424號,2,283.0,楠梓分局
ZN2254,大樓,楠梓區,慶昌里,高雄市楠梓區新昌街111號,1,168.0,楠梓分局
ZN2255,大樓,楠梓區,翠屏里,高雄市楠梓區德祥路87號,1,178.0,楠梓分局
ZN2256,大樓,楠梓區,中陽里,高雄市楠梓區中陽里朝明路118號,1,272.0,楠梓分局
ZN2257,大樓,楠梓區,仁昌里,高雄市楠梓區壽豐路405號,1,407.0,楠梓分局
ZN2258,大樓,楠梓區,翠屏里,高雄市楠梓區德民路150號,1,930.0,楠梓分局
ZN2260,大樓,楠梓區,中陽里,高雄市楠梓區朝明路125巷1號,1,245.0,楠梓分局
ZN2262,大樓,楠梓區,加昌里,高雄市楠梓區樂群路59號,1,529.0,楠梓分局
ZN2264,大樓,楠梓區,隆昌里,高雄市楠梓區軍校路780之2號,1,160.0,楠梓分局
ZN2265,大樓,楠梓區,翠屏里,高雄市楠梓區德民路356巷18號,1,429.0,楠梓分局
ZN2266,大樓,楠梓區,翠屏里,高雄市楠梓區德賢路220巷22號,1,548.0,楠梓分局
ZN2267,大樓,楠梓區,享平里,高雄市楠梓區楠梓東街61號,1,91.0,楠梓分局
ZN2268,大樓,楠梓區,翠屏里,高雄市楠梓區德賢路17號,1,477.0,楠梓分局
ZN2269,大樓,楠梓區,翠屏里,高雄市楠梓區德維街11號,1,539.0,楠梓分局
ZN2270,大樓,楠梓區,翠屏里,高雄市楠梓區加仁路70巷3號,1,698.0,楠梓分局
ZN2271,大樓,楠梓區,瑞屏里,高雄市楠梓區瑞昌街20號,1,622.0,楠梓分局
ZN2272,大樓,楠梓區,瑞屏里,高雄市楠梓區德民路356巷60弄3號,1,768.0,楠梓分局
ZN2273,大樓,楠梓區,秀昌里,高雄市楠梓區後昌路862之1號,1,63.0,楠梓分局
ZN2274,大樓,楠梓區,瑞屏里,高雄市楠梓區瑞屏里瑞仁路46號,1,158.0,楠梓分局
ZN2275,大樓,楠梓區,翠屏里,高雄市楠梓區德賢路175號,1,534.0,楠梓分局
ZN2276,大樓,楠梓區,翠屏里,高雄市楠梓區德民路356巷46弄48號,1,126.0,楠梓分局
