類別,電腦編號,村里別,地址,"地下樓 層數",可容納人數,派出所,備註,經度,緯度
文心奕奕,DB02000001,柑林里,新北市土城區柑林里龍山一街15號,1.0,732.0,土城派出所,,121.44738,24.97688
公寓,DF01000001,員福里,新北市土城區員福里中央路2段50巷25號,1.0,50.0,土城派出所,,121.44237,24.979926
私人住宅大樓,DF01000002,員信里,新北市土城區員信里中正路22號,1.0,763.0,土城派出所,,121.44313,24.975107
私人住宅大樓,DF01000003,埤塘里,新北市土城區埤塘里忠義路1820號,1.0,151.0,土城派出所,,121.44368,24.961631
私人住宅大樓,DF01000004,埤塘里,新北市土城區埤塘里興城路75號,1.0,330.0,土城派出所,,121.44011,24.970727
私人住宅大樓,DF01000005,員信里,新北市土城區員信里中央路一段274號,1.0,681.0,土城派出所,,121.441,24.974251
私人住宅大樓,DF01000006,日和里,新北市土城區日和里中央路一段262巷24號,1.0,522.0,廣福派出所,,121.44303,24.984307
私人住宅大樓,DF01000007,員林里,新北市土城區員林里員林街25號,1.0,146.0,土城派出所,,121.44344,24.976895
私人住宅大樓,DF01000008,員仁里,新北市土城區員仁里亞洲路92號,1.0,2016.0,土城派出所,,121.43453,24.972716
私人住宅大樓,DF01000009,日新里,新北市土城區日新里中央路一段242巷10號,1.0,1102.0,廣福派出所,,121.44448,24.985351
土城區公所,DF01000010,埤塘里,新北市土城區埤塘里興城路11號,1.0,1775.0,土城派出所,,121.44135,24.970988
公寓,DF01000011,日新里,新北市土城區日新里中央路一段2632號,1.0,234.0,廣福派出所,,121.44495,24.985163
私人住宅大樓,DF01000012,日新里,新北市土城區日新里中央路一段242巷8弄212號,1.0,550.0,廣福派出所,,121.44413,24.985629
私人住宅大樓,DF01000013,日和里,新北市土城區日和里中央路一段250巷71號,2.0,670.0,廣福派出所,,121.44409,24.984715
私人住宅大樓,DF01000014,員信里,新北市土城區員信里中央路2段278巷1016號,1.0,415.0,土城派出所,,121.44003,24.974959
公寓,DF01000015,員仁里,新北市土城區員仁里中華路2段257號,1.0,74.0,土城派出所,,121.4377,24.97182
私人住宅大樓,DF01000016,員仁里,新北市土城區員仁里中央路2段282號,3.0,422.0,土城派出所,,121.44068,24.973879
私人住宅大樓,DF01000017,日新里,新北市土城區日新里中央路一段210號,1.0,69.0,廣福派出所,,121.44502,24.985695
私人住宅大樓,DF01000018,員林里,新北市土城區員林里中央路2段71號,1.0,220.0,土城派出所,,121.44245,24.97864
私人住宅大樓,DF01000019,日新里,新北市土城區日新里日新街13巷591號,2.0,586.0,廣福派出所,,121.44384,24.987645
土城戶政事務所,DF01000020,埤塘里,新北市土城區埤塘里和平路28號,1.0,197.0,土城派出所,,121.44326,24.97264
私人住宅大樓,DF01000021,埤塘里,新北市土城區埤塘里千歲路202號,1.0,566.0,土城派出所,,121.4415,24.968804
公寓,DF01000022,埤塘里,新北市土城區埤塘里忠義路4953號,1.0,1125.0,土城派出所,,121.44057,24.969064
土城國小,DF01000023,埤塘里,新北市土城區埤塘里興城路17號,1.0,200.0,土城派出所,,121.44194,24.972383
土城區衛生所,DF01000024,埤塘里,新北市土城區埤塘里和平路26號,1.0,85.0,土城派出所,,121.44319,24.972858
公寓,DF01000025,員福里,新北市土城區員福里水源街60巷1號,1.0,297.0,土城派出所,,121.44093,24.97586
明陽大廈,DF01000026,員福里,新北市土城區員福里水源街56巷6號,1.0,212.0,土城派出所,,121.44105,24.975726
私人住宅大樓,DF01000027,員福里,新北市土城區員福里水源街16號1,1.0,228.0,土城派出所,,121.44124,24.975236
公寓,DF01000028,員信里,新北市土城區員信里中正路54號,1.0,254.0,土城派出所,,121.44377,24.975256
私人住宅大樓,DF01000029,員信里,新北市土城區員信里中正路28號,1.0,218.0,土城派出所,,121.44324,24.975136
私人住宅大樓,DF01000030,員信里,新北市土城區員信里中正路16號,1.0,733.0,土城派出所,,121.44291,24.974854
私人住宅大樓,DF01000031,員信里,新北市土城區員信里中正路70巷12弄8號,1.0,1245.0,土城派出所,,121.4444,24.975162
