類別,編號,里別,防空避難設備地址,Location,地下層數位址,可容納人數,備註
一般建築,D0001,一甲里,高雄市鳳山區一甲里林森路408號,"22.598579,120.33962",1,1483.0,
一般建築,D0002,一甲里,高雄市鳳山區一甲里南華路69號,"22.600888,120.339326",1,3521.0,
一般建築,D0003,一甲里,高雄市鳳山區一甲里南榮路268號,"22.602124,120.337498",1,1651.0,
一般建築,D0004,一甲里,高雄市鳳山區一甲里善志街39號,"22.602094,120.336009",3,3437.0,
一般建築,D0005,二甲里,高雄市鳳山區二甲里林森路258號,"22.595763,120.336524",1,2673.0,
一般建築,D0006,三民里,高雄市鳳山區三民里中山東路56號,"22.6234495,120.369573838917",4,2801.0,
一般建築,D0007,大德里,高雄市鳳山區大德里10鄰天興街195號,"22.590222,120.333073",1,1022.0,
一般建築,D0008,大德里,高雄市鳳山區大德里10鄰天興街199號,"22.590055,120.33313",1,1022.0,
一般建築,D0009,大德里,高雄市鳳山區大德里11鄰林森路16號,"22.591391,120.330353",2,1010.0,
一般建築,D0010,大德里,高雄市鳳山區大德里福安二街106號,"22.59023,120.332584",1,1389.0,
一般建築,D0011,中正里,高雄市鳳山區中正里11鄰瑞興路456號,"22.630928,120.37109",1,7353.0,
一般建築,D0012,中正里,高雄市鳳山區中正里12鄰工協街81號,"22.629716,120.371033",1,20523.0,
一般建築,D0013,中和里,高雄市鳳山區中和里中山西路235號,"22.627749,120.348324",1,916.0,
一般建築,D0014,中和里,高雄市鳳山區中和里中興街58號,"22.625966,120.348352",1,419.0,
一般建築,D0015,中和里,高雄市鳳山區中和里自由路164號,"22.62578256,120.350055727238",1,363.0,
一般建築,D0016,中和里,高雄市鳳山區中和里自由路224號,"22.625525,120.348803",1,604.0,
一般建築,D0017,中和里,高雄市鳳山區中和里青年路1段360號,"22.627497,120.34929",1,102.0,
一般建築,D0018,中和里,高雄市鳳山區中和里信義街258號,"22.627177,120.348844",1,1343.0,
一般建築,D0019,中和里,高雄市鳳山區中和里信義街272號,"22.627271,120.348484",1,1343.0,
一般建築,D0020,中和里,高雄市鳳山區中和里信義街303號,"22.627012,120.348162",1,155.0,
一般建築,D0021,中和里,高雄市鳳山區中和里裕昌街71號,"22.627088,120.347611",1,855.0,
一般建築,D0022,中和里,高雄市鳳山區中和里中和街262號,"22.626540877107367, 120.34720751480923",1,2370.0,
一般建築,D0023,中榮里,高雄市鳳山區中榮里中崙二路583巷18號,"22.597584,120.35426",1,28000.0,
一般建築,D0024,中榮里,高雄市鳳山區中榮里中崙路586號,"22.602007,120.351915",1,36009.0,
一般建築,D0025,天興里,高雄市鳳山區天興里天興街19號,"22.593979,120.330177",1,237.0,
一般建築,D0026,天興里,高雄市鳳山區天興里自強一路102號,"22.59019399,120.329540825018",1,380.0,
一般建築,D0027,天興里,高雄市鳳山區天興里錦田路8號,"22.591237,120.334633",2,2532.0,
一般建築,D0028,文山里,高雄市鳳山區文山里16鄰文清街126巷16號,"22.64451968,120.351978103533",1,2661.0,
一般建築,D0029,文山里,高雄市鳳山區文山里八德路102號,"22.638494,120.360288",1,4668.0,
一般建築,D0030,文山里,高雄市鳳山區文山里八德路197號,"22.63817919,120.358089763234",1,584.0,
一般建築,D0031,文山里,高雄市鳳山區文山里八德路2段142巷3號,"22.644123,120.355662",1,1645.0,
一般建築,D0032,文山里,高雄市鳳山區文山里八德路382號,"22.640805,120.354693",3,2196.0,
一般建築,D0033,文山里,高雄市鳳山區文山里八德路二段146號,"22.644008,120.355194",1,6728.0,
一般建築,D0034,文山里,高雄市鳳山區文山里文中街186號,"22.641603,120.354125",1,299.0,
一般建築,D0035,文山里,高雄市鳳山區文山里文東街201號,"22.640118,120.358639",1,117.0,
一般建築,D0036,文山里,高雄市鳳山區文山里文勇街74號,"22.639845,120.35861",1,214.0,
一般建築,D0037,文山里,高雄市鳳山區文山里文南街171號,"22.640599,120.357404",1,966.0,
一般建築,D0038,文山里,高雄市鳳山區文山里文澄街10號,"22.643339,120.355631",1,757.0,
一般建築,D0039,文山里,高雄市鳳山區文山里文澄街1巷1號,"22.643068,120.356072",1,1089.0,
一般建築,D0040,文山里,高雄市鳳山區文山里文澄街21號,"22.643265,120.3555",1,2098.0,
一般建築,D0041,文山里,高雄市鳳山區文山里文衡路153號,"22.63878,120.356198",1,478.0,
一般建築,D0042,文山里,高雄市鳳山區文山里濱山街10巷14號,"22.645112,120.351562",1,668.0,
一般建築,D0043,文山里,高雄市鳳山區文山里濱山街15巷2號,"22.64546,120.350739",1,795.0,
一般建築,D0044,文山里,高雄市鳳山區文山里濱山街1號,"22.645057,120.350477",1,2382.0,
一般建築,D0045,文山里,高雄市鳳山區文山里濱山街2之2號,"22.64495304,120.350881427986",1,1683.0,
一般建築,D0046,文山里,高雄市鳳山區文山里濱山街55巷6號,"22.64646,120.351283",1,1364.0,
一般建築,D0047,文山里,高雄市鳳山區文山里濱山街6之10號,"22.645256,120.351043",1,2266.0,
一般建築,D0048,文英里,高雄市鳳山區文英里八德路179號,"22.638162,120.358704",1,1563.0,
一般建築,D0049,文英里,高雄市鳳山區文英里八德路2段130號,"22.643532,120.355296",3,2879.0,
一般建築,D0050,文英里,高雄市鳳山區文英里八德路2段198號,"22.645465,120.353821",1,324.0,
一般建築,D0051,文英里,高雄市鳳山區文英里八德路2段210號,"22.645697,120.353399",1,557.0,
一般建築,D0052,文英里,高雄市鳳山區文英里八德路2段212巷17號,"22.645961,120.352386",1,952.0,
一般建築,D0053,文英里,高雄市鳳山區文英里八德路2段212巷71號,"22.645265,120.351716",1,262.0,
一般建築,D0054,文英里,高雄市鳳山區文英里八德路2段219號,"22.645441,120.35285",1,774.0,
一般建築,D0055,文英里,高雄市鳳山區文英里八德路2段261巷253之1號,"22.64505679,120.351819125019",1,2909.0,
一般建築,D0056,文英里,高雄市鳳山區文英里八德路2段90巷31號,"22.6427281,120.355877240074",1,1357.0,
一般建築,D0057,文英里,高雄市鳳山區文英里文南街51號,"22.637346,120.357891",2,4710.0,
一般建築,D0058,文英里,高雄市鳳山區文英里文英路65號,"22.637674,120.359905",1,593.0,
一般建築,D0059,文英里,高雄市鳳山區文英里文衡路125巷2號,"22.637816,120.35605",1,3579.0,
一般建築,D0060,文華里,高雄市鳳山區文華里35鄰文雅東街8號,"22.634436,120.358779",1,1572.0,
一般建築,D0061,文華里,高雄市鳳山區文華里文化西路160巷26弄9號,"22.636336,120.346293",1,3692.0,
一般建築,D0062,文華里,高雄市鳳山區文華里文化路8號,"22.63408,120.354474",1,763.0,
一般建築,D0063,文華里,高雄市鳳山區文華里文武街146巷9弄1號,"22.63509269,120.344878096183",1,229.0,
一般建築,D0064,文華里,高雄市鳳山區文華里文勇街25號,"22.63895,120.358464",1,1101.0,
一般建築,D0065,文華里,高雄市鳳山區文華里文勇街25號,"22.638850424036093, 120.35844379489176",1,1099.0,
一般建築,D0066,文華里,高雄市鳳山區文華里文建街193號,"22.635725,120.347676",1,2728.0,
一般建築,D0067,文華里,高雄市鳳山區文華里文清街101號,"22.644894,120.352864",1,498.0,
一般建築,D0068,文華里,高雄市鳳山區文華里文湖街22號,"22.643764,120.353232",1,729.0,
一般建築,D0069,文華里,高雄市鳳山區文華里文湖街5號,"22.643523,120.353022",1,1583.0,
一般建築,D0070,文華里,高雄市鳳山區文華里文湖街63號,"22.645288,120.354112",1,2160.0,
一般建築,D0071,文華里,高雄市鳳山區文華里文雅東街118之1號,"22.6342,120.36197",1,864.0,
一般建築,D0072,文華里,高雄市鳳山區文華里文雅街189號,"22.636147,120.348855",3,1364.0,
一般建築,D0073,文華里,高雄市鳳山區文華里文雅街19巷2號,"22.635064,120.354286",1,695.0,
一般建築,D0074,文福里,高雄市鳳山區文福里5鄰文化西路69號,"22.634948,120.34686",2,2740.0,
一般建築,D0075,文福里,高雄市鳳山區文福里建國路3段539號,"22.636664,120.345371",2,2091.0,
一般建築,D0076,文德里,高雄市鳳山區文德里2鄰文中街232巷15號,"22.64252,120.352672",2,4004.0,
一般建築,D0077,文德里,高雄市鳳山區文德里2鄰文中街232巷28號,"22.642249,120.352817",1,1646.0,
一般建築,D0078,文德里,高雄市鳳山區文德里40鄰文濱路85號,"22.64231,120.348843",1,620.0,
一般建築,D0079,文德里,高雄市鳳山區文德里八德路2段212巷53號,"22.645802,120.351919",1,248.0,
一般建築,D0080,文德里,高雄市鳳山區文德里八德路2段275號,"22.644691,120.351685",1,1259.0,
一般建築,D0081,文德里,高雄市鳳山區文德里八德路二段149號,"22.644102,120.354828",1,8852.0,
一般建築,D0082,文德里,高雄市鳳山區文德里文化西路160巷16號,"22.635612,120.346216",1,1438.0,
一般建築,D0083,文德里,高雄市鳳山區文德里文化西路160巷23號,"22.635867,120.345837",1,1814.0,
一般建築,D0084,文德里,高雄市鳳山區文德里文化西路70巷12弄23號,"22.635674,120.348783",1,1027.0,
一般建築,D0085,文德里,高雄市鳳山區文德里文化西路70巷12弄2號,"22.635577,120.348516",1,1697.0,
一般建築,D0086,文德里,高雄市鳳山區文德里文化西路72號,"22.635176,120.348258",1,2938.0,
一般建築,D0087,文德里,高雄市鳳山區文德里文建街182號,"22.635494,120.347768",1,458.0,
一般建築,D0088,文德里,高雄市鳳山區文德里文建街184號,"22.635625,120.347798",1,458.0,
一般建築,D0089,文德里,高雄市鳳山區文德里文清街23號,"22.64384,120.354365",1,3228.0,
一般建築,D0090,文德里,高雄市鳳山區文德里文雅街145號,"22.635939,120.350103",1,1096.0,
一般建築,D0091,文德里,高雄市鳳山區文德里文雅街194巷9號,"22.636669,120.348489",1,1983.0,
一般建築,D0092,文德里,高雄市鳳山區文德里文德路86巷32號,"22.639648,120.353875",1,163.0,
一般建築,D0093,文德里,高雄市鳳山區文德里文樂街60號,"22.645434,120.348725",2,1085.0,
一般建築,D0094,文德里,高雄市鳳山區文德里文澄街2巷18號,"22.643595,120.356026",1,434.0,
一般建築,D0095,文德里,高雄市鳳山區文德里文澄街93號,"22.643892,120.35283",1,460.0,
一般建築,D0096,文德里,高雄市鳳山區文德里文澄街94號,"22.644227,120.352986",1,1546.0,
一般建築,D0097,文德里,高雄市鳳山區文德里文澄街95號,"22.643927,120.352559",1,1009.0,
一般建築,D0098,文德里,高雄市鳳山區文德里文澄街98號,"22.644178,120.352814",1,1546.0,
一般建築,D0099,文德里,高雄市鳳山區文德里文學街65號,"22.635698,120.345892",1,298.0,
一般建築,D0100,文德里,高雄市鳳山區文德里文學街83號,"22.635155,120.345777",1,3271.0,
一般建築,D0101,文德里,高雄市鳳山區文德里文學街88號,"22.635715,120.345702",1,235.0,
一般建築,D0102,文德里,高雄市鳳山區文德里文學街90號,"22.635677,120.345674",1,235.0,
一般建築,D0103,文德里,高雄市鳳山區文德里文衡路291號,"22.639897,120.353489",1,6218.0,
一般建築,D0104,文德里,高雄市鳳山區文德里文衡路361號,"22.640481,120.351849",1,1834.0,
一般建築,D0105,文德里,高雄市鳳山區文德里文衡路406號,"22.640742,120.351752",2,4117.0,
一般建築,D0106,文德里,高雄市鳳山區文德里青年路2段180號,"22.636696,120.350633",1,2330.0,
一般建築,D0107,文德里,高雄市鳳山區文德里青年路2段183號,"22.635297,120.350112",1,2737.0,
一般建築,D0108,文德里,高雄市鳳山區文德里青年路2段201之5號,"22.636402,120.350309",2,2274.0,
一般建築,D0109,文德里,高雄市鳳山區文德里青年路2段310號,"22.640093,120.351181",1,3291.0,
一般建築,D0110,文德里,高雄市鳳山區文德里青年路2段526號,"22.645472,120.349888",1,521.0,
一般建築,D0111,文德里,高雄市鳳山區文德里建國路3段242號,"22.637547,120.351668",1,710.0,
一般建築,D0112,文德里,高雄市鳳山區文德里建國路3段401號,"22.637578,120.348337",2,1872.0,
一般建築,D0113,文德里,高雄市鳳山區文德里建國路3段415號,"22.637578,120.347775",2,2179.0,
一般建築,D0114,文德里,高雄市鳳山區文德里濱山街49號,"22.646101,120.351311",1,936.0,
一般建築,D0115,文德里,高雄市鳳山區文德里濱山街55巷11弄1號,"22.64627,120.351003",1,394.0,
一般建築,D0116,文德里,高雄市鳳山區文德里濱山街55巷22號,"22.647086,120.349874",1,1543.0,
一般建築,D0117,文衡里,高雄市鳳山區文衡里文衡路215號,"22.639852,120.355698",3,1857.0,
一般建築,D0118,文衡里,高雄市鳳山區文衡里文衡路303號,"22.640217,120.353386",1,1379.0,
一般建築,D0119,文衡里,高雄市鳳山區文衡里文衡路392號,"22.640677,120.35217",2,1947.0,
一般建築,D0120,文衡里,高雄市鳳山區文衡里文龍東路326號,"22.640737,120.366206",2,1921.0,
一般建築,D0121,文衡里,高雄市鳳山區文衡里文龍路12號,"22.643801,120.350931",3,2581.0,
一般建築,D0122,文衡里,高雄市鳳山區文衡里建國路3段277號,"22.637217,120.351007",2,3781.0,
一般建築,D0123,文衡里,高雄市鳳山區文衡里建國路3段87號,"22.636471,120.355262",1,817.0,
一般建築,D0124,文衡里,高雄市鳳山區文衡里建國路三段319巷21號,"22.636634,120.350168",2,2304.0,
一般建築,D0125,北門里,高雄市鳳山區北門里北文街60巷3號,"22.642475,120.368956",1,2819.0,
一般建築,D0126,北門里,高雄市鳳山區北門里立人街23號,"22.63021,120.365123",1,585.0,
一般建築,D0127,北門里,高雄市鳳山區北門里立人街25號,"22.630268,120.365022",1,585.0,
一般建築,D0128,北門里,高雄市鳳山區北門里鳳仁路110巷268號,"22.643025,120.37424",2,6687.0,
一般建築,D0129,正義里,高雄市鳳山區正義里五甲二路105巷18號,"22.600856,120.341392",1,2409.0,
一般建築,D0130,正義里,高雄市鳳山區正義里五甲二路174號,"22.601832,120.34089",1,2394.0,
一般建築,D0131,正義里,高雄市鳳山區正義里五甲三路295巷17號,"22.58866,120.323413",3,957.0,
一般建築,D0132,正義里,高雄市鳳山區正義里五甲三路84號,"22.59236199,120.326615782675",1,244.0,
一般建築,D0133,正義里,高雄市鳳山區正義里瑞隆東路205號,"22.605865,120.339164",1,1153.0,
一般建築,D0134,生明里,高雄市鳳山區生明里王生明路123號,"22.619676,120.362555",1,195.0,
一般建築,D0135,生明里,高雄市鳳山區生明里王生明路150號,"22.618514,120.362489",1,746.0,
一般建築,D0136,生明里,高雄市鳳山區生明里王生明路360號,"22.62040079,120.363089867346",1,3405.0,
一般建築,D0137,生明里,高雄市鳳山區生明里王生明路85巷59號,"22.61768,120.360995",1,1454.0,
一般建築,D0138,老爺里,高雄市鳳山區老爺里七聖街148號,"22.610232,120.347217",1,562.0,
一般建築,D0139,老爺里,高雄市鳳山區老爺里中崙四路1號,"22.59925,120.352765",1,20713.0,
一般建築,D0140,老爺里,高雄市鳳山區老爺里南京路88號,"22.608567,120.345768",2,929.0,
一般建築,D0141,協和里,高雄市鳳山區協和里16鄰平等路70號,"22.62346568,120.352035572705",1,2376.0,
一般建築,D0142,協和里,高雄市鳳山區協和里平等路165號,"22.620913,120.351639",1,350.0,
一般建築,D0143,協和里,高雄市鳳山區協和里平等路174號,"22.620504,120.351173",1,1500.0,
一般建築,D0144,協和里,高雄市鳳山區協和里自由路231號,"22.625447,120.350121",1,576.0,
一般建築,D0145,協和里,高雄市鳳山區協和里自由路261號,"22.625381,120.349541",1,161.0,
