類別,電腦編號,村里別,地址,地下樓層數,可容納人數,備註,placemark_address
大樓,TPA00001,利澤村,宜蘭縣五結鄉利澤西路3之26號,1.0,2869.0,,"TPA00001 宜蘭縣五結鄉利澤西路3之26號"
工廠,TPA00002,中興村,宜蘭縣五結鄉中里路18號,1.0,129.0,,"TPA00002 宜蘭縣五結鄉中里路18號"
工廠,TPA00003,中興村,宜蘭縣五結鄉中里路16號,1.0,78.0,,"TPA00003 宜蘭縣五結鄉中里路16號"
農會,TPA00004,三興村,宜蘭縣五結鄉五結中路三段507號,1.0,160.0,,"TPA00004 宜蘭縣五結鄉五結中路三段507號"
工廠,TPA00005,中興村,宜蘭縣五結鄉中里路18號,1.0,129.0,,"TPA00005 宜蘭縣五結鄉中里路18號"
工廠,TPA00007,中興村,宜蘭縣五結鄉中里路20號,1.0,40.0,,"TPA00007 宜蘭縣五結鄉中里路20號"
工廠,TPA00008,鎮安村,宜蘭縣五結鄉西河二路108號,1.0,44.0,,"TPA00008 宜蘭縣五結鄉西河二路108號"
學校,TPA00009,上四村,宜蘭縣五結鄉中正東路50號,1.0,442.0,,"TPA00009 宜蘭縣五結鄉中正東路50號"
大樓,TPA00011,鎮安村,宜蘭縣五結鄉二結路339號,1.0,620.0,,"TPA00011 宜蘭縣五結鄉二結路339號"
大樓,TPA00012,二結村,宜蘭縣五結鄉中正路三段184號,1.0,624.0,,"TPA00012 宜蘭縣五結鄉中正路三段184號"
公寓,TPA00013,上四村,宜蘭縣五結鄉中正西路41巷9號,1.0,3238.0,,"TPA00013 宜蘭縣五結鄉中正西路41巷9號"
大樓,TPA00014,二結村,宜蘭縣五結鄉中正路三段21號,1.0,1013.0,,"TPA00014 宜蘭縣五結鄉中正路三段21號"
大樓,TPA00015,中興村,宜蘭縣五結鄉台興路117號,1.0,3412.0,,"TPA00015 宜蘭縣五結鄉台興路117號"
大樓,TPA00016,中興村,宜蘭縣五結鄉台興路99號,1.0,4170.0,,"TPA00016 宜蘭縣五結鄉台興路99號"
工廠,TPA00017,中興村,宜蘭縣五結鄉中興路三段8號,1.0,1212.0,,"TPA00017 宜蘭縣五結鄉中興路三段8號"
公寓,TPA00019,福興村,宜蘭縣五結鄉五結路三段706號,1.0,36.0,,"TPA00019 宜蘭縣五結鄉五結路三段706號"
