電腦編號,類別,村里,地址,地下層數,容量,轄管所別,備註
ＨＰＡ00001,公寓,平元里,苗栗縣通霄鎮平元里12鄰平新一路90號,1.0,200,通霄所,
ＨＰＡ00002,大樓,平安里,苗栗縣通霄鎮平安里2鄰平新路123號,1.0,669,通霄所,
ＨＰＡ00003,光田醫院,通西里,苗栗縣通霄鎮通西里5鄰中山路88號,1.0,345,通霄所,
ＨＰＡ00004,通霄鎮公所,通東里,苗栗縣通霄鎮通東里12鄰中正路8號,1.0,69,通霄所,
ＨＰＡ00005,公寓,通東里,苗栗縣通霄鎮通東里5鄰自強路35-37號,1.0,170,通霄所,
ＨＰＡ00006,公寓,通東里,苗栗縣通霄鎮通東里1鄰自強路119號,1.0,176,通霄所,
ＨＰＡ00009,通霄農會-通霄診所,通東里,苗栗縣通霄鎮通東里21鄰中正路20-1號,1.0,136,通霄所,
ＨＰＡ00011,通霄發電廠員工宿舍,平安里,苗栗縣通霄鎮平安里14鄰平元83之24號,1.0,400,通霄所,
ＨＰＡ00012,公寓,通西里,苗栗縣通霄鎮通西里17鄰中山路98號,1.0,358,通霄所,
ＨＰＡ00013,台電通霄發電廠,通西里,苗栗縣通霄鎮通西里34鄰海濱路1-31號,1.0,894,通霄所,
ＨＰＡ00014,通霄國小禮堂,通東里,苗栗縣通霄鎮通東里23鄰中正路12號,1.0,720,通霄所,
ＨＰＡ00015,大樓,平安里,苗栗縣通霄鎮平安里13鄰中正路249號,1.0,2228,通霄所,
ＨＰＡ00016,公寓,五北里,苗栗縣通霄鎮五北里8鄰中山路68號,1.0,182,通霄所,
ＨＰＡ00018,公寓,五北里,苗栗縣通霄鎮五北里68-4號,1.0,180,通霄所,
ＨＰＡ00021,公寓,新埔里,苗栗縣通霄鎮新埔里7鄰50-1號,1.0,61,埔口所,
ＨＰＡ00026,公寓,二湖村,苗栗縣西湖鄉二湖村8鄰12號,1.0,353,西湖所,
ＨＰＡ00030,公寓,苑港里,苗栗縣苑裡鎮苑港里1鄰6-8號,1.0,49,苑裡所,
ＨＰＡ00032,公寓,新復里,苗栗縣苑裡鎮新復里6鄰68-1號,1.0,44,苑裡所,
ＨＰＡ00033,公寓,新復里,苗栗縣苑裡鎮新復里4鄰50號,1.0,364,苑裡所,
ＨＰＡ00034,公寓,新復里,苗栗縣苑裡鎮新復里8鄰106號,1.0,666,苑裡所,
ＨＰＡ00035,金樂神休閒館,中正里,苗栗縣苑裡鎮中正里13鄰中正路99-5號,1.0,1408,苑裡所,
ＨＰＡ00036,苑裡鎮農會,苑南里,苗栗縣苑裡鎮苑南里10鄰為公路65號,2.0,546,苑裡所,
ＨＰＡ00037,公寓,房裡里,苗栗縣苑裡鎮房裡里1鄰南房1-2號,1.0,81,苑裡所,
ＨＰＡ00038,苑裡鎮公所,客庒里,苗栗縣苑裡鎮客庒里11鄰信義路1號,1.0,685,苑裡所,
ＨＰＡ00039,苑裡鎮公所,客庒里,苗栗縣苑裡鎮客庒里11鄰信義路1號,1.0,742,苑裡所,
ＨＰＡ00040,苑裡鎮公所,客庒里,苗栗縣苑裡鎮客庒里11鄰信義路1號,1.0,206,苑裡所,
ＨＰＡ00041,苑裡鎮公所,客庒里,苗栗縣苑裡鎮客庒里11鄰信義路1號,1.0,10,苑裡所,
ＨＰＡ00042,文武超市,苑南里,苗栗縣苑裡鎮苑南里2鄰建國路11號,1.0,396,苑裡所,
ＨＰＡ00043,李綜合中醫部,客庒里,苗栗縣苑裡鎮客庒里24鄰中華路137號,1.0,1358,苑裡所,
ＨＰＡ00044,公寓,客庒里,苗栗縣苑裡鎮客庒里12鄰中山路32-1號,1.0,526,苑裡所,
ＨＰＡ00045,公寓,苑東里,苗栗縣苑裡鎮苑東里15鄰興隆路20-50號,1.0,520,苑裡所,
ＨＰＡ00046,渣打商銀-苑裡分行,苑南里,苗栗縣苑裡鎮苑南里5鄰為公路19號,1.0,146,苑裡所,
ＨＰＡ00047,公寓,苑東里,苗栗縣苑裡鎮苑東里15鄰興隆路20-50號,1.0,168,苑裡所,
ＨＰＡ00048,大樓,客庒里,苗栗縣苑裡鎮客庒里6鄰58-10號,1.0,742,苑裡所,
ＨＰＡ00049,公寓,客庄里,苗栗縣苑裡鎮客庄里25鄰博愛路86號,1.0,558,苑裡所,
ＨＰＡ00050,公寓,客庄里,苗栗縣苑裡鎮客庄里21鄰75-24號,1.0,276,苑裡所,
ＨＰＡ00051,公寓,苑南里,苗栗縣苑裡鎮苑南里10鄰為公路65號,1.0,546,苑裡所,
ＨＰＡ00052,公寓,西勢里,苗栗縣苑裡鎮西勢里1鄰中山路115號,1.0,22,苑裡所,
ＨＰＡ00053,公寓,苑南里,苗栗縣苑裡鎮苑南里11鄰天下路31號,1.0,302,苑裡所,
ＨＰＡ00054,李綜合醫院,苑南里,苗栗縣苑裡鎮苑南里10鄰和平路165號,1.0,314,苑裡所,
ＨＰＡ00055,大樓,西勢里,苗栗縣苑裡鎮西勢里10鄰忠義街1-1號,1.0,856,苑裡所,
ＨＰＡ00057,文苑國小,房裡里,苗栗縣苑裡鎮房裡里1鄰南房14號,1.0,169,苑裡所,
ＨＰＡ00061,公寓,房裡里,苗栗縣苑裡鎮房裡里1鄰10號,1.0,400,苑裡所,
ＨＰＡ00062,公寓,房裡里,苗栗縣苑裡鎮房裡里6鄰南房69-1號,1.0,208,苑裡所,
ＨＰＡ00064,大樓,房裡里,苗栗縣苑裡鎮房裡里22鄰忠信街146-3號,1.0,746,苑裡所,
ＨＰＡ00068,公寓,中正里,苗栗縣苑裡鎮中正里3鄰86號,1.0,812,苑裡所,
ＨＰＡ00069,中油鐵鉆山礦場,坪頂里,苗栗縣通霄鎮坪頂里15鄰平頂路146號,1.0,670,中和所,
