類別,檔案卡電腦編號,里別,防空疏散避難設施地址,地下層數位址,可容納人數
公寓,WQA00343,景仁里,臺北市文山區景福街23號,1,161.0
公寓,WQA00346,景仁里,臺北市文山區景福街29號,1,168.0
公寓,WQA00358,景仁里,臺北市文山區景福街21巷5號,1,481.0
公寓,WQA00364,景仁里,臺北市文山區景福街3巷13號,1,181.0
公寓,WQA00365,景仁里,臺北市文山區景福街3巷17號,1,181.0
公寓,WQA00366,景仁里,臺北市文山區景福街3巷2號,1,260.0
公寓,WQA00367,景仁里,臺北市文山區景福街3巷21號,1,258.0
公寓,WQA00368,景仁里,臺北市文山區景福街3巷29號,1,102.0
公寓,WQA01077,景仁里,臺北市文山區羅斯福路六段36號,1,481.0
公寓,WQA01100,景仁里,臺北市文山區羅斯福路六段92巷2號,1,144.0
公寓,WQA01132,景仁里,臺北市文山區景福街33號,1,913.0
公寓,WQA01308,景仁里,臺北市文山區羅斯福路六段68號,1,669.0
公寓,WQA00320,景仁里,"臺北市文山區景福街113號 ",1,184.0
公寓,WQA00484,景仁里,臺北市文山區溪口街48號,1,20.0
公寓,WQA00485,景仁里,臺北市文山區溪口街52號,1,66.0
公寓,WQA00487,景仁里,臺北市文山區溪口街64號,1,38.0
公寓,WQA00506,景仁里,臺北市文山區溪口街28巷2號,1,1236.0
公寓,WQA00507,景仁里,臺北市文山區溪口街36巷3號,1,56.0
公寓,WQA00508,景仁里,臺北市文山區溪口街36巷7號,1,149.0
大樓,WQA01083,景仁里,臺北市文山區羅斯福路六段142巷11號,1,2669.0
大樓,WQA01084,景仁里,臺北市文山區羅斯福路六段142巷13號,1,2358.0
大樓,WQA01085,景仁里,臺北市文山區羅斯福路六段142巷13號,1,2329.0
公寓,WQA01089,景仁里,臺北市文山區羅斯福路六段150巷1號,1,56.0
公寓,WQA01144,景仁里,臺北市文山區羅斯福路六段150巷22號,1,413.0
公寓,WQA01229,景仁里,臺北市文山區溪口街76號,1,245.0
公寓,WQA01243,景仁里,臺北市文山區羅斯福路六段166巷8弄2號,1,1009.0
公寓,WQA01280,景仁里,臺北市文山區羅斯福路六段166巷10號,1,264.0
大樓,WQA01319,景仁里,臺北市文山區羅斯福路六段142巷5號,1,13949.0
公寓,WQA01299,景仁里,臺北市文山區羅斯福路六段148號,1,568.0
大樓,WQA01325,景仁里,臺北市文山區羅斯福路六段150巷23號,1,1020.0
大樓,WQA01320,景仁里,臺北市文山區羅斯福路六段146-1號,1,2153.0
大樓,WQA01321,景仁里,"臺北市文山區羅斯福路六段142巷1號       ",1,6946.0
公寓,WQA00193,景仁里,臺北市文山區景仁街20巷14號,1,177.0
公寓,WQA00194,景仁里,臺北市文山區景仁街20巷8號,1,76.0
公寓,WQA01055,景仁里,臺北市文山區羅斯福路六段100號,1,160.0
公寓,WQA01056,景仁里,臺北市文山區羅斯福路六段104號,1,644.0
公寓,WQA01057,景仁里,臺北市文山區羅斯福路六段122號,1,110.0
公寓,WQA01058,景仁里,臺北市文山區羅斯福路六段124號,1,162.0
大樓,WQA01059,景仁里,臺北市文山區羅斯福路六段130號,2,1400.0
大樓,WQA01060,景仁里,臺北市文山區羅斯福路六段136號,4,1525.0
大樓,WQA01061,景仁里,臺北市文山區羅斯福路六段136號,2,2745.0
大樓,WQA01086,景仁里,臺北市文山區羅斯福路六段142巷20弄1號,1,5002.0
大樓,WQA01087,景仁里,臺北市文山區羅斯福路六段142巷20弄1號,2,5002.0
