類別,電腦編號,村里別,地址,地下樓層數,可容納人數,備註
大樓,1.0,埔心里,"中華航空股份有限公司
桃園市大園區埔心里航勤南路15號",1.0,6662.0,
大樓,2.0,埔心里,"長榮航空股份有限公司
桃園市大園區埔心里航勤南路3之1號",1.0,2016.0,
大樓,3.0,埔心里,桃園市大園區埔心里航站北路600巷8號,1.0,652.0,長榮航太科技股份有限公司
大樓,4.0,埔心里,"華航園區股份有限公司
桃園市大園區埔心里航站南路1-1號",1.0,1714.0,
大樓,5.0,埔心里,"長榮航空股份有限公司
桃園市大園區埔心里航勤北路8-5號",1.0,6362.0,
大樓,6.0,埔心里,"長榮空廚股份有限公司
桃園市大園區埔心里航勤北路3號",1.0,11512.0,
大樓,7.0,埔心里,"長榮航勤股份有限公司
桃園市大園區埔心里航站北路608號",1.0,2020.0,
大樓,8.0,埔心里,"長榮航太科技股份有限公司
桃園市大園區埔心里航站南路2號",1.0,3019.0,
大樓,9.0,精忠里,臺北市松山區精忠里25鄰敦化北路340號B1(交通部民用航空局),1.0,548.0,
大樓,10.0,精忠里,臺北市松山區精忠里16鄰敦化北路340之9號B1(臺北國際航空站),1.0,300.0,
大樓,11.0,精忠里,臺北市松山區精忠里16鄰民權東路4段81號,1.0,300.0,中華航空股份有限公司地下B1
大樓,12.0,嘉里村,花蓮縣新城鄉嘉里村機場巷1號B1(航站地下停車場),1.0,26266.0,
大樓,13.0,山東里,高雄市小港區山東里中山四路2號,1.0,207.0,空勤總隊(高雄市小港區飛機路413號對面)
大樓,14.0,山東里,高雄市小港區山東里中山四路2號(高雄市小港區機場段502號),1.0,733.0,飛機維修棚廠
大樓,15.0,大恩里,台南市南區大恩里機場路775號,1.0,600.0,
大樓,16.0,隘門村,"馬公航空站地下室                    澎湖縣湖西鄉126-5號",1.0,500.0,
