建築物名稱,村里別,地址,經緯度,地下樓層數,可容納人數,轄管分局,編號,備註,placemark_address
吳厝國小,九隆里,雲林縣西螺鎮九隆里九隆44號,"23.74972, 120.43686",1.0,98.0,西螺分局,552.0,,"吳厝國小 雲林縣西螺鎮九隆里九隆44號"
長青護理之家,大有村,"雲林縣崙背鄉大有村大有路286號  ","23.75869, 120.30321",1.0,41.0,西螺分局,553.0,,"長青護理之家 雲林縣崙背鄉大有村大有路286號"
國泰人壽保險公司,大園里,"雲林縣西螺鎮大園里大同路58號  ","23.79952, 120.46595",1.0,252.0,西螺分局,554.0,,"國泰人壽保險公司 雲林縣西螺鎮大園里大同路58號"
西螺農工,大園里,"雲林縣西螺鎮大園里大同路4號  ","23.79451, 120.46832",1.0,1449.0,西螺分局,555.0,西螺農工431人、實習工廠-1-157人、樓梯間196人、圖書館171人、實習工廠-2-206人、實習工廠-3-117人、實習工廠-4-171人,"西螺農工 雲林縣西螺鎮大園里大同路4號"
新光人壽保險公司,大園里,"雲林縣西螺鎮大園里光復東路1號  ","23.79792, 120.46665",1.0,290.0,西螺分局,556.0,,"新光人壽保險公司 雲林縣西螺鎮大園里光復東路1號"
巨洲建設有限公司,大園里,"雲林縣西螺鎮大園里光復東路63巷1弄60-1號  ","23.79907, 120.47028",1.0,126.0,西螺分局,557.0,,"巨洲建設有限公司 雲林縣西螺鎮大園里光復東路63巷1弄60-1號"
西螺地政所,中和里,"雲林縣西螺鎮中和里中山路66號  ","23.80024, 120.46242",1.0,132.0,西螺分局,558.0,,"西螺地政所 雲林縣西螺鎮中和里中山路66號"
國光客運西螺站,中和里,雲林縣西螺鎮中和里中山路70號,"23.80012, 120.46221",1.0,221.0,西螺分局,559.0,,"國光客運西螺站 雲林縣西螺鎮中和里中山路70號"
,中興里,"雲林縣西螺鎮中興里西興南路13號  ","23.8001, 120.45544",1.0,687.0,西螺分局,560.0,,"一般住宅 雲林縣西螺鎮中興里西興南路13號"
東南國中,中興里,"雲林縣西螺鎮中興里東南路326號  ","23.80278, 120.45182",1.0,3032.0,西螺分局,561.0,"東南國中290人、中興樓1412人、大仁樓289人、大智樓150人、治寰樓398人、餐廳26人、
光華樓467人","東南國中 雲林縣西螺鎮中興里東南路326號"
文昌國小,中興里,"雲林縣西螺鎮中興里延平路504號  ","23.80023, 120.45208",1.0,200.0,西螺分局,562.0,,"文昌國小 雲林縣西螺鎮中興里延平路504號"
報恩寺,中興里,"雲林縣西螺鎮中興里光復西路432號  ","23.79576, 120.45212",1.0,305.0,西螺分局,563.0,,"報恩寺 雲林縣西螺鎮中興里光復西路432號"
,正興里,"雲林縣西螺鎮光復西路180巷2號 ","23.79685, 120.46017",1.0,408.0,西螺分局,564.0,,"一般住宅 雲林縣西螺鎮光復西路180巷2號"
西螺國中,正興里,"雲林縣西螺鎮正興里興農西路217號  ","23.7923, 120.46054",1.0,744.0,西螺分局,565.0,,"西螺國中 雲林縣西螺鎮正興里興農西路217號"
,光華里,"雲林縣西螺鎮光華里延平路209號  ","23.80084, 120.45851",1.0,408.0,西螺分局,566.0,,"一般住宅 雲林縣西螺鎮光華里延平路209號"
和心農會倉庫,安定里,雲林縣西螺鎮74-36號,"23.81233, 120.4406",1.0,86.0,西螺分局,567.0,本避難位於和心農會倉庫(雲林縣西螺鎮安定里堤防路2號),"和心農會倉庫 雲林縣西螺鎮74-36號"
富國大旅社,東明村,"雲林縣崙背鄉東明村正義路179號  ","23.76113, 120.35738",1.0,33.0,西螺分局,568.0,,"富國大旅社 雲林縣崙背鄉東明村正義路179號"
安定國小,河南里,雲林縣西螺鎮河南里埔心路210號,"23.80127, 120.44057",1.0,444.0,西螺分局,569.0,,"安定國小 雲林縣西螺鎮河南里埔心路210號"
崙背國中,南陽村,"雲林縣崙背鄉南陽村大城路91號  ","23.75793, 120.3491",1.0,1826.0,西螺分局,570.0,,"崙背國中 雲林縣崙背鄉南陽村大城路91號"
二崙鄉公所,崙西村,"雲林縣二崙鄉崙西村中興路5號 ","23.77152, 120.41292",1.0,222.0,西螺分局,571.0,,"二崙鄉公所 雲林縣二崙鄉崙西村中興路5號"
二崙鄉圖書館,崙西村,"雲林縣二崙鄉崙西村中興路5號之1  ","23.77113, 120.41298",1.0,151.0,西螺分局,572.0,,"二崙鄉圖書館 雲林縣二崙鄉崙西村中興路5號之1"
大發市場,崙西村,"雲林縣二崙鄉崙西村民生路145號  ","23.76832, 120.40985",1.0,148.0,西螺分局,573.0,,"大發市場 雲林縣二崙鄉崙西村民生路145號"
匯豐糧食加工廠,崙西村,"雲林縣二崙鄉崙西村中山路392號  ","23.76679, 120.40507",1.0,106.0,西螺分局,574.0,,"匯豐糧食加工廠 雲林縣二崙鄉崙西村中山路392號"
億東企業股份有限公司,崙西村,"雲林縣二崙鄉崙西村中山路357號  ","23.76704, 120.40701",1.0,198.0,西螺分局,575.0,,"億東企業股份有限公司 雲林縣二崙鄉崙西村中山路357號"
東遠碾米工廠,崙西村,"雲林縣二崙鄉崙西村中山路369號  ","23.76689, 120.4068",1.0,66.0,西螺分局,576.0,,"一般住宅 雲林縣二崙鄉崙西村中山路369號"
崙背鄉公所清潔隊,崙前村,"雲林縣崙背鄉崙前村南光路5號  ","23.75902, 120.3532",1.0,110.0,西螺分局,577.0,,"崙背鄉公所清潔隊 雲林縣崙背鄉崙前村南光路5號"
