類別,村里別,地址,緯經度,地下樓層數,可容納人數,轄管分局,備註
民宅,仁德里,基隆市仁愛區愛一路35號,"25.12458 , 121.73802",1.0,368,第一分局,
民宅,仁德里,基隆市仁愛區仁三路86號,"25.1292 , 121.74196",1.0,107,第一分局,
吉祥企業大樓,仁德里,基隆市仁愛區愛三路87號,"25.12943 , 121.74315",1.0,919,第一分局,
民宅,仁德里,基隆市仁愛區愛二路55號,"25.12952 , 121.74217",1.0,24,第一分局,
民宅,仁德里,基隆市仁愛區愛三路116號,"25.12936 , 121.74347",1.0,237,第一分局,
民宅,仁德里,基隆市仁愛區仁二路255號,"25.12975 , 121.74243",1.0,275,第一分局,
民宅,仁德里,基隆市仁愛區愛三路69號,"25.12896 , 121.74279",1.0,156,第一分局,
民宅,仁德里,基隆市仁愛區愛三路65號,"25.12892 , 121.74276",1.0,125,第一分局,
民宅,仁德里,基隆市仁愛區愛一路33號,"25.1294 , 121.74173",1.0,175,第一分局,
民宅,仁德里,基隆市仁愛區愛二路54巷8號,"25.12893 , 121.74264",1.0,247,第一分局,
民宅,仁德里,基隆市仁愛區愛三路118號,"25.12962 , 121.74367",1.0,194,第一分局,
民宅,仁德里,基隆市仁愛區愛三路120號,"25.1297 , 121.74368",1.0,163,第一分局,
民宅,仁德里,基隆市仁愛區愛三路128號,"25.12987 , 121.74378",1.0,148,第一分局,
珍寶大樓,仁德里,基隆市仁愛區愛一路43號,"25.12987 , 121.74195",1.0,408,第一分局,
民宅,仁德里,基隆市仁愛區愛一路23號,"25.12894 , 121.74129",1.0,260,第一分局,
東岸商場,仁德里,基隆市仁愛區仁二路236號,"25.12996 , 121.74321",4.0,4617,第一分局,
民宅,文安里,基隆市仁愛區成功一路14巷20弄7號,"25.12699 , 121.73942",1.0,20,第一分局,
民宅,文安里,基隆市仁愛區精一路22號,"25.12643 , 121.74125",1.0,48,第一分局,
民宅,文安里,基隆市仁愛區精一路26之4號,"25.12634 , 121.74119",1.0,62,第一分局,
民宅,文安里,基隆市仁愛區精一路40之4號,"25.12613 , 121.74102",1.0,76,第一分局,
民宅,文安里,基隆市仁愛區成功一路14巷6號,"25.12728 , 121.73983",1.0,101,第一分局,
金華大飯店,文安里,基隆市仁愛區成功一路9號,"25.1271 , 121.74016",1.0,189,第一分局,
金金商務旅館,文昌里,基隆市仁愛區忠二路58號,"25.1309 , 121.73907",1.0,789,第一分局,
蓮園餐廳,文昌里,基隆市仁愛區忠三路70號,"25.12985 , 121.73846",1.0,246,第一分局,
民宅,文昌里,基隆市仁愛區忠三路68號,"25.12985 , 121.73849",1.0,77,第一分局,
民宅,文昌里,基隆市仁愛區忠二路57號,"25.13051 , 121.73889",1.0,295,第一分局,
民宅,文昌里,基隆市仁愛區孝三路30巷31號,"25.13001 , 121.73957",1.0,26,第一分局,
仁祥診所,文昌里,基隆市仁愛區忠一路20號,"25.1313 , 121.73964",1.0,353,第一分局,
民宅,文昌里,基隆市仁愛區孝四路31之4號,"25.13143 , 121.73951",1.0,38,第一分局,
中華郵政,水錦里,基隆市仁愛區仁二路19號,"25.12744 , 121.7504",1.0,223,第一分局,
銘傳國中,水錦里,基隆市仁愛區劉銘傳路132號,"25.12364 , 121.7502",1.0,50,第一分局,
銘傳國中,水錦里,基隆市仁愛區劉銘傳路132號,"25.12364 , 121.7502",1.0,164,第一分局,
民宅,水錦里,基隆市仁愛區劉銘傳路106號,"25.12482 , 121.75051",1.0,258,第一分局,
民宅,水錦里,基隆市仁愛區劉銘傳路104巷2號,"25.12509 , 121.75054",1.0,158,第一分局,
民宅,水錦里,基隆市仁愛區仁二路5號,"25.12756 , 121.75065",1.0,29,第一分局,
民宅,水錦里,基隆市仁愛區仁一路181號,"25.12801 , 121.75106",1.0,249,第一分局,
民宅,水錦里,基隆市仁愛區劉銘傳路1號,"25.12782 , 121.75101",1.0,647,第一分局,
民宅,水錦里,基隆市仁愛區劉銘傳路62之6號,"25.12619 , 121.7506",1.0,52,第一分局,
