類別,建築物名稱,電腦編號,村里別,地址,緯經度,地下樓層數,可容納人數,備註
一般建築,,MNA00001,頂寮里,嘉義市東區頂寮里南興路145巷7號,"23.46618,120.45872",1.0,20.0,
一般建築,,MNA00003,頂寮里,嘉義市東區頂寮里信興街78巷14號,"23.46527,120.45961",1.0,21.0,
一般建築,,MNA00004,頂寮里,嘉義市東區頂寮里信興街78巷12號,"23.46527,120.45957",1.0,36.0,
一般建築,,MNA00005,頂寮里,嘉義市東區頂寮里信興街78巷10號,"23.46526,120.45953",1.0,21.0,
一般建築,,MNA00006,頂寮里,嘉義市東區頂寮里信興街78巷8號,"23.46525,120.4595",1.0,20.0,
一般建築,,MNA00008,頂寮里,嘉義市東區頂寮里信興街78巷1號,"23.46533,120.45939",1.0,30.0,
一般建築,,MNA00009,頂寮里,嘉義市東區頂寮里南興路81號,"23.46656,120.46012",1.0,36.0,
一般建築,,MNA00010,頂寮里,嘉義市東區頂寮里南興路79號,"23.46656,120.46016",1.0,36.0,
一般建築,,MNA00011,頂寮里,嘉義市東區頂寮里南興路77號,"23.46657,120.4602",1.0,36.0,
一般建築,,MNA00023,頂寮里,嘉義市東區頂寮里頂福街29號,"23.46743,120.45777",1.0,50.0,
一般建築,,MNA00024,頂寮里,嘉義市東區頂寮里頂福街27號,"23.4674,120.4578",1.0,50.0,
一般建築,,MNA00025,頂寮里,嘉義市東區頂寮里頂福街19號,"23.46731,120.45793",1.0,50.0,
一般建築,,MNA00031,安寮里,嘉義市東區安寮里吳鳳南路137號,"23.46923,120.45455",1.0,50.0,
大樓,,MNA00032,安寮里,嘉義市東區安寮里吳鳳南路191號,"23.46851,120.45457",1.0,90.0,
一般建築,,MNA00033,安寮里,嘉義市東區安寮里興業東路86巷10號,"23.46908,120.45606",1.0,36.0,
一般建築,,MNA00034,安寮里,嘉義市東區安寮里南興路188巷5號,"23.46663,120.45692",1.0,26.0,
一般建築,,MNA00035,安寮里,嘉義市東區安寮里吳鳳南路213號之1,"23.46819,120.4546",1.0,44.0,
大樓,,MNA00040,安寮里,嘉義市東區安寮里芳安路337巷22-30號,"23.46743,120.45624",1.0,191.0,
一般建築,,MNA00041,安寮里,嘉義市東區安寮里芳安路349巷20號,"23.46729,120.45585",1.0,41.0,
一般建築,,MNA00042,安寮里,嘉義市東區安寮里芳安路349巷19號,"23.46733,120.45584",1.0,41.0,
一般建築,,MNA00043,安寮里,嘉義市東區安寮里芳安路349巷27號,"23.4673,120.45572",1.0,44.0,
一般建築,,MNA00044,安寮里,嘉義市東區安寮里吳鳳南路155號之1,"23.46905,120.45488",1.0,32.0,
一般建築,,MNA00045,安寮里,嘉義市東區安寮里興業東路32號,"23.46927,120.45491",1.0,57.0,
大樓,,MNA00046,安寮里,嘉義市東區安寮里興業東路20號,"23.46925,120.4547",1.0,174.0,
一般建築,,MNA00047,安寮里,嘉義市東區安寮里芳安路335巷17號,"23.46731,120.45661",1.0,36.0,
公寓大廈,得意人生,MNA00048,安寮里,嘉義市東區安寮里芳安路375巷6號,"23.46766,120.45527",1.0,381.0,
一般建築,,MNA00049,安寮里,嘉義市東區安寮里南興路188巷11號,"23.46684,120.45689",1.0,44.0,
一般建築,,MNA00052,安業里,嘉義市東區安業里吳鳳南路150號,"23.46471,120.45489",1.0,30.0,
一般建築,,MNA00054,安業里,嘉義市東區安業里吳鳳南路140號之3,"23.46488,120.45483",1.0,33.0,
一般建築,,MNA00055,安業里,嘉義市東區安業里吳鳳南路140號之2,"23.46492,120.45482",1.0,46.0,
大樓,,MNA00057,安業里,嘉義市東區安業里吳鳳南路126號,"23.46554,120.45462",1.0,108.0,
公寓大廈,健康生活大樓,MNA00059,安業里,嘉義市東區安業里世賢路四段456巷1號,"23.4652,120.45353",1.0,569.0,
公寓大廈,,MNA00060,安業里,嘉義市東區安業里世賢路四段450號,"23.46507,120.4532",1.0,161.0,
學校,大業國中,MNA00061,安業里,嘉義市東區安業里大業街57號,"23.46246,120.45408",1.0,169.0,
學校,大業國中,MNA00062,安業里,嘉義市東區安業里大業街57號,"23.46246,120.45408",1.0,199.0,
學校,大業國中,MNA00063,安業里,嘉義市東區安業里大業街57號,"23.46246,120.45408",1.0,87.0,
學校,輔仁中學,MNA00065,安業里,嘉義市東區安業里吳鳳南路270號,"23.46068,120.45704",1.0,440.0,
學校,大業國中,MNA00066,安業里,嘉義市東區安業里大業街57號,"23.46246,120.45408",1.0,161.0,
一般建築,,MNA00067,安業里,嘉義市東區安業里吳鳳南路200號,"23.46336,120.45563",1.0,40.0,
