電腦編號,建築物名稱,里別,緯度,經度,避難樓層,容量,轄管分局,備註
A0055,溱濠機械有限公司,湧安里,24.897362,121.200614,B1,50.0,平鎮分局,
A0056,宏嘉電器工業(股)公司,湧安里,24.897205,121.202546,B1,313.0,平鎮分局,
A0059,慶榮發企業(股)公司,湧安里,24.897179,121.200289,B1,71.0,平鎮分局,
A0061,志順企業(股)公司,湧安里,24.897126,121.199805,B1,168.0,平鎮分局,
A0065,祥竑科技(股)公司,湧安里,24.89692,121.2034874,B1,142.0,平鎮分局,
A0066,志順企業(股)公司,湧安里,24.897253,121.203144,B1,191.0,平鎮分局,
A0067,健鼎科技(股)公司,湧安里,24.896663,121.203845,B1,157.0,平鎮分局,
A0069,臺灣厚木工業(股)公司,湧安里,24.897253,121.203144,B1,175.0,平鎮分局,
A0070,平鎮區農會,平南里,,,B1,798.0,平鎮分局,
A0072,仁寶電腦工業(股)公司,南勢里,24.919677,121.21309,B1,3425.0,平鎮分局,
A0074,大潤發,南勢里,24.921006,121.21309,B1,5338.0,平鎮分局,
A0075,技嘉科技(股)公司,金星里,24.920246,121.205564,B1,3881.0,平鎮分局,
A0077,華信光電科技(股)公司,鎮興里,24.900092,121.19229,B1,2245.0,平鎮分局,
A0078,華宇光能(股)公司,鎮興里,24.900092,121.19229,B1B2,1874.0,平鎮分局,
A0079,合信汽車工業(股)公司,鎮興里,24.894112,121.189281,B1,76.0,平鎮分局,
A0080,富奧特公司,鎮興里,24.89626,121.18875,B1,234.0,平鎮分局,
A0081,九泓有限公司,鎮興里,24.896157,121.188127,B1,138.0,平鎮分局,
A0084,美磊科技(股)公司,湧豐里,24.900179,121.199487,B1,750.0,平鎮分局,
A0088,山豐國小,山峰里,24.89644,121.213061,B1,333.0,平鎮分局,
A0089,南勢國小,南勢里,24.913476,121.210641,B1,932.0,平鎮分局,
A0091,凱琦工業(股)公司,平南里,24.906892,121.206499,B1,603.0,平鎮分局,
A0093,裕群光電,平南里,24.907474,121.206384,B1,257.0,平鎮分局,
A0094,快樂斑比幼稚園,平南里,24.908887,121.208145,B1,53.0,平鎮分局,
A0096,亞德光機(股)公司,平南里,24.90869,121.207215,B1,1113.0,平鎮分局,
A0097,東方之星2期社區,金星里,24.913922,121.206513,B1,543.0,平鎮分局,
A0098,東方之星2期社區,金星里,24.914917,121.20649,B1,2524.0,平鎮分局,
A0099,東方之星1期社區,金星里,24.913592,121.2075177,B1,2853.0,平鎮分局,
A0100,平鎮分局,平鎮分局,,,B1,625.0,平鎮分局,
A0102,平鎮幼兒園紹豐分班,湧光里,24.896802,121.209666,B1,55.0,平鎮分局,
A0103,家安幼稚園,湧光里,24.891835,121.204432,B1,534.0,平鎮分局,
A0104,衛肯生技製藥(股)公司,湧安里,24.897108,121.20051,B1,2181.0,平鎮分局,
A0105,宜誠臻邸社區,金星里,24.914555,121.206484,B1B2B3,1890.0,平鎮分局,
A0106,雲鼎社區,平南里,24.913209,121.206095,B1B2,1488.0,平鎮分局,
A0107,臺灣晶技(股)公司,湧安里,24.898504,121.198958,B1,1112.0,平鎮分局,
A0109,美麗殿社區,金星里,24.914063,121.20676,B1B2,1310.0,平鎮分局,
A0110,臺灣晶技(股)公司,湧安里,24.898504,121.198958,B1,650.0,平鎮分局,
A0112,臺灣晶技(股)公司,湧安里,24.898504,121.198958,B1,1605.0,平鎮分局,
A0113,巢世代社區,金星里,24.918033,121.205008,B1B2B3,1071.0,平鎮分局,
A0114,三秀1景社區,湧安里,24.894359,121.201786,B1,789.0,平鎮分局,
A0115,明富臻品社區,平安里,24.920124,121.210664,B1,252.0,平鎮分局,
A0116,四季行館社區,莊敬里,24.903979,121.212052,B1B2,3146.0,平鎮分局,
A0117,全新光電科技(股)公司,湧豐里,24.904942,121.203674,B1,1008.0,平鎮分局,
A0118,耀太心聚社區,金星里,24.915607,121.20688,B1B2,494.0,平鎮分局,
A0119,平鎮育樂有限公司,湧豐里,24.900656,121.2109363,B1,380.0,平鎮分局,
A0120,東京晴社區,平安里,24.918447,121.21025,B1B2,295.0,平鎮分局,
A0121,大清祥安社區,湧安里,24.894416,121.204095,B1B2B3,1565.0,平鎮分局,
A0122,御皇苑社區,平南里,24.912829,121.207174,B1B2,788.0,平鎮分局,
A0123,大清馥御,金星里,24.916402,121.205127,B1B2,1733.0,平鎮分局,
A0124,美活市社區,平安里,24.91945,121.207535,B1B2B3,2530.0,平鎮分局,
A0125,鼎藏悅華社區,金星里,24.915513,121.206378,B1B2B3,945.0,平鎮分局,
A0126,京沅夢想家社區,平安里,24.920726,121.205252,B1B2,1203.0,平鎮分局,
A0127,大清時尚社區,金星里,24.917505,121.205195,B1,173.0,平鎮分局,
A0128,春天行館社區,莊敬里,24.903487,121.212042,B1,2296.0,平鎮分局,
A0129,大清MBA社區,福林里,24.901095,121.224408,B1,1325.0,平鎮分局,
A0130,春天行館社區,莊敬里,24.903377,121.212676,B1B2B3,185.0,平鎮分局,
A0131,如意之星社區,金星里,24.916912,121.202668,B1B2B3,1279.0,平鎮分局,
A0132,幸福公園社區,平南里,24.911046,121.208761,B1B2B3,3060.0,平鎮分局,
A0133,合遠家和雅苑社區,南勢里,24.920485,121.212255,B1B2B3,727.0,平鎮分局,
A0134,皇京圓社區,金星里,24.918185,121.203521,B1B2,195.0,平鎮分局,
A0135,合遠家和心苑社區,南勢里,24.920501,121.212438,B1B2B3,1041.0,平鎮分局,
A0136,茂捷雲耀社區,平鎮里,24.926375,121.19562,B1B2,1614.0,平鎮分局,
A0137,品東西股份有限公司,平南里,24.91842,121.210889,B1,1490.0,平鎮分局,
A0138,京戀社區-葉曼玲,平安里,24.916625,121.208338,B1B2B3,1982.0,平鎮分局,
A0140,騰信工業股份有限公司,平南里,24.906862,121.205538,B1,1293.0,平鎮分局,
A0141,鼎藏樸麗Ⅰ社區,金星里,24.915301,121.20723,B1B2B3,2618.0,平鎮分局,
A0142,臺灣家樂福股份有限公司,莊敬里,24.902636,121.212451,B1B2,3179.0,平鎮分局,
A0143,櫻花時代社區,平南里,24.907782,121.21154,B1B2B3,1072.0,平鎮分局,
A0144,鼎藏璞麗Ⅱ主區,金星里,24.915868,121.205576,B1B2B3,2605.0,平鎮分局,
