"建築物名稱the names of the buildings","電腦編號 serial number",村里別village,"地址 address","緯經度 latitude and longitude","地下樓層數number of basement levels",可容納人數capacity,轄管分局jurisdiction,"備駐 notes"
—,QMA00163,大同里,屏東縣屏東市大同里01鄰中華路33號,"22.67243137913036, 120.48977963936",1,55.0,屏東分局,
屏東縣立體停車場,QMA02067,大同里,屏東縣屏東市大同里04鄰中華路91號,"22.67387767551563, 120.49023128168845",1,1065.0,屏東分局,
台輪旅社,QMA00025,大同里,屏東縣屏東市大同里08鄰民族路159號,"22.670364382698107, 120.48690982586751",1,72.0,屏東分局,
逢甲地下商場,QMA00120,大同里,屏東縣屏東市大同里04鄰逢甲路1號,"22.67114038159905, 120.48890056819576",1,3013.0,屏東分局,
—,QMA00426,大同里,屏東縣屏東市大同里01鄰逢甲路18號,"22.671388781162136, 120.48846413924495",1,22.0,屏東分局,
香港商世界健身事業公司,QMA00442,大同里,屏東縣屏東市大同里01鄰逢甲路60號,"22.670947582304734, 120.48745134109556",1,932.0,屏東分局,
東星飯店,QMA00111,大同里,屏東縣屏東市大同里01鄰光復路18號,"22.670052483364714, 120.48866581052418",1,185.0,屏東分局,
飛馬飯店,QMA00129,大同里,屏東縣屏東市大同里06鄰光復路60號,"22.66983618389733, 120.48712103924503",1,138.0,屏東分局,
光南百貨公司,QMA02041,大同里,屏東縣屏東市大同里01鄰永福路31號,"22.671824281742875, 120.4876728104092",1,173.0,屏東分局,
—,QMA00162,大同里,屏東縣屏東市大同里05鄰福建路87號之1,"22.672872878854772, 120.48956843924512",1,22.0,屏東分局,
永豐銀行/屏東分行,QMA02042,大同里,屏東縣屏東市大同里03鄰復興北路14號,"22.671817280607705, 120.4890537239018",1,196.0,屏東分局,
御東園大樓,QMA01992,大同里,屏東縣屏東市大同里01鄰北平路9號,"22.675656575631823, 120.48896589691671",1,548.0,屏東分局,
—,QMA00183,大同里,屏東縣屏東市大同里03鄰北平路9號之3,"22.675948374721933, 120.4883191969167",1,243.0,屏東分局,
—,QMA00180,大同里,屏東縣屏東市大同里03鄰北平路11號,"22.676046375068807, 120.48798913924506",1,108.0,屏東分局,
屏東市召會,QMA00181,大同里,屏東縣屏東市大同里03鄰北平路36號,"22.676371174599673, 120.4875146392451",1,182.0,屏東分局,
民眾醫院,QMA02174,大同里,屏東縣屏東市大同里03鄰忠孝路120-1號,"22.676314286000533, 120.48760237748444",1,587.0,屏東分局,
成功路變電所,QMA00188,大同里,屏東縣屏東市大同里05鄰成功路191號,"22.675831074420493, 120.486211468081",1,66.0,屏東分局,
屏東警察分局,QMA00377,大同里,屏東縣屏東市大同里02鄰信義路141-3,"22.67472787617311, 120.48747292390192",1,523.0,屏東分局,
農田水利署/屏東管理處,QMA01991,大同里,屏東縣屏東市大同里02鄰信義路143號,"22.67542275556751, 120.48754740670807",1,972.0,屏東分局,
—,QMA00135,大同里,屏東縣屏東市大同里06鄰南昌街1號,"22.66982858386536, 120.48746062575246",1,22.0,屏東分局,
真耶穌基督教會,QMA00139,大同里,屏東縣屏東市大同里03鄰蘇州街1號,"22.672022081500106, 120.48647349691662",1,22.0,屏東分局,
中正國小/東棟,QMA00140,大同里,屏東縣屏東市大同里04鄰蘇州街75號,"22.673681092923967, 120.48740224151267",1,630.0,屏東分局,共有3處、總計可容納人數2008人
中正國小/南棟,QMA00148,大同里,屏東縣屏東市大同里04鄰蘇州街75號,"22.673681092923967, 120.48740224151267",1,911.0,屏東分局,共有3處、總計可容納人數2008人
中正國小/西棟,QMA00154,大同里,屏東縣屏東市大同里04鄰蘇州街75號,"22.673681092923967, 120.48740224151267",1,467.0,屏東分局,共有3處、總計可容納人數2008人
