電腦編號,村里別,地址,經緯度,地下樓層數,可容納人數,轄管分局,備註
1.0,八德里,雲林縣斗六市八德里文化路648號,"23.71383, 120.56115",1.0,482.0,斗六分局,
2.0,八德里,雲林縣斗六市八德里文化路635號,"23.71605, 120.56516",1.0,226.0,斗六分局,
3.0,八德里,雲林縣斗六市八德里文化路635號,"23.71605, 120.56516",1.0,246.0,斗六分局,
4.0,八德里,雲林縣斗六市八德里文化路675號,"23.71826, 120.57127",1.0,106.0,斗六分局,
5.0,十三里,雲林縣斗六市十三里十三北路25號,"23.75262, 120.56675",1.0,50.0,斗六分局,
6.0,三平里,雲林縣斗六市三平里洛陽路155號,"23.71015, 120.53688",1.0,133.0,斗六分局,
7.0,三平里,雲林縣斗六市三平里西平路119巷36號,"23.71036, 120.53552",1.0,264.0,斗六分局,
8.0,三平里,雲林縣斗六市三平里西平路77至79號、1至3號之4,"23.70919, 120.53913",1.0,3169.0,斗六分局,
9.0,三平里,雲林縣斗六市三平里西平路161號,"23.71161, 120.53481",1.0,118.0,斗六分局,
10.0,三平里,雲林縣斗六市三平里西平路209號,"23.71306, 120.53378",1.0,3644.0,斗六分局,
11.0,三平里,雲林縣斗六市三平里上海路160號,"23.71278, 120.53916",1.0,716.0,斗六分局,
12.0,三平里,雲林縣斗六市三平里北平路46巷5之21號,"23.71353, 120.53751",1.0,1317.0,斗六分局,
13.0,三平里,雲林縣斗六市三平里上海路156至170號、漢口路157至161號,"23.71288, 120.53919",1.0,1392.0,斗六分局,
14.0,三平里,雲林縣斗六市三平里延平路6至10號,"23.71184, 120.53964",1.0,370.0,斗六分局,
15.0,三平里,雲林縣斗六市三平里延平路73號,"23.7115, 120.53946",1.0,180.0,斗六分局,
16.0,三平里,斗六市三平里斗六五路31號,"23.71694, 120.53447",1.0,5128.0,斗六分局,
17.0,三平里,雲林縣斗六市三平里6鄰明德北路3段39號,"23.71229, 120.5326",1.0,1425.0,斗六分局,
18.0,久安里,雲林縣斗六市久安里久安路158巷36號,"23.67996, 120.51462",1.0,2313.0,斗六分局,
19.0,久安里,雲林縣斗六市久安里雲林路3段369號,"23.69342, 120.51317",1.0,177.0,斗六分局,
20.0,中和里,雲林縣斗六市中和里太平路235號,"23.70651, 120.53998",1.0,461.0,斗六分局,
21.0,中和里,雲林縣斗六市中和里愛國街149至151號,"23.70851, 120.53848",1.0,176.0,斗六分局,
22.0,中和里,雲林縣斗六市中和里西平路1號,"23.70832, 120.53854",1.0,217.0,斗六分局,
23.0,中和里,雲林縣斗六市中和里雲林路1段170號,"23.70752, 120.53772",1.0,100.0,斗六分局,
24.0,中和里,雲林縣斗六市中和里中華路16號,"23.70918, 120.54218",1.0,428.0,斗六分局,
25.0,中和里,雲林縣斗六市中和里中山路72號,"23.70898, 120.54117",1.0,400.0,斗六分局,
26.0,中和里,雲林縣斗六市中和里中山路89號,"23.70831, 120.54115",1.0,152.0,斗六分局,
27.0,中和里,雲林縣斗六市中和里中山路82號,"23.70816, 120.54068",1.0,849.0,斗六分局,
28.0,中和里,雲林縣斗六市中和里城頂街156號,"23.7066, 120.53935",1.0,138.0,斗六分局,
29.0,中和里,雲林縣斗六市中和里西平路3號,"23.7077, 120.53862",1.0,1885.0,斗六分局,
30.0,仁愛里,雲林縣斗六市仁愛里成功路259號,"23.70765, 120.54763",1.0,800.0,斗六分局,
31.0,仁愛里,雲林縣斗六市仁愛里中華路222號,"23.70846, 120.54732",1.0,350.0,斗六分局,
32.0,仁愛里,雲林縣斗六市仁愛里永樂街138巷8號,"23.70786, 120.54694",1.0,129.0,斗六分局,
33.0,仁愛里,雲林縣斗六市仁愛里城頂街22號,"23.70706, 120.545",1.0,309.0,斗六分局,
34.0,仁愛里,雲林縣斗六市仁愛里成功路102號,"23.70751, 120.54538",1.0,242.0,斗六分局,
35.0,仁愛里,雲林縣斗六市仁愛里中華路100號,"23.70854, 120.54424",1.0,468.0,斗六分局,
36.0,仁愛里,雲林縣斗六市仁愛里成功路120號,"23.70745, 120.54686",1.0,348.0,斗六分局,
37.0,仁愛里,雲林縣斗六市仁愛里成功路120號,"23.70745, 120.54686",1.0,102.0,斗六分局,
38.0,仁愛里,雲林縣斗六市仁愛里成功路120號,"23.70745, 120.54686",1.0,108.0,斗六分局,
39.0,仁愛里,雲林縣斗六市仁愛里成功路120號,"23.70745, 120.54686",1.0,2448.0,斗六分局,
40.0,公正里,雲林縣斗六市公正里6鄰凱旋街56號,"23.70245, 120.54294",1.0,1824.0,斗六分局,
41.0,公正里,雲林縣斗六市公正里1鄰莊敬路347巷30弄11號,"23.7022, 120.54421",1.0,6880.0,斗六分局,
42.0,公正里,雲林縣斗六市公正里11鄰中正路137巷22號,"23.70657, 120.54564",1.0,162.0,斗六分局,
43.0,公正里,雲林縣斗六市公正里15鄰中正路217巷19弄2號,"23.70378, 120.54458",1.0,309.0,斗六分局,
44.0,公正里,雲林縣斗六市公正里12鄰中正路137巷20號,"23.70657, 120.54558",1.0,198.0,斗六分局,
45.0,公正里,雲林縣斗六市公正里17鄰平等街30至36號,"23.70449, 120.54726",1.0,540.0,斗六分局,
46.0,公正里,雲林縣斗六市公正里18鄰中正路217巷37號,"23.70378, 120.54458",1.0,134.0,斗六分局,
47.0,公正里,雲林縣斗六市公正里城頂街11號,"23.70659, 120.54354",1.0,2137.0,斗六分局,
48.0,公正里,雲林縣斗六市公正里17鄰平等街19至33號,"23.70446, 120.54742",1.0,1264.0,斗六分局,
49.0,公正里,雲林縣斗六市公正里16鄰莊敬路216號,"23.69776, 120.52683",1.0,1974.0,斗六分局,
50.0,公正里,雲林縣斗六市公正里中正路212號,"23.70345, 120.54441",1.0,238.0,斗六分局,
51.0,公正里,雲林縣斗六市公正里中正路173號,"23.70508, 120.54454",1.0,1737.0,斗六分局,
52.0,公正里,雲林縣斗六市公正里10鄰中正路21巷52-60號,"23.71013, 120.54466",1.0,1001.0,斗六分局,
53.0,公正里,雲林縣斗六市公正里林北街1號,"23.70467, 120.54391",1.0,1754.0,斗六分局,
54.0,公正里,雲林縣斗六市公正里10鄰利民街16號,"23.70296, 120.55396",1.0,1758.0,斗六分局,
55.0,公正里,雲林縣斗六市公正里1鄰莊敬路345號,"23.7031, 120.54549",1.0,5480.0,斗六分局,
56.0,公正里,雲林縣斗六市公正里9鄰莊敬路111號,"23.70287, 120.54823",1.0,1606.0,斗六分局,
57.0,公正里,雲林縣斗六市公正里莊敬路345號,"23.7031, 120.54549",1.0,5480.0,斗六分局,
58.0,公誠里,雲林縣斗六市公誠里上海路206號、長春路22至26號,"23.71437, 120.54117",1.0,1008.0,斗六分局,
59.0,公誠里,雲林縣斗六市公誠里上海路243至251號、西安街21至23號,"23.71446, 120.53991",1.0,893.0,斗六分局,
60.0,公誠里,雲林縣斗六市公誠里南京路373至377號、長春路48至50號,"23.71446, 120.53991",1.0,765.0,斗六分局,
61.0,公誠里,雲林縣斗六市公誠里漢口路216號,"23.71331, 120.54142",1.0,308.0,斗六分局,
62.0,公誠里,雲林縣斗六市公誠里漢口路199號,"23.71338, 120.54119",1.0,266.0,斗六分局,
63.0,公誠里,雲林縣斗六市公誠里上海路217號,"23.7138, 120.54025",1.0,484.0,斗六分局,
64.0,公誠里,雲林縣斗六市公誠里上海路260巷1-3號,"23.71482, 120.54259",1.0,1702.0,斗六分局,
65.0,公誠里,雲林縣斗六市公誠里鎮北路105號,"23.7146, 120.54285",1.0,1088.0,斗六分局,
66.0,公誠里,雲林縣斗六市公誠里西安街11號之2,"23.71335, 120.54218",1.0,911.0,斗六分局,
67.0,公誠里,雲林縣斗六市公誠里西安街36至42號,"23.71424, 120.54181",1.0,563.0,斗六分局,
68.0,公誠里,雲林縣斗六市公誠里漢口路196號,"23.71272, 120.54066",1.0,382.0,斗六分局,
69.0,公誠里,雲林縣斗六市公誠里22鄰內環路495號,"23.71086, 120.5453",1.0,476.0,斗六分局,
70.0,公誠里,雲林縣斗六市公誠里北平路95號,"23.71508, 120.53881",1.0,429.0,斗六分局,
71.0,公誠里,雲林縣斗六市公誠里北平路177號,"23.71661, 120.54121",1.0,678.0,斗六分局,
72.0,公誠里,雲林縣斗六市公誠里北平路95號,"23.71508, 120.53881",1.0,920.0,斗六分局,
73.0,公誠里,雲林縣斗六市公誠里北平路95號,"23.71508, 120.53881",1.0,1225.0,斗六分局,
74.0,公誠里,雲林縣斗六市公誠里上海路222號之1,"23.71405, 120.54103",1.0,566.0,斗六分局,
75.0,太平里,雲林縣斗六市太平里成功路42巷14號,"23.70759, 120.54236",1.0,222.0,斗六分局,
76.0,太平里,雲林縣斗六市太平里城頂街90號,"23.70741, 120.54196",1.0,122.0,斗六分局,
77.0,太平里,雲林縣斗六市太平里城頂街47號,"23.70668, 120.54367",1.0,316.0,斗六分局,
