編號,地址,可容納人數,經度,緯度,里別,避難所在之地下樓層數,轄管分局
1.0,臺中市潭子區頭家里14鄰和平路33巷18號,763.0,120.697269,24.195698,頭家里,1.0,大雅分局
2.0,臺中市潭子區頭家里16鄰得福街185號,3644.0,120.696267,24.195912,頭家里,1.0,大雅分局
3.0,臺中市潭子區福仁里24鄰大新路1之24號,749.0,120.70435,24.20971,福仁里,1.0,大雅分局
4.0,臺中市潭子區福仁里18鄰興華一路141巷30號,1328.0,120.70178,24.20685,福仁里,1.0,大雅分局
5.0,臺中市潭子區頭家里2鄰得天街26號,35.0,120.701606,24.194742,頭家里,1.0,大雅分局
6.0,臺中市潭子區頭家里2鄰頭張路一段22巷19號,22.0,120.701606,24.194742,頭家里,1.0,大雅分局
7.0,臺中市潭子區頭家里2鄰頭張路一段22巷21號,22.0,120.701606,24.194742,頭家里,1.0,大雅分局
8.0,臺中市潭子區頭家里2鄰頭張路一段22巷25號,22.0,120.701606,24.194742,頭家里,1.0,大雅分局
9.0,臺中市潭子區福仁里10鄰合作街38巷61號,1422.0,120.709171,24.204045,福仁里,1.0,大雅分局
10.0,臺中市潭子區聚興里3鄰潭興路一段165巷300號,2179.0,120.717735,24.19676,聚興里,1.0,大雅分局
11.0,臺中市潭子區聚興里3鄰潭興路一段165巷320號,3403.0,120.716679,24.19441,聚興里,1.0,大雅分局
12.0,臺中市潭子區頭家里2鄰頭張路一段22巷23號,22.0,120.701606,24.194742,頭家里,1.0,大雅分局
13.0,臺中市潭子區頭家里2鄰頭張路一段22巷29號,22.0,120.701606,24.194742,頭家里,1.0,大雅分局
14.0,臺中市潭子區頭家里2鄰頭張路一段22巷31號,22.0,120.701606,24.194742,頭家里,1.0,大雅分局
15.0,臺中市潭子區頭家里2鄰得天街18號,39.0,120.701606,24.194742,頭家里,1.0,大雅分局
16.0,臺中市潭子區頭家里2鄰得天街20號,38.0,120.701606,24.194742,頭家里,1.0,大雅分局
17.0,臺中市潭子區頭家里2鄰得天街22號,39.0,120.701606,24.194742,頭家里,1.0,大雅分局
18.0,臺中市潭子區福仁里17鄰中山路二段31號,903.0,120.7037,24.20249,福仁里,1.0,大雅分局
19.0,臺中市潭子區頭家里2鄰得天街24號,39.0,120.701606,24.194742,頭家里,1.0,大雅分局
20.0,臺中市潭子區頭家里2鄰得天街14號,38.0,120.70087,24.19692,頭家里,1.0,大雅分局
21.0,臺中市潭子區頭家里2鄰得天街16號,39.0,120.70082,24.19545,頭家里,1.0,大雅分局
22.0,臺中市潭子區頭家里2鄰頭張路一段34號,36.0,120.70155,24.19451,頭家里,1.0,大雅分局
23.0,臺中市潭子區頭家里2鄰頭張路一段36號,37.0,120.70048,24.1944,頭家里,1.0,大雅分局
24.0,臺中市潭子區頭家里2鄰頭張路一段38號,37.0,120.70048,24.1944,頭家里,1.0,大雅分局
