地址,可容納人數,經度,緯度,避難所在之地下樓層數,編號,村里別,轄區分局
臺中市太平區長億里3鄰長億路1號,81.0,"120.720933 ","24.119185 ",B01,LA00001,長億里,太平分局
臺中市太平區永成里3鄰長億路4號,33.0,120.720724,24.119274,B01,LA00002,永成里,太平分局
臺中市太平區永成里3鄰長億路6號,100.0,120.720676,24.119237,B01,LA00003,永成里,太平分局
臺中市太平區永成里3鄰長億路8號,132.0,120.720656,24.119209,B01,LA00004,永成里,太平分局
臺中市太平區長億里3鄰長億路19號,245.0,120.720404,24.118742,B01,LA00005,長億里,太平分局
臺中市太平區永成里3鄰長億路24號,37.0,120.720182,24.118802,B01,LA00006,永成里,太平分局
臺中市太平區長億里9鄰長億路65號,10.0,120.719083,24.117619,B01,LA00007,長億里,太平分局
臺中市太平區長億里9鄰長億路67號,10.0,120.71906,24.117599,B01,LA00008,長億里,太平分局
臺中市太平區長億里9鄰長億路69號,10.0,120.719026,24.117569,B01,LA00009,長億里,太平分局
臺中市太平區長億里9鄰長億路75號,10.0,120.718991,24.117543,B01,LA00010,長億里,太平分局
臺中市太平區長億里9鄰長億路77號,10.0,120.718958,24.117510,B01,LA00011,長億里,太平分局
臺中市太平區長億里9鄰長億路79號,10.0,120.718923,24.117482,B01,LA00012,長億里,太平分局
臺中市太平區長億里9鄰長億路81號,10.0,120.718886,24.117451,B01,LA00013,長億里,太平分局
臺中市太平區長億里9鄰長億路83號,10.0,120.718856,24.117423,B01,LA00014,長億里,太平分局
臺中市太平區長億里9鄰長億路85號,10.0,120.718824,24.117399,B01,LA00015,長億里,太平分局
臺中市太平區長億里9鄰長億路87號,10.0,120.718797,24.117380,B01,LA00016,長億里,太平分局
臺中市太平區長億里9鄰長億路89號,10.0,120.718778,24.117353,B01,LA00017,長億里,太平分局
臺中市太平區長億里9鄰長億路91號,10.0,120.718729,24.117322,B01,LA00018,長億里,太平分局
臺中市太平區中興里2鄰東平路669號,77.0,120.714699,24.133186,B01,LA00019,中興里,太平分局
臺中市太平區中興里2鄰東平路715巷6號,58.0,120.713667,24.132910,B01,LA00020,中興里,太平分局
臺中市太平區太平里28鄰永義路235巷2號,64.0,120.710964,24.125696,B01,LA00021,太平里,太平分局
臺中市太平區太平里17鄰太平路529號,16.0,120.713486,24.125179,B01,LA00024,太平里,太平分局
臺中市太平區太平里30鄰太平路751號,14.0,120.708709,24.128075,B01,LA00025,太平里,太平分局
臺中市太平區太平里30鄰太平路753號,14.0,120.708668,24.128098,B01,LA00026,太平里,太平分局
臺中市太平區太平里30鄰太平路755號,14.0,120.708636,24.128122,B01,LA00027,太平里,太平分局
臺中市太平區太平里30鄰太平路757號,14.0,120.708603,24.128143,B01,LA00028,太平里,太平分局
臺中市太平區太平里30鄰太平路759號,14.0,120.708562,24.128164 ,B01,LA00029,太平里,太平分局
臺中市太平區太平里30鄰太平路761號,14.0,120.708525,24.128192,B01,LA00030,太平里,太平分局
臺中市太平區太平里30鄰太平路763號,14.0,120.708489,24.128211,B01,LA00031,太平里,太平分局
臺中市太平區太平里21鄰永平路3段1號,18.0,120.708323,24.128049,B01,LA00032,太平里,太平分局
臺中市太平區太平里21鄰永平路3段3號,14.0,120.708294,24.128006,B01,LA00033,太平里,太平分局
臺中市太平區中興里11鄰中興路78號,110.0,120.716402,24.127868,B01,LA00034,中興里,太平分局
臺中市太平區中興里11鄰中興路118號之1,13.0,120.715126,24.127026,B01,LA00035,中興里,太平分局
臺中市太平區中興里11鄰中興路118號之2,13.0,120.715093,24.127005,B01,LA00036,中興里,太平分局
臺中市太平區中興里13鄰太平路570號,25.0,120.713151,24.125765,B01,LA00037,中興里,太平分局
臺中市太平區中興里13鄰太平路572號,21.0,120.713103,24.125762,B01,LA00038,中興里,太平分局
臺中市太平區中興里13鄰太平路576號,16.0,120.713071,24.125768,B01,LA00039,中興里,太平分局
臺中市太平區中興里14鄰太平路658號,44.0,120.711962,24.127063,B01,LA00040,中興里,太平分局
臺中市太平區中興里15鄰太平路676號,150.0,120.711167,24.127915,B01,LA00041,中興里,太平分局
臺中市太平區中興里19鄰永平路2段535巷46號,24.0,120.709663,24.128585,B01,LA00042,中興里,太平分局
臺中市太平區中興里15鄰太平路766號,68.0,120.709741,24.127687,B01,LA00043,中興里,太平分局
臺中市太平區中興里15鄰太平路772號,45.0,120.709641,24.127747,B01,LA00044,中興里,太平分局
臺中市太平區中興里15鄰太平路850號,16.0,120.70815,24.128657,B01,LA00045,中興里,太平分局
臺中市太平區成功里7鄰中興東路328號,14.0,120.725664,24.133283,B01,LA00046,成功里,太平分局
臺中市太平區永平里5鄰中興東路27號,418.0,120.719997,24.130159,B01,LA00047,永平里,太平分局
臺中市太平區永平里5鄰中興東路35號,25.0,120.720226,24.130291,B01,LA00048,永平里,太平分局
臺中市太平區永平里4鄰中興東路185號,54.0,120.722850,24.131866,B01,LA00049,永平里,太平分局
臺中市太平區永平里5鄰中平路75號,516.0,120.719210,24.130627,B01,LA00050,永平里,太平分局
臺中市太平區成功里12鄰成功東路213號,12.0,120.722963,24.129760,B01,LA00051,成功里,太平分局
臺中市太平區永平里5鄰中平路112號,27.0,120.718466,24.129342,B01,LA00053,永平里,太平分局
臺中市太平區太平里27鄰新仁路1段86號,28.0,120.705273,24.111693,B01,LA00054,太平里,太平分局
臺中市太平區太平里27鄰新仁路1段22巷9號,100.0,120.707986,24.112388,B01,LA00055,太平里,太平分局
臺中市太平區太平里16鄰永成路112號,78.0,120.710397,24.115459,B01,LA00056,太平里,太平分局
臺中市太平區中政里10鄰中平路144號,378.0,120.718380,24.126553,B01,LA00057,中政里,太平分局
臺中市太平區中政里4鄰中興路53號,46.0,120.716709,24.127810,B01,LA00058,中政里,太平分局
臺中市太平區中平里16鄰中平七街27巷9號,1063.0,120.719428,24.126235,B01,LA00059,中平里,太平分局
臺中市太平區中平里16鄰中平七街27巷23號,417.0,120.719528,24.126302,B01,LA00060,中平里,太平分局
臺中市太平區東平里14鄰中和街93號,14.0,120.722590,24.135590,B01,LA00061,東平里,太平分局
臺中市太平區東平里14鄰中和街95號,14.0,120.722619,24.135619,B01,LA00062,東平里,太平分局
臺中市太平區東平里14鄰中和街97號,14.0,120.722644,24.135653,B01,LA00063,東平里,太平分局
臺中市太平區東平里14鄰中和街99號,14.0,120.722671,24.135692,B01,LA00064,東平里,太平分局
臺中市太平區東平里14鄰中和街101號,13.0,120.722701,24.135719,B01,LA00065,東平里,太平分局
臺中市太平區東平里14鄰中和街103號,13.0,120.722730,24.135751,B01,LA00066,東平里,太平分局
臺中市太平區太平里5鄰永豐路51號,70.0,120.712807,24.123928,B01,LA00067,太平里,太平分局
臺中市太平區太平里8鄰太平路397號,22.0,120.716564,24.124259,B01,LA00068,太平里,太平分局
臺中市太平區太平里8鄰太平路405號,20.0,120.716411,24.124316,B01,LA00069,太平里,太平分局
臺中市太平區太平里8鄰太平路399號,22.0,120.716526,24.124268,B01,LA00070,太平里,太平分局
臺中市太平區太平里8鄰太平路395號,22.0,120.716590,24.124238,B01,LA00071,太平里,太平分局
臺中市太平區太平里8鄰太平路411號,23.0,120.716301,24.124365,B01,LA00073,太平里,太平分局
臺中市太平區太平里8鄰太平路413號,22.0,120.716259,24.124386,B01,LA00074,太平里,太平分局
臺中市太平區太平里8鄰太平路415號,22.0,120.716221,24.124402,B01,LA00075,太平里,太平分局
臺中市太平區太平里8鄰太平路417號,23.0,120.716180,24.124413,B01,LA00076,太平里,太平分局
臺中市太平區太平里8鄰太平路401號,22.0,120.716482,24.124295,B01,LA00078,太平里,太平分局
臺中市太平區太平里8鄰太平路403號,20.0,120.716453,24.124301,B01,LA00079,太平里,太平分局
臺中市太平區太平里15鄰永豐路209巷9號,34.0,120.709122,24.119616,B01,LA00080,太平里,太平分局
臺中市太平區太平里15鄰永豐路195巷3號,47.0,120.709436,24.120435,B01,LA00081,太平里,太平分局
臺中市太平區太平里15鄰永豐路195巷1號,28.0,120.708971,24.120435,B01,LA00082,太平里,太平分局
臺中市太平區太平里5鄰中南路27號,29.0,120.714797,24.124162,B01,LA00083,太平里,太平分局
臺中市太平區太平里14鄰合利街13號,71.0,120.706717,24.124248,B01,LA00084,太平里,太平分局
臺中市太平區太平里12鄰永豐路87號,716.0,120.711704,24.123257,B01,LA00085,太平里,太平分局
臺中市太平區建興里8鄰鵬儀路368號,82.0,120.730539,24.127802,B01,LA00087,建興里,太平分局
臺中市太平區建國里14鄰鵬儀路294號,70.0,120.726503,24.124061,B01,LA00088,建國里,太平分局
臺中市太平區建國里11鄰鵬儀路287號,70.0,120.726891,24.124645,B01,LA00089,建國里,太平分局
臺中市太平區建國里11鄰鵬儀路289號,40.0,120.727070,24.124871,B01,LA00090,建國里,太平分局
