類別,電腦編號,地址,村里別,地下樓數,可容納人數,備註
公寓,西華001,基隆市中山區西華里17鄰西定路166號,西華里,1.0,152.0,
公寓,西華002,基隆市中山區西華里17鄰西定路166號,西華里,1.0,53.0,
公寓,德和003,基隆市中山區德和里11鄰復興路212巷19弄2之3號,德和里,1.0,476.0,
公寓,西康004,基隆市中山區西康里15鄰復興路29之1號,西康里,1.0,42.0,
公寓,西康005,基隆市中山區西康里15鄰復興路27之4號,西康里,1.0,107.0,
公寓,西華003,基隆市中山區西華里2鄰西定路102號,西華里,1.0,48.0,
公寓,西華004,基隆市中山區西華里12鄰西定路130號,西華里,1.0,139.0,
公寓,西康001,基隆市中山區西康里16鄰復興路36號,西康里,1.0,26.0,
公寓,西榮001,基隆市中山區西榮里8鄰西定路46號,西榮里,1.0,53.0,
公寓,西康002,基隆市中山區西康里8鄰復興路12號,西康里,1.0,55.0,
公寓,德和001,基隆市中山區德和里24鄰復興路230巷22弄8號,德和里,1.0,153.0,
公寓,德和002,基隆市中山區德和里24鄰復興路230巷24弄2號,德和里,1.0,153.0,
公寓,德和003,基隆市中山區德和里24鄰復興路230巷24弄1號,德和里,1.0,153.0,
公寓,德和004,基隆市中山區德和里24鄰復興路230巷22弄1號,德和里,1.0,153.0,
公寓,西康003,基隆市中山區西康里5鄰西定路423巷9號,西康里,1.0,125.0,
公寓,西榮002,基隆市中山區西榮里7鄰西定路43號,西榮里,1.0,22.0,
公寓,西康004,基隆市中山區西康里5鄰西定路423巷12號,西康里,1.0,112.0,
公寓,西定001,基隆市中山區西定里2鄰西定路230號,西定里,1.0,1123.0,
公寓,中興001,基隆市中山區中興里3鄰中山二路53號,中興里,1.0,343.0,
公寓,民治001,基隆市中山區民治里16鄰中山一路291巷15號,民治里,1.0,137.0,
台電協和電廠,協和001,基隆市中山區協和里9鄰文化路80號,協和里,1.0,583.0,
公寓,安民001,基隆市中山區安民里4鄰安一路75之2號,安民里,1.0,176.0,
公寓,健民001,基隆市中山區健民里7鄰健民街14巷11弄6之1號,健民里,1.0,146.0,
公寓,文化001,基隆市中山區文化里9鄰文化路60之1號,文化里,1.0,55.0,
公寓,民治002,基隆市中山區民治里2鄰中山一路219之1號,民治里,1.0,22.0,
公寓,健民002,基隆市中山區健民里18鄰健民街14巷12之1號,健民里,1.0,77.0,
公寓,安民002,基隆市中山區安民里1鄰新民路28巷1號,安民里,1.0,20.0,
公寓,仁正001,基隆市中山區仁正里中山二路105巷144號,仁正里,1.0,336.0,
公寓,安民003,基隆市中山區安民里5鄰安一路84號,安民里,1.0,17.0,
公寓,中興002,基隆市中山區中興里13鄰華興街285巷10號,中興里,1.0,1316.0,
公寓,中興002,基隆市中山區中興里6鄰中山二路21號,中興里,1.0,38.0,
公寓,安民004,基隆市中山區安民里18鄰新民路27號,安民里,1.0,41.0,
公寓,中興003,基隆市中山區中興里19鄰中山二路1巷7之1號等,中興里,1.0,81.0,
港務局,和平001,基隆市中山區和平里4鄰中山三路26號,和平里,1.0,306.0,
港務局水手房,和平002,基隆市中山區和平里5鄰中山三路47號,和平里,1.0,85.0,
公寓,安民005,基隆市中山區安民里4鄰安一路79號,安民里,1.0,37.0,
公寓,安民006,基隆市中山區安民里4鄰安一路81號,安民里,1.0,79.0,
公寓,文化002,基隆市中山區文化里5鄰文化路185號,文化里,1.0,101.0,
公寓,文化003,基隆市中山區文化里5鄰文化路189號,文化里,1.0,102.0,
公寓,文化004,基隆市中山區文化里5鄰文化路193之2號,文化里,1.0,101.0,
公寓,安民007,基隆市中山區安民里3鄰安一路99號,安民里,1.0,93.0,
仙洞國小,仙洞001,基隆市中山區仙洞里12鄰仁安街141號,仙洞里,1.0,220.0,
公寓,太白002,基隆市中山區太白里1鄰中山四路1號,太白里,1.0,465.0,
台電公司,協和002,基隆市中山區協和里12鄰文化路50巷1弄1號,協和里,1.0,647.0,
公寓,健民003,基隆市中山區健民里18鄰健民街14巷10號,健民里,2.0,42.0,
公寓,和平003,基隆市中山區和平里5鄰中山三路103巷2號,和平里,1.0,105.0,
公寓,安民008,基隆市中山區安一路55之4號5樓,安民里,1.0,23.0,
