電腦編號,建築物名稱,里別,緯度,經度,避難樓層,容量,轄管分局,備註
EQA00001,楊明國中,大同里,24.910633,121.154889,5,5595.0,楊梅分局,
EQA00002,大同國小,大同里,24.909747,121.147025,B1,755.0,楊梅分局,
EQA00003,楊梅國小,紅梅里,24.905486,121.142519,B1,1540.0,楊梅分局,
EQA00004,私人住宅,紅梅里,24.906102,121.140908,B1,93.0,楊梅分局,
EQA00005,私人住宅,紅梅里,24.908019,121.141002,B1,322.0,楊梅分局,
EQA00006,楊梅天下社區,紅梅里,24.906085,121.145768,B1,668.0,楊梅分局,
EQA00007,私人住宅,紅梅里,24.904484,121.140313,B1,406.0,楊梅分局,
EQA00008,私人住宅,紅梅里,24.904889,121.143865,B1,320.0,楊梅分局,
EQA00009,私人住宅,楊江里,24.908934,121.146722,B1,1607.0,楊梅分局,
EQA00010,私人住宅,楊江里,24.910386,121.142543,B1,38.0,楊梅分局,
EQA00011,楊梅區公所,楊江里,24.907738,121.146235,B1,172.0,楊梅分局,
EQA00013,楊梅農會,楊梅里,,,B1,664.0,楊梅分局,
EQA00015,私人住宅,楊梅里,24.913157,121.142516,B1,143.0,楊梅分局,
EQA00018,公賣局楊梅分局,水美里,24.914788,121.141781,B1,152.0,楊梅分局,
EQA00019,私人住宅,大平里,24.899631,121.138807,B1,71.0,楊梅分局,
EQA00020,私人住宅,秀才里,24.896411,121.139319,B1,93.0,楊梅分局,
EQA00021,私人住宅,秀才里,24.895136,121.135706,B1,190.0,楊梅分局,
EQA00022,新美光朔膠廠,秀才里,24.886705,121.121116,B1,222.0,楊梅分局,
EQA00024,中興紡織廠,大平里,24.904192,121.126589,B1,884.0,楊梅分局,
EQA00026,東方窯業公司,大平里,24.91182,121.131672,B1,84.0,楊梅分局,
EQA00027,揚昇育樂事業,永寧里,24.893445,121.145584,B1,10275.0,楊梅分局,
EQA00028,私人住宅,永寧里,24.902108,121.141269,B1,286.0,楊梅分局,
EQA00031,物流共和國,上田里,24.946218,121.134403,B1,236.0,楊梅分局,
EQA00033,私人住宅,梅新里,24.906529,121.145947,B1,311.0,楊梅分局,
EQA00034,新光人壽大樓,楊梅里,24.912184,121.146807,B1,176.0,楊梅分局,
EQA00036,怡仁醫院-1,大同里,24.917024,121.153388,B1,6355.0,楊梅分局,
EQA00037,楊梅佳醫護之家,裕新里,24.901576,121.158872,B1,841.0,楊梅分局,
EQA00038,私人住宅,裕新里,24.898952,121.157967,B2,1947.0,楊梅分局,
EQA00040,私人住宅,大同里,24.910229,121.150861,B1,152.0,楊梅分局,
EQA00041,東電化活動中心,中山里,24.907318,121.151377,B1,566.0,楊梅分局,
EQA00043,私人住宅,中山里,24.909519,121.148219,B1,188.0,楊梅分局,
EQA00044,私人住宅,中山里,24.9099,121.151827,B1,884.0,楊梅分局,
EQA00045,鑫盛工業,中山里,24.90534,121.149216,B1,1437.0,楊梅分局,
EQA00047,私人住宅,中山里,24.908787,121.147575,B1,647.0,楊梅分局,
EQA00048,私人住宅,大同里,24.911742,121.148781,B1,117.0,楊梅分局,
EQA00051,私人住宅,埔心里,24.918793,121.182676,B1,42.0,楊梅分局,
EQA00052,私人住宅,埔心里,24.919287,121.182601,B1,30.0,楊梅分局,
EQA00053,私人住宅,埔心里,24.918946,121.182664,B1,12.0,楊梅分局,
EQA00057,瑞埔國小,埔心里,24.916482,121.18334,B1,464.0,楊梅分局,
EQA00058,私人住宅,埔心里,24.918383,121.182009,B1,13.0,楊梅分局,
EQA00059,私人住宅,埔心里,24.91842,121.181991,B1,38.0,楊梅分局,
EQA00062,私人住宅,埔心里,24.919862,121.182511,B1,20.0,楊梅分局,
EQA00063,私人住宅,埔心里,24.919456,121.182538,B1,21.0,楊梅分局,
EQA00064,草湳派出所,埔心里,,,B1,48.0,楊梅分局,
EQA00066,私人住宅,埔心里,24.918451,121.18066,B1,21.0,楊梅分局,
EQA00067,私人住宅,埔心里,24.919198,121.182021,B1,26.0,楊梅分局,
