編號,村里別,地址,避難所在之地下樓層數,可容納人數,轄區分局,經度,緯度
1.0,西安里,臺中市西屯區西安里西安街18巷31號,1.0,40.0,第六分局,"120.641634 ","24.181121 "
2.0,西安里,臺中市西屯區西安里西安街18巷33號,1.0,40.0,第六分局,"120.641623 ","24.181201 "
3.0,西安里,臺中市西屯區西安里西安街18巷3號,1.0,40.0,第六分局,"120.641139 ","24.181144 "
4.0,西安里,臺中市西屯區西安里西安街18巷46號,1.0,40.0,第六分局,"120.641564 ","24.180734 "
5.0,西安里,臺中市西屯區西安里西安街18巷4號,1.0,40.0,第六分局,"120.640942 ","24.180996 "
6.0,西安里,臺中市西屯區西安里西安街18巷5號,1.0,40.0,第六分局,"120.641147 ","24.181107 "
7.0,西安里,臺中市西屯區西安里西安街18巷6號,1.0,40.0,第六分局,"120.641002 ","24.180933 "
8.0,西安里,臺中市西屯區西安里西安街18巷8號,1.0,40.0,第六分局,"120.641025 ","24.180893 "
9.0,西安里,臺中市西屯區西安里西安街18巷9號,1.0,40.0,第六分局,"120.641170 ","24.181021 "
10.0,西安里,臺中市西屯區西安里西安街79號,1.0,30.0,第六分局,"120.642092 ","24.181604 "
11.0,西安里,臺中市西屯區西安里西安街81號,1.0,30.0,第六分局,"120.642144 ","24.181608 "
12.0,西安里,臺中市西屯區西安里西安街85號,1.0,30.0,第六分局,"120.642234 ","24.181602 "
13.0,西安里,臺中市西屯區西安里西安街89號,1.0,30.0,第六分局,"120.642320 ","24.181626 "
14.0,西墩里,臺中市西屯區西墩里青海南街263號,,149.0,第六分局,"120.635366 ","24.176710 "
15.0,西墩里,臺中市西屯區西墩里黎明路三段192巷9弄5號,1.0,26.0,第六分局,"120.637832 ","24.178391 "
16.0,何安里,臺中市西屯區何安里何厝街29號,,185.0,第六分局,"120.653903 ","24.161565 "
17.0,逢甲里,臺中市西屯區逢甲里寶慶街33號,1.0,40.0,第六分局,"120.647622 ","24.170832 "
18.0,逢甲里,臺中市西屯區逢甲里寶慶街18巷28號,1.0,1073.0,第六分局,"120.648635 ","24.171099 "
19.0,逢甲里,臺中市西屯區逢甲里寶慶街50巷17號,2.0,800.0,第六分局,"120.647233 ","24.172139 "
20.0,逢甲里,臺中市西屯區逢甲里文華路7-3號,1.0,60.0,第六分局,"120.644982 ","24.175654 "
21.0,逢甲里,臺中市西屯區逢甲里文華路7-5號,1.0,160.0,第六分局,"120.645031 ","24.175719 "
22.0,逢甲里,臺中市西屯區逢甲里文華路9-10號,1.0,40.0,第六分局,"120.645197 ","24.175870 "
23.0,逢甲里,臺中市西屯區逢甲里文華路9-11號,1.0,50.0,第六分局,"120.645216 ","24.175909 "
24.0,逢甲里,臺中市西屯區逢甲里文華路9-5號,1.0,40.0,第六分局,"120.645165 ","24.175837 "
25.0,逢甲里,臺中市西屯區逢甲里文華路9-8號,1.0,30.0,第六分局,"120.645121 ","24.175861 "
26.0,逢甲里,臺中市西屯區逢甲里文華路9號,1.0,40.0,第六分局,"120.645134 ","24.175813 "
27.0,逢甲里,臺中市西屯區逢甲里文華路正煌巷10號,1.0,40.0,第六分局,"120.645048 ","24.174797 "
28.0,逢甲里,臺中市西屯區逢甲里文華路正煌巷12號,1.0,120.0,第六分局,"120.645050 ","24.174759 "
29.0,逢甲里,臺中市西屯區逢甲里文華路正煌巷2號,1.0,40.0,第六分局,"120.644919 ","24.174899 "
30.0,逢甲里,臺中市西屯區逢甲里文華路正煌巷4號,1.0,40.0,第六分局,"120.644954 ","24.174876 "
31.0,逢甲里,臺中市西屯區逢甲里文華路正煌巷6號,1.0,40.0,第六分局,"120.644972 ","24.174827 "
32.0,逢甲里,臺中市西屯區逢甲里文華路正煌巷8號,1.0,40.0,第六分局,"120.645003 ","24.174800 "
33.0,逢甲里,臺中市西屯區逢甲里西屯路二段270巷1號,1.0,120.0,第六分局,"120.644834 ","24.174385 "
34.0,逢甲里,臺中市西屯區逢甲里西屯路二段272-14號,1.0,73.0,第六分局,"120.644401 ","24.175176 "
35.0,逢甲里,臺中市西屯區逢甲里西屯路二段282-22號,1.0,40.0,第六分局,"120.643479 ","24.176739 "
36.0,逢甲里,臺中市西屯區逢甲里西屯路二段282-23號,1.0,40.0,第六分局,"120.643443 ","24.176760 "
37.0,逢甲里,臺中市西屯區逢甲里西屯路二段282-24號,1.0,40.0,第六分局,"120.643410 ","24.176787 "
38.0,逢甲里,臺中市西屯區逢甲里西屯路二段282-25號,1.0,40.0,第六分局,"120.643387 ","24.176824 "
39.0,逢甲里,臺中市西屯區逢甲里文華路永新巷南二弄17號,1.0,40.0,第六分局,"120.644859 ","24.176418 "
40.0,逢甲里,臺中市西屯區逢甲里文華路永新巷南二弄18號,1.0,40.0,第六分局,"120.644929 ","24.176193 "
41.0,逢甲里,臺中市西屯區逢甲里文華路永新巷南二弄20號,1.0,40.0,第六分局,"120.644882 ","24.176200 "
42.0,逢甲里,臺中市西屯區逢甲里文華路永新巷南二弄21號,1.0,40.0,第六分局,"120.644824 ","24.176406 "
43.0,逢甲里,臺中市西屯區逢甲里文華路永新巷南二弄22號,1.0,40.0,第六分局,"120.644844 ","24.176183 "
44.0,逢甲里,臺中市西屯區逢甲里文華路永新巷南二弄42號,1.0,26.0,第六分局,"120.645065 ","24.176369 "
45.0,逢甲里,臺中市西屯區逢甲里文華路永新巷南二弄48號,1.0,26.0,第六分局,"120.645065 ","24.176369 "
46.0,逢甲里,臺中市西屯區逢甲里文華路永新巷南二弄60號,1.0,105.0,第六分局,"120.645065 ","24.176369 "
47.0,逢甲里,臺中市西屯區逢甲里福星路526巷6號,1.0,30.0,第六分局,"120.644847 ","24.176917 "
48.0,逢甲里,臺中市西屯區逢甲里西屯路二段282巷36號,1.0,232.0,第六分局,"120.644400 ","24.177240 "
49.0,逢甲里,臺中市西屯區逢甲里西屯路二段282巷3號,1.0,50.0,第六分局,"120.643698 ","24.176790 "
50.0,逢甲里,臺中市西屯區逢甲里西屯路二段282巷5號,1.0,50.0,第六分局,"120.643744 ","24.176852 "
51.0,逢甲里,臺中市西屯區逢甲里西屯路二段282巷71號,1.0,40.0,第六分局,"120.644932 ","24.177686 "
52.0,逢甲里,臺中市西屯區逢甲里西屯路二段284巷4號,1.0,50.0,第六分局,"120.643576 ","24.176860 "
53.0,逢甲里,臺中市西屯區逢甲里西屯路二段284巷6號,1.0,50.0,第六分局,"120.643641 ","24.176929 "
54.0,逢福里,臺中市西屯區逢福里弘孝路269號,1.0,38.0,第六分局,"120.651332 ","24.173908 "
55.0,港尾里,臺中市西屯區港尾里中康街142號,1.0,100.0,第六分局,"120.660238 ","24.197482 "
56.0,港尾里,臺中市西屯區港尾里中清路二段1250巷117號,1.0,169.0,第六分局,"120.660242 ","24.196588 "
57.0,上石里,臺中市西屯區上石里青海路二段246-9號,1.0,134.0,第六分局,"120.643655 ","24.172035 "
58.0,上石里,臺中市西屯區上石里上石南八巷44號,1.0,100.0,第六分局,"120.643150 ","24.174872 "
59.0,上石里,臺中市西屯區上石里西屯路二段上石南八巷31弄2號,1.0,66.0,第六分局,"120.642966 ","24.174755 "
60.0,上安里,臺中市西屯區上安里臺灣大道三段556巷1弄18號,1.0,25.0,第六分局,"120.640383 ","24.169302 "
61.0,上德里,臺中市西屯區上德里弘孝路11號,1.0,40.0,第六分局,"120.643744 ","24.166461 "
62.0,上德里,臺中市西屯區上德里弘孝路21號,1.0,30.0,第六分局,"120.644064 ","24.166717 "
