類別,村里別,地址,備註,緯度,經度,電腦編號,地下樓層數,可容納人數
山外車站,山外里,金門縣金湖鎮山外里黃海路90之2號,,24.44223,118.4141028,1.0,1.0,88人
金湖鎮公所,新市里,金門縣金湖鎮新市里2鄰林森路2號,,24.44132,118.41701,2.0,1.0,608人
金湖消防分隊,新市里,金門縣金湖鎮新市里30鄰士校路2號,,24.44391,118.42528,3.0,1.0,301人
榮民服務處,新市里,金門縣金湖鎮新市里2鄰自強路2之1號,,24.44086822,118.4154704,4.0,1.0,160人
金沙鎮公所,汶沙里,"金門縣金沙鎮汶沙里1鄰環島東路112 號",,24.48885,118.41303,5.0,1.0,104人
金湖分局,山外里,金門縣金湖鎮山外里黃海路90之3號,,24.44198084,118.41377,6.0,1.0,69人
台灣銀行,新市里,金門縣金湖鎮新市里2鄰復興路4號,,24.44073175,118.4173226,7.0,1.0,83人
金門監獄,新市里,金門縣金湖鎮新市里復興路1之5號,,24.44169866,118.4207639,8.0,1.0,83人
金湖大飯店,新市里,金門縣金湖鎮新市里29鄰太湖路二段198號,,24.43926215,118.41938,9.0,1.0,9667人
金門醫院,新市里,金門縣金湖鎮新市里2鄰復興路2之1號,,24.44068,118.4179,10.0,1.0,3146人
金湖國小-勤學樓,新市里,金門縣金湖鎮新市里2鄰林森路12號,,24.44242,118.41615,11.0,1.0,559人
山外郵局,新市里,金門縣金湖鎮新市里2鄰林森路39號,,24.44228223,118.4153671,12.0,1.0,491人
開瑄國小-新大樓,瓊林里,金門縣金湖鎮瓊林里瓊林9之1號,,24.44579,118.37772,13.0,1.0,374人
中油金馬行銷中心,料羅里,金門縣金湖鎮料羅里13鄰料羅160號,,24.42812501,118.42923,14.0,1.0,355人
正義里辦公室,正義里,金門縣金湖鎮正義里成功65之1號,,24.43902872,118.3900248,15.0,1.0,333人
金沙國小-行政大樓,汶沙里,金門縣金沙鎮汶沙里14鄰后浦頭117號,,24.48848974,118.41211,16.0,1.0,244人
金湖國小,新市里,金門縣金湖鎮新市里2鄰林森路12號,,24.44284352,118.41595,17.0,1.0,222人
柏村國小-行政大樓,料羅里,金門縣金湖鎮料羅里14鄰新塘10號,,24.42283818,118.43833,18.0,1.0,215人
述美國小-圖資大樓,西園里,金門縣金沙鎮西園里10鄰沙青路999號,,24.51375674,118.41082,19.0,1.0,213人
開瑄國小,瓊林里,金門縣金湖鎮瓊林里瓊林9之1號,,24.44550707,118.3770887,20.0,1.0,197人
台灣工商發展股份有限公司,瓊林里,金門縣金湖鎮瓊林里中山路8之6號,,24.44161,118.36299,21.0,1.0,167人
正義國小,正義里,金門縣金湖鎮正義里11鄰成功129號,,24.43997,118.3878627,22.0,1.0,167人
安瀾國小,三山里,金門縣金沙鎮三山里13鄰碧山81號,,24.48248,118.43784,23.0,1.0,56人
金閣會館大樓,新湖里,金門縣金湖鎮新湖里5鄰市港三路231號,,24.43869998,118.41072,24.0,2.0,2027人
樸樂大樓,新湖里,金門縣金湖鎮新湖里5鄰市港六路231號,,24.44004786,118.4114134,25.0,2.0,2027人
SOLLIS大樓,新湖里,金門縣金湖鎮新湖里29鄰市港五路168號,,24.43869203,118.41259,26.0,2.0,616人
崑庭建設大樓,新湖里,金門縣金湖鎮新湖里29鄰市港五路163號1樓之1,,24.43855273,118.4125673,27.0,1.0,567人
鴻偉大樓,新湖里,金門縣金湖鎮新湖里29鄰市港三路156號,,24.43825,118.41242,28.0,1.0,563人
大樓,新湖里,金門縣金湖鎮新湖里1鄰市港五路172號,,24.4387631,118.41241,29.0,2.0,517人
大樓,新湖里,金門縣金湖鎮新湖里1鄰市港三路145號,,24.43789045,118.4119981,30.0,1.0,500人
大樓,蓮庵里,金門縣金湖鎮蓮庵里三谿橋3-6號,,24.43122,118.43159,31.0,1.0,483人
大樓,新湖里,金門縣金湖鎮新湖里5鄰市港五路176號,,24.43884857,118.41224,32.0,1.0,464人
雙城匯大樓,新湖里,金門縣金湖鎮新湖里29鄰市港五路151號,,24.43833494,118.4126247,33.0,1.0,450人
樺翔建設大樓,浦山里,金門縣金沙鎮浦山里19鄰洋山202號,,24.48896,118.39754,34.0,1.0,408人
崑庭風荷大樓,新湖里,金門縣金湖鎮新湖里28鄰市港三路163號,,24.43811578,118.4122076,35.0,1.0,361人
福喜居大樓,新湖里,金門縣金湖鎮新湖里28鄰市港三路167號,,24.43826637,118.4119608,36.0,1.0,290人
崑庭風鎮大樓,新湖里,金門縣金湖鎮新湖里5鄰市港三路235號,,24.43891438,118.4107243,37.0,1.0,284人
京門社區大樓,新湖里,金門縣金湖鎮新湖里31鄰赤東路19號之1,,24.44124,118.41178,38.0,1.0,243人
崑庭風尚大樓,新湖里,金門縣金湖鎮新湖里1鄰市港五路138號之1,,24.438975,118.4128151,39.0,1.0,225人
崑庭社區大樓,新湖里,金門縣金湖鎮新湖里1鄰市港三路137號,,24.437848,118.41186,40.0,1.0,223人
景美公寓大廈,新湖里,金門縣金湖鎮新湖里5鄰市港路138號,,24.43793,118.4114139,41.0,1.0,221人
大樓,新湖里,金門縣金湖鎮新湖里5鄰赤東路68號,,24.44025174,118.4112134,42.0,1.0,198人
英沐建設大樓,新湖里,金門縣金湖鎮新湖里5鄰市港三路243號,,24.43883,118.4107,43.0,1.0,137人
金合成建設大樓,新湖里,金門縣金湖鎮新湖里5鄰市港路162號,,24.43817922,118.4115864,44.0,1.0,126人
