"unnamed (1)","unnamed (3)","unnamed (4)","unnamed (5)","unnamed (6)","unnamed (7)","unnamed (8)","unnamed (9)",placemark_address
SMA04011,主工里,花蓮市主工里4鄰中正路489號,23.976264,121.605717,B1,120.0,花蓮分局,花蓮市主工里4鄰中正路489號
SMA04012,主計里,花蓮縣花蓮市主計里10鄰仁愛街7號,23.972449,121.606592,B1,703.0,花蓮分局,花蓮縣花蓮市主計里10鄰仁愛街7號
SMA04013,主工里,花蓮縣花蓮市主工里15鄰民國路7號,23.976628,121.602048,B1,170.0,花蓮分局,花蓮縣花蓮市主工里15鄰民國路7號
SMA04014,主和里,花蓮縣花蓮市主和里1鄰和平路217號,23.970682,121.605836,B1,583.0,花蓮分局,花蓮縣花蓮市主和里1鄰和平路217號
SMA04015,主信里,花蓮縣花蓮市主信里6鄰忠孝街60之1號,23.974861,121.605924,B1,641.0,花蓮分局,花蓮縣花蓮市主信里6鄰忠孝街60之1號
SMA04016,主睦里,花蓮市主睦里8鄰信義街32、32之1、32之2、32之3號,23.973852,121.604705,B1,121.0,花蓮分局
SMA04017,主睦里,花蓮市主睦里7鄰信義街45號,23.973969,121.604435,B1,61.0,花蓮分局,花蓮市主睦里7鄰信義街45號
SMA04018,主工里,花蓮市主工里11鄰信義街87號,23.975895,121.60289,B1,334.0,花蓮分局,花蓮市主工里11鄰信義街87號
SMA04019,主計里,花蓮縣花蓮市廣東街197號,23.972677,121.607632,B1,137.0,花蓮分局,花蓮縣花蓮市廣東街197號
SMA04020,主計里,花蓮縣花蓮市忠孝街31號,23.972943,121.60718,B1,128.0,花蓮分局,花蓮縣花蓮市忠孝街31號
SMA05001,主力里,花蓮縣花蓮市主力里中華路298號,23.975649,121.598639,B1,194.0,花蓮分局,花蓮縣花蓮市主力里中華路298號
SMA05002,主力里,花蓮縣花蓮市主力里中華路302.304號,23.97509,121.598228,B1,1293.0,花蓮分局,花蓮縣花蓮市主力里中華路302.304號
SMA05003,主力里,花蓮縣花蓮市主力里中華路231號,23.975268,121.602034,B1,723.0,花蓮分局,花蓮縣花蓮市主力里中華路231號
SMA05004,主學里,花蓮縣花蓮市主學里中正路210號,23.971689,121.599711,B1,111.0,花蓮分局,花蓮縣花蓮市主學里中正路210號
SMA05005,主學里,花蓮縣花蓮市主學里中正路210號,23.971689,121.599711,B1,200.0,花蓮分局,花蓮縣花蓮市主學里中正路210號
SMA05006,主學里,花蓮縣花蓮市主學里中正路210號,23.971689,121.599711,B1,341.0,花蓮分局,花蓮縣花蓮市主學里中正路210號
SMA05007,主學里,花蓮縣花蓮市主學里中正路210號,23.971689,121.599711,B1,1505.0,花蓮分局,花蓮縣花蓮市主學里中正路210號
SMA05008,主學里,花蓮縣花蓮市主學里中正路260號,23.972704,121.600823,B1、B2,1666.0,花蓮分局,花蓮縣花蓮市主學里中正路260號
SMA05009,主權里,花蓮縣花蓮市主權里德安六街63號,23.971378,121.591873,B1、B2,2022.0,花蓮分局,花蓮縣花蓮市主權里德安六街63號
SMA05010,主農里,花蓮縣花蓮市主農里長安街26號,23.96724,121.596978,B1、B2,277.0,花蓮分局,花蓮縣花蓮市主農里長安街26號
SMA05011,主學里,花蓮縣花蓮市主學里上海街81號,23.973182,121.602513,B1,165.0,花蓮分局,花蓮縣花蓮市主學里上海街81號
SMA05012,主學里,花蓮縣花蓮市主學里上海街111號,23.973521,121.603114,B1,102.0,花蓮分局,花蓮縣花蓮市主學里上海街111號
SMA05013,主學里,花蓮縣花蓮市主學里中正路315巷26號2樓,23.974136,121.600905,B1,168.0,花蓮分局,花蓮縣花蓮市主學里中正路315巷26號2樓
SMA05014,主農里,花蓮縣花蓮市主農里重慶路1號,23.965821,121.598718,B1,389.0,花蓮分局,花蓮縣花蓮市主農里重慶路1號
SMA05015,主權里,花蓮市主權里中原路707.709.711.713.715號,23.976835,121.591841,B1,562.0,花蓮分局,花蓮市主權里中原路707.709.711.713.715號
SMA05016,主農里,花蓮市主農里22鄰中正路47號,23.969601,121.595459,B1,493.0,花蓮分局,花蓮市主農里22鄰中正路47號
SMA05017,主力里,花蓮市主力里20鄰中和街214巷15號,23.974457,121.599166,B1,460.0,花蓮分局,花蓮市主力里20鄰中和街214巷15號
SMA05018,主權里,花蓮市主權里1鄰德安六街100號,23.973217,121.589727,B1,1802.0,花蓮分局,花蓮市主權里1鄰德安六街100號
SMA05019,主力里,花蓮市主力里20鄰中華路325之10號,23.974882,121.598366,B1,223.0,花蓮分局,花蓮市主力里20鄰中華路325之10號
SMA05020,主權里,花蓮市主權里4鄰中華路486之1號,23.974678,121.592541,B1,195.0,花蓮分局,花蓮市主權里4鄰中華路486之1號
SMA05021,主權里,花蓮市主權里4鄰中華路486之2號,23.97492,121.592625,B1,192.0,花蓮分局,花蓮市主權里4鄰中華路486之2號
SMA05022,主農里,花蓮市主農里11鄰中順街77號,23.968789,121.596804,B1,322.0,花蓮分局,花蓮市主農里11鄰中順街77號
SMA05023,主學里,花蓮市主學里14鄰中福路189號,23.973537,121.600783,B1,656.0,花蓮分局,花蓮市主學里14鄰中福路189號
SMA05024,主力里,花蓮市主力里24鄰林森路32巷1號,23.975483,121.597275,B1,647.0,花蓮分局,花蓮市主力里24鄰林森路32巷1號
SMA05025,主力里,花蓮市主力里15鄰林森路53巷25號,23.976033,121.596523,B1,77.0,花蓮分局,花蓮市主力里15鄰林森路53巷25號
SMA05026,主力里,花蓮市主力里21鄰榮正街96號,23.973849,121.597615,B1,1762.0,花蓮分局,花蓮市主力里21鄰榮正街96號
SMA06001,國威里,花蓮縣花蓮市國威里民國路161號,23.98082,121.607974,B1,913.0,花蓮分局,花蓮縣花蓮市國威里民國路161號
SMA06002,國威里,花蓮縣花蓮市國威里新港街73-1號,23.979664,121.606185,B1、B2,767.0,花蓮分局,花蓮縣花蓮市國威里新港街73-1號
SMA06003,國安里,花蓮縣花蓮市國安里中山路418號,23.986522,121.60248,B1,23.0,花蓮分局,花蓮縣花蓮市國安里中山路418號
SMA06004,國安里,花蓮縣花蓮市國安里中山路418號,23.986522,121.60248,B1,262.0,花蓮分局,花蓮縣花蓮市國安里中山路418號
SMA06005,國安里,花蓮縣花蓮市國安里中山路418號,23.986522,121.60248,B1,143.0,花蓮分局,花蓮縣花蓮市國安里中山路418號
SMA06006,國安里,花蓮縣花蓮市國安里中山路418號,23.986522,121.60248,B1,26.0,花蓮分局,花蓮縣花蓮市國安里中山路418號
SMA06007,國安里,花蓮縣花蓮市國安里中山路408號,23.98402,121.604438,B1,79.0,花蓮分局,花蓮縣花蓮市國安里中山路408號
SMA06008,國安里,花蓮縣花蓮市國安里中山路356號,23.98263,121.605281,B1,76.0,花蓮分局,花蓮縣花蓮市國安里中山路356號
SMA06009,國安里,花蓮縣花蓮市國安里中山路326號,23.981831,121.605813,B1,237.0,花蓮分局,花蓮縣花蓮市國安里中山路326號
SMA06010,國防里,花蓮縣花蓮市國防里明心街21-23號,23.9858,121.607438,B1,320.0,花蓮分局,花蓮縣花蓮市國防里明心街21-23號
SMA06011,國魂里,花蓮縣花蓮市國魂里中山路473號,23.983779,121.603815,B1,227.0,花蓮分局,花蓮縣花蓮市國魂里中山路473號
SMA06012,國魂里,花蓮縣花蓮市國魂里建國路161號,23.983581,121.598963,B1,850.0,花蓮分局,花蓮縣花蓮市國魂里建國路161號
SMA06013,國魂里,花蓮縣花蓮市國魂里建國路161號,23.983581,121.598963,B1,394.0,花蓮分局,花蓮縣花蓮市國魂里建國路161號
SMA06014,國魂里,花蓮縣花蓮市國魂里建國路161號,23.983581,121.598963,B1,268.0,花蓮分局,花蓮縣花蓮市國魂里建國路161號
SMA06015,國魂里,花蓮縣花蓮市國魂里建國路161號,23.983581,121.598963,B1,268.0,花蓮分局,花蓮縣花蓮市國魂里建國路161號
SMA06016,國魂里,花蓮縣花蓮市國魂里建國路161號,23.983581,121.598963,B1,55.0,花蓮分局,花蓮縣花蓮市國魂里建國路161號
SMA06017,國風里,花蓮縣花蓮市國風里林政街7號,23.978479,121.595377,B1,99.0,花蓮分局,花蓮縣花蓮市國風里林政街7號
SMA06018,國風里,花蓮縣花蓮市國風里林政街7號,23.978479,121.595377,B1,696.0,花蓮分局,花蓮縣花蓮市國風里林政街7號
SMA06019,國風里,花蓮縣花蓮市國風里林政街7號,23.978479,121.595377,B1,638.0,花蓮分局,花蓮縣花蓮市國風里林政街7號
SMA06020,國風里,花蓮縣花蓮市國風里林政街7號,23.978479,121.595377,B1,244.0,花蓮分局,花蓮縣花蓮市國風里林政街7號
SMA06021,國風里,花蓮縣花蓮市國風里明義街107號,23.978974,121.602898,B1,155.0,花蓮分局,花蓮縣花蓮市國風里明義街107號
SMA06022,國風里,花蓮縣花蓮市國風里明義街107號,23.978974,121.602898,B1,79.0,花蓮分局,花蓮縣花蓮市國風里明義街107號
SMA06023,國風里,花蓮縣花蓮市國風里明義街107號,23.978974,121.602898,B1,425.0,花蓮分局,花蓮縣花蓮市國風里明義街107號
SMA06024,國風里,花蓮縣花蓮市國風里明義街107號,23.978974,121.602898,B1,739.0,花蓮分局,花蓮縣花蓮市國風里明義街107號
SMA06025,國風里,花蓮市國風里明義街107號,23.978974,121.602898,B1,58.0,花蓮分局,花蓮市國風里明義街107號
SMA06026,國威里,花蓮縣花蓮市國威里林森路236號,23.981655,121.606042,B1,856.0,花蓮分局,花蓮縣花蓮市國威里林森路236號
SMA06027,國威里,花蓮縣花蓮市國威里中山路371號,23.981413,121.60574,B1,3817.0,花蓮分局,花蓮縣花蓮市國威里中山路371號
SMA06028,國威里,花蓮縣花蓮市國威里三民街53號,23.981757,121.607541,B1,334.0,花蓮分局,花蓮縣花蓮市國威里三民街53號
SMA06029,國威里,花蓮縣花蓮市國威里林森路252號,23.982077,121.606826,B1,205.0,花蓮分局,花蓮縣花蓮市國威里林森路252號
