電腦編號,鄉鎮市區,村里別,地址,經度,緯度,避難樓層,可容納人數,轄管分局
1,鼓山區,明誠里,高雄市鼓山區明誠里昌盛路281號,"120.299017 ","22.663735 ",B1,990.0,鼓山分局
2,鼓山區,明誠里,高雄市鼓山區明誠里裕誠路1065號,"120.300687 ","22.663976 ",B1,648.0,鼓山分局
3,鼓山區,明誠里,高雄市鼓山區明誠里昌盛路31號,"120.301469 ","22.664413 ",B1,811.0,鼓山分局
5,鼓山區,明誠里,高雄市鼓山區明誠里中華一路203號,"120.300787 ","22.665313 ",B1,898.0,鼓山分局
6,鼓山區,明誠里,高雄市鼓山區明誠里中華一路197號,"120.293578 ","22.662464 ",B1,135.0,鼓山分局
7,鼓山區,明誠里,高雄市鼓山區明誠里文信路335號,"120.301635 ","22.665073 ",B1、B2,1552.0,鼓山分局
8,鼓山區,明誠里,高雄市鼓山區明誠里明華路251號,"120.295966 ","22.665527 ",B1、B2,1216.0,鼓山分局
9,鼓山區,明誠里,高雄市鼓山區明誠里裕誠路1091號,"120.298822 ","22.662686 ",B1、B2,1076.0,鼓山分局
10,鼓山區,明誠里,高雄市鼓山區明誠里文忠路32號,"120.299878 ","22.664992 ",B1,569.0,鼓山分局
11,鼓山區,明誠里,高雄市鼓山區明誠里昌盛路62號,"120.295948 ","22.664470 ",B1,1662.0,鼓山分局
12,鼓山區,明誠里,高雄市鼓山區明誠里文信路341號,"120.292978 ","22.663943 ",B1、B2,1585.0,鼓山分局
13,鼓山區,明誠里,高雄市鼓山區明誠里文忠路48號,"120.300973 ","22.665006 ",B1,1304.0,鼓山分局
14,鼓山區,明誠里,高雄市鼓山區明誠里中華一路247巷15弄15號,"120.297679 ","22.665634 ",B1、B2,1473.0,鼓山分局
15,鼓山區,明誠里,高雄市鼓山區明誠里文忠路25號,"120.301627 ","22.663979 ",B2,1299.0,鼓山分局
16,鼓山區,明誠里,高雄市鼓山區明誠里裕誠路1505號,"120.299111 ","22.664736 ",B3,2392.0,鼓山分局
18,鼓山區,明誠里,高雄市鼓山區明誠里南屏路560巷6號,"120.296304 ","22.664968 ",B2,1422.0,鼓山分局
19,鼓山區,明誠里,高雄市鼓山區明誠里南屏路536號,"120.297882 ","22.664054 ",B2,605.0,鼓山分局
20,鼓山區,明誠里,高雄市鼓山區明誠里文信路350號,"120.301755 ","22.663295 ",B1,846.0,鼓山分局
21,鼓山區,明誠里,高雄市鼓山區明誠里中華一路125號,"120.300514 ","22.663325 ",B1,1427.0,鼓山分局
22,鼓山區,明誠里,高雄市鼓山區明誠里文忠路45號,"120.294041 ","22.662853 ",B2,931.0,鼓山分局
23,鼓山區,明誠里,高雄市鼓山區明誠里裕誠路1143號,"120.294396 ","22.662313 ",B1,1614.0,鼓山分局
24,鼓山區,明誠里,高雄市鼓山區明誠里昌盛路34號,"120.295858 ","22.665123 ",B1,533.0,鼓山分局
25,鼓山區,明誠里,高雄市鼓山區明誠里文信路258號,"120.297515 ","22.663430 ",B1,1095.0,鼓山分局
26,鼓山區,明誠里,高雄市鼓山區明誠里文忠路165號,"120.296385 ","22.665040 ",B1,2352.0,鼓山分局
27,鼓山區,明誠里,高雄市鼓山區明誠里昌盛路332號,"120.299923 ","22.665417 ",B1,538.0,鼓山分局
28,鼓山區,明誠里,高雄市鼓山區明誠里明華路335號,"120.301462 ","22.663302 ",B1,1670.0,鼓山分局
29,鼓山區,明誠里,高雄市鼓山區明誠里明華路305號,"120.297268 ","22.665668 ",B2,1822.0,鼓山分局
30,鼓山區,明誠里,高雄市鼓山區明誠里裕誠路1602號,"120.302088 ","22.663955 ",B2,2462.0,鼓山分局
31,鼓山區,明誠里,高雄市鼓山區明誠里裕誠路1599號,"120.301772 ","22.664318 ",B1,2237.0,鼓山分局
32,鼓山區,明誠里,高雄市鼓山區明誠里裕誠路1509號,"120.294375 ","22.661601 ",B2,4406.0,鼓山分局
33,鼓山區,明誠里,高雄市鼓山區明誠里明華路229號,"120.300841 ","22.664726 ",B1,2294.0,鼓山分局
34,鼓山區,明誠里,高雄市鼓山區明誠里文忠路163號,"120.300349 ","22.663333 ",B1,622.0,鼓山分局
35,鼓山區,明誠里,高雄市鼓山區明誠里南屏路532號,"120.297766 ","22.666022 ",B1、B2,1973.0,鼓山分局
36,鼓山區,明誠里,高雄市鼓山區明誠里明華路323號,"120.296077 ","22.665617 ",B1,2111.0,鼓山分局
37,鼓山區,明誠里,高雄市鼓山區明誠里裕誠路1155號,"120.297262 ","22.665681 ",B1,435.0,鼓山分局
38,鼓山區,明誠里,高雄市鼓山區明誠里昌盛路6號,"120.298767 ","22.665323 ",B1,2839.0,鼓山分局
39,鼓山區,明誠里,高雄市鼓山區明誠里文信路209號,"120.297796 ","22.664406 ",B1,527.0,鼓山分局
41,鼓山區,明誠里,高雄市鼓山區明誠里裕誠路1639號,"120.298579 ","22.664743 ",B1,150.0,鼓山分局
42,鼓山區,明誠里,高雄市鼓山區明誠里文信路222號,"120.296576 ","22.663723 ",B1,793.0,鼓山分局
43,鼓山區,明誠里,高雄市鼓山區明誠里明華路303號,"120.300347 ","22.663345 ",B3,767.0,鼓山分局
