編號,村里別,地址,避難所在之地下樓層數,可容納人數,轄區分局,經度,緯度
1.0,賴厝里,臺中市北區賴厝里永興街301號,2.0,2673.0,第二分局,"120.682233 ","24.166042 "
2.0,頂厝里,臺中市北區頂厝里太原路二段228號,1.0,1034.0,第二分局,"120.682503 ","24.164954 "
3.0,淡溝里,臺中市北區淡溝里館前路1號,2.0,75272.0,第二分局,"120.666160 ","24.155802 "
4.0,文莊里,臺中市北區文莊里英士路109號,1.0,1693.0,第二分局,"120.675200 ","24.153185 "
5.0,五常里,臺中市北區五常里英才路1號,1.0,2380.0,第二分局,"120.678332 ","24.155387 "
6.0,五常里,臺中市北區五常里學士路87巷3號,1.0,389.0,第二分局,"120.681388 ","24.155079 "
7.0,五常里,臺中市北區五常里英才路1號,1.0,1629.0,第二分局,"120.678332 ","24.155387 "
8.0,五常里,臺中市北區五常里英才路1號,1.0,3554.0,第二分局,"120.678332 ","24.155387 "
9.0,中正里,臺中市北區中正里民權路220號,1.0,1400.0,第二分局,"120.673846 ","24.144013 "
10.0,錦平里,臺中市北區三民路三段129號,1.0,5611.0,第二分局,120.6814945,24.1496435
11.0,健行里,臺中市北區健行路666號,1.0,2249.0,第二分局,120.6714455,24.1594189
12.0,健行里,臺中市北區健行路666號,1.0,2142.0,第二分局,120.6714455,24.1594189
13.0,健行里,臺中市北區健行路666號,1.0,2249.0,第二分局,120.6714455,24.1594189
14.0,健行里,臺中市北區健行路666號,1.0,2142.0,第二分局,120.6714455,24.1594189
15.0,中達里,臺中市北區篤行路321號,1.0,240.0,第二分局,120.6710489,24.1549048
16.0,中達里,臺中市北區篤行路321號,1.0,1021.0,第二分局,120.6710489,24.1549048
17.0,中達里,臺中市北區篤行路321號,1.0,1598.0,第二分局,120.6710489,24.1549048
18.0,中達里,臺中市北區篤行路321號,1.0,261.0,第二分局,120.6710489,24.1549048
19.0,中達里,臺中市北區篤行路321號,1.0,261.0,第二分局,120.6710489,24.1549048
20.0,中達里,臺中市北區篤行路321號,1.0,274.0,第二分局,120.6710489,24.1549048
21.0,中達里,臺中市北區篤行路321號,1.0,240.0,第二分局,120.6710489,24.1549048
22.0,金龍里,臺中市北區三民路三段289號,1.0,720.0,第二分局,"120.688077 ","24.156604 "
23.0,金龍里,臺中市北區三民路三段289號,1.0,1600.0,第二分局,"120.688077 ","24.156604 "
24.0,金龍里,臺中市北區三民路三段289號,1.0,150.0,第二分局,"120.688077 ","24.156604 "
25.0,金龍里,臺中市北區三民路三段289號,1.0,100.0,第二分局,"120.688077 ","24.156604 "
26.0,金龍里,臺中市北區三民路三段289號,1.0,3000.0,第二分局,"120.688077 ","24.156604 "
27.0,金龍里,臺中市北區三民路344巷5號,2.0,170.0,第二分局,"120.684647 ","24.155639 "
28.0,金龍里,臺中市北區三民路三段289號,1.0,1829.0,第二分局,"120.688077 ","24.156604 "
29.0,金龍里,臺中市北區三民路三段289號,1.0,1186.0,第二分局,"120.688077 ","24.156604 "
30.0,金龍里,臺中市北區三民路三段289號,1.0,400.0,第二分局,"120.688077 ","24.156604 "
31.0,金龍里,臺中市北區三民路三段289號,1.0,720.0,第二分局,"120.688077 ","24.156604 "
32.0,金龍里,臺中市北區三民路三段289號,1.0,1600.0,第二分局,"120.688077 ","24.156604 "
33.0,金龍里,臺中市北區三民路三段289號,1.0,150.0,第二分局,"120.688077 ","24.156604 "
34.0,金龍里,臺中市北區三民路三段289號,1.0,100.0,第二分局,"120.688077 ","24.156604 "
35.0,金龍里,臺中市北區三民路三段289號,1.0,2717.0,第二分局,"120.688077 ","24.156604 "
36.0,金龍里,臺中市北區三民路三段289號,1.0,1829.0,第二分局,"120.688077 ","24.156604 "
37.0,光大里,臺中市北區光大里五權路317號,1.0,876.0,第二分局,"120.678741 ","24.152145 "
38.0,光大里,臺中市北區光大里五權路311號,1.0,60.0,第二分局,"120.678529 ","24.151993 "
39.0,光大里,臺中市北區光大里五權路309號,1.0,40.0,第二分局,"120.678529 ","24.151993 "
40.0,文莊里,臺中市北區文莊里文化路69號,1.0,569.0,第二分局,"120.681829 ","24.154803 "
41.0,六合里,臺中市北區六合里成功路430巷21號,1.0,265.0,第二分局,"120.676770 ","24.147030 "
42.0,六合里,臺中市北區六合里成功路439號,1.0,1000.0,第二分局,"120.675500 ","24.147044 "
43.0,光大里,臺中市北區光大里五權路276號,1.0,600.0,第二分局,"120.678119 ","24.151395 "
44.0,光大里,臺中市北區光大里五權路176號,1.0,6000.0,第二分局,"120.675763 ","24.149170 "
45.0,光大里,臺中市北區光大里五權路178號,1.0,300.0,第二分局,"120.676242 ","24.149660 "
46.0,光大里,臺中市北區光大里原子街125號之10,2.0,1500.0,第二分局,"120.676742 ","24.148951 "
47.0,光大里,臺中市北區光大里原子街127巷21之2號,1.0,581.0,第二分局,"120.675588 ","24.147846 "
48.0,光大里,臺中市北區光大里公園路182號,1.0,953.0,第二分局,"120.677717 ","24.150804 "
49.0,光大里,臺中市北區光大里公園路188號,2.0,953.0,第二分局,"120.677563 ","24.151100 "
50.0,五常里,臺中市北區五常里五權路375號,1.0,1820.0,第二分局,"120.680519 ","24.152865 "
51.0,五常里,臺中市北區五常里五義街167號,1.0,380.0,第二分局,"120.680429 ","24.153756 "
52.0,五常里,臺中市北區五常里五權路379號,1.0,1500.0,第二分局,"120.680899 ","24.152867 "
