編號,村里別,地址,可容納人數,地下樓層數,類別,備註,placemark_address
1.0,南光里,彰化縣二林鎮南光里大成路1段266號,"60 ","1 ",惠生醫院,,彰化縣二林鎮南光里大成路1段266號
2.0,南光里,彰化縣二林鎮南光里儒林路2段260號,"160 ","1 ",二林鎮農會,,彰化縣二林鎮南光里儒林路2段260號
3.0,南光里,彰化縣二林鎮南光里裕民街10號,"1,597 ","1 ",廣福家園,,彰化縣二林鎮南光里裕民街10號
4.0,南光里,彰化縣二林鎮南光里大成路1段358號,"2,730 ","1 ",二林基督教醫院,,彰化縣二林鎮南光里大成路1段358號
6.0,東和里,彰化縣二林鎮東和里中正路11號,"160 ","1 ",二林基督教長老教會,,彰化縣二林鎮東和里中正路11號
7.0,後厝里,彰化縣二林鎮後厝里正知三路12號,"1,045 ","1 ",大宏建設公司,,彰化縣二林鎮後厝里正知三路12號
8.0,後厝里,彰化縣二林鎮後厝里斗苑4段259號,"1,946 ","1 ",眾泰建設公司,,彰化縣二林鎮後厝里斗苑4段259號
9.0,後厝里,彰化縣二林鎮後厝里斗苑路4段357號,"286 ","1 ",金聯合建設公司,,彰化縣二林鎮後厝里斗苑路4段357號
10.0,後厝里,彰化縣二林鎮後厝里斗苑路4段198號,"1,425 ","1 ",大宏建設公司,,彰化縣二林鎮後厝里斗苑路4段198號
12.0,北平里,彰化縣二林鎮北平里新生路298號,"805 ","1 ",金成賓館,,彰化縣二林鎮北平里新生路298號
13.0,北平里,彰化縣二林鎮北平里北安路113號,"586 ","1 ",大樓,,彰化縣二林鎮北平里北安路113號
14.0,北平里,彰化縣二林鎮北平里民享街37號,"1,632 ","1 ",晉坤建設公司,,彰化縣二林鎮北平里民享街37號
16.0,豐田里,彰化縣二林鎮豐田里斗苑路4段500號,"576 ","1 ",二林工商,,彰化縣二林鎮豐田里斗苑路4段500號
17.0,豐田里,彰化縣二林鎮豐田里太平路8號,"126 ","1 ",宋志藝醫院,,彰化縣二林鎮豐田里太平路8號
19.0,豐田里,彰化縣二林鎮豐田里斗苑路4段500號,"1,501 ","1 ",二林工商,,彰化縣二林鎮豐田里斗苑路4段500號
20.0,豐田里,彰化縣二林鎮豐田里斗苑路4段500號,"316 ","1 ",二林工商,,彰化縣二林鎮豐田里斗苑路4段500號
