類別,電腦編號,里別,緯經度,地下層數位址,可容納人數,轄管分局,備註,停車場坡道,placemark_address
大樓,EOA00001,一心里,"24.879919,121.291271",1.0,1597.0,大溪分局,,O,桃園市大溪區和二路79巷45弄5號
公寓,EOA00003,一德里,"24.86683,121.284171",1.0,61.0,大溪分局,,,桃園市大溪區康莊路699巷6號
公寓,EOA00004,一德里,"24.86683,121.284171",1.0,29.0,大溪分局,,,桃園市大溪區康莊路695號
公寓,EOA00005,一心里,"24.878042,121.290859",1.0,354.0,大溪分局,,O,桃園市大溪區文化路153巷10號
公寓,EOA00006,月眉里,"24.895236,121.300717",1.0,160.0,大溪分局,,,桃園市大溪區信義路523號
公寓,EOA00007,一德里,"24.86683,121.284171",1.0,68.0,大溪分局,,,桃園市大溪區康莊路699巷5號
公寓,EOA00008,一德里,"24.86683,121.284171",1.0,42.0,大溪分局,,,桃園市大溪區康莊路699巷2號
公寓,EOA00009,一德里,"24.86683,121.284171",1.0,77.0,大溪分局,,,桃園市大溪區康莊路699巷2號
公寓,EOA00010,月眉里,"24.89417,121.300687",1.0,240.0,大溪分局,,,桃園市大溪區信義路493巷6號
公寓,EOA00011,一德里,"24.86683,121.284171",1.0,84.0,大溪分局,,,桃園市大溪區康莊路701號
公寓,EOA00012,一心里,"24.88304,121.295318",1.0,46.0,大溪分局,,,桃園市大溪區中華路93號
公寓,EOA00013,一心里,"24.88304,121.295318",1.0,46.0,大溪分局,,,桃園市大溪區中華路95號
公寓,EOA00014,一心里,"24.885961,121.295019",1.0,536.0,大溪分局,,,桃園市大溪區信義路226號
公寓,EOA00016,一心里,"24.877932,121.287967",1.0,422.0,大溪分局,,O,桃園市大溪區康莊路263號
公寓,EOA00017,一心里,"24.877803,121.290465",1.0,366.0,大溪分局,,O,桃園市大溪區文化路163號
公寓,EOA00018,一心里,"24.88272,121.293568",1.0,509.0,大溪分局,,O,桃園市大溪區東二路100號
公寓,EOA00019,一心里,"24.879367,121.292928",1.0,862.0,大溪分局,,O,桃園市大溪區文化路125巷32號
公寓,EOA00020,一心里,"24.880601,121.293212",1.0,577.0,大溪分局,,,桃園市大溪區文化路103巷9號
公寓,EOA00021,一心里,"24.881551,121.293497",1.0,245.0,大溪分局,,,桃園市大溪區文化路75巷1號
公寓,EOA00022,一心里,"24.880692,121.288798",1.0,133.0,大溪分局,,,桃園市大溪區復興路2號
公寓,EOA00024,一德里,"24.876118,121.288131",1.0,260.0,大溪分局,,,桃園市大溪區文化路263號
公寓,EOA00025,一德里,"24.876944,121.289671",1.0,346.0,大溪分局,,O,桃園市大溪區文化路207號
大樓,EOA00027,一德里,"24.877512,121.288436",1.0,1714.0,大溪分局,,,桃園市大溪區天祥街16巷25號
