電腦編號,里別,經緯度,"地下 層數",可容納人數,轄管分局,停車場坡道
EQA00001,大同里,"24.910885,121.153118",5.0,6714.0,楊梅分局,○
EQA00002,大同里,"24.909747,121.147025",1.0,907.0,楊梅分局,
EQA00003,紅梅里,"24.905486,121.142519",1.0,1848.0,楊梅分局,○
EQA00004,紅梅里,"24.906102,121.140908",1.0,180.0,楊梅分局,○
EQA00005,紅梅里,"24.908019,121.141002",1.0,619.0,楊梅分局,○
EQA00006,紅梅里,"24.904889,121.143865",1.0,802.0,楊梅分局,○
EQA00007,紅梅里,"24.904484,121.140313",1.0,780.0,楊梅分局,○
EQA00008,紅梅里,"24.904889,121.143865",1.0,616.0,楊梅分局,○
EQA00009,楊江里,"24.908837,121.144491",1.0,3080.0,楊梅分局,○
EQA00010,楊江里,"24.910386,121.142543",1.0,73.0,楊梅分局,○
EQA00011,楊江里,"24.907537,121.143643",1.0,206.0,楊梅分局,
EQA00013,楊梅里,機敏單位,1.0,797.0,楊梅分局,
EQA00015,楊梅里,"24.913157,121.142516",1.0,172.0,楊梅分局,
EQA00018,水美里,"24.914790,121.139593",1.0,182.0,楊梅分局,
EQA00019,大平里,"24.899631,121.138807",1.0,85.0,楊梅分局,
EQA00020,秀才里,"24.896411,121.139319",1.0,180.0,楊梅分局,○
EQA00021,秀才里,"24.895136,121.135706",1.0,228.0,楊梅分局,
EQA00022,秀才里,"24.886705,121.121116",1.0,266.0,楊梅分局,
EQA00023,秀才里,"24.892981,121.133879",1.0,3542.0,楊梅分局,
EQA00024,大平里,"24.904192,121.126589",1.0,1061.0,楊梅分局,
EQA00026,大平里,"24.911820,121.131672",1.0,161.0,楊梅分局,○
EQA00027,永寧里,"24.893445,121.145584",1.0,12330.0,楊梅分局,
EQA00028,永寧里,"24.902108,121.141269",1.0,549.0,楊梅分局,○
EQA00031,上田里,"24.946184,121.132191",1.0,454.0,楊梅分局,○
EQA00033,梅新里,"24.906529,121.145947",1.0,598.0,楊梅分局,○
EQA00034,楊梅里,"24.912116,121.144552",1.0,338.0,楊梅分局,○
EQA00036,大同里,機敏單位,1.0,8666.0,楊梅分局,○
EQA00037,裕新里,"24.901576,121.158872",1.0,1009.0,楊梅分局,
EQA00038,裕新里,"24.898952,121.157967",2.0,3740.0,楊梅分局,○
EQA00040,大同里,"24.910229,121.150861",1.0,292.0,楊梅分局,○
EQA00041,中山里,"24.907318,121.151377",1.0,680.0,楊梅分局,
EQA00043,中山里,"24.909519,121.148219",1.0,362.0,楊梅分局,○
EQA00044,中山里,"24.909900,121.151827",1.0,1698.0,楊梅分局,○
EQA00045,中山里,"24.905340,121.149216",1.0,1725.0,楊梅分局,
EQA00047,中山里,"24.908787,121.147575",1.0,777.0,楊梅分局,
EQA00048,大同里,"24.911742,121.148781",1.0,225.0,楊梅分局,○
EQA00049,中山里,"24.905201,121.150502",1.0,76.0,楊梅分局,
EQA00051,埔心里,"24.918793,121.182676",1.0,50.0,楊梅分局,
EQA00052,埔心里,"24.919287,121.182600",1.0,58.0,楊梅分局,○
EQA00053,埔心里,"24.918946,121.182664",1.0,24.0,楊梅分局,○
EQA00057,埔心里,"24.916482,121.183340",1.0,892.0,楊梅分局,○
EQA00058,埔心里,"24.918383,121.182009",1.0,25.0,楊梅分局,○
EQA00059,埔心里,"24.918420,121.181991",1.0,73.0,楊梅分局,○
EQA00062,埔心里,"24.919862,121.182511",1.0,38.0,楊梅分局,○
EQA00063,埔心里,"24.919456,121.182538",1.0,41.0,楊梅分局,○
EQA00064,埔心里,機敏單位,1.0,93.0,楊梅分局,○
EQA00066,埔心里,"24.918451,121.180660",1.0,41.0,楊梅分局,○
EQA00067,埔心里,"24.919198,121.182021",1.0,50.0,楊梅分局,○
EQA00069,光華里,"24.917404,121.182429",1.0,341.0,楊梅分局,○
EQA00070,光華里,"24.917404,121.182429",1.0,666.0,楊梅分局,○
