類別,電腦編號,行政區,村里別,地址,緯經度,地下樓層數,可容納人數,轄管分局,備註,"unnamed (1)","unnamed (2)","unnamed (3)","unnamed (4)","unnamed (5)","unnamed (6)"
一般建築,FS1576,區文德里,文德里,高雄市鳳山區文德里文德路86巷32號,"22.639648,120.353875",1,163.0,鳳山分局,,,,,,,
一般建築,FS2690,區忠孝里,忠孝里,高雄市鳳山區忠孝里光復路2段130號,"22.629892,120.345723",1,164.0,鳳山分局,,,,,,,
一般建築,FS5403,區福誠里,福誠里,高雄市鳳山區福誠里四海街15號,"22.595251,120.327055",1,170.0,鳳山分局,,,,,,,
一般建築,FS5402,區福誠里,福誠里,高雄市鳳山區福誠里五甲三路96號,"22.592034,120.326221",1,174.0,鳳山分局,,,,,,,
一般建築,FS5882,區興仁里,興仁里,高雄市鳳山區興仁里五甲一路130號,"22.620363,120.35638",1,174.0,鳳山分局,,,,,,,
一般建築,FS4464,區新甲里,新甲里,高雄市鳳山區新甲里新泰街57號,"22.610347,120.342068",1,179.0,鳳山分局,,,,,,,
一般建築,FS4954,區新興里,新興里,高雄市鳳山區新興里維新路155號,"22.625406,120.361642",1,182.0,鳳山分局,,,,,,,
一般建築,FS2868,區忠義里,忠義里,高雄市鳳山區忠義里信義街215號,"22.627096,120.350488",1,192.0,鳳山分局,,,,,,,
一般建築,FS5743,區鳳崗里,鳳崗里,高雄市鳳山區鳳崗里中正路171號,"22.628437,120.360418",1,194.0,鳳山分局,,,,,,,
一般建築,FS2061,區生明里,生明里,高雄市鳳山區生明里王生明路123號,"22.619676,120.362555",1,195.0,鳳山分局,,,,,,,
一般建築,FS6205,區鎮北里,鎮北里,高雄市鳳山區鎮北里經武路85之22號,"22.628542,120.362375",1,195.0,鳳山分局,,,,,,,
一般建築,FS3387,區南成里,南成里,高雄市鳳山區南成里天興街21號,"22.593865,120.33018",1,199.0,鳳山分局,,,,,,,
