類別,電腦編號,行政區,村里別,地址,緯經度,地下樓層數,可容納人數,轄管分局,備註,"unnamed (1)","unnamed (2)","unnamed (3)","unnamed (4)","unnamed (5)","unnamed (6)"
一般建築,FS5208,區福祥里,福祥里,高雄市鳳山區福祥里福祥街51號,"22.591743,120.324645",1,2517.0,鳳山分局,,,,,,,
一般建築,FS0835,區天興里,天興里,高雄市鳳山區天興里錦田路8號,"22.591237,120.334633",2,5063.0,鳳山分局,,,,,,,
一般建築,FS4569,區新甲里,新甲里,高雄市鳳山區新甲里新強路115號,"22.610524,120.341005",1,2557.0,鳳山分局,,,,,,,
一般建築,FS5184,區過埤里,過埤里,高雄市鳳山區過埤里頂新六街32號,"22.588932,120.363999",2,2562.0,鳳山分局,,,,,,,
一般建築,FS1738,區文衡里,文衡里,高雄市鳳山區文衡里文龍路12號,"22.643801,120.350931",3,2581.0,鳳山分局,,,,,,,
一般建築,FS0986,區文山里,文山里,高雄市鳳山區文山里16鄰文清街126巷16號,"22.64451968,120.351978103533",1,2661.0,鳳山分局,,,,,,,
一般建築,FS0255,區二甲里,二甲里,高雄市鳳山區二甲里林森路258號,"22.595763,120.336524",1,2673.0,鳳山分局,,,,,,,
一般建築,FS6376,區鎮西里,鎮西里,高雄市鳳山區鎮西里新生街一段53號,"22.630286,120.352995",1,2690.0,鳳山分局,,,,,,,
一般建築,FS1433,區文華里,文華里,高雄市鳳山區文華里文建街193號,"22.635725,120.347676",1,2728.0,鳳山分局,,,,,,,
一般建築,FS1572,區文德里,文德里,高雄市鳳山區文德里青年路2段183號,"22.635297,120.350112",1,2737.0,鳳山分局,,,,,,,
一般建築,FS1454,區文福里,文福里,高雄市鳳山區文福里5鄰文化西路69號,"22.634948,120.34686",2,2740.0,鳳山分局,,,,,,,
一般建築,FS4110,區曹公里,曹公里,高雄市鳳山區曹公里協和路17號,"22.630322,120.358632",1,2781.0,鳳山分局,,,,,,,
一般建築,FS4912,區新樂里,新樂里,高雄市鳳山區新樂里海洋一路98號,"22.609786,120.344087",2,2789.0,鳳山分局,,,,,,,
一般建築,FS0451,區瑞興里,瑞興里,高雄市鳳山區瑞興里瑞興路216號,"22.627687,120.366648",3,2789.0,鳳山分局,,,,,,,
一般建築,FS6562,區鎮南里,鎮南里,高雄市鳳山區鎮南里19鄰南正二路115號,"22.598714,120.33192",2,2791.0,鳳山分局,,,,,,,
一般建築,FS0321,區三民里,三民里,高雄市鳳山區三民里中山東路56號,"22.6234495,120.369573838917",4,2801.0,鳳山分局,,,,,,,
一般建築,FS5183,區過埤里,過埤里,高雄市鳳山區過埤里高鳳一路46號,"22.588944,120.365907",2,2802.0,鳳山分局,,,,,,,
一般建築,FS3384,區保安里,保安里,高雄市鳳山區保安里鳳甲二街101號,"22.597038,120.344106",2,2809.0,鳳山分局,,,,,,,
一般建築,FS1894,區北門里,北門里,高雄市鳳山區北門里北文街60巷3號,"22.642475,120.368956",1,2819.0,鳳山分局,,,,,,,
一般建築,FS4807,區新富里,新富里,高雄市鳳山區新富里新富路500號,"22.613788,120.347245",1,2822.0,鳳山分局,,,,,,,
一般建築,FS2391,區和德里,和德里,高雄市鳳山區和德里8鄰和德街28號,"22.619612,120.360595",2,2842.0,鳳山分局,,,,,,,
一般建築,FS3655,區國光里,國光里,高雄市鳳山區國光里國泰路一段288號,"22.615953,120.354502",1,2864.0,鳳山分局,,,,,,,
一般建築,FS1274,區文英里,文英里,高雄市鳳山區文英里八德路2段130號,"22.643532,120.355296",3,2879.0,鳳山分局,,,,,,,
一般建築,FS3019,區東門里,東門里,高雄市鳳山區東門里中山東路86之2號,"22.624276,120.371939",1,2907.0,鳳山分局,,,,,,,
一般建築,FS1220,區文英里,文英里,高雄市鳳山區文英里八德路2段261巷253之1號,"22.64505679,120.351819125019",1,2909.0,鳳山分局,,,,,,,
一般建築,FS5190,區過埤里,過埤里,高雄市鳳山區過埤里頂新三街27號,"22.588829,120.364984",3,2928.0,鳳山分局,,,,,,,
一般建築,FS1603,區文德里,文德里,高雄市鳳山區文德里文化西路72號,"22.635176,120.348258",1,2938.0,鳳山分局,,,,,,,
一般建築,FS5180,區過埤里,過埤里,高雄市鳳山區過埤里018鄰過勇路188號,"22.58925,120.362955",3,2976.0,鳳山分局,,,,,,,
一般建築,FS6568,區鎮南里,鎮南里,高雄市鳳山區鎮南里永忠街36號,"22.646411,120.369614",3,2992.0,鳳山分局,,,,,,,
一般建築,FS4716,區新強里,新強里,高雄市鳳山區新強里新強路319號,"22.6144,120.338964",2,2993.0,鳳山分局,,,,,,,
一般建築,FS6246,區鎮北里,鎮北里,高雄市鳳山區鎮北里北昌二街66號,"22.646004,120.371632",2,3064.0,鳳山分局,,,,,,,
一般建築,FS3032,區東門里,東門里,高雄市鳳山區東門里中山東路192巷170號,"22.623823,120.379006",2,3144.0,鳳山分局,,,,,,,
一般建築,FS6237,區鎮北里,鎮北里,高雄市鳳山區鎮北里7鄰北昌三街1號,"22.64554,120.3751",2,3193.0,鳳山分局,,,,,,,
一般建築,FS1599,區文德里,文德里,高雄市鳳山區文德里文清街23號,"22.64384,120.354365",1,3228.0,鳳山分局,,,,,,,
一般建築,FS1575,區文德里,文德里,高雄市鳳山區文德里文學街83號,"22.635155,120.345777",1,3271.0,鳳山分局,,,,,,,
一般建築,FS6229,區鎮北里,鎮北里,高雄市鳳山區鎮北里經武路270號,"22.638213,120.364605",1,3283.0,鳳山分局,,,,,,,
一般建築,FS1596,區文德里,文德里,高雄市鳳山區文德里青年路2段310號,"22.640093,120.351181",1,3291.0,鳳山分局,,,,,,,
一般建築,FS6565,區鎮南里,鎮南里,高雄市鳳山區鎮南里甲智路111號,"22.598436,120.343604",2,3324.0,鳳山分局,,,,,,,
一般建築,FS4813,區新富里,新富里,高雄市鳳山區新富里新富路512號,"22.61404355,120.347413834205",2,3376.0,鳳山分局,,,,,,,
一般建築,FS4567,區新甲里,新甲里,高雄市鳳山區新甲里新國街1號,"22.610077,120.343731",1,3399.0,鳳山分局,,,,,,,
一般建築,FS2062,區生明里,生明里,高雄市鳳山區生明里王生明路360號,"22.62040079,120.363089867346",1,3405.0,鳳山分局,,,,,,,
一般建築,FS0452,區一甲里,一甲里,高雄市鳳山區一甲里善志街39號,"22.602094,120.336009",3,3437.0,鳳山分局,,,,,,,
一般建築,FS3536,區南和里,南和里,高雄市鳳山區南和里21鄰南光街239號,"22.596523,120.335173",1,3468.0,鳳山分局,,,,,,,
一般建築,FS5405,區福誠里,福誠里,高雄市鳳山區福誠里三誠路194號,"22.595433,120.323199",1,3502.0,鳳山分局,,,,,,,
一般建築,FS2330,區協和里,協和里,高雄市鳳山區協和里青年路一段262巷26號,"22.623819,120.351192",1,3503.0,鳳山分局,,,,,,,
一般建築,FS0111,區一甲里,一甲里,高雄市鳳山區一甲里南華路69號,"22.600888,120.339326",1,3521.0,鳳山分局,,,,,,,
一般建築,FS2331,區協和里,協和里,高雄市鳳山區協和里自治街75巷11號,"22.623277,120.351234",1,3527.0,鳳山分局,,,,,,,
一般建築,FS5152,區誠信里,誠信里,高雄市鳳山區誠信里杭州街66號,"22.620615,120.374771",1,3542.0,鳳山分局,,,,,,,
一般建築,FS1265,區文英里,文英里,高雄市鳳山區文英里文衡路125巷2號,"22.637816,120.35605",1,3579.0,鳳山分局,,,,,,,
一般建築,FS5100,區瑞竹里,瑞竹里,高雄市鳳山區瑞竹里瑞大街68巷13號,"22.632144,120.367748",1,3579.0,鳳山分局,,,,,,,
一般建築,FS1437,區文華里,文華里,高雄市鳳山區文華里文化西路160巷26弄9號,"22.636336,120.346293",1,3692.0,鳳山分局,,,,,,,
一般建築,FS4822,區新富里,新富里,高雄市鳳山區新富里新富路272號,"22.612604,120.341267",3,3694.0,鳳山分局,,,,,,,
一般建築,FS2327,區協和里,協和里,高雄市鳳山區協和里青年路1段59號,"22.620501,120.348793",1,3700.0,鳳山分局,,,,,,,
一般建築,FS4564,區新甲里,新甲里,高雄市鳳山區新甲里海洋一路123號,"22.610102,120.344216",1,3720.0,鳳山分局,,,,,,,
一般建築,FS0464,區三民里,三民里,高雄市鳳山區三民里三民路18號,"22.62130976464966, 120.362276120781",1.2.3,3744.0,鳳山分局,,,,,,,
一般建築,FS5173,區過埤里,過埤里,高雄市鳳山區過埤里過仁街60號,"22.590731,120.365754",1,3755.0,鳳山分局,,,,,,,
一般建築,FS1733,區文衡里,文衡里,高雄市鳳山區文衡里建國路3段277號,"22.637217,120.351007",2,3781.0,鳳山分局,,,,,,,
一般建築,FS4572,區新甲里,新甲里,高雄市鳳山區新甲里新康街35號,"22.607728,120.344025",1,3785.0,鳳山分局,,,,,,,
一般建築,FS2388,區和德里,和德里,高雄市鳳山區和德里6鄰和德街33號,"22.619897,120.361019",2,3793.0,鳳山分局,,,,,,,
一般建築,FS6566,區鎮南里,鎮南里,高雄市鳳山區鎮南里永忠街69號,"22.645531,120.367878",2,3838.0,鳳山分局,,,,,,,
一般建築,FS5162,區誠德里,誠德里,高雄市鳳山區誠德里鳳東路560號,"22.619903,120.373486",1,3848.0,鳳山分局,,,,,,,
一般建築,FS0465,區新武里,新武里,高雄市鳳山區新武里武營路136號,"22.60922468350478, 120.33787375889554",1.2.3,3871.0,鳳山分局,,,,,,,
一般建築,FS6239,區鎮北里,鎮北里,高雄市鳳山區鎮北里北昌五街10號,"22.644552,120.37554",2,3873.0,鳳山分局,,,,,,,
一般建築,FS3382,區保安里,保安里,高雄市鳳山區保安里鳳甲二街182號,"22.597351,120.345657",1,3944.0,鳳山分局,,,,,,,
一般建築,FS5406,區福誠里,福誠里,高雄市鳳山區福誠里瑞春街14巷23號,"22.59634,120.323305",1,3968.0,鳳山分局,,,,,,,
一般建築,FS6231,區鎮北里,鎮北里,高雄市鳳山區鎮北里北文街124號,"22.643851,120.368951",1,4002.0,鳳山分局,,,,,,,
一般建築,FS1610,區文德里,文德里,高雄市鳳山區文德里2鄰文中街232巷15號,"22.64252,120.352672",2,4004.0,鳳山分局,,,,,,,
一般建築,FS6240,區鎮北里,鎮北里,高雄市鳳山區鎮北里北昌路42號,"22.645769,120.372632",2,4029.0,鳳山分局,,,,,,,
一般建築,FS5404,區福誠里,福誠里,高雄市鳳山區福誠里瑞智街14巷18號,"22.63202638,120.369778155461",1,4036.0,鳳山分局,,,,,,,
一般建築,FS3785,區國泰里,國泰里,高雄市鳳山區國泰里凱旋路224號,"22.613085,120.350151",2,4043.0,鳳山分局,,,,,,,
一般建築,FS6564,區鎮南里,鎮南里,高雄市鳳山區鎮南里20鄰永安街107之1號,"22.598322,120.331042",2,4045.0,鳳山分局,,,,,,,
一般建築,FS6374,區鎮西里,鎮西里,高雄市鳳山區鎮西里信義街60號之1,"22.62736534,120.354490443545",1,4083.0,鳳山分局,,,,,,,
一般建築,FS5773,區興中里,興中里,高雄市鳳山區興中里9鄰五權南路226號,"22.62544,120.353711",2,4103.0,鳳山分局,,,,,,,
一般建築,FS1605,區文德里,文德里,高雄市鳳山區文德里文衡路406號,"22.640742,120.351752",2,4117.0,鳳山分局,,,,,,,
一般建築,FS5407,區福誠里,福誠里,高雄市鳳山區福誠里瑞興路217號,"22.627855,120.365789",2,4155.0,鳳山分局,,,,,,,
一般建築,FS4563,區新甲里,新甲里,高雄市鳳山區新甲里新強路53號,"22.610827,120.342913",1,4214.0,鳳山分局,,,,,,,
一般建築,FS4714,區新強里,新強里,高雄市鳳山區新強里新富路257號,"22.61342,120.343188",1,4263.0,鳳山分局,,,,,,,
一般建築,FS3654,區國光里,國光里,高雄市鳳山區國光里國泰路2段136號,"22.620476,120.347948",1,4267.0,鳳山分局,,,,,,,
一般建築,FS0459,區鎮北里,鎮北里,高雄市鳳山區鎮北里鳳誠路6號,"22.643992,120.369204",2,4345.0,鳳山分局,,,,,,,
一般建築,FS3310,區武漢里,武漢里,高雄市鳳山區武漢里新甲路43號,"22.611122,120.335317",1,4348.0,鳳山分局,,,,,,,
一般建築,FS0467,區鳳東里,鳳東里,高雄市鳳山區鳳東里鳳捷路40號,"22.627233496237668, 120.38564726342018",1.2,4435.0,鳳山分局,,,,,,,
一般建築,FS5409,區福誠里,福誠里,高雄市鳳山區福誠里瑞興路239號,"22.627821,120.366454",2,4511.0,鳳山分局,,,,,,,
一般建築,FS3532,區南和里,南和里,高雄市鳳山區南和里南和街118巷50號,"22.59350809,120.335528315478",1,4569.0,鳳山分局,,,,,,,
一般建築,FS5689,區鳳東里,鳳東里,高雄市鳳山區鳳東里鳳東路516號,"22.619608,120.374189",1,4593.0,鳳山分局,,,,,,,
一般建築,FS1126,區文山里,文山里,高雄市鳳山區文山里八德路102號,"22.638494,120.360288",1,4668.0,鳳山分局,,,,,,,
一般建築,FS3381,區保安里,保安里,高雄市鳳山區保安里鳳甲路536號,"22.598431,120.345986",1,4686.0,鳳山分局,,,,,,,
一般建築,FS1272,區文英里,文英里,高雄市鳳山區文英里文南街51號,"22.637346,120.357891",2,4710.0,鳳山分局,,,,,,,
一般建築,FS5153,區誠信里,誠信里,高雄市鳳山區誠信里誠體街112號,"22.623163,120.37745",2,4874.0,鳳山分局,,,,,,,
一般建築,FS6243,區鎮北里,鎮北里,高雄市鳳山區鎮北里北昌三街80號,"22.645208,120.372118",2,4904.0,鳳山分局,,,,,,,
一般建築,FS5163,區誠德里,誠德里,高雄市鳳山區誠德里鳳東路533號,"22.619471,120.374686",1,4985.0,鳳山分局,,,,,,,
一般建築,FS0463,區福誠里,福誠里,高雄市鳳山區福誠里福誠三街73號,"22.593451206731363, 120.32358532724936",1,5098.0,鳳山分局,,,,,,,
一般建築,FS4810,區新富里,新富里,高雄市鳳山區新富里凱旋路305號,"22.613885,120.348243",1,5241.0,鳳山分局,,,,,,,
一般建築,FS5211,區福祥里,福祥里,高雄市鳳山區福祥里福誠三街85號,"22.592997,120.322973",2,5340.0,鳳山分局,,,,,,,
一般建築,FS4909,區新樂里,新樂里,高雄市鳳山區新樂里新康街140號,"22.608937,120.344668",1,5427.0,鳳山分局,,,,,,,
一般建築,FS5412,區福誠里,福誠里,高雄市鳳山區福誠里三誠路69號,"22.593463,120.325059",2,5479.0,鳳山分局,,,,,,,
一般建築,FS4952,區新興里,新興里,高雄市鳳山區新興里維新路126號,"22.624613,120.361618",2,5932.0,鳳山分局,,,,,,,
一般建築,FS0462,區鎮北里,鎮北里,高雄市鳳山區鎮北里北賢街85號,"22.641790820694943, 120.37021909966002",2,5974.0,鳳山分局,,,,,,,
一般建築,FS1579,區文德里,文德里,高雄市鳳山區文德里文衡路291號,"22.639897,120.353489",1,6218.0,鳳山分局,,,,,,,
一般建築,FS0455,區過埤里,過埤里,高雄市鳳山區過埤里鳳頂路229號,"22.591557,120.358431",3,6262.0,鳳山分局,,,,,,,
一般建築,FS6245,區鎮北里,鎮北里,高雄市鳳山區鎮北里北賢街165號,"22.643138,120.370107",2,6339.0,鳳山分局,,,,,,,
一般建築,FS1897,區北門里,北門里,高雄市鳳山區北門里鳳仁路110巷268號,"22.643025,120.37424",2,6687.0,鳳山分局,,,,,,,
一般建築,FS1123,區文山里,文山里,高雄市鳳山區文山里八德路二段146號,"22.644008,120.355194",1,6728.0,鳳山分局,,,,,,,
一般建築,FS5164,區誠德里,誠德里,高雄市鳳山區誠德里鳳東路609號,"22.618227,120.37362",1,7016.0,鳳山分局,,,,,,,
一般建築,FS6235,區新興里,新興里,高雄市鳳山區新興里經武路30號,"22.627099,120.362638",2,7223.0,鳳山分局,,,,,,,
一般建築,FS0340,區中正里,中正里,高雄市鳳山區中正里11鄰瑞興路456號,"22.630928,120.37109",1,7353.0,鳳山分局,,,,,,,
一般建築,FS0466,區東門里,東門里,高雄市鳳山區東門里東福街16號,"22.6231217517096, 120.37545848729022",1.2.3.4,7585.0,鳳山分局,,,,,,,
一般建築,FS0461,區南成里,南成里,高雄市鳳山區南成里國慶九街186號,"22.588701,120.339399",3,8503.0,鳳山分局,,,,,,,
一般建築,FS1590,區文德里,文德里,高雄市鳳山區文德里八德路二段149號,"22.644102,120.354828",1,8852.0,鳳山分局,,,,,,,
一般建築,FS3653,區國光里,國光里,高雄市鳳山區國光里新富路600號,"22.616085,120.349107",1,9446.0,鳳山分局,,,,,,,
一般建築,FS4821,區新富里,新富里,高雄市鳳山區新富里凱旋路397號,"22.616396,120.344516",1,9510.0,鳳山分局,,,,,,,
一般建築,FS2324,區協和里,協和里,高雄市鳳山區協和里國泰路二段156號,"22.621065,120.347247",1,10223.0,鳳山分局,,,,,,,
一般建築,FS3383,區保安里,保安里,高雄市鳳山區保安里鳳甲路539號,"22.598262,120.34567",1,10311.0,鳳山分局,,,,,,,
一般建築,FS5212,區福祥里,福祥里,高雄市鳳山區福祥里福誠二街97號,"22.592185,120.323271",2,11015.0,鳳山分局,,,,,,,
一般建築,FS0453,區鎮北里,鎮北里,高雄市鳳山區鎮北里北賢街59號,"22.639807,120.369763",2,13256.0,鳳山分局,,,,,,,
一般建築,FS0341,區中正里,中正里,高雄市鳳山區中正里12鄰工協街81號,"22.629716,120.371033",1,20523.0,鳳山分局,,,,,,,
一般建築,FS2267,區中崙里,中崙里,高雄市鳳山區中崙里中崙四路1號,"22.59925,120.352765",1,20713.0,鳳山分局,,,,,,,
一般建築,FS0541,區中榮里,中榮里,高雄市鳳山區中榮里中崙二路583巷18號,"22.597584,120.35426",1,28000.0,鳳山分局,,,,,,,
一般建築,FS0540,區中榮里,中榮里,高雄市鳳山區中榮里中崙路586號,"22.602007,120.351915",1,36009.0,鳳山分局,,,,,,,
一般建築,FS469,區忠義里,忠義里,高雄市鳳山區忠義里中山西路376號,"22.628859196239087, 120.34160729332862",2,11647.0,鳳山分局,,,,,,,
一般建築,FS3872,區國隆里,國隆里,高雄市鳳山區國隆里南京路421巷19號,"22.615278,120.34464",1.2.,1293.0,鳳山分局,,,,,,,
一般建築,FS475,區新武里,新武里,高雄市鳳山區新武里武營路52巷90號,"22.607252041139894, 120.34000201859159",2,1336.0,鳳山分局,,,,,,,
一般建築,QJ4070,區明孝里,明孝里,高雄市前鎮區明孝里國光路80號,"22.571126,120.324106",1,63.0,前鎮分局,,,,,,,
一般建築,QJ4028,區瑞西里,瑞西里,高雄市前鎮區瑞西里瑞祥街22號,"22.608207,120.329008",1,75.0,前鎮分局,,,,,,,
一般建築,QJ2306,區盛興里,盛興里,高雄市前鎮區盛興里林森三路192巷10號,"22.61492,120.309181",1,86.0,前鎮分局,,,,,,,
一般建築,QJ3961,區瑞和里,瑞和里,高雄市前鎮區瑞和里崗山橫街51號,"22.6041122,120.332067038509",1,88.0,前鎮分局,,,,,,,
一般建築,QJ3767,區西山里,西山里,高雄市前鎮區西山里一德路41號,"22.609966,120.308401",1,94.0,前鎮分局,,,,,,,
一般建築,QJ3884,區忠孝里,忠孝里,高雄市前鎮區忠孝里廣西路398號,"22.615074,120.31099",1,112.0,前鎮分局,,,,,,,
一般建築,QJ3570,區竹西里,竹西里,高雄市前鎮區竹西里和平二路94號,"22.608901,120.321647",1,128.0,前鎮分局,,,,,,,
一般建築,QJ2348,區忠孝里,忠孝里,高雄市前鎮區忠孝里三多二路423號,"22.617591,120.316055",1,129.0,前鎮分局,,,,,,,
一般建築,QJ4158,區鎮北里,鎮北里,高雄市前鎮區鎮北里大華三路16之1號,"22.60704,120.284893",4,134.0,前鎮分局,,,,,,,
一般建築,QJ4044,區盛興里,盛興里,高雄市前鎮區盛興里復興三路156之1號,"22.612303,120.311531",1,136.0,前鎮分局,,,,,,,
一般建築,QJ4002,區竹西里,竹西里,高雄市前鎮區竹西里和平二路58號,"22.608114,120.321371",1,144.0,前鎮分局,,,,,,,
一般建築,QJ3680,區草衙里,草衙里,高雄市前鎮區草衙里后平路107號,"22.57198171,120.321616725017",1,144.0,前鎮分局,,,,,,,
一般建築,QJ3935,區忠孝里,忠孝里,高雄市前鎮區忠孝里廣西路478號,"22.614449,120.308479",1,146.0,前鎮分局,,,,,,,
一般建築,QJ4022,區竹北里,竹北里,高雄市前鎮區竹北里廣州三街48號,"22.61333,120.319615",1,152.0,前鎮分局,,,,,,,
一般建築,QJ3942,區草衙里,草衙里,高雄市前鎮區草衙里佛道路58號,"22.575493,120.323323",1,152.0,前鎮分局,,,,,,,
一般建築,QJ3700,區明孝里,明孝里,高雄市前鎮區明孝里漁港北一路66號,"22.575105,120.315884",1,155.0,前鎮分局,,,,,,,
一般建築,QJ4030,區草衙里,草衙里,高雄市前鎮區草衙里后平路120巷13號,"22.572478,120.321972",1,157.0,前鎮分局,,,,,,,
一般建築,QJ4052,區西甲里,西甲里,高雄市前鎮區西甲里一心二路11號,"22.610257,120.312445",1,158.0,前鎮分局,,,,,,,
一般建築,QJ3773,區西甲里,西甲里,高雄市前鎮區西甲里滇池街34號,"22.611242,120.306772",1,161.0,前鎮分局,,,,,,,
一般建築,QJ4068,區盛興里,盛興里,高雄市前鎮區盛興里三多三路149號,"22.615648,120.310249",1,163.0,前鎮分局,,,,,,,
一般建築,QJ4020,區竹西里,竹西里,高雄市前鎮區竹西里育樂路138號,"22.60931,120.323481",1,165.0,前鎮分局,,,,,,,
一般建築,QJ4016,區草衙里,草衙里,高雄市前鎮區草衙里佛東路87號,"22.576149,120.323657",1,167.0,前鎮分局,,,,,,,
一般建築,QJ4081,區草衙里,草衙里,高雄市前鎮區草衙里草衙中街19號,"22.577369,120.321738",1,167.0,前鎮分局,,,,,,,
一般建築,QJ4223,區盛興里,盛興里,高雄市前鎮區盛興里復興三路78號,"22.609106,120.30951",1,167.0,前鎮分局,,,,,,,
一般建築,QJ3908,區興東里,興東里,高雄市前鎮區興東里景德路15號,"22.611947,120.314867",1,168.0,前鎮分局,,,,,,,
一般建築,QJ4025,區草衙里,草衙里,高雄市前鎮區草衙里佛佑路25號,"22.573111,120.3248",1,174.0,前鎮分局,,,,,,,
一般建築,QJ2748,區興東里,興東里,高雄市前鎮區興東里光華二路286號,"22.614608,120.31836",1,175.0,前鎮分局,,,,,,,
一般建築,QJ2748,區瑞和里,瑞和里,高雄市前鎮區瑞和里崗山中街191巷9弄9號,"22.60267056,120.327702773452",1,176.0,前鎮分局,,,,,,,
一般建築,QJ3959,區草衙里,草衙里,高雄市前鎮區草衙里佛德街189號,"22.574311,120.320665",1,183.0,前鎮分局,,,,,,,
一般建築,QJ3977,區草衙里,草衙里,高雄市前鎮區草衙里草衙中街59號,"22.577746,120.321252",1,184.0,前鎮分局,,,,,,,
一般建築,QJ3981,區草衙里,草衙里,高雄市前鎮區草衙里天后街4號,"22.572353,120.322791",1,187.0,前鎮分局,,,,,,,
一般建築,QJ3778,區西山里,西山里,高雄市前鎮區西山里聖德二街7號,"22.609548,120.311314",1,193.0,前鎮分局,,,,,,,
一般建築,QJ4136,區草衙里,草衙里,高雄市前鎮區草衙里佛佑路208號,"22.575617,120.323083",1,195.0,前鎮分局,,,,,,,
一般建築,QJ4314,區興東里,興東里,高雄市前鎮區興東里天山路23號,"22.610586,120.31488",1,195.0,前鎮分局,,,,,,,
一般建築,QJ4171,區盛興里,盛興里,高雄市前鎮區盛興里林森三路193巷15號,"22.614463,120.307959",1,198.0,前鎮分局,,,,,,,
一般建築,QJ4014,區草衙里,草衙里,高雄市前鎮區草衙里佛南街88號,"22.570889,120.324743",1,205.0,前鎮分局,,,,,,,
一般建築,QJ4013,區草衙里,草衙里,高雄市前鎮區草衙里佛南街94號,"22.570789,120.324723",1,205.0,前鎮分局,,,,,,,
一般建築,QJ3779,區民權里,民權里,高雄市前鎮區民權里民興街15號,"22.609411,120.31135",1,206.0,前鎮分局,,,,,,,
一般建築,QJ4055,區竹西里,竹西里,高雄市前鎮區竹西里和平二路121之1號,"22.609725,120.321493",1,212.0,前鎮分局,,,,,,,
一般建築,QJ3939,區竹中里,竹中里,高雄市前鎮區竹中里英德街723號,"22.613983,120.320331",1,216.0,前鎮分局,,,,,,,
一般建築,QJ3980,區草衙里,草衙里,高雄市前鎮區草衙里天倫街37號,"22.571649,120.32364",1,220.0,前鎮分局,,,,,,,
一般建築,QJ3774,區西山里,西山里,高雄市前鎮區西山里修文一街29號,"22.611077,120.30816",1,227.0,前鎮分局,,,,,,,
一般建築,QJ4156,區良和里,良和里,高雄市前鎮區良和里滇池街44巷10之1號,"22.611456,120.306942",1,233.0,前鎮分局,,,,,,,
一般建築,QJ4007,區竹西里,竹西里,高雄市前鎮區竹西里和平二路303號,"22.615518,120.322366",1,234.0,前鎮分局,,,,,,,
一般建築,QJ4295,區平等里,平等里,高雄市前鎮區平等里翠亨北路263號,"22.588739,120.321122",1,237.0,前鎮分局,,,,,,,
一般建築,QJ4051,區盛興里,盛興里,高雄市前鎮區盛興里三多三路215號,"22.614276,120.30614",2,237.0,前鎮分局,,,,,,,
一般建築,QJ1713,區忠孝里,忠孝里,高雄市前鎮區忠孝里廣西路435號,"22.614671,120.309916",1,238.0,前鎮分局,,,,,,,
一般建築,QJ4230,區仁愛里,仁愛里,高雄市前鎮區仁愛里衙愛街68號,"22.583853,120.319272",1,240.0,前鎮分局,,,,,,,
一般建築,QJ3829,區竹北里,竹北里,高雄市前鎮區竹北里廣州三街50號,"22.61352,120.319625",1,241.0,前鎮分局,,,,,,,
一般建築,QJ4039,區竹西里,竹西里,高雄市前鎮區竹西里和平二路228號,"22.613191,120.322777",1,248.0,前鎮分局,,,,,,,
一般建築,QJ3932,區西甲里,西甲里,高雄市前鎮區西甲里一心二路35號,"22.610855,120.311125",1,249.0,前鎮分局,,,,,,,
一般建築,QJ3024,區瑞豐里,瑞豐里,高雄市前鎮區瑞豐里班超路92號,"22.602633,120.324938",1,252.0,前鎮分局,,,,,,,
一般建築,QJ4232,區瑞和里,瑞和里,高雄市前鎮區瑞和里武慶一路216號,"22.607431,120.332306",1,257.0,前鎮分局,,,,,,,
一般建築,QJ1586,區瑞隆里,瑞隆里,高雄市前鎮區瑞隆里瑞隆路519號,"22.60508089,120.327737038509",1,262.0,前鎮分局,,,,,,,
一般建築,QJ3203,區草衙里,草衙里,高雄市前鎮區草衙里后安路263號,"22.572054,120.320746",1,263.0,前鎮分局,,,,,,,
一般建築,QJ3991,區明孝里,明孝里,高雄市前鎮區明孝里國光路85號,"22.570941,120.324271",1,265.0,前鎮分局,,,,,,,
一般建築,QJ1562,區興東里,興東里,高雄市前鎮區興東里民權二路407巷2號,"22.611913,120.313494",1,266.0,前鎮分局,,,,,,,
一般建築,QJ4164,區振興里,振興里,"高雄市前鎮區振興里中山二路 208號","22.611388,120.305983",1,270.0,前鎮分局,,,,,,,
一般建築,QJ4099,區盛豐里,盛豐里,高雄市前鎮區盛豐里修文街196號,"22.61328,120.310176",1,273.0,前鎮分局,,,,,,,
一般建築,QJ3556,區盛興里,盛興里,高雄市前鎮區盛興里復興三路447號,"22.61532,120.311657",1,274.0,前鎮分局,,,,,,,
一般建築,QJ4027,區振興里,振興里,高雄市前鎮區振興里中華五路1320號,"22.60696209,120.304719225018",1,284.0,前鎮分局,,,,,,,
一般建築,QJ3989,區盛興里,盛興里,高雄市前鎮區盛興里林森三路110號,"22.612677,120.308413",1,287.0,前鎮分局,,,,,,,
一般建築,QJ2643,區盛興里,盛興里,高雄市前鎮區盛興里林森三路94號,"22.612168,120.308176",1,296.0,前鎮分局,,,,,,,
一般建築,QJ2533,區復國里,復國里,高雄市前鎮區復國里光華二路449號,"22.617958,120.317679",1,300.0,前鎮分局,,,,,,,
一般建築,QJ3954,區盛興里,盛興里,高雄市前鎮區盛興里復興三路156號,"22.612321,120.311449",2,311.0,前鎮分局,,,,,,,
一般建築,QJ3794,區民權里,民權里,高雄市前鎮區民權里民權二路198號,"22.607545,120.311891",1,315.0,前鎮分局,,,,,,,
