類別,檔案卡電腦編號,里別,防空疏散避難設施地址,地下層數位址,可容納數
大樓,WRA00361,木柵里,臺北市文山區秀明路一段110號,2.0,330.0
大樓,WRA00362,木柵里,臺北市文山區秀明路一段134號,1.0,149.0
公寓,WRA00363,木柵里,臺北市文山區秀明路一段68號,2.0,656.0
公寓,WRA00364,木柵里,臺北市文山區秀明路一段74號,1.0,512.0
公寓,WRA00365,木柵里,臺北市文山區秀明路一段103巷7號,1.0,93.0
大樓,WRA00366,木柵里,臺北市文山區秀明路一段103巷9弄3號,1.0,313.0
公寓,WRA00367,木柵里,臺北市文山區秀明路一段129巷3號,1.0,357.0
公寓,WRA00371,木柵里,臺北市文山區秀明路一段79巷3弄21號,1.0,530.0
大樓,WRA01069,木柵里,臺北市文山區秀明路一段79巷5弄19號,1.0,318.0
大樓,WRA01243,木柵里,臺北市文山區秀明路一段126號,2.0,1701.0
大樓,WRA01256,木柵里,臺北市文山區秀明路一段199號,2.0,1085.0
大樓,WRA01266,木柵里,臺北市文山區秀明路一段138號,1.0,398.0
大樓,WRA01285,木柵里,臺北市文山區秀明路一段31號,3.0,690.0
大樓,WRA01287,木柵里,臺北市文山區秀明路一段197號,3.0,377.0
大樓,WRA01103,木柵里,臺北市文山區久康街8號,2.0,354.0
大樓,WRA01129,木柵里,臺北市文山區木柵路三段53號,2.0,1474.0
大樓,WRA01132,木柵里,臺北市文山區木柵路三段77號,2.0,1136.0
公寓,WRA01133,木柵里,臺北市文山區木柵路三段79號,1.0,580.0
大樓,WRA01141,木柵里,臺北市文山區木柵路三段77巷7號,1.0,606.0
大樓,WRA01143,木柵里,臺北市文山區木柵路三段85巷24號,2.0,242.0
大樓,WRA01144,木柵里,臺北市文山區木柵路三段85巷26號,1.0,317.0
公寓,WRA01145,木柵里,臺北市文山區木柵路三段85巷27號,1.0,177.0
大樓,WRA01151,木柵里,臺北市文山區木柵路三段85巷8弄2號,1.0,698.0
大樓,WRA01152,木柵里,臺北市文山區木柵路三段85巷8弄5號,1.0,544.0
大樓,WRA01181,木柵里,臺北市文山區木柵路三段85巷10號,1.0,552.0
大樓,WRA01199,木柵里,臺北市文山區木柵路三段59號,2.0,1865.0
大樓,WRA01208,木柵里,臺北市文山區木柵路三段25巷5號,1.0,265.0
大樓,WRA01273,木柵里,臺北市文山區久康街24巷8號,4.0,2784.0
大樓,WRA01276,木柵里,臺北市文山區木柵路三段85巷16號,1.0,190.0
大樓,WRA01289,木柵里,臺北市文山區久康街26號,1.0,333.0
大樓,WRA01387,木柵里,臺北市文山區久康街24巷36號,1.0,1670.0
大樓,WRA00499,木柵里,臺北市文山區保儀路12號,3.0,1249.0
大樓,WRA00510,木柵里,臺北市文山區保儀路26巷3號,1.0,1237.0
公寓,WRA01119,木柵里,臺北市文山區木柵路二段204巷15號,1.0,369.0
大樓,WRA01125,木柵里,臺北市文山區木柵路三段92-96號,4.0,1256.0
