類別,檔案卡電腦編號,里別,防空疏散避難設施地址,地下層數位址,可容納數
大樓,WRA01127,木柵里,臺北市文山區木柵路三段42號,1.0,4264.0
公寓,WRA01134,木柵里,臺北市文山區木柵路三段80號,1.0,89.0
大樓,WRA01140,木柵里,臺北市文山區木柵路三段48巷1弄1號,2.0,6145.0
大樓,WRA01352,木柵里,臺北市文山區保儀路58號,1.0,2470.0
大樓,WRA01339,木柵里,臺北市文山區興隆路四段109巷125號,1.0,3413.0
公寓,WRA00101,木柵里,臺北市文山區木柵路二段169號,1.0,156.0
公寓,WRA01099,木柵里,臺北市文山區久康街123號,1.0,380.0
公寓,WRA01100,木柵里,臺北市文山區久康街137號,1.0,380.0
大樓,WRA01104,木柵里,臺北市文山區久康街88號,1.0,2016.0
大樓,WRA01105,木柵里,臺北市文山區久康街89號,2.0,689.0
公寓,WRA01107,木柵里,臺北市文山區久康街96號,1.0,110.0
公寓,WRA01108,木柵里,臺北市文山區久康街97號,1.0,138.0
公寓,WRA01114,木柵里,臺北市文山區久康街60巷1號,1.0,477.0
公寓,WRA01115,木柵里,臺北市文山區久康街72巷1號,1.0,98.0
大樓,WRA01234,木柵里,臺北市文山區久康街50號,3.0,1453.0
大樓,WRA01247,木柵里,臺北市文山區久康街24巷7號,1.0,449.0
大樓,WRA01261,木柵里,臺北市文山區久康街24巷9號,1.0,408.0
公寓,WRA01085,木柵里,臺北市文山區久康街165號,1.0,237.0
公寓,WRA01097,木柵里,臺北市文山區久康街100號,1.0,172.0
大樓,WRA01102,木柵里,臺北市文山區久康街157-2號,1.0,348.0
公寓,WRA01110,木柵里,臺北市文山區久康街110巷12號,1.0,125.0
公寓,WRA01111,木柵里,臺北市文山區久康街110巷2弄2-12號,1.0,230.0
公寓,WRA01120,木柵里,臺北市文山區木柵路三段147號,1.0,92.0
公寓,WRA01149,木柵里,臺北市文山區木柵路三段85巷23弄1號,1.0,172.0
公寓,WRA01150,木柵里,臺北市文山區木柵路三段85巷23弄15號,1.0,152.0
大樓,WRA01178,木柵里,臺北市文山區木柵路三段85巷23弄12-18號,1.0,464.0
大樓,WRA01179,木柵里,臺北市文山區木柵路三段85巷23弄28號,1.0,2122.0
大樓,WRA01195,木柵里,臺北市文山區木柵路三段127號,1.0,1562.0
大樓,WRA01205,木柵里,臺北市文山區木柵路三段169巷20號,1.0,1077.0
大樓,WRA01347,木柵里,臺北市文山區久康街155號,3.0,1188.0
大樓,WRA01351,木柵里,臺北市文山區木柵路三段85號,1.0,2016.0
大樓,WRA01292,木柵里,臺北市文山區木柵路三段177號,5.0,2848.0
大樓,WRA01315,木柵里,臺北市文山區久康街110巷2弄11號,1.0,102.0
大樓,WRA01384,木柵里,臺北市文山區久康街169巷6號,1.0,196.0
公寓,WRA00505,木新里,臺北市文山區保儀路31號,1.0,180.0
公寓,WRA00661,木新里,臺北市文山區開元街22號,1.0,233.0
公寓,WRA00662,木新里,臺北市文山區開元街27號,1.0,398.0
公寓,WRA00663,木新里,臺北市文山區開元街40號,1.0,116.0
公寓,WRA00664,木新里,臺北市文山區開元街46號,1.0,84.0
公寓,WRA00665,木新里,臺北市文山區集英街7號,1.0,308.0
公寓,WRA00666,木新里,臺北市文山區集英街35號,1.0,313.0
大樓,WRA01066,木新里,臺北市文山區指南路一段37號,3.0,2969.0
大樓,WRA01068,木新里,臺北市文山區指南路一段14巷6號,1.0,588.0
大樓,WRA01297,木新里,臺北市文山區保儀路13巷38號,1.0,665.0
大樓,WRA01335,木新里,臺北市文山區保儀路9號,1.0,1236.0
大樓,WRA01372,木新里,臺北市文山區木柵路三段168號,5.0,818.0
公寓,WRA00345,木新里,臺北市文山區永安街2號,1.0,260.0
公寓,WRA00350,木新里,臺北市文山區永安街22巷17號,1.0,392.0
公寓,WRA00351,木新里,臺北市文山區永安街22巷24號,1.0,341.0
大樓,WRA00354,木新里,臺北市文山區永安街22巷9弄5號,1.0,2050.0
大樓,WRA00502,木新里,臺北市文山區保儀路127號,1.0,1270.0
公寓,WRA00512,木新里,臺北市文山區保儀路109巷3弄18號,1.0,320.0
公寓,WRA01200,木新里,臺北市文山區保儀路109巷3弄16號,1.0,166.0
大樓,WRA01371,木新里,臺北市文山區保儀路127號,1.0,900.0
大樓,WRA01286,木新里,臺北市文山區保儀路127號,1.0,1324.0
公寓,WRA00182,木新里,臺北市文山區木新路二段103號,1.0,142.0
公寓,WRA00183,木新里,臺北市文山區木新路二段109號,1.0,73.0
公寓,WRA00185,木新里,臺北市文山區木新路二段113號,1.0,204.0
公寓,WRA00186,木新里,臺北市文山區木新路二段117號,1.0,48.0
公寓,WRA00188,木新里,臺北市文山區木新路二段123號,1.0,132.0
公寓,WRA00207,木新里,臺北市文山區木新路二段91號,1.0,172.0
公寓,WRA00208,木新里,臺北市文山區木新路二段99號,1.0,85.0
公寓,WRA00209,木新里,臺北市文山區木新路二段111巷11號,1.0,80.0
公寓,WRA00210,木新里,臺北市文山區木新路二段111巷2號,1.0,121.0
公寓,WRA00222,木新里,臺北市文山區木新路二段111巷6弄12號,1.0,186.0
公寓,WRA00225,木新里,臺北市文山區木新路二段111巷6弄20號,1.0,680.0
公寓,WRA00254,木新里,臺北市文山區木新路二段79巷10號,1.0,93.0
公寓,WRA00255,木新里,臺北市文山區木新路二段79巷2號,1.0,122.0
大樓,WRA00256,木新里,臺北市文山區木新路二段79巷12弄16號,2.0,1586.0
公寓,WRA00257,木新里,臺北市文山區木新路二段79巷12弄20號,1.0,48.0
公寓,WRA00258,木新里,臺北市文山區木新路二段79巷12弄22號,1.0,189.0
公寓,WRA00259,木新里,臺北市文山區木新路二段79巷6弄1號,1.0,98.0
公寓,WRA00260,木新里,臺北市文山區木新路二段79巷6弄14號,1.0,109.0
公寓,WRA00261,木新里,臺北市文山區木新路二段79巷6弄18號,1.0,300.0
公寓,WRA00262,木新里,臺北市文山區木新路二段79巷6弄23號,1.0,102.0
公寓,WRA00263,木新里,臺北市文山區木新路二段79巷6弄25號,1.0,189.0
公寓,WRA00264,木新里,臺北市文山區木新路二段79巷6弄4號,1.0,82.0
公寓,WRA00265,木新里,臺北市文山區木新路二段79巷6弄5號,1.0,398.0
公寓,WRA00266,木新里,臺北市文山區木新路二段79巷6弄6號,1.0,158.0
大樓,WRA01321,木新里,臺北市文山區木新路二段121號,1.0,180.0
大樓,WRA00180,木新里,臺北市文山區木新路二段128號,2.0,722.0
公寓,WRA00184,木新里,臺北市文山區木新路二段110號,1.0,444.0
公寓,WRA00206,木新里,臺北市文山區木新路二段88號,1.0,480.0
大樓,WRA01193,木新里,臺北市文山區木新路二段78號,2.0,1940.0
公寓,WRA00211,木新里,臺北市文山區木新路二段111巷8號,1.0,65.0
大樓,WRA00213,木新里,臺北市文山區木新路二段111巷12弄1號,1.0,928.0
公寓,WRA00214,木新里,臺北市文山區木新路二段111巷12弄18號,1.0,112.0
公寓,WRA00216,木新里,臺北市文山區木新路二段111巷12弄2號,1.0,74.0
公寓,WRA00217,木新里,臺北市文山區木新路二段111巷12弄22號,1.0,117.0
公寓,WRA00218,木新里,臺北市文山區木新路二段111巷12弄26號,1.0,289.0
公寓,WRA00219,木新里,臺北市文山區木新路二段111巷12弄6號,1.0,102.0
公寓,WRA00220,木新里,臺北市文山區木新路二段111巷12弄8號,1.0,92.0
公寓,WRA00221,木新里,臺北市文山區木新路二段111巷6弄1號,1.0,124.0
公寓,WRA00223,木新里,臺北市文山區木新路二段111巷6弄13號,1.0,61.0
公寓,WRA00224,木新里,臺北市文山區木新路二段111巷6弄17號,1.0,186.0
公寓,WRA00226,木新里,臺北市文山區木新路二段111巷6弄5號,1.0,182.0
大樓,WRA00227,木新里,臺北市文山區木新路二段161巷18號,1.0,444.0
公寓,WRA00228,木新里,臺北市文山區木新路二段161巷2號,1.0,436.0
大樓,WRA00229,木新里,臺北市文山區木新路二段161巷20號,1.0,508.0
公寓,WRA00230,木新里,臺北市文山區木新路二段161巷8號,1.0,74.0
公寓,WRA00231,木新里,臺北市文山區木新路二段161巷12弄14號,1.0,158.0
公寓,WRA00232,木新里,臺北市文山區木新路二段161巷12弄22號,1.0,81.0
公寓,WRA00233,木新里,臺北市文山區木新路二段161巷12弄6號,1.0,218.0
大樓,WRA00234,木新里,臺北市文山區木新路二段161巷19弄5號,1.0,581.0
大樓,WRA00235,木新里,臺北市文山區木新路二段161巷24弄2號,1.0,140.0
公寓,WRA00236,木新里,臺北市文山區木新路二段161巷6弄1號,1.0,261.0
公寓,WRA00237,木新里,臺北市文山區木新路二段161巷6弄15號,1.0,58.0
公寓,WRA00238,木新里,臺北市文山區木新路二段161巷6弄21號,1.0,153.0
公寓,WRA00239,木新里,臺北市文山區木新路二段161巷6弄8號,1.0,656.0
大樓,WRA00181,木新里,臺北市文山區木新路二段1號,1.0,2997.0
大樓,WRA00190,木新里,臺北市文山區木新路二段2號,1.0,440.0
公寓,WRA00201,木新里,臺北市文山區木新路二段4號,1.0,449.0
公寓,WRA00202,木新里,臺北市文山區木新路二段50號,1.0,1196.0
公寓,WRA00203,木新里,臺北市文山區木新路二段59-2號,1.0,441.0
公寓,WRA00204,木新里,臺北市文山區木新路二段60號,1.0,313.0
大樓,WRA00251,木新里,臺北市文山區木新路二段43巷15號,3.0,1480.0
大樓,WRA00252,木新里,臺北市文山區木新路二段43巷6號,2.0,1392.0
公寓,WRA00253,木新里,臺北市文山區木新路二段69巷11弄1號,1.0,76.0
公寓,WRA00346,木新里,臺北市文山區永安街29號,1.0,132.0
公寓,WRA00349,木新里,臺北市文山區永安街9號,1.0,184.0
大樓,WRA01230,木新里,臺北市文山區指南路一段55號,2.0,1077.0
大樓,WRA01326,木新里,臺北市文山區指南路一段96巷2號,2.0,138.0
公寓,WRA01375,木新里,臺北市文山區木新路二段43巷25號,1.0,310.0
大樓,WRA00112,明興里,臺北市文山區木柵路二段109巷100弄12號,1.0,5032.0
公寓,WRA00098,明興里,臺北市文山區木柵路二段141號,1.0,89.0
公寓,WRA00360,明興里,臺北市文山區秀明路一段19巷8號,1.0,924.0
公寓,WRA00368,明興里,臺北市文山區秀明路一段19巷3弄1號,1.0,210.0
公寓,WRA00369,明興里,臺北市文山區秀明路一段19巷3弄2號,1.0,480.0
大樓,WRA01203,明興里,臺北市文山區秀明路一段7號,1.0,584.0
公寓,WRA00858,明興里,臺北市文山區興隆路四段19號,1.0,88.0
公寓,WRA00862,明興里,臺北市文山區興隆路四段21號,1.0,388.0
公寓,WRA00864,明興里,臺北市文山區興隆路四段33號,1.0,465.0
公寓,WRA00932,明興里,臺北市文山區興隆路四段29巷2弄18號,1.0,170.0
公寓,WRA00933,明興里,臺北市文山區興隆路四段29巷2弄2號,1.0,198.0
公寓,WRA01116,明興里,臺北市文山區木柵路二段109巷25弄2號,1.0,1017.0
公寓,WRA00930,明興里,臺北市文山區興隆路四段29巷2弄1號,1.0,198.0
公寓,WRA00931,明興里,臺北市文山區興隆路四段29巷2弄13號,1.0,254.0
公寓,WRA00935,明興里,臺北市文山區興隆路四段29巷4弄14號,1.0,696.0
公寓,WRA00936,明興里,臺北市文山區興隆路四段29巷4弄2號,1.0,557.0
公寓,WRA00937,明興里,臺北市文山區興隆路四段29巷4弄21號,1.0,128.0
公寓,WRA00938,明興里,臺北市文山區興隆路四段29巷4弄27號,1.0,246.0
大樓,WRA00939,明興里,臺北市文山區興隆路四段29巷4弄7號,1.0,1500.0
大樓,WRA00943,明興里,臺北市文山區興隆路四段57巷1號,1.0,521.0
公寓,WRA00944,明興里,臺北市文山區興隆路四段57巷3號,1.0,156.0
大樓,WRA01026,明興里,臺北市文山區木柵路二段55號,4.0,1264.0
大樓,WRA01051,明興里,臺北市文山區興隆路四段29巷4弄1號,1.0,1510.0
大樓,WRA00109,明興里,臺北市文山區木柵路二段109巷124號,1.0,2676.0
公寓,WRA00370,明興里,臺北市文山區秀明路一段19巷5弄16號,1.0,513.0
大樓,WRA01117,明興里,臺北市文山區木柵路二段109巷26弄1號,1.0,7821.0
大樓,WRA00884,明義里,臺北市文山區興隆路四段105巷29號,3.0,4916.0
公寓,WRA00885,明義里,臺北市文山區興隆路四段105巷31號,1.0,2780.0
公寓,WRA00886,明義里,臺北市文山區興隆路四段105巷34號,1.0,941.0
大樓,WRA00887,明義里,臺北市文山區興隆路四段105巷42號,1.0,565.0
大樓,WRA00888,明義里,臺北市文山區興隆路四段105巷46-1號,2.0,1594.0
大樓,WRA01091,明義里,臺北市文山區木柵路二段92號,3.0,4024.0
公寓,WRA00103,明義里,臺北市文山區木柵路二段24號,1.0,86.0
大樓,WRA00859,明義里,臺北市文山區興隆路四段2號,1.0,318.0
大樓,WRA00861,明義里,臺北市文山區興隆路四段2號,1.0,1578.0
公寓,WRA00865,明義里,臺北市文山區興隆路四段38號,1.0,145.0
大樓,WRA00868,明義里,臺北市文山區興隆路四段6-3號,1.0,1236.0
大樓,WRA01045,明義里,臺北市文山區興隆路四段8巷25號,1.0,309.0
大樓,WRA01370,明義里,臺北市文山區興隆路四段2之1號,1.0,986.0
大樓,WRA01329,明義里,臺北市文山區興隆路四段2號,1.0,109.0
公寓,WRA01118,明義里,臺北市文山區木柵路二段2巷2號,1.0,1532.0
大樓,WRA00479,忠順里,臺北市文山區忠順街二段1號,1.0,884.0
大樓,WRA00852,忠順里,臺北市文山區興隆路四段111號,2.0,1756.0
大樓,WRA00853,忠順里,臺北市文山區興隆路四段143號,2.0,4518.0
公寓,WRA00893,忠順里,臺北市文山區興隆路四段109巷30弄6號,1.0,1278.0
大樓,WRA01027,忠順里,臺北市文山區興隆路四段115巷8號,2.0,380.0
公寓,WRA01036,忠順里,臺北市文山區興隆路四段115巷5號,1.0,570.0
公寓,WRA01080,忠順里,臺北市文山區興隆路四段145巷12號,1.0,422.0
公寓,WRA01081,忠順里,臺北市文山區興隆路四段段145巷9弄15號,1.0,486.0
公寓,WRA01374,忠順里,臺北市文山區興隆路四段145巷10號,1.0,113.0
公寓,WRA00894,忠順里,臺北市文山區興隆路四段109巷32弄2號,1.0,561.0
大樓,WRA00913,忠順里,臺北市文山區興隆路四段145巷23弄10號,2.0,472.0
大樓,WRA01039,忠順里,臺北市文山區興隆路四段145巷83弄2號,2.0,1281.0
公寓,WRA01046,忠順里,臺北市文山區興隆路四段109巷32弄2之1號,1.0,258.0
大樓,WRA01064,忠順里,臺北市文山區興隆路四段109巷32弄6號,2.0,1417.0
大樓,WRA01086,忠順里,臺北市文山區興隆路四段145巷25號,2.0,2553.0
大樓,WRA01190,忠順里,臺北市文山區興隆路四段109巷32弄2之2號,1.0,466.0
大樓,WRA01207,忠順里,臺北市文山區興隆路四段109巷92弄22號,1.0,348.0
公寓,WRA01258,忠順里,臺北市文山區興隆路四段145巷83弄16號,1.0,1004.0
大樓,WRA00895,忠順里,臺北市文山區興隆路四段109巷32弄5號,1.0,780.0
公寓,WRA00897,忠順里,臺北市文山區興隆路四段109巷92弄25號,1.0,289.0
大樓,WRA01023,忠順里,臺北市文山區興隆路四段109巷32弄9號,3.0,797.0
大樓,WRA01137,忠順里,臺北市文山區木柵路三段102巷14號,1.0,936.0
大樓,WRA01194,忠順里,臺北市文山區興隆路四段109巷32弄11號,2.0,669.0
大樓,WRA01197,忠順里,臺北市文山區興隆路四段109巷34號,1.0,1133.0
大樓,WRA01229,忠順里,臺北市文山區興隆路四段109巷136號,1.0,485.0
大樓,WRA01342,忠順里,臺北市文山區興隆路四段109巷126號,1.0,3029.0
大樓,WRA01336,忠順里,臺北市文山區忠順街二段85巷15號,4.0,3114.0
大樓,WRA01385,忠順里,臺北市文山區忠順街二段85巷3號,4.0,1386.0
公寓,WRA00189,順興里,臺北市文山區木新路二段160號,1.0,436.0
公寓,WRA00191,順興里,臺北市文山區木新路二段204號,1.0,196.0
公寓,WRA00192,順興里,臺北市文山區木新路二段206號,1.0,332.0
公寓,WRA00194,順興里,臺北市文山區木新路二段220號,1.0,37.0
公寓,WRA00199,順興里,臺北市文山區木新路二段250號,1.0,1614.0
公寓,WRA00244,順興里,臺北市文山區木新路二段218巷11號,1.0,649.0
公寓,WRA00246,順興里,臺北市文山區木新路二段218巷8號,1.0,721.0
公寓,WRA00511,順興里,臺北市文山區保儀路129號,1.0,753.0
公寓,WRA01202,順興里,臺北市文山區木新路二段156號,1.0,2340.0
大樓,WRA01361,順興里,臺北市文山區木新路二段238號,1.0,141.0
大樓,WRA01386,順興里,臺北市文山區保儀路129號,3.0,2288.0
大樓,WRA00493,順興里,臺北市文山區忠順街二段92號,1.0,896.0
大樓,WRA00496,順興里,臺北市文山區保儀路120號,1.0,2293.0
公寓,WRA00500,順興里,臺北市文山區保儀路122號,1.0,546.0
公寓,WRA00501,順興里,臺北市文山區保儀路126號,1.0,82.0
公寓,WRA00503,順興里,臺北市文山區保儀路147號,1.0,438.0
公寓,WRA00547,順興里,臺北市文山區恆光街19號,1.0,22.0
公寓,WRA00556,順興里,臺北市文山區恆光街17巷14號,1.0,60.0
公寓,WRA01154,順興里,臺北市文山區忠順街二段90巷26號,1.0,229.0
大樓,WRA01186,順興里,臺北市文山區忠順街二段122巷1號,1.0,1797.0
大樓,WRA00280,順興里,臺北市文山區木新路三段48號,1.0,736.0
公寓,WRA00324,順興里,臺北市文山區木新路三段50巷18號,1.0,297.0
大樓,WRA00480,順興里,臺北市文山區忠順街二段26號,1.0,653.0
大樓,WRA00481,順興里,臺北市文山區忠順街二段30號,1.0,1436.0
大樓,WRA00484,順興里,臺北市文山區忠順街二段54號,1.0,392.0
大樓,WRA00486,順興里,臺北市文山區忠順街二段62號,1.0,440.0
大樓,WRA00489,順興里,臺北市文山區忠順街二段72號,2.0,1344.0
公寓,WRA00490,順興里,臺北市文山區忠順街二段74號,1.0,126.0
公寓,WRA00491,順興里,臺北市文山區忠順街二段80號,1.0,304.0
公寓,WRA00495,順興里,臺北市文山區忠順街二段90巷11號,1.0,322.0
大樓,WRA00497,順興里,臺北市文山區忠順街二段90巷7號,2.0,493.0
大樓,WRA00921,順興里,臺北市文山區興隆路四段165巷41號,1.0,314.0
公寓,WRA00922,順興里,臺北市文山區興隆路四段165巷40弄1號,1.0,225.0
大樓,WRA01015,順興里,臺北市文山區保儀路142巷2-10號,1.0,2109.0
大樓,WRA01062,順興里,臺北市文山區忠順街二段90巷23號,1.0,200.0
大樓,WRA01070,順興里,臺北市文山區興隆路四段165巷61-63號,1.0,470.0
大樓,WRA01089,順興里,臺北市文山區興隆路四段165巷55號,1.0,478.0
公寓,WRA01269,順興里,臺北市文山區中崙路21號,1.0,324.0
大樓,WRA01345,順興里,臺北市文山區興隆路四段165巷48號,1.0,1658.0
大樓,WRA01365,順興里,臺北市文山區木新路三段50巷10弄3號,1.0,894.0
大樓,WRA01303,順興里,臺北市文山區中崙路25巷1號,1.0,396.0
大樓,WRA01277,順興里,臺北市文山區中崙路25巷2號,1.0,280.0
大樓,WRA01293,順興里,臺北市文山區興隆路四段165巷56號,2.0,717.0
公寓,WRA00284,順興里,臺北市文山區木新路三段68號,1.0,69.0
公寓,WRA00325,順興里,臺北市文山區木新路三段50巷7號,1.0,264.0
公寓,WRA00331,順興里,臺北市文山區木新路三段50巷11弄14號,1.0,54.0
公寓,WRA00525,順興里,臺北市文山區木新路三段72號,1.0,442.0
大樓,WRA00855,順興里,臺北市文山區興隆路四段157-1號,1.0,740.0
公寓,WRA00857,順興里,臺北市文山區興隆路四段177-1號,1.0,499.0
公寓,WRA00923,順興里,臺北市文山區興隆路四段165巷40弄2號,1.0,225.0
公寓,WRA00926,順興里,臺北市文山區興隆路四段179巷13號,1.0,178.0
大樓,WRA01067,順興里,臺北市文山區忠順街二段10號,2.0,1445.0
大樓,WRA01071,順興里,臺北市文山區興隆路四段165巷5號,1.0,1277.0
公寓,WRA01228,順興里,臺北市文山區忠順街二段22號,1.0,65.0
公寓,WRA00333,順興里,臺北市文山區木新路三段74巷3號,1.0,33.0
公寓,WRA00863,順興里,臺北市文山區興隆路四段215號,1.0,146.0
公寓,WRA00925,順興里,臺北市文山區興隆路四段179巷12-3號,1.0,702.0
公寓,WRA00928,順興里,臺北市文山區興隆路四段195巷7號,1.0,716.0
大樓,WRA01226,順興里,臺北市文山區興隆路四段197號,2.0,1237.0
公寓,WRA01346,順興里,臺北市文山區興隆路四段219號,1.0,109.0
大樓,WRA01314,順興里,臺北市文山區木新路三段88號,3.0,1364.0
公寓,WRA00193,樟腳里,臺北市文山區木新路二段213號,1.0,169.0
公寓,WRA00196,樟腳里,臺北市文山區木新路二段223號,1.0,320.0
公寓,WRA00198,樟腳里,臺北市文山區木新路二段245號,1.0,64.0
公寓,WRA00240,樟腳里,臺北市文山區木新路二段211巷6弄1號,1.0,598.0
公寓,WRA00241,樟腳里,臺北市文山區木新路二段211巷6弄13號,1.0,197.0
公寓,WRA00242,樟腳里,臺北市文山區木新路二段211巷6弄8號,1.0,265.0
公寓,WRA00549,樟腳里,臺北市文山區恆光街21號,1.0,212.0
公寓,WRA00551,樟腳里,臺北市文山區恆光街37號,1.0,156.0
公寓,WRA00566,樟腳里,臺北市文山區恆光街51巷23號,1.0,181.0
公寓,WRA00567,樟腳里,臺北市文山區恆光街51巷24號,1.0,158.0
公寓,WRA00568,樟腳里,臺北市文山區恆光街61巷13號,1.0,80.0
大樓,WRA00991,樟腳里,臺北市文山區恆光街61巷7號,2.0,765.0
公寓,WRA01047,樟腳里,臺北市文山區恆光街51巷2弄1至7號,1.0,1352.0
大樓,WRA01246,樟腳里,臺北市文山區恆光街61巷27號,1.0,370.0
大樓,WRA01290,樟腳里,臺北市文山區木新路二段211巷10弄1、3號,2.0,878.0
大樓,WRA01307,樟腳里,臺北市文山區恆光街45號,3.0,1002.0
公寓,WRA00248,樟腳里,臺北市文山區木新路二段299巷13弄1號,1.0,68.0
公寓,WRA00538,樟腳里,臺北市文山區木新路二段261號,1.0,86.0
公寓,WRA00539,樟腳里,臺北市文山區恆光街14巷14號,1.0,69.0
公寓,WRA00546,樟腳里,臺北市文山區恆光街16號,1.0,57.0
公寓,WRA00550,樟腳里,臺北市文山區恆光街36號,1.0,42.0
公寓,WRA00553,樟腳里,臺北市文山區恆光街14巷22號,1.0,108.0
公寓,WRA00560,樟腳里,臺北市文山區恆光街22巷10號,1.0,940.0
公寓,WRA00561,樟腳里,臺北市文山區恆光街22巷13號,1.0,641.0
公寓,WRA00562,樟腳里,臺北市文山區恆光街22巷5號,1.0,84.0
公寓,WRA00563,樟腳里,臺北市文山區恆光街30巷6號,1.0,98.0
公寓,WRA00564,樟腳里,臺北市文山區恆光街30巷7號,1.0,728.0
公寓,WRA00565,樟腳里,臺北市文山區恆光街30巷8號,1.0,249.0
大樓,WRA01014,樟腳里,臺北市文山區恆光街28號,1.0,264.0
公寓,WRA01063,樟腳里,臺北市文山區恆光街30巷12.16號,1.0,481.0
大樓,WRA01078,樟腳里,臺北市文山區木新路二段299巷15號,1.0,316.0
公寓,WRA00250,樟腳里,臺北市文山區木新路三段45巷7弄14號,1.0,294.0
公寓,WRA00268,樟腳里,臺北市文山區木新路三段113號,1.0,92.0
公寓,WRA00276,樟腳里,臺北市文山區木新路三段25號,1.0,104.0
大樓,WRA00279,樟腳里,臺北市文山區木新路三段35號,2.0,2033.0
公寓,WRA00281,樟腳里,臺北市文山區木新路三段5號,1.0,349.0
公寓,WRA00283,樟腳里,臺北市文山區木新路三段65號,1.0,32.0
公寓,WRA00285,樟腳里,臺北市文山區木新路三段73號,1.0,77.0
公寓,WRA00320,樟腳里,臺北市文山區木新路三段45巷4號,1.0,106.0
公寓,WRA00321,樟腳里,臺北市文山區木新路三段45巷6弄1號,1.0,140.0
公寓,WRA00322,樟腳里,臺北市文山區木新路三段45巷6弄2號,1.0,166.0
公寓,WRA00339,樟腳里,臺北市文山區木新路三段95巷2-1號,1.0,113.0
公寓,WRA00340,樟腳里,臺北市文山區木新路三段95巷2弄16號,1.0,88.0
公寓,WRA00341,樟腳里,臺北市文山區木新路三段95巷2弄9號,1.0,41.0
大樓,WRA00344,樟腳里,臺北市文山區木新路三段95巷4弄6號,2.0,493.0
公寓,WRA00526,樟腳里,臺北市文山區木新路三段95巷2弄2號,1.0,140.0
大樓,WRA01219,樟腳里,臺北市文山區木新路三段95巷27號,2.0,736.0
公寓,WRA01222,樟腳里,臺北市文山區木新路三段95巷33號,1.0,302.0
大樓,WRA01233,樟腳里,臺北市文山區木新路三段45巷10弄2號,1.0,464.0
大樓,WRA01241,樟腳里,臺北市文山區木新路三段45巷10弄16號,1.0,672.0
大樓,WRA01249,樟腳里,臺北市文山區木新路三段45巷10弄8號,1.0,260.0
大樓,WRA01341,樟腳里,臺北市文山區木新路三段93號,4.0,1973.0
大樓,WRA01356,樟腳里,臺北市文山區木新路三段95巷7弄6號,4.0,1365.0
大樓,WRA01295,樟腳里,臺北市文山區木新路三段45巷10弄12號,1.0,268.0
