地址,避難所在之地下樓層數,經度,緯度,里別,可容納人數,轄管分局,編號
臺中市北屯區天津路4段165號,1.0,120.6903791,24.16924089,平昌里,"  354 ",第五分局,1.0
臺中市北屯區太原路3段139巷1號,1.0,120.6897883,24.16539354,北屯里,"  416 ",第五分局,2.0
臺中市北屯區北屯里14鄰國校巷60號,1.0,120.6907001,24.16560143,北屯里,"  83 ",第五分局,3.0
臺中市北屯區北屯里14鄰國校巷68號,1.0,120.6907779,24.16538514,北屯里,"  83 ",第五分局,4.0
臺中市北屯區北屯里3鄰興安路1段17號,1.0,120.691235,24.16583263,北屯里,"  92 ",第五分局,5.0
"臺中市北屯區北屯路226巷41弄65號 ",1.0,120.697228,24.16915125,三光里,"  500 ",第五分局,6.0
臺中市北屯區北屯路88號,1.0,120.6933903,24.16330167,北興里,"  744 ",第五分局,7.0
臺中市北屯區北平路4段118號,1.0,120.6925293,24.17054126,平昌里,"  426 ",第五分局,8.0
臺中市北屯區軍和街43號,1.0,120.7160874,24.17595208,軍功里,"  1,041 ",第五分局,9.0
臺中市北屯區軍和街43號,1.0,120.7160874,24.17595208,軍功里,"  500 ",第五分局,10.0
臺中市北屯區軍和街43號,1.0,120.7160874,24.17595208,軍功里,"  316 ",第五分局,11.0
臺中市北屯區軍和街43號,1.0,120.7160874,24.17595208,軍功里,"  941 ",第五分局,12.0
"臺中市北屯區軍和街43號 ",1.0,120.7160874,24.17595208,軍功里,"  500 ",第五分局,13.0
"臺中市北屯區軍和街43號 ",1.0,120.7160874,24.17595208,軍功里,"  682 ",第五分局,14.0
臺中市北屯區興安路1段19號,1.0,120.6912217,24.16584482,北屯里,"  625 ",第五分局,15.0
臺中市北屯區興安路1段1號,1.0,120.6910834,24.16552243,北屯里,"  447 ",第五分局,16.0
"臺中市北屯區九龍街89號 ",1.0,120.6963058,24.16691843,三光里,"  1,039 ",第五分局,17.0
臺中市北屯區三光一街1號,1.0,120.6974613,24.16552342,三光里,"  752 ",第五分局,18.0
臺中市北屯區三光里05鄰北屯路178號-5,1.0,120.6946511,24.16554379,三光里,"  83 ",第五分局,19.0
臺中市北屯區三光里05鄰北屯路178號-6,1.0,120.6946296,24.16551442,三光里,"  83 ",第五分局,20.0
臺中市北屯區三光里05鄰北屯路178號-8,1.0,120.6946833,24.16557315,三光里,"  83 ",第五分局,21.0
臺中市北屯區三光里10鄰北屯路222號-2,1.0,120.6964819,24.16837763,三光里,"  92 ",第五分局,22.0
臺中市北屯區三光里10鄰北屯路222號-3,1.0,120.6965034,24.16841678,三光里,"  92 ",第五分局,23.0
臺中市北屯區三光巷22號,1.0,120.6948112,24.16414945,北興里,"  156 ",第五分局,24.0
"臺中市北屯區三光巷2號 ",1.0,120.6941676,24.16437649,北興里,"  197 ",第五分局,25.0
臺中市北屯區三光巷50弄1-1號,1.0,120.6952054,24.1638071,北興里,"  433 ",第五分局,26.0
臺中市北屯區三光巷50弄1號,1.0,120.6952054,24.1638071,北興里,"  125 ",第五分局,27.0
"臺中市北屯區三光巷50弄30-11號 ",1.0,120.6958625,24.1639421,北興里,"  266 ",第五分局,28.0
臺中市北屯區三光巷7-1號,1.0,120.6944205,24.16460372,三光里,"  100 ",第五分局,29.0
臺中市北屯區三光巷90弄57-15號,1.0,120.6993735,24.16423867,北興里,"  192 ",第五分局,30.0
臺中市北屯區三光巷90弄65號,1.0,120.6982147,24.1641647,北興里,"  392 ",第五分局,31.0
"臺中市北屯區天祥街13號 ",1.0,120.7023931,24.15972981,北興里,"  233 ",第五分局,32.0
"臺中市北屯區天祥街147巷10號 ",1.0,120.699552,24.16057947,北興里,"  154 ",第五分局,33.0
臺中市北屯區天祥街147巷15號,1.0,120.6995735,24.16056968,北興里,"  283 ",第五分局,34.0
臺中市北屯區天祥街1號,1.0,120.6943456,24.16164886,北京里,"  550 ",第五分局,35.0
"臺中市北屯區天祥街7號 ",1.0,120.6944635,24.16161665,北京里,"  208 ",第五分局,36.0
臺中市北屯區太原路3段109號,1.0,120.6889466,24.16527619,平昌里,"  672 ",第五分局,37.0
"臺中市北屯區太原路3段110號 ",2.0,120.6892785,24.16506596,北京里,"  584 ",第五分局,38.0
"臺中市北屯區太原路3段139巷1號 ",1.0,120.6898312,24.16533481,北屯里,"  859 ",第五分局,39.0
"臺中市北屯區太原路3段139巷36號 ",1.0,120.6899497,24.16654798,北屯里,"  300 ",第五分局,40.0
臺中市北屯區太原路3段161號,1.0,120.6904305,24.16524387,北屯里,"  475 ",第五分局,41.0
臺中市北屯區太原路3段199號,1.0,120.6918158,24.16521153,北屯里,"  1,697 ",第五分局,42.0
"臺中市北屯區太原路3段199號 ",1.0,120.6918158,24.16521153,北屯里,"  1,052 ",第五分局,43.0
"臺中市北屯區太原路3段245號 ",1.0,120.6927347,24.16520121,北屯里,"  510 ",第五分局,44.0
"臺中市北屯區太原路3段345巷18號 ",1.0,120.6967918,24.16556007,三光里,"  870 ",第五分局,45.0
臺中市北屯區太原路3段398號,1.0,120.6947306,24.16499696,三光里,"  678 ",第五分局,46.0
臺中市北屯區太原路3段423號,1.0,120.6988344,24.16524059,三光里,"  520 ",第五分局,47.0
臺中市北屯區太原路3段633號,5.0,120.7071639,24.16513069,水景里,"  1,011 ",第五分局,48.0
臺中市北屯區太原路554號,1.0,120.6975039,24.16488275,北興里,"  416 ",第五分局,49.0
臺中市北屯區文心路4段956號,1.0,120.6956428,24.17063731,平昌里,"  2,151 ",第五分局,50.0
"臺中市北屯區文昌東12街15號 ",1.0,120.6949781,24.16708594,三光里,"  870 ",第五分局,51.0
"臺中市北屯區文昌東十一街47號 ",1.0,120.6938715,24.16816775,平昌里,"  1,031 ",第五分局,52.0
臺中市北屯區水景里16鄰東山路1段147巷31弄1號,1.0,120.7064542,24.17094962,水景里,"  33 ",第五分局,53.0
