地址,經度,緯度,避難所在之地下樓層數,可容納人數,村里別,轄區分局,編號
"臺中市西屯區協和里工業區38路117巷15號
0930705門牌整編異動後（順和六街４１號）","120.588446 ","24.176454 ",B01,"986 ",協和里,第六分局,DB00009
臺中市南屯區寶山里工業區二十三路14號,"120.605138 ","24.162920 ",B01,"222 ",寶山里,第六分局,DB00038
臺中市南屯區寶山里工業區十八路11號,"120.610684 ","24.158730 ",B01,"326 ",寶山里,第六分局,DB00180
臺中市西屯區至善里青海路二段351號,"120.640307 ","24.173670 ",B01,"1509 ",至善里,第六分局,FA00001
臺中市西屯區逢福里櫻城二街11號,"120.650970 ","24.169934 ",B01,"811 ",逢福里,第六分局,FA00005
臺中市西屯區逢福里福上巷216弄48號,"120.648816 ","24.176117 ",B01,"111 ",逢福里,第六分局,FA00012
臺中市西屯區逢福里福上巷214弄28號,"120.649018 ","24.175436 ",B01,"147 ",逢福里,第六分局,FA00013
臺中市西屯區逢福里福上巷214弄112號,"120.650067 ","24.176428 ",B01,"564 ",逢福里,第六分局,FA00015
臺中市西屯區逢福里福上巷216弄7號,"120.648252 ","24.175692 ",B01,"155 ",逢福里,第六分局,FA00020
臺中市西屯區逢福里福上巷214弄96號,"120.649797 ","24.176373 ",B01,"2043 ",逢福里,第六分局,FA00021
臺中市西屯區逢福里福上巷214弄49號,"120.649466 ","24.175977 ",B01,"471 ",逢福里,第六分局,FA00023
臺中市西屯區西平里西安街127號,"120.643336 ","24.181947 ",B01,"438 ",西平里,第六分局,FA00035
臺中市西屯區西平里西安街130巷10號,"120.643664 ","24.180993 ",B01,"173 ",西平里,第六分局,FA00036
臺中市西屯區西平里西安街277巷25弄26號,"120.647437 ","24.183157 ",B01,"951 ",西平里,第六分局,FA00037
臺中市西屯區港尾里中康街245之3號,"120.661055 ","24.199562 ",B01,"833 ",港尾里,第六分局,FA00046
臺中市西屯區港尾里中清路180巷52號,"120.661120 ","24.199465 ",B01,"3777 ",港尾里,第六分局,FA00051
臺中市西屯區港尾里中清路三段208號之22,"120.653266 ","24.203613 ",B01,"208 ",港尾里,第六分局,FA00070
臺中市西屯區西安里西屯路二段296號之20,"120.641498 ","24.178569 ",B01,"218 ",西安里,第六分局,FA00071
臺中市西屯區西安里西屯路二段297號之16,"120.640486 ","24.178640 ",B01,"80 ",西安里,第六分局,FA00072
臺中市西屯區西安里西屯路二段297-8巷66號,"120.639652 ","24.177413 ",B02,"120 ",西安里,第六分局,FA00073
"臺中市西屯區西安里逢甲路200巷17弄32號
0970725門牌整編（逢明街29巷36號）","120.639632 ","24.175963 ",B01,"765 ",西安里,第六分局,FA00074
臺中市西屯區西安里西屯路二段297-8巷3號,"120.641139 ","24.178288 ",B01B02,"208 ",西安里,第六分局,FA00075
臺中市西屯區至善里逢甲路253巷31號,"120.641192 ","24.175477 ",B02,"2270 ",至善里,第六分局,FA00076
臺中市西屯區西安里逢明街31號,"120.640100 ","24.176501 ",B01,"322 ",西安里,第六分局,FA00077
臺中市西屯區西安里西屯路二段298號,"120.641296 ","24.178820 ",B01,"520 ",西安里,第六分局,FA00078
臺中市西屯區西安里西屯路二段297-8巷12弄32號,"120.639802 ","24.177969 ",B01,"263 ",西安里,第六分局,FA00079
臺中市西屯區西安里逢甲路218~202號,"120.640054 ","24.175704 ",B01,"555 ",西安里,第六分局,FA00080
臺中市西屯區至善里逢甲路301巷22弄32號,"120.638938 ","24.173186 ",B01,"1144 ",至善里,第六分局,FA00081
臺中市西屯區西安里青海路二段365號,"120.639854 ","24.174216 ",B01,"88 ",西安里,第六分局,FA00083
臺中市西屯區逢甲里西屯路二段256巷6號,"120.647386 ","24.170850 ",B02,"1111 ",逢甲里,第六分局,FA00088
