地址,經度,緯度,避難所在之地下樓層數,可容納人數,村里別,轄區分局,編號
臺中市西屯區逢甲里寶慶街50巷45號,"120.647454 ","24.172170 ",B02,"444 ",逢甲里,第六分局,FA00089
臺中市西屯區逢甲里崇義街6號之5,"120.646666 ","24.173954 ",B01,"166 ",逢甲里,第六分局,FA00090
臺中市西屯區逢甲里寶慶街30巷9號,"120.647924 ","24.171907 ",B01,"1666 ",逢甲里,第六分局,FA00091
臺中市西屯區逢甲里寶慶街50巷17號,"120.647233 ","24.172139 ",B01,"666 ",逢甲里,第六分局,FA00092
臺中市西屯區上石里西屯路二段273號之5,"120.643942 ","24.175159 ",B01,"138 ",上石里,第六分局,FA00095
臺中市西屯區上石里西屯路二段287巷3號之1,"120.643269 ","24.176819 ",B01,"69 ",上石里,第六分局,FA00097
臺中市西屯區上石里西屯路二段275之2號,"120.643963 ","24.175336 ",B03,"104 ",上石里,第六分局,FA00102
臺中市西屯區上石里西屯路二段285號,"120.643468 ","24.176114 ",B02,"138 ",上石里,第六分局,FA00104
臺中市西屯區西墩里黎明路三段328號,"120.639947 ","24.184789 ",B01,"694 ",西墩里,第六分局,FA00106
臺中市西屯區西墩里西屯路三段39號,"120.637745 ","24.180779 ",B01,"111 ",西墩里,第六分局,FA00107
臺中市西屯區西墩里黎明路149號,"120.637590 ","24.180519 ",B01,"555 ",西墩里,第六分局,FA00108
臺中市西屯區西墩里僑光路100號,"120.643190 ","24.189102 ",B01,"711 ",西墩里,第六分局,FA00110
臺中市西屯區鵬程里文華路100號,"120.649991 ","24.179310 ",B01,"1024 ",鵬程里,第六分局,FA00112
臺中市西屯區鵬程里逢大路65號,"120.648325 ","24.177492 ",B01,"69 ",鵬程里,第六分局,FA00113
臺中市西屯區上德里青海路二段193巷9號,"120.646174 ","24.168905 ",B01,"83 ",上德里,第六分局,FA00114
臺中市西屯區上德里青海路二段193巷15號,"120.645831 ","24.168841 ",B01,"83 ",上德里,第六分局,FA00115
臺中市西屯區西平里逢甲路157號,"120.642788 ","24.177844 ",B01,"83 ",西平里,第六分局,FA00123
臺中市西屯區西平里華夏巷西四弄69~79號,"120.642635 ","24.179259 ",B01,"208 ",西平里,第六分局,FA00125
臺中市西屯區西平里逢甲路153號,"120.642953 ","24.178011 ",B01,"133 ",西平里,第六分局,FA00132
臺中市西屯區西平里逢甲路162號,"120.642522 ","24.178100 ",B01,"222 ",西平里,第六分局,FA00136
臺中市西屯區西平里逢甲路20巷37號,"120.645600 ","24.180029 ",B01,"277 ",西平里,第六分局,FA00149
臺中市西屯區逢甲里福星路558號,"120.645743 ","24.175474 ",B01,"266 ",逢甲里,第六分局,FA00153
臺中市西屯區逢福里逢甲路9號,"120.646030 ","24.178756 ",B01,"421 ",逢福里,第六分局,FA00154
"臺中市西屯區西墩里光明路283號
0881220門牌整編(廣福路283號)","120.643873 ","24.201253 ",B01,"388 ",西墩里,第六分局,FA00155
臺中市西屯區西墩里西屯路三段51號,"120.636634 ","24.181468 ",B01,"166 ",西墩里,第六分局,FA00157
臺中市西屯區西墩里西屯路三段53號,"120.636510 ","24.181547 ",B01,"122 ",西墩里,第六分局,FA00158
臺中市西屯區西墩里西屯路三段25號,"120.638350 ","24.180472 ",B01,"255 ",西墩里,第六分局,FA00159
"臺中市西屯區至善里光明路42之3號
0881220門牌整編(黎明路三段52號)","120.637295 ","24.172297 ",B01,"112 ",至善里,第六分局,FA00179
臺中市西屯區至善里逢甲路309號,"120.639038 ","24.173923 ",B01,"64 ",至善里,第六分局,FA00181
臺中市西屯區至善里逢甲路311號,"120.639009 ","24.173897 ",B01,"64 ",至善里,第六分局,FA00182
臺中市西屯區西墩里光明路57之25號,"120.638353 ","24.177595 ",B01,"108 ",西墩里,第六分局,FA00183
臺中市西屯區西墩里光明路57-18巷42號,"120.638129 ","24.177163 ",B01,"118 ",西墩里,第六分局,FA00184
臺中市西屯區至善里逢甲路329號,"120.638769 ","24.173593 ",B01,"79 ",至善里,第六分局,FA00185
臺中市西屯區至善里逢甲路331號,"120.638735 ","24.173567 ",B01,"75 ",至善里,第六分局,FA00186
臺中市西屯區西安里西屯路二段300號,"120.640478 ","24.179400 ",B01,"1013 ",西安里,第六分局,FA00187
臺中市西屯區至善里逢甲路340號,"120.638673 ","24.173719 ",B01,"343 ",至善里,第六分局,FA00189
臺中市西屯區西安里西屯路二段330號,"120.639083 ","24.180167 ",B01,"54 ",西安里,第六分局,FA00190
臺中市西屯區西安里西屯路二段328號,"120.639126 ","24.180143 ",B01,"128 ",西安里,第六分局,FA00191
臺中市西屯區港尾里中清路二段1250巷19號,"120.659709 ","24.194081 ",B01,"55 ",港尾里,第六分局,FA00196
臺中市西屯區港尾里中清路二段1250巷160號,"120.660652 ","24.197199 ",B01,"104 ",港尾里,第六分局,FA00199
臺中市西屯區港尾里中清路二段1250巷57號,"120.660058 ","24.195135 ",B01,"83 ",港尾里,第六分局,FA00200
臺中市西屯區港尾里中清路二段1250巷96弄3號,"120.660495 ","24.195440 ",B01,"83 ",港尾里,第六分局,FA00201
臺中市西屯區上安里上安路41號,"120.641247 ","24.170041 ",B01,"1371 ",上安里,第六分局,FA00212
臺中市西屯區上安里上明二街39號,"120.641816 ","24.171116 ",B02,"2093 ",上安里,第六分局,FA00213
臺中市西屯區上德里青海路二段209號,"120.644786 ","24.170718 ",B02,"1004 ",上德里,第六分局,FA00215
臺中市西屯區港尾里中康街185號,"120.660873 ","24.198190 ",B01,"1068 ",港尾里,第六分局,FA00216
臺中市西屯區上石里青海路二段240號,"120.645929 ","24.170134 ",B01,"707 ",上石里,第六分局,FA00217
臺中市西屯區上德里上石路2號,"120.644025 ","24.166692 ",B02,"1076 ",上德里,第六分局,FA00218
臺中市西屯區逢福里慶和街54號之4,"120.647582 ","24.176120 ",B01,"196 ",逢福里,第六分局,FA00219
臺中市西屯區上安里上仁街113號,"120.641519 ","24.171303 ",B02,"996 ",上安里,第六分局,FA00220
臺中市西屯區上安里青海路二段319號,"120.641268 ","24.173169 ",B01B02,"1180 ",上安里,第六分局,FA00221
臺中市西屯區逢甲里崇義街26號,"120.645934 ","24.173560 ",B01,"3277 ",逢甲里,第六分局,FA00222
臺中市西屯區港尾里中康街226號,"120.661276 ","24.199227 ",B01,"802 ",港尾里,第六分局,FA00223
臺中市西屯區上安里上安路60號,"120.640887 ","24.170725 ",B01B02,"2071 ",上安里,第六分局,FA00224
臺中市西屯區西平里文華路132號,"120.646418 ","24.182645 ",B02,"2286 ",西平里,第六分局,FA00225
臺中市西屯區港尾里中清路二段1250巷80號,"120.660326 ","24.195133 ",B01,"385 ",港尾里,第六分局,FA00226
臺中市西屯區逢甲里寶慶街18巷28號,"120.648635 ","24.171099 ",B02,"894 ",逢甲里,第六分局,FA00227
臺中市西屯區西平里西安街277巷77弄3號,"120.647574 ","24.184177 ",B01,"2583 ",西平里,第六分局,FA00228
臺中市西屯區逢甲里弘孝路127號,"120.648109 ","24.170099 ",B01,"830 ",逢甲里,第六分局,FA00229
臺中市西屯區至善里青海路二段308號,"120.640200 ","24.174327 ",B01,"1661 ",至善里,第六分局,FA00230
臺中市西屯區西平里西安街277巷61號,"120.648087 ","24.183955 ",B01,"1267 ",西平里,第六分局,FA00231
臺中市西屯區港尾里中康街172號,"120.661098 ","24.197956 ",B01,"389 ",港尾里,第六分局,FA00232
臺中市西屯區上安里上安路76號,"120.640660 ","24.170888 ",B02,"1185 ",上安里,第六分局,FA00233
臺中市西屯區至善里上安路111號,"120.639044 ","24.171759 ",B01,"2324 ",至善里,第六分局,FA00234
臺中市西屯區逢甲里西屯路二段268號之15,"120.644535 ","24.174275 ",B03,"3523 ",逢甲里,第六分局,FA00235
臺中市西屯區西墩里僑光路100號,"120.643190 ","24.189102 ",B01,"781 ",西墩里,第六分局,FA00309
"臺中市西屯區西墩里同心路97巷2號
0881220門牌整編（黎明路三段343巷2號）","120.637363 ","24.180337 ",B01,"104 ",西墩里,第六分局,FA00344
臺中市西屯區西安里西屯路二段300號,"120.640478 ","24.179400 ",B01,"333 ",西安里,第六分局,FA00383
臺中市西屯區上德里青海路二段207之18號,"120.644809 ","24.170162 ",B02,"5654 ",上德里,第六分局,FA00402
臺中市西屯區港尾里同志巷15號,"120.649102 ","24.197704 ",B01,"666 ",港尾里,第六分局,FA00403
臺中市西屯區逢甲里文華路7之6號,"120.645052 ","24.175744 ",B01,"133 ",逢甲里,第六分局,FA00404
臺中市西屯區鵬程里文華路100號,"120.649991 ","24.179310 ",B01,"833 ",鵬程里,第六分局,FA00420
臺中市西屯區西安里文華路155巷3號之9,"120.646097 ","24.181004 ",B01,"104 ",西安里,第六分局,FA00421
臺中市西屯區上石里湳子巷5弄39號,"120.644155 ","24.174643 ",B01,"333 ",上石里,第六分局,FA00425
臺中市西屯區西安里光明路160號,"120.639933 ","24.181491 ",B01,"833 ",西安里,第六分局,FA00427
臺中市西屯區西安里西屯路二段295號之18,"120.641887 ","24.177886 ",B01,"133 ",西安里,第六分局,FA00453
臺中市西屯區西安里西安街76巷12弄30號,"120.641443 ","24.180523 ",B01,"208 ",西安里,第六分局,FA00455
臺中市西屯區西安里西安街76巷18弄10號,"120.641889 ","24.180071 ",B01,"166 ",西安里,第六分局,FA00456
臺中市西屯區西平里福星北路92號,"120.644186 ","24.187299 ",B01,"1500 ",西平里,第六分局,FA00459
臺中市西屯區西平里逢甲路19巷9號,"120.646030 ","24.178756 ",B01,"166 ",西平里,第六分局,FA00464
臺中市西屯區上安里臺灣大道三段556巷1弄11號,"120.640367 ","24.169042 ",B01,"90 ",上安里,第六分局,FA00511
"臺中市西屯區西安里西屯路二段317-325號24.179789745161628, 120.63929010533404","120.639290 ","24.179789 ",B01,"334 ",西安里,第六分局,FA00521
臺中市西屯區上安里臺灣大道三段558號,"120.640145 ","24.168825 ",B01,"318 ",上安里,第六分局,FA00546
臺中市西屯區上石里西屯路二段261之2號,"120.644607 ","24.173212 ",B01,"232 ",上石里,第六分局,FA00547
臺中市西屯區鵬程里文華路100號,"120.649991 ","24.179310 ",B01,"1227 ",鵬程里,第六分局,FA00548
臺中市西屯區逢甲里西屯路二段276號,"120.644159 ","24.175899 ",B01,"100 ",逢甲里,第六分局,FA00549
臺中市西屯區逢甲里西屯路二段278號,"120.644105 ","24.175933 ",B01,"100 ",逢甲里,第六分局,FA00550
臺中市西屯區逢甲里西屯路二段280號,"120.644071 ","24.175989 ",B01,"100 ",逢甲里,第六分局,FA00551
臺中市西屯區上安里臺灣大道三段552號,"120.640350 ","24.168790 ",B01,"177 ",上安里,第六分局,FA00564
臺中市西屯區上安里臺灣大道三段566號,"120.640083 ","24.168863 ",B01,"117 ",上安里,第六分局,FA00565
臺中市西屯區上安里臺灣大道三段568號,"120.640041 ","24.168893 ",B01,"53 ",上安里,第六分局,FA00566
臺中市西屯區上安里臺灣大道三段570號,"120.640004 ","24.168921 ",B01,"53 ",上安里,第六分局,FA00567
臺中市西屯區上安里臺灣大道三段572號,"120.639966 ","24.168951 ",B01,"53 ",上安里,第六分局,FA00568
臺中市西屯區上安里臺灣大道三段576號,"120.639925 ","24.168989 ",B01,"53 ",上安里,第六分局,FA00569
臺中市西屯區上安里臺灣大道三段578號,"120.639887 ","24.169011 ",B01,"53 ",上安里,第六分局,FA00570
臺中市西屯區鵬程里文華路100號,"120.649991 ","24.179310 ",B01,"218 ",鵬程里,第六分局,FA00605
臺中市西屯區鵬程里文華路100號,"120.649991 ","24.179310 ",B01,"1163 ",鵬程里,第六分局,FA00614
臺中市西屯區西墩里僑光路100號,"120.643190 ","24.189102 ",B01,"250 ",西墩里,第六分局,FA00615
臺中市西屯區西墩里僑光路100號,"120.643190 ","24.189102 ",B01,"416 ",西墩里,第六分局,FA00616
臺中市西屯區港尾里中清路三段121巷122號,"120.653425 ","24.200525 ",B01,"166 ",港尾里,第六分局,FA00617
臺中市西屯區鵬程里文華路100號,"120.649991 ","24.179310 ",B01,"260 ",鵬程里,第六分局,FA00618
臺中市西屯區鵬程里文華路100號,"120.649991 ","24.179310 ",B01,"260 ",鵬程里,第六分局,FA00619
臺中市西屯區鵬程里文華路100號,"120.649991 ","24.179310 ",B01,"555 ",鵬程里,第六分局,FA00621
臺中市西屯區鵬程里文華路100號,"120.649991 ","24.179310 ",B01,"555 ",鵬程里,第六分局,FA00622
臺中市西屯區鵬程里文華路100號,"120.649991 ","24.179310 ",B01,"208 ",鵬程里,第六分局,FA00624
臺中市西屯區鵬程里文華路100號,"120.649991 ","24.179310 ",B01,"416 ",鵬程里,第六分局,FA00625
臺中市西屯區鵬程里文華路100號,"120.649991 ","24.179310 ",B01,"260 ",鵬程里,第六分局,FA00626
臺中市西屯區鵬程里文華路100號,"120.649991 ","24.179310 ",B01,"1041 ",鵬程里,第六分局,FA00627
臺中市西屯區鵬程里文華路100號,"120.649991 ","24.179310 ",B01,"416 ",鵬程里,第六分局,FA00628
臺中市西屯區鵬程里文華路100號,"120.649991 ","24.179310 ",B01,"354 ",鵬程里,第六分局,FA00629
臺中市西屯區鵬程里文華路100號,"120.649991 ","24.179310 ",B01,"833 ",鵬程里,第六分局,FA00630
臺中市西屯區西安里西屯路二段300號,"120.640478 ","24.179400 ",B01,"76 ",西安里,第六分局,FA00656
臺中市西屯區逢甲里文華路正煌巷12號,"120.645050 ","24.174759 ",B01,"100 ",逢甲里,第六分局,FA00668
臺中市西屯區逢甲里西屯路二段270巷1號,"120.644834 ","24.174385 ",B01,"100 ",逢甲里,第六分局,FA00687
臺中市西屯區逢甲里福上巷333號之1,"120.645324 ","24.175113 ",B01,"100 ",逢甲里,第六分局,FA00739
臺中市西屯區逢甲里福上巷333號之2,"120.645273 ","24.175132 ",B01,"100 ",逢甲里,第六分局,FA00740
臺中市西屯區西安里西屯路二段300號,"120.640478 ","24.179400 ",B01,"291 ",西安里,第六分局,FA00741
臺中市西屯區鵬程里文華路100號,"120.649991 ","24.179310 ",B01,"1333 ",鵬程里,第六分局,FA00785
臺中市西屯區西平里文華路127巷5號,"120.646034 ","24.180399 ",B01,"145 ",西平里,第六分局,FA00801
臺中市西屯區西平里逢甲路2號,"120.646372 ","24.179003 ",B01,"187 ",西平里,第六分局,FA00842
臺中市西屯區鵬程里文華路100號,"120.649991 ","24.179310 ",B01,"250 ",鵬程里,第六分局,FA00960
臺中市西屯區鵬程里文華路100號,"120.649991 ","24.179310 ",B01,"1666 ",鵬程里,第六分局,FA00961
臺中市西屯區港尾里同志巷15號,"120.649102 ","24.197704 ",B01,"333 ",港尾里,第六分局,FA00969
臺中市西屯區西墩里黎明路三段97巷6號,"120.637229 ","24.173759 ",B01,"104 ",西墩里,第六分局,FA01260
臺中市西屯區港尾里同志巷15號,"120.649102 ","24.197704 ",B01,"666 ",港尾里,第六分局,FA01285
臺中市西屯區西安里西屯路二段300號,"120.640478 ","24.179400 ",B01,"208 ",西安里,第六分局,FA01300
臺中市西屯區鵬程里文華路100號,"120.649991 ","24.179310 ",B01,"833 ",鵬程里,第六分局,FA01313
臺中市西屯區西平里文華路155巷3~9號,"120.646097 ","24.181004 ",B01,"104 ",西平里,第六分局,FA01314
臺中市西屯區西安里光明路158號,"120.639520 ","24.181201 ",B01,"833 ",西安里,第六分局,FA01320
臺中市西屯區西安里西安街76巷12弄10號,"120.641867 ","24.180647 ",B01,"166 ",西安里,第六分局,FA01349
臺中市西屯區西平里24鄰福星北路92號,"120.642107 ","24.185860 ",B01,"1500 ",西平里,第六分局,FA01352
臺中市西屯區西平里文華路139巷19弄14號,"120.645625 ","24.181170 ",B01,"93 ",西平里,第六分局,FA01387
臺中市西屯區西墩里西屯路三段53之1號,"120.636062 ","24.181346 ",B01,"57 ",西墩里,第六分局,FA01419
臺中市西屯區至善里西屯路二段293巷49號,"120.641954 ","24.177074 ",B01,"62 ",至善里,第六分局,FA01421
臺中市西屯區西墩里僑光路100號,"120.643190 ","24.189102 ",B01,"520 ",西墩里,第六分局,FA01439
臺中市西屯區鵬程里文華路100號,"120.649991 ","24.179310 ",B01,"1233 ",鵬程里,第六分局,FA01440
臺中市西屯區西平里華夏巷西五弄61號,"120.642940 ","24.179345 ",B01,"197 ",西平里,第六分局,FA01479
臺中市西屯區逢福里文華路25-2號之1,"120.646265 ","24.176501 ",B01,"333 ",逢福里,第六分局,FA01480
臺中市西屯區西平里逢甲路20巷10弄1號,"120.643452 ","24.174161 ",B01,"83 ",西平里,第六分局,FA01489
臺中市西屯區西平里逢甲路20巷28弄4號,"120.646030 ","24.179821 ",B01,"83 ",西平里,第六分局,FA01490
臺中市西屯區西墩里光明路185號,"120.639238 ","24.181498 ",B01,"62 ",西墩里,第六分局,FA01510
臺中市西屯區西平里文華路107號,"120.646289 ","24.179258 ",B01,"83 ",西平里,第六分局,FA01511
臺中市西屯區西平里文華路109號,"120.646289 ","24.179304 ",B01,"83 ",西平里,第六分局,FA01512
臺中市西屯區西平里文華路111號,"120.646289 ","24.179362 ",B01,"83 ",西平里,第六分局,FA01513
臺中市西屯區西平里文華路113號,"120.646288 ","24.179397 ",B01,"83 ",西平里,第六分局,FA01514
臺中市西屯區逢甲里文華路7之5號,"120.645031 ","24.175719 ",B01,"133 ",逢甲里,第六分局,FA01549
臺中市西屯區西安里光明路162號,"120.639615 ","24.181495 ",B01,"535 ",西安里,第六分局,FA01579
臺中市西屯區上石里西屯路二段267之2號,"120.644609 ","24.173213 ",B01,"232 ",上石里,第六分局,FA01605
臺中市西屯區鵬程里文華路100號,"120.649991 ","24.179310 ",B01,"1963 ",鵬程里,第六分局,FA01606
臺中市西屯區西平里逢甲路20巷16弄24號,"120.645718 ","24.179706 ",B01,"104 ",西平里,第六分局,FA01637
臺中市西屯區西墩里僑光路100號,"120.643190 ","24.189102 ",B01,"295 ",西墩里,第六分局,FA01641
臺中市西屯區逢甲里崇義街54號,"120.645732 ","24.173041 ",B01,"127 ",逢甲里,第六分局,FA01646
臺中市西屯區逢甲里文華路3之3號,"120.644820 ","24.175398 ",B01,"102 ",逢甲里,第六分局,FA01658
臺中市西屯區西平里文華路139巷19弄19號,"120.645545 ","24.181434 ",B01,"66 ",西平里,第六分局,FA01666
臺中市西屯區鵬程里文華路100號,"120.649991 ","24.179310 ",B01,"1037 ",鵬程里,第六分局,FA01667
臺中市西屯區西平里福星路435號,"120.645302 ","24.178418 ",B01,"97 ",西平里,第六分局,FA01668
臺中市西屯區西平里福星路451號,"120.645318 ","24.178082 ",B01,"65 ",西平里,第六分局,FA01673
臺中市西屯區西安里西屯路二段332號,"120.639045 ","24.180192 ",B01,"205 ",西安里,第六分局,FA01682
臺中市西屯區西平里福星路431號,"120.645274 ","24.178649 ",B01,"230 ",西平里,第六分局,FA01684
臺中市西屯區上石里弘孝路161號,"120.647277 ","24.169563 ",B01,"507 ",上石里,第六分局,FA01688
臺中市西屯區上石里西屯路二段287之5號,"120.643213 ","24.176494 ",B01,"138 ",上石里,第六分局,FA01690
臺中市西屯區港尾里中康街83號,"120.659415 ","24.196408 ",B01,"107 ",港尾里,第六分局,FA01718
臺中市西屯區西平里華夏巷西四弄69號,"120.642719 ","24.179313 ",B01,"1365 ",西平里,第六分局,FA01747
臺中市西屯區逢福里福上巷239號,"120.651810 ","24.174704 ",B01,"182 ",逢福里,第六分局,FA01757
臺中市西屯區逢福里福上巷243之1號,"120.651439 ","24.174737 ",B01,"246 ",逢福里,第六分局,FA01760
臺中市西屯區西平里福星北路96號,"120.645916 ","24.187906 ",B01,"485 ",西平里,第六分局,FA01763
臺中市西屯區上德里弘孝路79號,"120.645608 ","24.167988 ",B01,"87 ",上德里,第六分局,FA01765
臺中市西屯區逢福里弘孝路267號,"120.651253 ","24.173884 ",B01,"147 ",逢福里,第六分局,FA01778
臺中市西屯區逢福里福上巷龍欣一弄1號,"120.651542 ","24.174925 ",B01,"230 ",逢福里,第六分局,FA01779
臺中市西屯區逢甲里福上巷319弄22號,"120.645424 ","24.174268 ",B01,"422 ",逢甲里,第六分局,FA01780
臺中市西屯區逢甲里上石北二巷11號,"120.646947 ","24.172568 ",B01,"327 ",逢甲里,第六分局,FA01781
臺中市西屯區上石里湳子巷9弄6號,"120.643452 ","24.174161 ",B01,"122 ",上石里,第六分局,FA01782
臺中市西屯區上石里西屯路二段269號之39,"120.644315 ","24.174074 ",B01,"90 ",上石里,第六分局,FA01783
臺中市西屯區上石里西屯路二段273號,"120.644129 ","24.174869 ",B01,"552 ",上石里,第六分局,FA01784
臺中市西屯區西平里逢甲路20巷28弄1號,"120.645791 ","24.180021 ",B01,"295 ",西平里,第六分局,FA01787
臺中市西屯區西墩里西墩南二巷8號,"120.636810 ","24.180990 ",B01,"70 ",西墩里,第六分局,FA01789
臺中市西屯區港尾里中清路二段1250巷100號,"120.660368 ","24.195599 ",B01,"128 ",港尾里,第六分局,FA01790
臺中市西屯區逢甲里西屯路二段282巷36號,"120.644400 ","24.177240 ",B01,"193 ",逢甲里,第六分局,FA01792
臺中市西屯區逢甲里福上巷331號,"120.645410 ","24.175037 ",B01,"110 ",逢甲里,第六分局,FA01794
臺中市西屯區西平里華夏巷西一弄31號,"120.642886 ","24.180259 ",B01,"133 ",西平里,第六分局,FA01797
臺中市西屯區西墩里僑光路100號,"120.643190 ","24.189102 ",B01,"300 ",西墩里,第六分局,FA01803
臺中市西屯區上石里青海路二段246號之9,"120.643655 ","24.172035 ",B01,"112 ",上石里,第六分局,FA01809
臺中市西屯區港尾里中清路二段1250巷106號,"120.660405 ","24.195758 ",B01,"279 ",港尾里,第六分局,FA01811
臺中市西屯區鵬程里文華路100號,"120.649991 ","24.179310 ",B01,"348 ",鵬程里,第六分局,FA01851
臺中市西屯區鵬程里文華路100號,"120.649991 ","24.179310 ",B01,"1862 ",鵬程里,第六分局,FA01877
臺中市西屯區逢福里慶和街80號,"120.646747 ","24.176349 ",B01,"92 ",逢福里,第六分局,FA01891
臺中市西屯區西平里逢甲路29號,"120.645460 ","24.178646 ",B01,"313 ",西平里,第六分局,FA01892
臺中市西屯區西安里光明路58號,"120.638707 ","24.178349 ",B01,"168 ",西安里,第六分局,FA01893
臺中市西屯區上安里青海路二段300號,"120.641628 ","24.172899 ",B01,"57 ",上安里,第六分局,FA01895
臺中市西屯區西平里文華路135號之1,"120.645976 ","24.180589 ",B01,"71 ",西平里,第六分局,FA01932
臺中市西屯區西平里文華路135號,"120.646113 ","24.180592 ",B01,"71 ",西平里,第六分局,FA01933
臺中市西屯區西平里福星路222號,"120.644502 ","24.182092 ",B01,"71 ",西平里,第六分局,FA01938
臺中市西屯區逢甲里文華路永新巷南二弄60號,"120.645065 ","24.176369 ",B01,"87 ",逢甲里,第六分局,FA01943
臺中市西屯區西平里福星路333號,"120.645190 ","24.181042 ",B01,"80 ",西平里,第六分局,FA01950
臺中市西屯區西平里逢甲路22號,"120.645643 ","24.179009 ",B01,"69 ",西平里,第六分局,FA01951
臺中市西屯區西平里福星路357號,"120.645238 ","24.180394 ",B01,"59 ",西平里,第六分局,FA01958
臺中市西屯區西平里西屯路二段284之5號,"120.642977 ","24.177212 ",B02,"145 ",西平里,第六分局,FA01968
臺中市西屯區港尾里中康街137號,"120.659892 ","24.197372 ",B01,"937 ",港尾里,第六分局,FA01970
臺中市西屯區西平里福星路182號,"120.643297 ","24.182143 ",B01B02,"527 ",西平里,第六分局,FA01971
臺中市西屯區逢甲里上石北二巷15號,"120.647176 ","24.172795 ",B02,"358 ",逢甲里,第六分局,FA01972
臺中市西屯區逢福里櫻城五街32號,"120.650377 ","24.172080 ",B01,"818 ",逢福里,第六分局,FA01973
臺中市西屯區西安里逢甲路218號,"120.639888 ","24.175782 ",B03,"2406 ",西安里,第六分局,FA01974
臺中市西屯區逢福里櫻城一街59之7號,"120.651450 ","24.171842 ",B01,"447 ",逢福里,第六分局,FA01975
臺中市西屯區上石里西屯路二段275號,"120.643981 ","24.175514 ",B03,"545 ",上石里,第六分局,FA01976
臺中市西屯區西墩里黎明路三段135號,"120.637241 ","24.174251 ",B01,"760 ",西墩里,第六分局,FA01977
