電腦編號,里別,防空疏散避難設施地址,地下層數,可容納人數,轄管分局,備註
QQA00016,東津里,屏東縣東港鎮東津里01鄰船頭路25號,1.0,417.0,東港分局,
QQA00035,東津里,屏東縣東港鎮東津里01鄰沿海路1號,1.0,660.0,東港分局,
QQA00023,東津里,屏東縣東港鎮東津里11鄰水源一街32巷45號,1.0,1679.0,東港分局,
QQA00020,船頭里,屏東縣東港鎮船頭里13鄰船頭路26-10號,1.0,84.0,東港分局,
QQA00018,船頭里,屏東縣東港鎮船頭里13鄰船頭路33-3號,1.0,55.0,東港分局,
QQA00022,船頭里,屏東縣東港鎮船頭里13鄰沿海路20號,1.0,97.0,東港分局,
QPA00118,船頭里,屏東縣東港鎮船頭里05鄰大東路331巷17弄7號,1.0,1898.0,東港分局,
QQA00013,新街里,屏東縣東港鎮新街里沿海路225號,1.0,760.0,東港分局,
QQA00075,新街里,屏東縣東港鎮新街里沿海路291號,1.0,1737.0,東港分局,
QQA00029,新街里,屏東縣東港鎮新街里中正路一段10號,1.0,81.0,東港分局,共有4處、總計可容納人數708人
QQA00030,新街里,屏東縣東港鎮新街里中正路一段10號,1.0,91.0,東港分局,共有4處、總計可容納人數708人
QQA00031,新街里,屏東縣東港鎮新街里中正路一段10號,1.0,180.0,東港分局,共有4處、總計可容納人數708人
QQA00032,新街里,屏東縣東港鎮新街里中正路一段10號,1.0,356.0,東港分局,共有4處、總計可容納人數708人
QQA00024,新街里,屏東縣東港鎮新街里中正路一段54號,1.0,587.0,東港分局,
QQA00012,新街里,屏東縣東港鎮新街里19鄰中正路一段210號,1.0,679.0,東港分局,共有2處、總計可容納人數1589人
QQA00123,新街里,屏東縣東港鎮新街里19鄰中正路一段210號,1.0,910.0,東港分局,共有2處、總計可容納人數1589人
QQA00027,新街里,屏東縣東港鎮新街里08鄰明禮路25號,1.0,1552.0,東港分局,
QQA00076,新街里,屏東縣東港鎮新街里明德路51巷9號,1.0,989.0,東港分局,
QQA00034,內關帝里,屏東縣東港鎮內關帝里05鄰興東路43-1號,1.0,300.0,東港分局,
QQA00025,內關帝里,屏東縣東港鎮內關帝里04鄰興東路201號,1.0,866.0,東港分局,
QQA000125,內關帝里,屏東縣東港鎮內關帝里04鄰興東路210號,1.0,380.0,東港分局,
QQA00014,內關帝里,屏東縣東港鎮內關帝里06鄰沿海路382號,1.0,1123.0,東港分局,
QQA00028,東新里,屏東縣東港鎮東新里01鄰東新路1號,1.0,775.0,東港分局,
QQA00011,東新里,屏東縣東港鎮東新里沿海路30號,1.0,44.0,東港分局,
QQA00033,東新里,屏東縣東港鎮東新里興農路1號之2,1.0,275.0,東港分局,
QPA00121,東光里,屏東縣東港鎮東光里03鄰長春二路15號,1.0,1245.0,東港分局,
QPA00122,東光里,屏東縣東港鎮東光里03鄰光復路一段293號,1.0,1993.0,東港分局,
QQA00015,大潭里,屏東縣東港鎮大潭里02鄰大潭路93號,1.0,698.0,東港分局,
QPA00014,共和里,屏東縣東港鎮共和里07鄰中山路5號,1.0,2944.0,東港分局,
QPA00114,共和里,屏東縣東港鎮共和里04鄰共和街100號,1.0,7308.0,東港分局,
QPA00115,共和里,屏東縣東港鎮共和里02鄰共和街80號,,3438.0,東港分局,
QPA00010,朝安里,屏東縣東港鎮朝安里05鄰新生一路42-3號,1.0,44.0,東港分局,
QPA00008,朝安里,屏東縣東港鎮朝安里01鄰新生一路45-14號,1.0,232.0,東港分局,
QPA00007,朝安里,屏東縣東港鎮朝安里01鄰新生一路45-16號,1.0,73.0,東港分局,
QPA00009,朝安里,屏東縣東港鎮朝安里05鄰新生二路16號,1.0,236.0,東港分局,
QPA00011,朝安里,屏東縣東港鎮朝安里07鄰新生三路175號,1.0,155.0,東港分局,
QPA00012,福德里,屏東縣東港鎮福德里08鄰光復路三段144號,1.0,1550.0,東港分局,
QPA00021,福德里,屏東縣東港鎮福德里07鄰延平路187號,1.0,219.0,東港分局,
QPA00013,福德里,屏東縣東港鎮福德里15鄰中山路7號,1.0,126.0,東港分局,
QPA00017,福德里,屏東縣東港鎮福德里16鄰中山路59號,1.0,126.0,東港分局,
QPA00015,福德里,屏東縣東港鎮福德里17鄰中山路75號,1.0,113.0,東港分局,
QPA00016,福德里,屏東縣東港鎮福德里14鄰中正路56號,1.0,77.0,東港分局,
QPA00027,頂中里,屏東縣東港鎮頂中里13鄰中正路227號,1.0,157.0,東港分局,
QQA00077,頂中里,屏東縣東港鎮頂中里15鄰博愛街374號,1.0,1142.0,東港分局,
QPA00026,新勝里,屏東縣東港鎮新勝里14鄰光復路二段66號,1.0,200.0,東港分局,
QPA00025,新勝里,屏東縣東港鎮新勝里11鄰中正路114號,1.0,380.0,東港分局,
QPA00024,新勝里,屏東縣東港鎮新勝里05鄰中山路30號,1.0,204.0,東港分局,
QQA00003,新勝里,屏東縣東港鎮新勝里01鄰船頭路1號,1.0,512.0,東港分局,共有6處、總計可容納人數1921人
QQA00008,新勝里,屏東縣東港鎮新勝里01鄰船頭路1號,1.0,212.0,東港分局,共有6處、總計可容納人數1921人
QQA00009,新勝里,屏東縣東港鎮新勝里01鄰船頭路1號,1.0,326.0,東港分局,共有6處、總計可容納人數1921人
QQA000010,新勝里,屏東縣東港鎮新勝里01鄰船頭路1號,1.0,256.0,東港分局,共有6處、總計可容納人數1921人
QQA00006,新勝里,屏東縣東港鎮新勝里01鄰船頭路2號,1.0,218.0,東港分局,共有6處、總計可容納人數1921人
QQA00007,新勝里,屏東縣東港鎮新勝里01鄰船頭路3號,1.0,397.0,東港分局,共有6處、總計可容納人數1921人
QPA00037,新勝里,屏東縣東港鎮新勝里07鄰新勝街109號,1.0,1269.0,東港分局,
QPA00022,新勝里,屏東縣東港鎮新勝里14鄰新基街114號,1.0,146.0,東港分局,
QPA00023,新勝里,屏東縣東港鎮新勝里12鄰新勝街20號,1.0,1036.0,東港分局,
QPA00109,東隆里,屏東縣東港鎮東隆里04鄰東隆街21-1號,1.0,513.0,東港分局,
QQA00001,東隆里,屏東縣東港鎮東隆里10鄰共和街45號,1.0,380.0,東港分局,共有2處、總計可容納人數448人
QQA00002,東隆里,屏東縣東港鎮東隆里10鄰共和街45號,1.0,68.0,東港分局,共有2處、總計可容納人數448人
QPA00032,豐漁里,屏東縣東港鎮豐漁里10鄰豐漁街34-2號,1.0,342.0,東港分局,共有4處、總計可容納人數1448人
QPA00035,豐漁里,屏東縣東港鎮豐漁里10鄰豐漁街34-2號,1.0,842.0,東港分局,共有4處、總計可容納人數1448人
QPA00119,豐漁里,屏東縣東港鎮豐漁里10鄰豐漁街34-2號,1.0,158.0,東港分局,共有4處、總計可容納人數1448人
QPA00120,豐漁里,屏東縣東港鎮豐漁里10鄰豐漁街34-2號,1.0,106.0,東港分局,共有4處、總計可容納人數1448人
QPA00030,豐漁里,屏東縣東港鎮豐漁里10鄰豐漁街66號,1.0,324.0,東港分局,共有3處、總計可容納人數1102人
QPA00031,豐漁里,屏東縣東港鎮豐漁里10鄰豐漁街66號,1.0,623.0,東港分局,共有3處、總計可容納人數1102人
QPA00036,豐漁里,屏東縣東港鎮豐漁里10鄰豐漁街66號,1.0,155.0,東港分局,共有3處、總計可容納人數1102人
QPA00028,鎮海里,屏東縣東港鎮鎮海里03鄰富漁路218號,1.0,1470.0,東港分局,
QPA00029,鎮海里,屏東縣東港鎮鎮海里01鄰豐漁街67號,1.0,624.0,東港分局,共有2處、總計可容納人數982人
QPA00033,鎮海里,屏東縣東港鎮鎮海里01鄰豐漁街67號,1.0,358.0,東港分局,共有2處、總計可容納人數982人
QPA00001,光林村,屏東縣林邊鄉光林村17鄰中山路1-7號,1.0,411.0,東港分局,
QPA00002,中林村,屏東縣林邊鄉中林村12鄰中林路179號,1.0,546.0,東港分局,
QPA00003,永樂村,屏東縣林邊鄉永樂村11鄰中山路268號,1.0,252.0,東港分局,
