電腦編號,建築物名稱,里別,緯度,經度,避難樓層,容量,轄管分局,備註,placemark_address
A030,一般大樓,烏林里,24.882556,"121.209090 ",B1,1037.0,龍潭分局,,桃園市龍潭區烏林里中豐路461巷169號
A031,一般大樓,烏樹林里,24.879153,"121.211878 ",B1,2207.0,龍潭分局,,桃園市龍潭區烏樹林里中豐路342-10號
A032,一般大樓,烏樹林里,24.877704,"121.212779 ",B1,1016.0,龍潭分局,,桃園市龍潭區烏樹林里中豐路268巷67號
A033,工廠,烏林里,24.88981,"121.204323 ",B1,377.0,龍潭分局,,桃園市龍潭區烏林里工七路8號
A034,一般大樓,烏林里,24.882322,"121.208897 ",B2,820.0,龍潭分局,,桃園市龍潭區烏林里中豐路461巷131號
A035,工廠,烏林里,24.880012,"121.208229 ",B1,500.0,龍潭分局,,桃園市龍潭區烏林里工一路150巷8號
A036,工廠,聖德里,24.878555,"121.199824 ",B1,341.0,龍潭分局,,桃園市龍潭區聖德里聖亭路八德段236號
A037,一般大樓,烏林里,24.882962,"121.208707 ",B2,2602.0,龍潭分局,,桃園市龍潭區烏林里中豐路461巷176號
A038,工廠,烏林里,24.890279,"121.209711 ",B2,1824.0,龍潭分局,,桃園市龍潭區烏林里工五路90巷56號
A039,工廠,烏林里,24.888695,"121.207187 ",B1,849.0,龍潭分局,,桃園市龍潭區烏林里工五路189號
A040,一般大樓,八德里,24.873467,"121.197090 ",B2,798.0,龍潭分局,,桃園市龍潭區八德里梅龍路200號
A041,一般大樓,聖德里,24.886543,"121.195200 ",B1,479.0,龍潭分局,,桃園市龍潭區聖德里湧光路一段77巷36號
A042,一般大樓,凌雲里,24.871076,"121.207568 ",B1,1176.0,龍潭分局,,桃園市龍潭區凌雲里復興路106號
B001,一般民宅,龍潭里,24.864834,"121.216860 ",B1,25.0,龍潭分局,,桃園市龍潭區龍潭里中正路200號
B002,一般民宅,龍潭里,24.864897,"121.216448 ",B1,27.0,龍潭分局,,桃園市龍潭區龍潭里中正路194巷19號
B003,一般民宅,龍潭里,24.865781,"121.215743 ",B1,29.0,龍潭分局,,桃園市龍潭區龍潭里龍興路66號
B006,一般大樓,龍潭里,24.864198,"121.212908 ",B2,1911.0,龍潭分局,,桃園市龍潭區龍潭里南龍路42號
B007,金融機構,龍潭里,,,B1,178.0,龍潭分局,,(機敏單位)桃園市龍潭區龍潭里南龍路70號
B008,一般大樓,上華里,24.853055,"121.222967 ",B1,475.0,龍潭分局,,桃園市龍潭區中正里中正路上華段90巷10弄1號
B009,一般大樓,中正里,24.867429,"121.215786 ",B1,25.0,龍潭分局,,桃園市龍潭區中正里中正路108號
B011,一般大樓,中正里,24.863871,"121.216491 ",B2,513.0,龍潭分局,,桃園市龍潭區中正里中正路210號
B012,一般大樓,中正里,24.863871,"121.216491 ",B2,315.0,龍潭分局,,桃園市龍潭區中正里中正路210號
B013,一般民宅,中正里,24.864027,"121.217182 ",B3,37.0,龍潭分局,,桃園市龍潭區中正里中正路227號
B015,一般民宅,中正里,24.857654,"121.217589 ",B2,79.0,龍潭分局,,桃園市龍潭區中正里龍華路403號
B016,龍潭高中,中正里,24.861501,"121.213145 ",B2,247.0,龍潭分局,,桃園市龍潭區中正里神龍路155號
B017,龍潭高中,中正里,24.861501,"121.213145 ",B1,55.0,龍潭分局,,桃園市龍潭區中正里神龍路155號
B018,龍潭高中,中正里,24.861501,"121.213145 ",B1,103.0,龍潭分局,,桃園市龍潭區中正里神龍路155號
B019,一般民宅,中正里,,,B1,746.0,龍潭分局,,(機敏單位)桃園市龍潭區中正里中正路471號
