電腦編號,建築物名稱,里別,緯度,經度,避難樓層,容量,轄管分局,備註,placemark_address
E051,工廠,高平里,24.844692,"121.177684 ",B1,29.0,龍潭分局,,桃園市龍潭區高平里中豐路高平段10巷85號
E052,一般大樓,渴望里,24.844137,"121.182895 ",B1,1906.0,龍潭分局,,桃園市龍潭區渴望里渴望二路99巷135號
F003,工廠,三水里,24.838756,"121.212762 ",B1,82.0,龍潭分局,,桃園市龍潭區三和里大北坑街一段220巷66號
F004,工廠,三水里,24.871551,"121.172299 ",B1,56.0,龍潭分局,,桃園市龍潭區三水里大北坑街一段220巷65號
F005,工廠,三和里,,,B1,16.0,龍潭分局,,(機敏單位)桃園市龍潭區三和里楊銅路二段801號
F006,工廠,三和里,24.867801,"121.181016 ",B1,72.0,龍潭分局,,桃園市龍潭區三和里店湖一路90號
F008,工廠,三和里,24.870047,"121.176546 ",B1,141.0,龍潭分局,,桃園市龍潭區三和里朝鳳路1號
F009,工廠,三和里,24.870847,"121.178738 ",B1,201.0,龍潭分局,,桃園市龍潭區三和里店湖一路126號
F010,工廠,三和里,24.869648,"121.176310 ",B2,4381.0,龍潭分局,,桃園市龍潭區三和里華映路1號
F011,工廠,三和里,24.859314,"121.192871 ",B2,9493.0,龍潭分局,,桃園市龍潭區三和里華映路1號
F012,工廠,三和里,24.859314,"121.192871 ",B2,4347.0,龍潭分局,,桃園市龍潭區三和里華映路1號
F013,工廠,三和里,24.859314,"121.192871 ",B2,859.0,龍潭分局,,桃園市龍潭區三和里華映路1號
