類別,A01-04-004,電腦編號:,電腦編號,地址,地下樓層數,可容納人數,轄管分局,備註
公寓,,A2303152,3688.0,桃園市龜山區大同里德明路89巷68號,1,929人,龜山分局,
大樓,,A3703153,3689.0,桃園市龜山區楓樹里光榮路76號,3,3176人,龜山分局,
公寓,,F0501001,3690.0,桃園市龜山區山福里頂興路33巷10號,1,1042人,龜山分局,
公寓,,F0502002,3691.0,桃園市龜山區山福里頂興路9號,1,1401人,龜山分局,
公寓,,F0601003,3692.0,桃園市龜山區山福里頂興路62號,1,80人,龜山分局,
公寓,,F0602004,3693.0,桃園市龜山區山福里頂興路64巷2號,1,34人,龜山分局,
公寓,,F0603005,3694.0,桃園市龜山區山福里頂興路64巷9號,1,73人,龜山分局,
公寓,,F0606008,3697.0,桃園市龜山區山福里頂興路64巷7號,1,34人,龜山分局,
大樓,,F0801009,3698.0,桃園市龜山區山福里明興街221巷30弄10號,1,3917人,龜山分局,
大樓,,F0802010,3699.0,桃園市龜山區山頂里明興街223號,1,800人,龜山分局,
公寓,,F1001011,3700.0,桃園市龜山區山福里頂興路83巷1弄1號,1,4022人,龜山分局,
公寓,,F1401013,3702.0,桃園市龜山區山頂里山鶯路340巷3號,1,61人,龜山分局,
公寓,,F1402014,3703.0,桃園市龜山區山頂里山鶯路338-1號,1,176人,龜山分局,
公寓,,F1404016,3705.0,桃園市龜山區山頂里山鶯路356號,1,174人,龜山分局,
公寓,,F1405017,3706.0,桃園市龜山區山頂里山鶯路340巷1號,1,304人,龜山分局,
公寓,,F1406018,3707.0,桃園市龜山區山頂里山鶯路340巷5號,1,189人,龜山分局,
公寓,,F1407019,3708.0,桃園市龜山區山頂里國華新村1號,1,164人,龜山分局,
公寓,,F1408020,3709.0,桃園市龜山區山頂里山鶯路340巷8號,1,45人,龜山分局,
公寓,,F1409021,3710.0,桃園市龜山區山頂里山鶯路358號,1,88人,龜山分局,
公寓,,F1410022,3711.0,桃園市龜山區山頂里山鶯路中華巷2號,1,58人,龜山分局,
公寓,,F1413025,3714.0,桃園市龜山區山頂里興邦路29號,1,3378人,龜山分局,
公寓,,F1414026,3715.0,桃園市龜山區山頂里山鶯路348號,1,220人,龜山分局,
公寓,,F1415027,3716.0,桃園市龜山區山頂里建國東路23號,1,837人,龜山分局,
公寓,,F1416028,3717.0,桃園市龜山區山頂里山鶯路200-5號,1,9781人,龜山分局,
公寓,,F1417029,3718.0,桃園市龜山區山頂里興業路2號,1,2369人,龜山分局,
公寓,,F1418030,3719.0,桃園市龜山區山頂里山鶯路中華巷1號,1,154人,龜山分局,
公寓,,F1419031,3720.0,桃園市龜山區山頂里山鶯路356號,1,950人,龜山分局,
公寓,,F1420032,3721.0,桃園市龜山區山頂里山鶯路173號,1,84人,龜山分局,
公寓,,F1421033,3722.0,桃園市龜山區山頂里山鶯路179號,2,1200人,龜山分局,
公寓,,F1422034,3723.0,桃園市龜山區山頂里山鶯路177號,2,8220人,龜山分局,
公寓,,F1423035,3724.0,桃園市龜山區山德里山鶯路130巷5號,1,405人,龜山分局,
公寓,,F1424036,3725.0,桃園市龜山區山頂里山鶯路252號,1,9162人,龜山分局,
公寓,,F1425037,3726.0,桃園市龜山區山頂里興業街1號,2、3,9652人,龜山分局,
公寓,,F1426038,3727.0,桃園市龜山區山頂里中興路17巷11號,1,1781人,龜山分局,
大樓,,F1427039,3728.0,桃園市龜山區山頂里興業街5號,1,1845人,龜山分局,
公寓,,F1428040,3729.0,桃園市龜山區山頂里山鶯路252號,3,9162人,龜山分局,
公寓,,F1429041,3730.0,桃園市龜山區山頂里山鶯路175號,1、2,6566人,龜山分局,
公寓,,F1431043,3731.0,桃園市龜山區山頂里山鶯路252號,3,9162人,龜山分局,
公寓,,F1432044,3732.0,桃園市龜山區山頂里興業街1號,2、3,11198人,龜山分局,
大樓,,F1601045,3733.0,桃園市龜山區新興里中興路168號,1,2010人,龜山分局,
大樓,,F1602046,3734.0,桃園市龜山區新興里中興路186號,1,2700人,龜山分局,
公寓,,F1603047,3735.0,桃園市龜山區新興里自強南路763號,1,74人,龜山分局,
大樓,,F1605049,3736.0,桃園市龜山區新興里中興路173號,1,2464人,龜山分局,
公寓,,F1801051,3737.0,桃園市龜山區中興里壽山路仁壽巷46號,1,2482人,龜山分局,
大樓,,F18-04-054,3740.0,桃園市龜山區中興里萬壽路2段1190號,1,1022人,龜山分局,
公寓,,F1902056,3742.0,桃園市龜山區中興里三民路10號,1,260人,龜山分局,
公寓,,F1433060,3744.0,桃園市龜山區山頂里山鶯路356號,1,189人,龜山分局,
大樓,,F1434061,3745.0,桃園市龜山區山頂里建國東路31號,1、2,10190人,龜山分局,
大樓,,F1404062,3746.0,桃園市龜山區山頂里中興路35號,1,4384人,龜山分局,
大樓,,F1436063,3747.0,桃園市龜山區山頂里興業街6號,1,4747人,龜山分局,
大樓,,F1437064,3748.0,桃園市龜山區山頂里中興路52號,1,4407人,龜山分局,
公寓,,F2401065,3749.0,桃園市龜山區新興里明德路152號,1,1512人,龜山分局,
大樓,,F1904066,3750.0,桃園市龜山區中興里民生街6號,3,3710人,龜山分局,
公寓,,F1438067,3751.0,桃園市龜山區山頂里山鶯路200-5號,1,4084人,龜山分局,
公寓,,F1439068,3752.0,桃園市龜山區山頂里山鶯路268號,2,8960人,龜山分局,
大樓,,F130270,3753.0,桃園市龜山區萬壽路二段1261號,3,3179人,龜山分局,
大樓,,F130271,3754.0,桃園市龜山區幸福里幸福七街16-2號3樓,1,2193人,龜山分局,
大樓,,F22-14-72,3755.0,桃園市龜山區中興里萬壽路二段1202號,2,1763人,龜山分局,
大樓,,F125673,3756.0,桃園市龜山區幸福里幸福七街20號,1,1660人,龜山分局,
大樓,,F210174,3757.0,桃園市龜山區山德里萬壽路二段1439號,1,2743人,龜山分局,
公寓,,G0401001,3758.0,桃園市龜山區文化里復興二路17號,1,1879人,龜山分局,
大樓,,G0801002,3759.0,桃園市龜山區文化里科技三路88號,1,5915人,龜山分局,
公寓,,G0701004,3761.0,桃園市龜山區文化里復興二路131巷72號,1,318人,龜山分局,
公寓,,G0101005,3762.0,桃園市龜山區文化里文化一路10巷20號,1,2212人,龜山分局,
公寓,,G0501006,3763.0,桃園市龜山區文化里復興二路75巷11號,1,455人,龜山分局,
公寓,,G0102007,3764.0,桃園市龜山區文化里復興北路52號,1,682人,龜山分局,
公寓,,G0103008,3765.0,桃園市龜山區文化里文昌五街130號,1,302人,龜山分局,
公寓,,G0201010,3767.0,桃園市龜山區文化里文昌一街47巷7-9號,1,428人,龜山分局,
公寓,,G0302011,3768.0,桃園市龜山區文化里文昌二街21巷15-21號,1,174人,龜山分局,
公寓,,G0202013,3770.0,桃園市龜山區文化里文昌一街3號,1,1314人,龜山分局,
公寓,,G0404014,3771.0,桃園市龜山區文化里文昌一街88號,1,394人,龜山分局,
公寓,,G0701015,3772.0,桃園市龜山區文化里復興南路106巷37號,1,116人,龜山分局,
公寓,,G0802016,3773.0,桃園市龜山區文化里文化二路215號,1,9302人,龜山分局,
公寓,,G0803017,3774.0,桃園市龜山區文化里文化二路200號,1,11165人,龜山分局,
公寓,,G0804018,3775.0,桃園市龜山區文化里復興三路568號,1,3156人,龜山分局,
公寓,,G0805020,3777.0,桃園市龜山區文化里華亞二路358號,1,3996人,龜山分局,
大樓,,G0806021,3778.0,桃園市龜山區文化里復興三路500號,3,4511人,龜山分局,
公寓,,G0807022,3779.0,桃園市龜山區文化里復興三路669號,1,6262人,龜山分局,
公寓,,G0808023,3780.0,桃園市龜山區文化里復興三路669號,1,2569人,龜山分局,
公寓,,G0809024,3781.0,桃園市龜山區文化里復興三路558號,2,2136人,龜山分局,
公寓,,G0702025,3782.0,桃園市龜山區文化里復興南路106巷6號,1,857人,龜山分局,
公寓,,G0601026,3783.0,桃園市龜山區文化里復興二路9巷7弄22號,1,705人,龜山分局,
公寓,,G0104027,3784.0,桃園市龜山區文化里復興二路78巷6號,1,1453人,龜山分局,
公寓,,G0810029,3785.0,桃園市龜山區文化里華亞一路40號,1,5283人,龜山分局,
公寓,,G0811030,3786.0,桃園市龜山區文化里華亞二路358號,1,3996人,龜山分局,
公寓,,G0812031,3787.0,桃園市龜山區文化里文化二路188號,1,9410人,龜山分局,
公寓,,G0813032,3788.0,桃園市龜山區文化里華亞一路66號,2,7718人,龜山分局,
公寓,,G0814033,3789.0,桃園市龜山區文化里文化二路188號,2,3064人,龜山分局,
公寓,,G0815034,3790.0,桃園市龜山區文化里華亞二路421巷39號,1,652人,龜山分局,
公寓,,G0816035,3791.0,桃園市龜山區文化里華亞二路222號,1,9216人,龜山分局,
公寓,,G0817036,3792.0,桃園市龜山區文化里華亞二路268號,1,35750人,龜山分局,
公寓,,G0818037,3793.0,桃園市龜山區文化里文化二路202號,1,417人,龜山分局,
公寓,,G0819038,3794.0,桃園市龜山區文化里科技六路60號,2,3092人,龜山分局,
公寓,,G0820039,3795.0,桃園市龜山區文化里科技七路35號,1,469人,龜山分局,
公寓,,G0821040,3796.0,桃園市龜山區文化里華亞一路38號,1,1793人,龜山分局,
公寓,,G0822041,3797.0,桃園市龜山區文化里華亞二路270號,1,9615人,龜山分局,
公寓,,G0823042,3798.0,桃園市龜山區文化里科技三路80號,1,9528人,龜山分局,
大樓,,G0824043,3799.0,桃園市龜山區文化里華亞一路66號,1,2007人,龜山分局,
公寓,,G0105046,3802.0,桃園市龜山區文化里文化一路10巷42弄20號,1,335人,龜山分局,
公寓,,G0105047,3803.0,桃園市龜山區文化里文化一路10巷41弄3號,1,270人,龜山分局,
公寓,,G0206048,3804.0,桃園市龜山區文化里復興二路35號,1,2929人,龜山分局,
公寓,,G0204049,3805.0,桃園市龜山區文化里復興一路108巷1號,2,453人,龜山分局,
公寓,,G0703050,3806.0,桃園市龜山區文化里復興二路75巷20弄3號,1,375人,龜山分局,
公寓,,G3008058,3814.0,桃園市龜山區大華里頂湖路20-2號,1,533人,龜山分局,
公寓,,G3009059,3815.0,桃園市龜山區大華里頂湖路47號,1,513人,龜山分局,
公寓,,G3010060,3816.0,桃園市龜山區大華里頂湖5街18號,1,534人,龜山分局,
公寓,,G3011061,3817.0,桃園市龜山區大華里頂湖路29號,1,400人,龜山分局,
公寓,,G3014064,3820.0,桃園市龜山區大華里頂湖路50-3號,1,512人,龜山分局,
公寓,,G3017067,3823.0,桃園市龜山區大華里頂湖路9號,1,460人,龜山分局,
公寓,,G3022072,3828.0,桃園市龜山區大華里頂湖路16號,1,2037人,龜山分局,
公寓,,G3024074,3830.0,桃園市龜山區大華里頂湖一街24號,1,404人,龜山分局,
公寓,,G3029079,3835.0,桃園市龜山區大華里頂湖一街6號,1,136人,龜山分局,
公寓,,G3033083,3839.0,桃園市龜山區大華里頂湖路30號,1,253人,龜山分局,
公寓,,G3034084,3840.0,桃園市龜山區大華里頂湖路50-6號,1,60人,龜山分局,
公寓,,G3035085,3841.0,桃園市龜山區大華里頂湖路17-6號,1,108人,龜山分局,
公寓,,G3036086,3842.0,桃園市龜山區大華里頂湖路76號,1,81人,龜山分局,
公寓,,G3038088,3844.0,桃園市龜山區大華里頂湖路76號,1,81人,龜山分局,
公寓,,G3040090,3846.0,桃園市龜山區大華里頂湖路15-8號,1,80人,龜山分局,
公寓,,G3041091,3847.0,桃園市龜山區大華里頂湖路40號,1,81人,龜山分局,
公寓,,G3042092,3848.0,桃園市龜山區大華里頂湖路64-7號,1,96人,龜山分局,
公寓,,G3043093,3849.0,桃園市龜山區大華里頂湖9街11號,1,253人,龜山分局,
公寓,,G3045095,3851.0,桃園市龜山區大華里頂湖路62號,1,98人,龜山分局,
公寓,,G3049099,3855.0,桃園市龜山區大華里頂湖路50號,1,90人,龜山分局,
公寓,,G3050100,3856.0,桃園市龜山區大華里頂湖路16號,1,5382人,龜山分局,
公寓,,G3055105,3861.0,桃園市龜山區大華里頂湖五街12巷3號,1,265人,龜山分局,
公寓,,G3059109,3865.0,桃園市龜山區大華里頂湖一街49號,1,913人,龜山分局,
公寓,,G3061111,3867.0,桃園市龜山區大華里頂湖路58號,1,5830人,龜山分局,
公寓,,G1801112,3868.0,桃園市龜山區大華里文化七路182巷29號,1,668人,龜山分局,
公寓,,G3063114,3870.0,桃園市龜山區大華里頂湖一街45號,1,789人,龜山分局,
公寓,,G2201115,3871.0,桃園市龜山區大華里復興一路330號,1,1330人,龜山分局,
公寓,,G2301116,3872.0,桃園市龜山區大華里文化五路15號,1,438人,龜山分局,
公寓,,G2401117,3873.0,桃園市龜山區大華里興華一街242號,1,456人,龜山分局,
公寓,,G2202118,3874.0,桃園市龜山區大華里復興一路306號,1,1052人,龜山分局,
大樓,,G1101120,3876.0,桃園市龜山區文化里復興一路230號,3,1045人,龜山分局,
大樓,,G1001121,3877.0,桃園市龜山區文化里文興路206號,1,2726人,龜山分局,
大樓,,G1102122,3878.0,桃園市龜山區文化里文興路142號,3,1513人,龜山分局,
大樓,,G0204123,3879.0,桃園市龜山區文化里文化二路38-10號,1,574人,龜山分局,
大樓,,G0205124,3880.0,桃園市龜山區文化里文化二路40號,2,1689人,龜山分局,
公寓,,G1103125,3881.0,桃園市龜山區文化里文化三路315號,1,513人,龜山分局,
公寓,,G2203126,3882.0,桃園市龜山區大華里興華一街285號,1,1588人,龜山分局,
公寓,,G2204127,3883.0,桃園市龜山區大華里興華一街355號,1,464人,龜山分局,
公寓,,G1901128,3884.0,桃園市龜山區大華里文化七路206巷25號,1,1050人,龜山分局,
公寓,,G2204130,3885.0,桃園市龜山區大華里文化三路370號,1,516人,龜山分局,
公寓,,G2303132,3887.0,桃園市龜山區大華里文化七路181巷17弄7號,1,377人,龜山分局,
公寓,,G2801133,3888.0,桃園市龜山區大華里文化東路2-7號,1,1277人,龜山分局,
公寓,,G1701134,3889.0,桃園市龜山區大華里文化七路182巷10-1號,2,786人,龜山分局,
公寓,,G1801135,3890.0,桃園市龜山區大華里文化三路564巷75弄10號,1,763人,龜山分局,
公寓,,G1602136,3891.0,桃園市龜山區大華里文東五街85號,1,421人,龜山分局,
公寓,,G2206137,3892.0,桃園市龜山區大華里興華三街28巷28號2樓,1,567人,龜山分局,
公寓,,G0207137,3893.0,桃園市龜山區文化里復興一路212巷25號,1,937人,龜山分局,
大樓,,G3063115,3894.0,桃園市龜山區文化里文化三路327號7樓,4,789人,龜山分局,
大樓,,G3063120,3895.0,桃園市龜山區文化里文化二路70號6樓之3,1,1090人,龜山分局,
公寓,,G3063118,3896.0,"桃園市龜山區文化里復興北路6巷46號 ",2,814人,龜山分局,
大樓,,G3063119,3897.0,桃園市龜山區文化里文興路221號,1,339人,龜山分局,
大樓,,G3063117,3898.0,桃園市龜山區大華里文化五路60號,2,1473人,龜山分局,
大樓,,G3063116,3899.0,桃園市龜山區大華里文化東路9號,1,850人,龜山分局,
大樓,,G3063121,3900.0,桃園市龜山區文化里文昌五街88號四樓之1,1,730人,龜山分局,
公寓,,G3063122,3901.0,桃園市龜山區文化里復興二路131巷98號,1,595人,龜山分局,
公寓,,G2403138,3902.0,桃園市龜山區大華里興華一街272巷11號5樓,1,650人,龜山分局,
大樓,,G1902148,3903.0,桃園市龜山區文化里復興二路131巷16號,1,2368人,龜山分局,
大樓,,G1903149,3904.0,桃園市龜山區大華里文化七路96號,1,1018人,龜山分局,
大樓,,G1904150,3905.0,桃園市龜山區文化里文化三路399號三樓之2,1,938人,龜山分局,
公寓,,G1905151,3906.0,桃園市龜山區大華里興華三街18號,1,1398人,龜山分局,
公寓,,G1901147,3907.0,桃園市龜山區文化里復興三路667號,1,24人,龜山分局,
公寓,,G1907153,3908.0,桃園市龜山區文化里復興北路58號,1,1043人,龜山分局,
大樓,,G1908154,3909.0,桃園市龜山區文化里文昌三街112號,1,1019人,龜山分局,
大樓,,G1906152,3910.0,桃園市龜山區文化里復興三路75號,2,1538人,龜山分局,
公寓,,G1908155,3911.0,桃園市龜山區大華里文七一街91號,1,436人,龜山分局,
大樓,,G1908156,3912.0,桃園市龜山區華亞三路199巷15號,1,1469人,龜山分局,
大樓,,G1908157,3913.0,桃園市龜山區大華里文東五街57巷7號,1、2,1202人,龜山分局,
公寓,,G1908171,3914.0,桃園市龜山區大華里文化七路182巷26弄21號,2,706人,龜山分局,
大樓,,G1908172,3915.0,桃園市龜山區公西里文化二路11-5號,2、3,16749人,龜山分局,
公寓,,G1908174,3917.0,桃園市龜山區大華里文化三路564巷76號,2,823人,龜山分局,
公寓,,G1908173,3916.0,桃園市龜山區文化里復興二路10巷27弄11號,1,246人,龜山分局,
公寓,,E0101001,3918.0,桃園市龜山區舊路里振興路321號,1,238人,龜山分局,
公寓,,E0102002,3919.0,桃園市龜山區舊路里東舊路坑26-8號,1,6324人,龜山分局,
公寓,,E0103003,3920.0,桃園市龜山區舊路里東舊路街100號,1,976人,龜山分局,
大樓,,E0104004,3921.0,桃園市龜山區舊路里長青路2號,1,6498人,龜山分局,
大樓,,E0304008,3922.0,桃園市龜山區舊路里文化一路259-2號,1,2494人,龜山分局,
公寓,,E0501012,3923.0,桃園市龜山區樂善里文明路21號,1,666人,龜山分局,
公寓,,E0502013,3924.0,桃園市龜山區樂善里文化一路77號之1,1,60人,龜山分局,
公寓,,E0503014,3925.0,桃園市龜山區樂善里文明路15號,1,224人,龜山分局,
公寓,,E0504015,3926.0,桃園市龜山區樂善里文化一路55號,1,658人,龜山分局,
公寓,,E0506017,3927.0,桃園市龜山區樂善里文明路6號,1,676人,龜山分局,
公寓,,E0507018,3928.0,桃園市龜山區樂善里文化一路51號,1,213人,龜山分局,
公寓,,E0508019,3929.0,桃園市龜山區樂善里文明路64號,1,261人,龜山分局,
公寓,,E0509020,3930.0,桃園市龜山區樂善里文化一路71號,1,170人,龜山分局,
公寓,,E0510021,3931.0,桃園市龜山區樂善里文化一路71號,1,2530人,龜山分局,
公寓,,E0602023,3932.0,桃園市龜山區舊路里振興路577號地,1,732人,龜山分局,
大樓,,E0801024,3933.0,桃園市龜山區長庚里長庚醫謢新村7號,1,5476人,龜山分局,
大樓,,E0802025,3934.0,桃園市龜山區長庚里長庚醫謢新村101號,1,1485人,龜山分局,
大樓,,E0901026,3935.0,桃園市龜山區長庚里長庚醫護新村60-80號,1,3410人,龜山分局,
大樓,,E0902027,3936.0,桃園市龜山區長庚里長庚醫護新村62-64號,1,420人,龜山分局,
大樓,,E0903028,3937.0,桃園市龜山區成更里長庚醫護新村82-84號,1,565人,龜山分局,
大樓,,E0904029,3938.0,桃園市龜山區長庚里長庚醫謢新村141-147號,1,1109人,龜山分局,
大樓,,E0905030,3939.0,桃園市龜山區長庚里長庚醫護新村102號之136,1,1528人,龜山分局,
大樓,,E1001032,3941.0,桃園市龜山區長庚里長庚醫護新村86-90號,1,454人,龜山分局,
大樓,,E1002033,3942.0,桃園市龜山區長庚里長庚醫護新村329-331號,1,480人,龜山分局,
大樓,,E1003034,3943.0,桃園市龜山區長庚里長庚醫謢新村2-12號,1,946人,龜山分局,
大樓,,E1004035,3944.0,桃園市龜山區長庚里長庚醫護新催332-337號,1,960人,龜山分局,
公寓,,E1101036,3945.0,桃園市龜山區長庚里長庚醫謢新村425號,1,1088人,龜山分局,
大樓,,E0307037,3946.0,桃園市龜山區舊路里文化一路259號,1,6662人,龜山分局,
公寓,,E1102038,3947.0,桃園市龜山區長庚里長庚醫謢新村425號,1,1089人,龜山分局,
大樓,,E0105039,3948.0,桃園市龜山區舊路里長青路7號,1,32038人,龜山分局,
公寓,,E0511040,3949.0,桃園市龜山區樂善里文明路29巷8號,1,805人,龜山分局,
公寓,,E0106041,3950.0,桃園市龜山區舊路里長青路9號,1,9595人,龜山分局,
公寓,,E1601043,3951.0,桃園市龜山區樂善里文德路80號,1,634人,龜山分局,
公寓,,E0701044,3952.0,桃園市龜山區樂善里文善街60號,1,259人,龜山分局,
大樓,,E0511022,3953.0,桃園市龜山區樂善里文青路339號,1,18336人,龜山分局,
公寓,,E1610045,3954.0,桃園市龜山區樂善里文明路72-1號,1,2732人,龜山分局,
公寓,,E1610046,3955.0,桃園市龜山區樂善里文德路27-3號,1,4557人,龜山分局,
大樓,,E1707048,3956.0,桃園市龜山區樂善里文康街107號,1,1390人,龜山分局,
大樓,,E1701049,3957.0,桃園市龜山區樂善里文化一路15號,1、2,6076人,龜山分局,
大樓,,E1701050,3958.0,桃園市龜山區樂善里文禾路188號,1,5658人,龜山分局,
大樓,,E1701051,3959.0,桃園市龜山區文青路380號,1,1968人,龜山分局,
大樓,,E1701052,3960.0,桃園市龜山區長庚里長慶三街28號,1,5321人,龜山分局,
公寓,,E1701053,3961.0,桃園市龜山區樂善里文工一路298巷13號,1,648人,龜山分局,
