類別,電腦編號,村里別,地下層數位址,可容納人數,轄管分局,備註
大樓,ETA00001,大華里,1,120.0,八德分局,(機敏單位)金融機構
公寓,ETA00005,大忠里,1,200.0,八德分局,
公寓,ETA00007,大義里,1,1266.0,八德分局,
大樓,ETA00008,大福里,2,1593.0,八德分局,
公寓,ETA00015,大同里,1,1266.0,八德分局,
公寓,ETA00017,廣德里,1,213.0,八德分局,
大樓,ETA00018,興仁里,1,742.0,八德分局,
大樓,ETA00019,興仁里,1,1402.0,八德分局,
公寓,ETA00021,興中里,1,326.0,八德分局,
大樓,ETA00023,興仁里,1,649.0,八德分局,
公寓,ETA00024,興仁里,1,113.0,八德分局,
大樓,ETA00027,興仁里,1,77.0,八德分局,
公寓,ETA00032,瑞泰里,1,1201.0,八德分局,
公寓,ETA00033,瑞泰里,1,1200.0,八德分局,
大樓,ETA00036,龍友里,1,96.0,八德分局,
大樓,ETA00037,霄裡里,1,2229.0,八德分局,
大樓,ETA00038,福元里,1,5212.0,八德分局,
公寓,ETA00039,福元里,1,1196.0,八德分局,
公寓,ETA00041,廣德里,1,266.0,八德分局,
公寓,ETA00042,廣隆里,1,100.0,八德分局,
公寓,ETA00045,廣隆里,1,53.0,八德分局,
公寓,ETA00046,廣隆里,1,160.0,八德分局,
公寓,ETA00047,廣隆里,1,60.0,八德分局,
公寓,ETA00048,廣隆里,1,40.0,八德分局,
大樓,ETA00050,竹園里,1,40.0,八德分局,
公寓,ETA00051,竹園里,1,166.0,八德分局,
公寓,ETA00052,竹園里,1,106.0,八德分局,
公寓,ETA00053,瑞豐里,1,100.0,八德分局,
公寓,ETA00054,瑞豐里,1,106.0,八德分局,
公寓,ETA00055,瑞豐里,1,160.0,八德分局,
大樓,ETA00056,興中里,1,1538.0,八德分局,
大樓,ETA00057,興仁里,2,776.0,八德分局,
大樓,ETA00058,興仁里,1,578.0,八德分局,
公寓,ETA00059,茄苳里,1,70.0,八德分局,
公寓,ETA00060,茄苳里,1,562.0,八德分局,
公寓,ETA00061,高明里,1,33.0,八德分局,
大樓,ETA00065,白鷺里,1,1085.0,八德分局,
大樓,ETA00066,永豐里,1,26.0,八德分局,
大樓,ETA00067,永豐里,1,260.0,八德分局,
大樓,ETA00068,永豐里,1,70.0,八德分局,
大樓,ETA00069,永豐里,1,65.0,八德分局,
大樓,ETA00070,永豐里,1,793.0,八德分局,
大樓,ETA00071,永豐里,1,32.0,八德分局,
大樓,ETA00072,茄苳里,1,80.0,八德分局,
大樓,ETA00073,永豐里,1,938.0,八德分局,
大樓,ETA00074,茄苳里,1,421.0,八德分局,
大樓,ETA00076,永豐里,1,648.0,八德分局,
大樓,ETA00078,永豐里,1,721.0,八德分局,
大樓,ETA00079,茄苳里,1,25.0,八德分局,
大樓,ETA00080,茄苳里,1,37.0,八德分局,
大樓,ETA00081,茄苳里,1,365.0,八德分局,
大樓,ETA00083,永豐里,1,182.0,八德分局,
大樓,ETA00084,永豐里,1,37.0,八德分局,
大樓,ETA00086,永豐里,1,74.0,八德分局,
大樓,ETA00087,永豐里,1,668.0,八德分局,
公寓,ETA00090,茄明里,1,142.0,八德分局,
大樓,ETA00091,茄明里,1,86.0,八德分局,
大樓,ETA00092,茄明里,1,1002.0,八德分局,
大樓,ETA00093,永豐里,1,49.0,八德分局,
大樓,ETA00094,大安里,1,149.0,八德分局,
公寓,ETA00095,大安里,1,77.0,八德分局,
大樓,ETA00096,大安里,1,264.0,八德分局,
大樓,ETA00097,大安里,1,82.0,八德分局,
大樓,ETA00099,大安里,1,1232.0,八德分局,
大樓,ETA00100,大發里,1,44.0,八德分局,
大樓,ETA00101,大發里,1,37.0,八德分局,
大樓,ETA00102,大發里,1,48.0,八德分局,
大樓,ETA00103,大發里,1,40.0,八德分局,
公寓,ETA00104,大發里,1,30.0,八德分局,
公寓,ETA00109,大發里,1,56.0,八德分局,
公寓,ETA00110,大發里,1,58.0,八德分局,
公寓,ETA00111,大發里,1,56.0,八德分局,
公寓,ETA00112,大發里,1,37.0,八德分局,
公寓,ETA00113,大發里,1,60.0,八德分局,
公寓,ETA00114,大發里,1,60.0,八德分局,
公寓,ETA00115,大發里,1,58.0,八德分局,
公寓,ETA00116,大發里,1,60.0,八德分局,
公寓,ETA00117,大發里,1,53.0,八德分局,
大樓,ETA00118,大千里,2,1596.0,八德分局,
大樓,ETA00120,大千里,2,2386.0,八德分局,
大樓,ETA00121,大漢里,1,2814.0,八德分局,
大樓,ETA00122,大竹里,1,46.0,八德分局,
大樓,ETA00123,大勇里,1,141.0,八德分局,
大樓,ETA00124,大勇里,1,416.0,八德分局,
公寓,ETA00126,大勇里,1,313.0,八德分局,
大樓,ETA00127,大湳里,1,489.0,八德分局,
公寓,ETA00132,大明里,1,148.0,八德分局,
大樓,ETA00133,大漢里,1,648.0,八德分局,
大樓,ETA00138,大漢里,1,469.0,八德分局,
公寓,ETA00141,大千里,1,182.0,八德分局,
公寓,ETA00143,大千里,2,168.0,八德分局,
公寓,ETA00145,大千里,1,97.0,八德分局,
大樓,ETA00147,大義里,2,13484.0,八德分局,
大樓,ETA00148,大和里,3,31181.0,八德分局,
大樓,ETA00150,大勇里,1,5116.0,八德分局,
公寓,ETA00151,茄明里,1,166.0,八德分局,
大樓,ETA00153,福興里,2,4802.0,八德分局,
大樓,ETA00154,茄明里,1,1165.0,八德分局,
大樓,ETA00155,茄明里,1,2462.0,八德分局,
大樓,ETA00156,大千里,1,1753.0,八德分局,
大樓,ETA00157,大成里,1,805.0,八德分局,
大樓,ETA00158,竹園里,1,1629.0,八德分局,
公寓,ETA00159,大正里,1,472.0,八德分局,
大樓,ETA00160,高明里,2,2435.0,八德分局,
大樓,ETA00161,大福里,2,476.0,八德分局,
大樓,ETA00162,瑞德里,2,3985.0,八德分局,
大樓,ETA00163,高城里,3,10470.0,八德分局,
大樓,ETA00164,大勇里,1,2183.0,八德分局,
大樓,ETA00165,大宏里,1,11614.0,八德分局,
大樓,ETA00166,大信里,1,44757.0,八德分局,
大樓,ETA00167,大漢里,1,895.0,八德分局,
大樓,ETA00168,大勇里,1,3722.0,八德分局,
大樓,ETA00169,大正里,3,3660.0,八德分局,
大樓,ETA00170,高城里,2,965.0,八德分局,
大樓,ETA00171,大仁里,2,4728.0,八德分局,
大樓,ETA00172,大正里,3,3120.0,八德分局,
大樓,ETA00173,大正里,2,1310.0,八德分局,
大樓,ETA00174,大和里,2,4077.0,八德分局,
大樓,ETA00175,大和里,2,8663.0,八德分局,
大樓,ETA00176,大忠里,1,2729.0,八德分局,
大樓,ETA00177,大忠里,1,1569.0,八德分局,
大樓,ETA00178,瑞泰里,2,2082.0,八德分局,
大樓,ETA00179,大湳里,1,3692.0,八德分局,
大樓,ETA00180,茄明里,5,3504.0,八德分局,
大樓,ETA00181,大福里,1,1497.0,八德分局,
大樓,ETA00182,大湳里,2,3471.0,八德分局,
大樓,ETA00183,大漢里,1,4213.0,八德分局,
大樓,ETA00184,大湳里,1,3214.0,八德分局,
大樓,ETA00185,大義里,2,1592.0,八德分局,
大樓,ETA00186,大湳里,1,2876.0,八德分局,
大樓,ETA00187,興仁里,2,3160.0,八德分局,
大樓,ETA00188,大勇里,3,9065.0,八德分局,
大樓,ETA00189,永豐里,1,3884.0,八德分局,
大樓,ETA00190,茄明里,2,1573.0,八德分局,
公寓,ETA00191,竹園里,1,2230.0,八德分局,
大樓,ETA00192,大正里,2,2402.0,八德分局,
公寓,ETA00193,大正里,1,264.0,八德分局,
公寓,ETA00194,大仁里,2,1542.0,八德分局,
大樓,ETA00195,大湳里,2,3884.0,八德分局,
大樓,ETA00196,大智里,3,2839.0,八德分局,
公寓,ETA00197,福元里,3,300.0,八德分局,
公寓,ETA00198,廣隆里,3,1600.0,八德分局,
公務機關,ETA00199,白鷺里,1,296.0,八德分局,(機敏單位)警察單位
大樓,ETA00200,廣隆里,3,3055.0,八德分局,
大樓,ETA00201,大興里,2,4628.0,八德分局,
公寓,ETA00202,大湳里,2,1549.0,八德分局,
大樓,ETA00203,大智里,3,2686.0,八德分局,
大樓,ETA00206,大信里,1,532.0,八德分局,
大樓,ETA00207,大發里,1,1042.0,八德分局,
大樓,ETA00208,瑞豐里,1,1440.0,八德分局,
大樓,ETA00209,大華里,3,3099.0,八德分局,
大樓,ETA00210,興仁里,2,7745.0,八德分局,
大樓,ETA00211,大愛里,3,5014.0,八德分局,
大樓,ETA00212,茄苳里,1,710.0,八德分局,
公寓,ETA00213,大愛里,地上1層,831.0,八德分局,
大樓,ETA00214,福元里,3,2731.0,八德分局,
公寓,ETA00215,高明里,3,5215.0,八德分局,
大樓,ETA00216,瑞豐里,3,8778.0,八德分局,
大樓,ETA00217,高明里,3,5034.0,八德分局,
大樓,ETA00218,瑞豐里,2,1530.0,八德分局,
大樓,ETA00219,大智里,2,4982.0,八德分局,
大樓,ETA00220,福興里,3,10782.0,八德分局,
大樓,ETA00221,福元里,3,2839.0,八德分局,
大樓,ETA00222,福元里,3,1288.0,八德分局,
大樓,ETA00223,興仁里,2,1219.0,八德分局,
大樓,ETA00224,興仁里,2,3536.0,八德分局,
大樓,ETA00225,大勇里,3,751.0,八德分局,
大樓,ETA00226,大信里,1,583.0,八德分局,
大樓,ETA00227,福興里,3,2017.0,八德分局,
大樓,ETA00228,瑞豐里,1,667.0,八德分局,
大樓,ETA00229,福興里,3,2622.0,八德分局,
大樓,ETA00230,瑞泰里,2,4417.0,八德分局,
大樓,ETA00231,福興里,1,494.0,八德分局,
大樓,ETA00232,瑞豐里,1,605.0,八德分局,
大樓,ETA00233,茄明里,3,3365.0,八德分局,
大樓,ETA00234,福元里,1,285.0,八德分局,
大樓,ETA00235,福興里,2,4292.0,八德分局,
大樓,ETA00236,興仁里,2,1933.0,八德分局,
大樓,ETA00237,興仁里,2,2618.0,八德分局,
大樓,ETA00238,興中里,3,7371.0,八德分局,
大樓,ETA00239,瑞豐里,3,8778.0,八德分局,
大樓,ETA00240,大智里,2,3217.0,八德分局,
大樓,ETA00241,瑞興里,2,2855.0,八德分局,
大樓,ETA00242,瑞德里,2,1358.0,八德分局,
大樓,ETA00243,瑞泰里,2,4417.0,八德分局,
大樓,ETA00244,福德里,3,2348.0,八德分局,
大樓,ETA00245,福興里,2,804.0,八德分局,
大樓,ETA00246,霄裡里,1,734.0,八德分局,
大樓,ETA00247,瑞豐里,2,5652.0,八德分局,
大樓,ETA00248,瑞豐里,2,7936.0,八德分局,
大樓,ETA00249,瑞豐里,3,6530.0,八德分局,
大樓,ETA00250,興中里,3,3174.0,八德分局,
大樓,ETA00251,大福里,2,3843.0,八德分局,
大樓,ETA00252,大安里,2,2729.0,八德分局,
大樓,ETA00253,福興里,3,1692.0,八德分局,
大樓,ETA00254,興仁里,1,765.0,八德分局,
大樓,ETA00255,福興里,3,3807.0,八德分局,
大樓,ETA00256,福德里,1,4556.0,八德分局,
大樓,ETA00257,福德里,2,661.0,八德分局,
大樓,ETA00258,福德里,3,1682.0,八德分局,
大樓,ETA00259,興中里,3,5505.0,八德分局,
大樓,ETA00260,大宏里,3,13897.0,八德分局,
大樓,ETA00261,福元里,2,4372.0,八德分局,
大樓,ETA00262,大興里,3,5695.0,八德分局,
大樓,ETA00263,福興里,3,1615.0,八德分局,
大樓,ETA00264,福德里,2,6146.0,八德分局,
大樓,ETA00265,廣隆里,2,2961.0,八德分局,
大樓,ETA00266,興仁里,3,1888.0,八德分局,
大樓,ETA00267,福元里,2,1498.0,八德分局,
大樓,ETA00268,福興里,2,1228.0,八德分局,
大樓,ETA00269,大智里,2,4447.0,八德分局,
大樓,ETA00270,茄明里,3,1652.0,八德分局,
大樓,ETA00271,興仁里,3,1059.0,八德分局,
大樓,ETA00272,福德里,3,4673.0,八德分局,
大樓,ETA00273,大和里,4,1854.0,八德分局,
大樓,ETA00274,瑞豐里,3,2444.0,八德分局,
大樓,ETA00275,大安里,2,3160.0,八德分局,
大樓,ETA00276,興仁里,3,4639.0,八德分局,
大樓,ETA00277,福元里,2,1043.0,八德分局,
大樓,ETA00278,福興里,3,887.0,八德分局,
大樓,ETA00279,大智里,4,26806.0,八德分局,
大樓,ETA00280,大安里,2,2474.0,八德分局,
大樓,ETA00281,大和里,5,6163.0,八德分局,
大樓,ETA00282,福元里,3,6408.0,八德分局,
公寓,ETA00283,瑞興里,1,460.0,八德分局,
大樓,ETA00284,大宏里,2,5089.0,八德分局,
大樓,ETA00285,興中里,2,4026.0,八德分局,
大樓,ETA00286,興中里,2,6771.0,八德分局,
大樓,ETA00287,大忠里,3,577.0,八德分局,
大樓,ETA00288,瑞豐里,1,117.0,八德分局,
大樓,ETA00289,瑞豐里,2,1441.0,八德分局,
大樓,ETA00290,瑞德里,2,830.0,八德分局,
大樓,ETA00291,瑞豐里,2,1795.0,八德分局,
大樓,ETA00292,福元里,1,4554.0,八德分局,
大樓,ETA00293,大華里,2,198.0,八德分局,
大樓,ETA00294,大安里,2,7778.0,八德分局,
大樓,ETA00295,福興里,2,1611.0,八德分局,
大樓,ETA00296,瑞豐里,1,199.0,八德分局,
大樓,ETA00297,霄裡里,3,1527.0,八德分局,
大樓,ETA00298,興仁里,2,1303.0,八德分局,
大樓,ETA00299,福元里,2,1243.0,八德分局,
大樓,ETA00300,茄苳里,1,1451.0,八德分局,
大樓,ETA00301,茄明里,3,808.0,八德分局,
大樓,ETA00302,興仁里,3,2713.0,八德分局,
大樓,ETA00303,福興里,1,523.0,八德分局,
大樓,ETA00304,福興里,3,2407.0,八德分局,
大樓,ETA00305,瑞豐里,3,14519.0,八德分局,
大樓,ETA00306,永豐里,2,1460.0,八德分局,
大樓,ETA00307,大勇里,3,2058.0,八德分局,
大樓,ETA00308,福興里,3,4530.0,八德分局,
大樓,ETA00309,永豐里,2,1937.0,八德分局,
大樓,ETA00310,大湳里,2,16892.0,八德分局,
大樓,ETA00311,興中里,3,7713.0,八德分局,
大樓,ETA00312,大安里,1,2772.0,八德分局,
大樓,ETA00313,福興里,3,2344.0,八德分局,
大樓,ETA00314,大湳里,1,1560.0,八德分局,
大樓,ETA00315,大信里,1,7982.0,八德分局,
大樓,ETA00316,瑞興里,3,2806.0,八德分局,
大樓,ETA00317,大湳里,1,4619.0,八德分局,
大樓,ETA00318,竹園里,2,2672.0,八德分局,
大樓,ETA00319,福德里,3,2618.0,八德分局,
公寓,ETA00320,瑞豐里,1,1997.0,八德分局,
大樓,ETA00321,興中里,1,2825.0,八德分局,
大樓,ETA00322,福德里,3,6209.0,八德分局,
大樓,ETA00323,廣隆里,2,1532.0,八德分局,
大樓,ETA00324,福興里,2,1537.0,八德分局,
大樓,ETA00325,大竹里,2,1562.0,八德分局,
大樓,ETA00326,大湳里,2,4478.0,八德分局,
大樓,ETA00327,瑞豐里,3,4632.0,八德分局,
大樓,ETA00328,大安里,2,8630.0,八德分局,
大樓,ETA00329,大宏里,3,7031.0,八德分局,
八德區公有零售市場,ETA00040,福興里,1,1517.0,八德分局,
八德區大湳停一公有停車場,ETA00149,大慶里,1,2226.0,八德分局,
八德區公所,ETA00204,興仁里,1,55.0,八德分局,
八德區公所,ETA00205,興仁里,1,55.0,八德分局,
桃園市八德國民運動中心,ETA00330,廣隆里,2,23298.0,八德分局,
桃園市八德生命紀念園區,ETA00331,大安里,2,1616.0,八德分局,
大樓,ETA00332,大勇里,3,1790.0,八德分局,
大樓,ETA00333,興中里,3,3465.0,八德分局,
大樓,ETA00334,興中里,3,3344.0,八德分局,
大樓,ETA00335,興仁里,2,2231.0,八德分局,
大樓,ETA00336,大強里,2,1558.0,八德分局,
