行政區,電腦編號,村里別,地址,緯經度,地下樓層數,可容納人數,轄管分局,備註,placemark_address
大安區,WNA02079,住安里,臺北市大安區信義路四段18號,"25.033168,121.544293",1,"901 ",大安分局,,臺北市大安區信義路四段18號
大安區,"   WNA02100   ",住安里,臺北市大安區信義路四段24號,"25.033166,121.544381",1,"507 ",大安分局,,臺北市大安區信義路四段24號
大安區,WNA02179,住安里,臺北市大安區信義路四段30巷4號,"25.032889,121.544577",1,"297 ",大安分局,,臺北市大安區信義路四段30巷4號
大安區,WNA02184,住安里,臺北市大安區信義路四段30巷8弄13號,"25.032768,121.543981",1,"66 ",大安分局,,臺北市大安區信義路四段30巷8弄13號
大安區,WNA02872,住安里,臺北市大安區復興南路二段11-1號,"25.032595,121.543792",1,"313 ",大安分局,,臺北市大安區復興南路二段11-1號
大安區,WNA02881,住安里,臺北市大安區復興南路二段17-1號,"25.032292,121.543786",1,"249 ",大安分局,,臺北市大安區復興南路二段17-1號
大安區,WNA02889,住安里,臺北市大安區復興南路二段27號,"25.03189,121.54382",1,"874 ",大安分局,,臺北市大安區復興南路二段27號
大安區,WNA02902,住安里,臺北市大安區復興南路二段41號,"25.031396,121.543769",1、2,"1036 ",大安分局,,臺北市大安區復興南路二段41號
大安區,WNA03632,住安里,臺北市大安區復興南路二段17-1號,"25.032292,121.543786",1,"249 ",大安分局,,臺北市大安區復興南路二段17-1號
大安區,WNA02873,住安里,臺北市大安區復興南路二段11-1號,"25.032595,121.543792",2,"313 ",大安分局,,臺北市大安區復興南路二段11-1號
大安區,WNA02901,住安里,臺北市大安區復興南路二段9號,"25.032768,121.543795",1,"152 ",大安分局,,臺北市大安區復興南路二段9號
大安區,WNA03632,住安里,臺北市大安區瑞安街17號,"25.031438,121.544098",1,"676 ",大安分局,,臺北市大安區瑞安街17號
大安區,WNA02180,住安里,信臺北市大安區義路四段30巷53號,"25.032346,121.544526",1,"160 ",大安分局,,信臺北市大安區義路四段30巷53號
大安區,WNA02181,住安里,臺北市大安區信義路四段30巷9號,"25.032722,121.544686",1,"1553 ",大安分局,,臺北市大安區信義路四段30巷9號
大安區,WNA02182,住安里,臺北市大安區信義路四段30巷21弄7號,"25.032388,121.5455",1,"336 ",大安分局,,臺北市大安區信義路四段30巷21弄7號
大安區,WNA04668,住安里,臺北市大安區大安路二段76、78號,"25.028421,121.545918",1,"1080 ",大安分局,,臺北市大安區大安路二段76、78號
大安區,WNA04766,住安里,臺北市大安區大安路二段62號,"25.032292,121.545856",1,"729 ",大安分局,,臺北市大安區大安路二段62號
大安區,WNA00484,住安里,臺北市大安區四維路131號,"25.030626,121.548109",1,"5338 ",大安分局,,臺北市大安區四維路131號
大安區,WNA00426,住安里,臺北市大安區四維路95號,"25.032274,121.54818",2,"1060 ",大安分局,,臺北市大安區四維路95號
