類別,檔案卡電腦編號,里別,防空疏散避難設施地址,地下層數位址,可容納數
公寓,WUA00633,建民里,臺北市北投區文林北路100號,1,56.0
公寓,WUA00634,建民里,臺北市北投區文林北路104號,1,56.0
公寓,WUA00635,建民里,臺北市北投區文林北路108號,1,56.0
大樓,WUA00636,建民里,臺北市北投區文林北路112號,1,2476.0
公寓,WUA00650,建民里,臺北市北投區文林北路34號,1,124.0
公寓,WUA00651,建民里,臺北市北投區文林北路4號,1,198.0
公寓,WUA00652,建民里,臺北市北投區文林北路40號,1,81.0
公寓,WUA00653,建民里,臺北市北投區文林北路44號,1,81.0
公寓,WUA00656,建民里,臺北市北投區文林北路96號,1,68.0
公寓,WUA00664,建民里,臺北市北投區文林北路60巷1號,1,917.0
公寓,WUA00665,建民里,臺北市北投區文林北路60巷23號,1,16.0
公寓,WUA00666,建民里,臺北市北投區文林北路60巷5號,1,48.0
公寓,WUA00667,建民里,臺北市北投區文林北路60巷9號,1,169.0
公寓,WUA00668,建民里,臺北市北投區文林北路60巷8弄17號,1,49.0
公寓,WUA00669,建民里,臺北市北投區文林北路80巷100號,1,282.0
公寓,WUA00670,建民里,臺北市北投區文林北路80巷92號,1,82.0
公寓,WUA00671,建民里,臺北市北投區文林北路80巷96號,1,82.0
公寓,WUA00672,建民里,臺北市北投區文林北路80巷59弄4號,1,1886.0
公寓,WUA00673,建民里,臺北市北投區文林北路80巷90弄21號,1,298.0
公寓,WUA00674,建民里,臺北市北投區文林北路80巷90弄25號,1,76.0
公寓,WUA00675,建民里,臺北市北投區文林北路80巷90弄29號,1,76.0
公寓,WUA00676,建民里,臺北市北投區文林北路80巷90弄33號,1,86.0
公寓,WUA00677,建民里,臺北市北投區文林北路80巷90弄37號,1,86.0
公寓,WUA00678,建民里,臺北市北投區文林北路94巷54號,1,33.0
公寓,WUA00679,建民里,臺北市北投區文林北路94巷5弄13號,1,173.0
公寓,WUA00680,建民里,臺北市北投區文林北路94巷5弄2號,1,102.0
公寓,WUA01385,建民里,臺北市北投區明德路12號,1,157.0
大樓,WUA02513,建民里,臺北市北投區明德路2號,3,1392.0
公寓,WUA02522,建民里,臺北市北投區文林北路80巷90弄14號,1,168.0
公寓,WUA02603,建民里,臺北市北投區文林北路155號,1,584.0
大樓,WUA02629,建民里,臺北市北投區文林北路94巷31號,1,3244.0
大樓,WUA02666,建民里,臺北市北投區文林北路86號,5,3058.0
大樓,WUA02685,建民里,臺北市北投區文林北路16巷23號,1,1873.0
大樓,WUA02686,建民里,臺北市北投區文林北路10號,1,2520.0
公寓,WUA02716,建民里,臺北市北投區明德路38巷16號,1,730.0
大樓,WUA02746,建民里,臺北市北投區明德路32號,1,1268.0
大樓,WUA02777,建民里,臺北市北投區文林北路75巷51號,1,6409.0
公寓,WUA02787,建民里,臺北市北投區明德路8號,3,582.0
大樓,WUA02825,建民里,臺北市北投區承德路六段128號,4,2370.0
大樓,WUA02689,吉慶里,臺北市北投區石牌路一段15號,1,1200.0
公寓,WUA02561,吉慶里,臺北市北投區致遠二路61巷7號,1,548.0
公寓,WUA00728,吉慶里,臺北市北投區石牌路一段75號,1,1569.0
公寓,WUA00767,吉慶里,臺北市北投區石牌路一段71巷15弄4號,1,88.0
公寓,WUA00768,吉慶里,臺北市北投區石牌路一段39巷36弄7號,1,150.0
公寓,WUA01130,吉慶里,臺北市北投區承德路七段164巷8-1號,1,32.0
公寓,WUA01131,吉慶里,臺北市北投區承德路七段168巷1號,1,508.0
公寓,WUA01132,吉慶里,臺北市北投區承德路七段188巷24號,1,41.0
