電腦編號,鄉鎮市區,村里別,地址,經度,緯度,避難樓層,可容納人數,轄管分局
XG0764,小港區,二苓里,高雄市小港區二苓里13鄰其美街89號,"120.348232 ","22.564554 ",B1,59.0,小港分局
XG0768,小港區,二苓里,高雄市小港區二苓里13鄰其美街110之1號,"120.348376 ","22.565079 ",B1,52.0,小港分局
XG0883,小港區,二苓里,高雄市小港區二苓里22鄰立群路50號,"120.351057 ","22.563727 ",B1,187.0,小港分局
XG20224,小港區,二苓里,高雄市小港區二苓里17鄰大業北路312號,"120.347979 ","22.563662 ",B1,189.0,小港分局
XG1129,小港區,二苓里,高雄市小港區二苓里21鄰漢民路188巷1弄26號,"120.352099 ","22.565194 ",B1,53.0,小港分局
XG1326,小港區,二苓里,高雄市小港區二苓里22鄰漢民路188巷2弄8號,"120.352211 ","22.564426 ",B1,85.0,小港分局
XG1329,小港區,二苓里,高雄市小港區二苓里16鄰漢民路236巷27號,"120.352571 ","22.565422 ",B1,103.0,小港分局
XG1373,小港區,二苓里,高雄市小港區二苓里16鄰漢民路236巷17號,"120.352472 ","22.565566 ",B1,60.0,小港分局
XG1550,小港區,二苓里,高雄市小港區二苓里21鄰漢民路188巷2弄45號,"120.352604 ","22.564997 ",B1,79.0,小港分局
XG1552,小港區,二苓里,高雄市小港區二苓里21鄰漢民路188巷1弄20號,"120.352017 ","22.565085 ",B1,34.0,小港分局
XG1767,小港區,二苓里,高雄市小港區二苓里19鄰大業北路316號,"120.347928 ","22.563714 ",B1,29.0,小港分局
XG2015,小港區,二苓里,高雄市小港區二苓里8鄰二苓路265號,"120.347365 ","22.565346 ",B1,184.0,小港分局
XG2123,小港區,二苓里,高雄市小港區二苓里22鄰漢民路188巷10號,"120.351660 ","22.564623 ",B1,48.0,小港分局
XG2124,小港區,二苓里,高雄市小港區二苓里22鄰漢民路188巷18號,"120.351742 ","22.564488 ",B1,49.0,小港分局
XG2195,小港區,二苓里,高雄市小港區二苓里1鄰紹興街159號,"120.354568 ","22.564734 ",B1,29.0,小港分局
