地址,緯經度,地下樓層數,分配容量,轄管分局,備註,類別,電腦編號
南投市成功三路331-1號,"23.922132,120.659687",1.0,1449.0,南投分局,,日勝化工,KMA00585
南投市工業南一路9號,"23.922871,120.661412",1.0,775.0,南投分局,,台灣陶氏化學,KMA00455
南投市同源路8街18號,"23.925068,120.664442",1.0,188.0,南投分局,,全宏開發建設,KMA00692
南投市同源路10街19號,"23.925813,120.664097",1.0,32.0,南投分局,,百晟建設,KMA00673
南投市工業路27號,"23.923542,120.663081",1.0,1063.0,南投分局,,冠好公司,KMA00514
南投市工業路21號,"23.923024,120.663863",1.0,416.0,南投分局,,詠承企業,KMA00387
南投市工業南一路16號,"23.924178,120.660944",1.0,1666.0,南投分局,,順德工業,KMA00656
南投市成功三路331號,"23.923322,120.659859",1.0,805.0,南投分局,,鴻利鑄造,KMA00493
南投市工業南三路5號,"23.921557,120.659928",1.0,69.0,南投分局,,鉅鋐油封,KMA00651
南投市仁和路148號,"23.921506,120.677791",1.0,886.0,南投分局,,榮豐工業,KMA00622
南投市自強二路23號,"23.928027,120.666878",1.0,136.0,南投分局,,泰億機械,KMA00317
南投市自強三路23號,"23.926651,120.665595",1.0,188.0,南投分局,,超吉工業,KMA00212
南投市工業路15號,"23.922124,120.664715",1.0,1002.0,南投分局,,百晟工業,KMA00510
南投市光華里光華路6號,"23.955834,120.687319",1.0,626.0,中興分局,,水保局,KNA00014
南投市光華里光華路123號,"23.950093,120.693971",1.0,890.0,中興分局,,中興圖書館,KNA00017
南投市光華里光華四路57號之8,"23.951394,120.690719",1.0,99.0,中興分局,,水保局,KNA00018
南投市光華里環山路57號,"23.952453,120.695002",1.0,1091.0,中興分局,,署立中興醫院,KNA00019
南投市光華里光華路66號,"23.951198,120.693095",1.0,2110.0,中興分局,,員工消費合作社,KNA00028
南投市光華里中學路2號,"23.950368,120.695079",1.0,1906.0,中興分局,,中興高中,KNA00029
南投市光營里光榮北路19之1號,"23.946036,120.696737",1.0,659.0,中興分局,,光榮國小,KNA00033
南投市光輝里虎山路3號,"23.957774,120.685221",2.0,2114.0,中興分局,,中興大學中區綜合大樓,KNA00031
南投市光輝里省府路4號,"23.958091,120.686807",1.0,13.0,中興分局,,經濟部中部辦公室,KNA00012
南投市光輝里府西路71號,"23.959852,120.686442",1.0,1002.0,中興分局,,水保局,KNA00032
南投市營北里中正路220之6號,"23.946672,120.693465",1.0,165.0,中興分局,,聖徒教會,KNA00009
南投市營北里中正路2號,"23.955974,120.686328",2.0,102.0,中興分局,,檔案管理局,KNA00013
南投市營北里中學西路55號,"23.946669,120.692191",1.0,180.0,中興分局,,一般住宅,KNA00041
南投市營北里向上路217號,"23.952391,120.683485",1.0,260.0,中興分局,,福龍宮,KNA00042
南投市營北里向上路2號,"23.952363,120.687481",1.0,221.0,中興分局,,營北國中,KNA00043
南投市營北里向上路2號,"23.952363,120.687481",1.0,260.0,中興分局,,營北國中,KNA00044
南投市光明里光明路27號,"23.938899,120.698508",1.0,821.0,中興分局,,原住民委員會,KNA00022
南投市內興里光明一路300號,"23.935354,120.700917",1.0,695.0,中興分局,,交通部公路總局中部訓練中心,KNA00003
南投市光明里光明路25號,"23.938742,120.698746",1.0,304.0,中興分局,,主計處中部辦公室,KNA00004
