類別,電腦編號,村里別,地址,地下樓層數,可容納人數,轄管分局,備註
不公開,1.0,八德里,雲林縣斗六市八德里文化路648號,1.0,482,斗六分局,
黑松汽水斗六廠,2.0,八德里,雲林縣斗六市八德里文化路635號,1.0,226,斗六分局,
黑松汽水斗六廠,3.0,八德里,雲林縣斗六市八德里文化路635號,1.0,246,斗六分局,
公寓,4.0,八德里,雲林縣斗六市文化路675號,1.0,106,斗六分局,
榮成公司,5.0,十三里,雲林縣斗六市十三里十三北路25號,1.0,50,斗六分局,
公寓,6.0,三平里,雲林縣斗六市三平里洛陽路155號,1.0,133,斗六分局,
公寓,7.0,三平里,雲林縣斗六市三平里西平路119巷36號,1.0,264,斗六分局,
公寓,8.0,三平里,雲林縣斗六市三平里西平路77至79號、1至3號之4,1.0,3169,斗六分局,
公寓,9.0,三平里,雲林縣斗六市西平路161號,1.0,118,斗六分局,
公寓,10.0,三平里,雲林縣斗六市西平路209號,1.0,3644,斗六分局,
公寓,11.0,三平里,雲林縣斗六市三平里上海路160號,1.0,716,斗六分局,
公寓,12.0,三平里,雲林縣斗六市三平里北平路46巷5之21號,1.0,1317,斗六分局,
公寓,13.0,三平里,雲林縣斗六市上海路156至170號、漢口路157至161號,1.0,1392,斗六分局,
公寓,14.0,三平里,雲林縣斗六市三平里延平路6至10號,1.0,370,斗六分局,
公寓,15.0,三平里,雲林縣斗六市三平里延平路73號,1.0,180,斗六分局,
三好國際酒店股份有限公司,16.0,三平里,斗六市三平里斗六五路31號,1.0,5128,斗六分局,
不公開,17.0,三平里,雲林縣斗六市三平里6鄰明德北路3段39號,1.0,1425,斗六分局,
公寓,18.0,久安里,雲林縣斗六市久安里久安路158巷36號,1.0,2313,斗六分局,
公寓,19.0,久安里,雲林縣斗六市久安里雲林路3段369號,1.0,177,斗六分局,
大樓,20.0,中和里,雲林縣斗六市太平路235號,1.0,461,斗六分局,
公寓,21.0,中和里,雲林縣斗六市愛國街149至151號,1.0,176,斗六分局,
不公開,22.0,中和里,雲林縣斗六市中和里西平路1號,1.0,217,斗六分局,
雲林縣環保局,23.0,中和里,雲林縣斗六市中和里雲林路1段170號,1.0,100,斗六分局,
中央市場,24.0,中和里,雲林縣斗六市中華路16號,1.0,428,斗六分局,
不公開,25.0,中和里,雲林縣斗六市中和里中山路72號,1.0,400,斗六分局,
國泰人壽,26.0,中和里,雲林縣斗六市中和里中山路89號,1.0,152,斗六分局,
地球村補習班,27.0,中和里,雲林縣斗六市中山路82號,1.0,849,斗六分局,
永福寺,28.0,中和里,雲林縣斗六市中和里城頂街156號,1.0,138,斗六分局,
鎮西國小,29.0,中和里,雲林縣斗六市中和里西平路3號,1.0,1885,斗六分局,
公寓,30.0,仁愛里,雲林縣斗六市成功路259號,1.0,800,斗六分局,
公寓,31.0,仁愛里,雲林縣斗六市中華路222號,1.0,350,斗六分局,
公寓,32.0,仁愛里,雲林縣斗六市仁愛里永樂街138巷8號,1.0,129,斗六分局,
公寓,33.0,仁愛里,雲林縣斗六市城頂街22號,1.0,309,斗六分局,
公寓,34.0,仁愛里,雲林縣斗六市成功路102號,1.0,242,斗六分局,
公寓,35.0,仁愛里,雲林縣斗六市中華路100號,1.0,468,斗六分局,
斗六家商(忠孝樓),36.0,仁愛里,雲林縣斗六市仁愛里成功路120號,1.0,348,斗六分局,
斗六家商(仁愛樓),37.0,仁愛里,雲林縣斗六市成功路120號,1.0,102,斗六分局,
斗六家商(信義樓),38.0,仁愛里,雲林縣斗六市成功路120號,1.0,108,斗六分局,
斗六家商大禮堂,39.0,仁愛里,雲林縣斗六市仁愛里成功路120號,1.0,2448,斗六分局,
大樓,40.0,公正里,雲林縣斗六市公正里6鄰凱旋街56號,1.0,1824,斗六分局,
