類別,檔案卡電腦編號,里別,防空疏散避難設施地址,地下層數位址,可容納人數
公寓,WWA01532,雅祥里,臺北市信義區基隆路一段37巷1-7號,1,885.0
大樓,WWA02062,雅祥里,臺北市信義區永吉路65號,3,4329.0
大樓,WWA02070,雅祥里,臺北市信義區永吉路127巷11弄8號,1,1138.0
公寓,WWA01539,雅祥里,臺北市信義區基隆路一段83巷20弄2號,1,209.0
公寓,WWA01533,雅祥里,臺北市信義區基隆路一段37巷12號,1,213.0
公寓,WWA01537,雅祥里,臺北市信義區基隆路一段83巷14號,1,137.0
大樓,WWA02181,雅祥里,臺北市信義區永吉路47號,6,1162.0
公寓,WWA02309,雅祥里,臺北市信義區永吉路127巷11弄6號,1,289.0
公寓,WWA00093,雅祥里,臺北市信義區永吉路127巷26號,1,108.0
公寓,WWA01121,雅祥里,臺北市信義區松隆路119-2號,1,161.0
公寓,WWA02097,雅祥里,臺北市信義區基隆路一段83巷25號,1,785.0
公寓,WWA00096,雅祥里,臺北市信義區永吉路127巷30弄2號,1,141.0
公寓,WWA02182,雅祥里,臺北市信義區基隆路一段83巷32號,1,545.0
公寓,WWA02213,雅祥里,臺北市信義區基隆路一段83巷19號,1,294.0
大樓,WWA02278,雅祥里,臺北市信義區松信路50巷5號,3,1976.0
大樓,WWA02281,雅祥里,臺北市信義區松信路50巷6號,3,2094.0
公寓,WWA01524,雅祥里,臺北市信義區基隆路一段35巷7弄1-4號,1,212.0
公寓,WWA01525,雅祥里,臺北市信義區基隆路一段35巷7弄2號,1,78.0
公寓,WWA01527,雅祥里,臺北市信義區基隆路一段35巷7弄5號,1,36.0
大樓,WWA02119,雅祥里,臺北市信義區基隆路一段25號,1,1064.0
大樓,WWA02280,雅祥里,臺北市信義區基隆路一段13號,1,1136.0
公寓,WWA00120,雅祥里,臺北市信義區松信路6~8號,1,72.0
大樓,WWA02057,雅祥里,臺北市信義區松信路3號,1,642.0
公寓,WWA00114,雅祥里,臺北市信義區松信路61~63號,1,304.0
大樓,WWA01123,雅祥里,臺北市信義區松隆路125號,3、4,2377.0
公寓,WWA02101,雅祥里,臺北市信義區基隆路一段35巷7弄67號,1,858.0
公寓,WWA00137,五常里,臺北市信義區松隆路202號,1,92.0
公寓,WWA01126,五常里,臺北市信義區松隆路194號,1,597.0
公寓,WWA00141,五常里,臺北市信義區永吉路187巷6弄1-1號,1,70.0
大樓,WWA00112,五常里,臺北市信義區松信路87號,1,5077.0
大樓,WWA02144,五常里,臺北市信義區永吉路199號,1,762.0
大樓,WWA00050,五常里,臺北市信義區永吉路177號,1,510.0
大樓,WWA00051,五常里,臺北市信義區永吉路181號,1,436.0
公寓,WWA02082,五常里,臺北市信義區松隆路102號,1,169.0
大樓,WWA01120,五常里,臺北市信義區松隆路110號,3,1157.0
公寓,WWA00139,五常里,臺北市信義區永吉路187巷4弄10號,1,473.0
公寓,WWA00140,五常里,臺北市信義區永吉路187巷4弄9號,1,230.0
公寓,WWA00057,五常里,臺北市信義區永吉路237號,1,32.0
公寓,WWA00058,五常里,臺北市信義區永吉路245號,1,89.0
公寓,WWA00177,五常里,臺北市信義區永吉路225巷52弄11號,1,140.0
公寓,WWA00178,五常里,臺北市信義區永吉路225巷52弄17號,1,170.0
公寓,WWA00166,五常里,臺北市信義區永吉路225巷2弄33號,1,37.0
公寓,WWA00249,五常里,臺北市信義區永吉路321巷11號,1,141.0
公寓,WWA00160,五常里,臺北市信義區永吉路225巷11號,1,265.0
公寓,WWA00161,五常里,臺北市信義區永吉路225巷3-2號,1,40.0
公寓,WWA00167,五常里,臺北市信義區永吉路225巷3弄2號,1,38.0
公寓,WWA00142,五常里,臺北市信義區永吉路187巷6弄10號,1,469.0
公寓,WWA00162,五常里,臺北市信義區永吉路225巷16弄11號,1,177.0
公寓,WWA00165,五常里,臺北市信義區永吉路225巷16弄8號,1,256.0
公寓,WWA00169,五常里,臺北市信義區永吉路225巷32弄10號,1,262.0
公寓,WWA00170,五常里,臺北市信義區永吉路225巷32弄13號,1,152.0
公寓,WWA00171,五常里,臺北市信義區永吉路225巷32弄2號,1,113.0
公寓,WWA00172,五常里,臺北市信義區永吉路225巷32弄21號,1,152.0
公寓,WWA00173,五常里,臺北市信義區永吉路225巷32弄29號,1,320.0
公寓,WWA02240,五常里,臺北市信義區永吉路225巷27號,1,314.0
大樓,WWA02315,五常里,臺北市信義區永吉路225巷8號,4,1952.0
大樓,WWA02306,四育里,臺北市信義區永吉路367號,1,1000.0
公寓,WWA00251,四育里,臺北市信義區永吉路321巷30號,1,146.0
公寓,WWA02298,四育里,臺北市信義區虎林街46巷47號,1,189.0
大樓,WWA01169,四育里,臺北市信義區虎林街38-3號,1,1000.0
大樓,WWA01286,四育里,臺北市信義區虎林街30巷1號,1,5809.0
公寓,WWA01130,四育里,臺北市信義區松隆路215巷20號,2,176.0
公寓,WWA01164,四育里,臺北市信義區虎林街21號,1,480.0
公寓,WWA02073,四育里,臺北市信義區松隆路167號,2,310.0
大樓,WWA01127,四育里,臺北市信義區松隆路272號,2,2085.0
大樓,WWA02080,四育里,臺北市信義區松山路130號,3,1177.0
大樓,WWA00992,四育里,臺北市信義區松山路132號,2,972.0
大樓,WWA01171,四育里,臺北市信義區虎林街51號,1,1170.0
大樓,WWA01172,四育里,臺北市信義區虎林街57號,1,1298.0
大樓,WWA01254,四育里,臺北市信義區虎林街31號,1,1385.0
公寓,WWA01170,四育里,臺北市信義區虎林街47-1號,1,25.0
大樓,WWA02288,四育里,臺北市信義區松隆路298號,1,780.0
大樓,WWA01125,四育里,臺北市信義區松隆路181號,1,238.0
公寓,WWA01039,永吉里,臺北市信義區松山路119巷36號,1,64.0
公寓,WWA01041,永吉里,臺北市信義區松山路119巷1弄7-1號,1,49.0
大樓,WWA00989,永吉里,臺北市信義區松山路107號,1,805.0
公寓,WWA01128,永吉里,臺北市信義區松隆路347號,1,300.0
公寓,WWA00262,永吉里,臺北市信義區永吉路443巷13弄29號,1,49.0
大樓,WWA01038,永吉里,臺北市信義區松山路119巷3號,1,877.0
大樓,WWA01040,永吉里,臺北市信義區松山路119巷1弄14號,1,1676.0
公寓,WWA02083,永吉里,臺北市信義區永吉路443巷48號,1,577.0
公寓,WWA02055,永吉里,臺北市信義區永吉路443巷50號,1,345.0
公寓,WWA00988,永吉里,臺北市信義區松山路105號,1,177.0
公寓,WWA00991,永吉里,臺北市信義區松山路121號,1,192.0
公寓,WWA00993,永吉里,臺北市信義區松山路133號,1,192.0
公寓,WWA00995,永吉里,臺北市信義區松山路145號,1,577.0
大樓,WWA02292,永吉里,臺北市信義區市民大道六段312號,1,890.0
公寓,WWA00257,永吉里,臺北市信義區永吉路443巷11弄1號,1,86.0
公寓,WWA00258,永吉里,臺北市信義區永吉路443巷11弄11號,1,118.0
公寓,WWA00259,永吉里,臺北市信義區永吉路443巷11弄15號,1,182.0
公寓,WWA00256,永吉里,臺北市信義區永吉路443巷7號,1,118.0
公寓,WWA01043,永吉里,臺北市信義區松山路161巷5號,1,54.0
公寓,WWA00263,永吉里,臺北市信義區永吉路443巷9弄36號,1,217.0
公寓,WWA00260,永吉里,臺北市信義區永吉路443巷11弄27號,1,122.0
公寓,WWA01042,永吉里,臺北市信義區松山路151號,1,158.0
大樓,WWA00019,永吉里,臺北市信義區中坡北路43巷5號,1,958.0
大樓,WWA00078,永吉里,臺北市信義區永吉路519號,1,1012.0
公寓,WWA01066,永春里,臺北市信義區松山路287巷1號,1,88.0
公寓,WWA01071,永春里,臺北市信義區松山路287巷3弄17號,1,126.0
公寓,WWA01072,永春里,臺北市信義區松山路287巷3弄23-1號,1,61.0
