類別,電腦編號,村里別,地址,緯經度,地下樓層數,可容納人數,轄管分局,備註,"unnamed (1)"
一般建築,XG1925,大苓里,高雄市小港區大苓里民益路133巷10號,"22.569078,120.347778",1.0,10.0,小港分局,,
一般建築,XG1924,大苓里,高雄市小港區大苓里民益路133巷12號,"22.569078,120.347738",1.0,10.0,小港分局,,
一般建築,XG1742,鳳林里,高雄市小港區鳳林里3鄰鳳西街9之1號,"22.523429,120.346705",1.0,11.0,小港分局,,
一般建築,XG1559,六苓里,高雄市小港區六苓里新豐街51號,"22.566669,120.361773",1.0,12.0,小港分局,,
一般建築,XG1715,正苓里,高雄市小港區正苓里金府路41號,"22.566089,120.35455",1.0,12.0,小港分局,,
一般建築,XG1571,宏亮里,高雄市小港區宏亮里安和街100號,"22.569379,120.359713",1.0,12.0,小港分局,,
一般建築,XG1569,宏亮里,高雄市小港區宏亮里安和街96之1號,"22.569378,120.359793",1.0,12.0,小港分局,,
一般建築,XG1568,宏亮里,高雄市小港區宏亮里安和街96號,"22.569376,120.359837",1.0,12.0,小港分局,,
一般建築,XG1570,宏亮里,高雄市小港區宏亮里安和街98號,"22.569378,120.359753",1.0,12.0,小港分局,,
一般建築,XG1856,店鎮里,高雄市小港區店鎮里紹興街80號,"22.563151,120.356224",1.0,12.0,小港分局,,
一般建築,XG1855,店鎮里,高雄市小港區店鎮里紹興街82號,"22.563188,120.356196",1.0,12.0,小港分局,,
一般建築,XG1854,店鎮里,高雄市小港區店鎮里紹興街84號,"22.563205,120.356174",1.0,12.0,小港分局,,
一般建築,XG1853,店鎮里,高雄市小港區店鎮里紹興街86號,"22.563231,120.356146",1.0,12.0,小港分局,,
一般建築,XG2263,松山里,高雄市小港區松山里13鄰松興路73號,"22.574425,120.372946",1.0,12.0,小港分局,,
一般建築,XG1780,港明里,高雄市小港區港明里港盛街14號,"22.567831,120.332069",1.0,12.0,小港分局,,
一般建築,XG1781,港明里,高雄市小港區港明里港盛街16號,"22.567795,120.332091",1.0,12.0,小港分局,,
一般建築,XG1782,港明里,高雄市小港區港明里港盛街18號,"22.567768,120.332115",1.0,12.0,小港分局,,
一般建築,XG1783,港明里,高雄市小港區港明里港盛街20號,"22.567741,120.332137",1.0,12.0,小港分局,,
一般建築,XG1784,港明里,高雄市小港區港明里港盛街22號,"22.567713,120.332162",1.0,12.0,小港分局,,
一般建築,XG1788,港明里,高雄市小港區港明里港盛街30號,"22.567588,120.332261",1.0,12.0,小港分局,,
一般建築,XG1789,港明里,高雄市小港區港明里港盛街32號,"22.567561,120.332285",1.0,12.0,小港分局,,
一般建築,XG1790,港明里,高雄市小港區港明里港盛街34號,"22.567525,120.332314",1.0,12.0,小港分局,,
一般建築,XG1452,廈莊里,高雄市小港區廈莊里9鄰孔鳳路470巷1號,"22.581679,120.359778",1.0,12.0,小港分局,,
一般建築,XG1451,廈莊里,高雄市小港區廈莊里9鄰孔鳳路470巷3號,"22.581716,120.359781",1.0,12.0,小港分局,,
一般建築,XG1760,六苓里,高雄市小港區六苓里漢民路685號,"22.567515,120.361148",1.0,13.0,小港分局,,
一般建築,XG1759,六苓里,高雄市小港區六苓里漢民路687號,"22.567533,120.361186",1.0,13.0,小港分局,,
一般建築,XG1758,六苓里,高雄市小港區六苓里漢民路689號,"22.567551,120.361224",1.0,13.0,小港分局,,
一般建築,XG1757,六苓里,高雄市小港區六苓里漢民路691號,"22.567561,120.361262",1.0,13.0,小港分局,,
一般建築,XG1719,正苓里,高雄市小港區正苓里金府路33號,"22.565954,120.354564",1.0,13.0,小港分局,,
一般建築,XG1718,正苓里,高雄市小港區正苓里金府路35號,"22.565989,120.354564",1.0,13.0,小港分局,,
一般建築,XG1708,正苓里,高雄市小港區正苓里金府路43巷13號,"22.566043,120.354242",1.0,13.0,小港分局,,
一般建築,XG1707,正苓里,高雄市小港區正苓里金府路43巷15號,"22.566042,120.354194",1.0,13.0,小港分局,,
一般建築,XG1706,正苓里,高雄市小港區正苓里金府路43巷17號,"22.566042,120.354158",1.0,13.0,小港分局,,
一般建築,XG1705,正苓里,高雄市小港區正苓里金府路43巷19號,"22.566042,120.354114",1.0,13.0,小港分局,,
一般建築,XG1714,正苓里,高雄市小港區正苓里金府路43巷1號,"22.566051,120.354467",1.0,13.0,小港分局,,
一般建築,XG1704,正苓里,高雄市小港區正苓里金府路43巷21號,"22.566042,120.35408",1.0,13.0,小港分局,,
一般建築,XG1713,正苓里,高雄市小港區正苓里金府路43巷3號,"22.566051,120.354421",1.0,13.0,小港分局,,
一般建築,XG1712,正苓里,高雄市小港區正苓里金府路43巷5號,"22.566051,120.354382",1.0,13.0,小港分局,,
一般建築,XG1711,正苓里,高雄市小港區正苓里金府路43巷7號,"22.566051,120.354347",1.0,13.0,小港分局,,
一般建築,XG1710,正苓里,高雄市小港區正苓里金府路43巷9號,"22.566051,120.354308",1.0,13.0,小港分局,,
一般建築,XG1564,店鎮里,高雄市小港區店鎮里紹興街38巷1號,"22.562422,120.35689",1.0,13.0,小港分局,,
一般建築,XG1565,店鎮里,高雄市小港區店鎮里紹興街38巷3號,"22.562441,120.356925",1.0,13.0,小港分局,,
一般建築,XG1563,店鎮里,高雄市小港區店鎮里紹興街40號,"22.562422,120.356829",1.0,13.0,小港分局,,
一般建築,XG1332,泰山里,高雄市小港區泰山里宏平路24號,"22.572521,120.364904",1.0,13.0,小港分局,,
一般建築,XG1333,泰山里,高雄市小港區泰山里宏平路26號,"22.5725,120.36487",1.0,13.0,小港分局,,
一般建築,XG1334,泰山里,高雄市小港區泰山里宏平路28號,"22.572485,120.364836",1.0,13.0,小港分局,,
一般建築,XG1335,泰山里,高雄市小港區泰山里宏平路30號,"22.572461,120.364807",1.0,13.0,小港分局,,
一般建築,XG1336,泰山里,高雄市小港區泰山里宏平路32號,"22.572434,120.364776",1.0,13.0,小港分局,,
一般建築,XG1337,泰山里,高雄市小港區泰山里宏平路34號,"22.57241,120.36475",1.0,13.0,小港分局,,
一般建築,XG1338,泰山里,高雄市小港區泰山里宏平路36號,"22.572389,120.364715",1.0,13.0,小港分局,,
一般建築,XG1339,泰山里,高雄市小港區泰山里宏平路38號,"22.572372,120.364681",1.0,13.0,小港分局,,
一般建築,XG1340,泰山里,高雄市小港區泰山里宏平路40號,"22.572351,120.36465",1.0,13.0,小港分局,,
一般建築,XG0827,港后里,高雄市小港區港后里港安街5之1號,"22.569199,120.335279",1.0,13.0,小港分局,,
一般建築,XG0828,港后里,高雄市小港區港后里港安街5之2號,"22.569189,120.335243",1.0,13.0,小港分局,,
一般建築,XG0829,港后里,高雄市小港區港后里港安街5之3號,"22.569171,120.335205",1.0,13.0,小港分局,,
一般建築,XG0826,港后里,高雄市小港區港后里港安街5號,"22.569216,120.335322",1.0,13.0,小港分局,,
一般建築,XG0693,港后里,高雄市小港區港后里豐登街24號,"22.56951,120.334363",1.0,13.0,小港分局,,
一般建築,XG1792,港明里,高雄市小港區港明里平和路160號,"22.567487,120.33199",1.0,13.0,小港分局,,
一般建築,XG1791,港明里,高雄市小港區港明里平和路162號,"22.567513,120.331956",1.0,13.0,小港分局,,
一般建築,XG1779,港明里,高雄市小港區港明里港盛街12號,"22.567867,120.332043",1.0,13.0,小港分局,,
