電腦編號,類別,村里,地址,地下層數,容量,轄管所別,備註
HOA00001,卓蘭國小,新厝里15鄰,苗栗縣卓蘭鎮新厝里15鄰中山路125號,1.0,554.0,卓蘭所,
HOA00002,公寓,中街里6鄰,苗栗縣卓蘭鎮中街里6鄰中山路101號,1.0,82.0,卓蘭所,
HOA00003,公寓,新厝里1鄰,苗栗縣卓蘭鎮新厝里新厝路7之6號,1.0,12.0,卓蘭所,
HOA00004,培德幼稚園,中街里10鄰,苗栗縣卓蘭鎮中街里10鄰民族路88號,1.0,90.0,卓蘭所,
HOA00005,卓蘭高中,老庄里18鄰,苗栗縣卓蘭鎮老庄里老庄161號,1.0,800.0,卓蘭所,
HOA00006,卓蘭高中,老庄里18鄰,苗栗縣卓蘭鎮老庄里老庄161號,1.0,1022.0,卓蘭所,
HOA00007,昭忠廟,老庄里1鄰,"24.311084212464674, 120.83442800982574",1.0,141.0,卓蘭所,"24.311084212464674, 120.83442800982574"
HOA00008,大樓,中街里4鄰,苗栗縣卓蘭鎮中街里4鄰中山路82號,1.0,729.0,卓蘭所,
HOA00009,大樓,新厝里16鄰,苗栗縣卓蘭鎮新厝里16鄰中山路108之1號,1.0,746.0,卓蘭所,
HOA00010,卓蘭高中,老庄里18鄰,苗栗縣卓蘭鎮老庄里老庄161號,1.0,2628.0,卓蘭所,
HOA00011,虎山溫泉會館,錦水村11鄰,苗栗縣泰安鄉錦水村11鄰圓墩73號,1.0,352.0,龍山所,
HOA00012,苗栗區農業改良場,大湖村14鄰,苗栗縣大湖鄉大湖村14鄰民族路42號,1.0,33.0,大湖所,
HOA00013,大湖鄉公所,明湖村12鄰,苗栗縣大湖鄉明湖村中正路80號,1.0,266.0,大湖所,
HOA00014,大湖農會酒莊,富興村8鄰,苗栗縣大湖鄉富興村8鄰八寮灣2-4號,1.0,1101.0,大湖所,
HOA00016,苗栗區農業改良場,大湖村14鄰,苗栗縣大湖鄉大湖村14鄰民族路42號,1.0,126.0,大湖所,
HOA00017,中華電信大湖營運處,靜湖村5鄰,苗栗縣大湖鄉靜湖村5鄰民族路105號,1.0,720.0,大湖所,
HOA00018,大湖地政事務所,明湖村12鄰,苗栗縣大湖鄉明湖村12鄰博愛街35號,1.0,181.0,大湖所,
HOA00019,大湖鄉圖書館,大湖村15鄰,苗栗縣大湖鄉大湖村15鄰民族路40之2號,1.0,161.0,大湖所,
HOA00020,大順醫院,大湖村6鄰,苗栗縣大湖鄉大湖村6鄰中正路48-5號,1.0,297.0,大湖所,
HOA00021,公寓,大湖村11鄰,苗栗縣大湖鄉大湖村11鄰重光路105號,1.0,3744.0,大湖所,
HOA00022,國立大湖農工,大寮村17鄰,苗栗縣大湖鄉大寮村17鄰竹高屋68號,1.0,542.0,大湖所,
HOA00023,中華電信卓蘭營運處,新厝里18鄰,苗栗縣卓蘭鎮新厝里18鄰中山路140號,1.0,785.0,卓蘭所,
HOA00024,大湖天主教堂,大湖村18鄰,苗栗縣大湖鄉大湖村18鄰中正路46號,1.0,462.0,大湖所,
HOA00025,雪霸國家公園警察隊,富興村1鄰,苗栗縣大湖鄉富興村1鄰水尾坪99號,1.0,557.0,大湖所,
HOA00026,錦水溫泉大飯店,錦水村10鄰,苗栗縣泰安鄉錦水村10鄰橫龍山72號,1.0,1297.0,龍山所,
HOA00027,公寓,大湖村3鄰,苗栗縣大湖鄉大湖村3鄰中山路37號,1.0,227.0,大湖所,
HOA00028,大湖衛生所,明湖村2鄰,苗栗縣大湖鄉明湖村中原路87號,1.0,402.0,大湖所,
