類別,電腦編號,村里別,地址,緯經度,可容納人數,轄管分局,備註
一般住宅,FOA00001,香山里,新竹市香山區香山里大庄路120號,"24.7916377,120.9259557",34.0,第三分局,
一般住宅,FOA00002,香山里,新竹市香山區香山里大庄路116巷31-39號,"24.791375,120.9260026",145.0,第三分局,
一般住宅,FOA00003,大庄里,新竹市香山區大庄里遊樂街29巷50號,"24.793637,120.9242854",709.0,第三分局,
一般住宅,FOA00004,大庄里,新竹市香山區大庄里大庄路260-262號地下第1層,"24.793235,120.9226136",162.0,第三分局,
一般住宅,FOA00005,東香里,新竹市香山區東香里柴橋路360巷12號,"24.7601483,120.9592823",300.0,第三分局,
一般住宅,FOA00006,大庄里,新竹市香山區大庄里大庄路228巷39號,"24.7926123,120.9225791",1217.0,第三分局,
一般住宅,FOA00007,東香里,新竹市香山區東香里新香街344號,"24.7747208,120.9489123",1104.0,第三分局,
一般住宅,FOA00008,東香里,新竹市香山區東香里富群街2號,"24.769523,120.957463",3105.0,第三分局,
一般住宅,FOA00009,香山里,新竹市香山區香山里中華路5段90號,"24.7874146,120.9264408",594.0,第三分局,
一般住宅,FOA00010,香山里,新竹市香山區香山里中華路5段35號地下第1層,"24.7838844,120.9201354",1069.0,第三分局,
公有建築物,FOA00011,香山里,新竹市香山區香山里大庄路48號,"24.7897516,120.9273451",1761.0,第三分局,
一般住宅,FOA00012,香山里,新竹市香山區香山里元培街8號,"24.7878839,120.9287294",397.0,第三分局,
一般住宅,FOA00013,香山里,新竹市香山區香山里大庄路70號地下第1層,"24.7905501,120.9269314",768.0,第三分局,
公有建築物,FOA00014,香山里,新竹市香山區香山里元培街124號,"24.7851705,120.9303385",228.0,第三分局,
公有建築物,FOA00015,香山里,新竹市香山區香山里大庄路48號,"24.7897516,120.9273451",380.0,第三分局,
公有建築物,FOA00016,香山里,新竹市香山區香山里1鄰大庄路48號,"24.789452,120.927164",148.0,第三分局,
供公眾使用建築物,FOA00017,海山里,新竹市香山區海山里中華路5段491號,"24.761446,120.9128182",212.0,第三分局,
公有建築物,FOA00018,內湖里,新竹市香山區內湖里內湖路109號地下第1層,"24.7422354,120.9061346",580.0,第三分局,
供公眾使用建築物,FOA00019,鹽水里,新竹市香山區鹽水里中華路6段47號,"24.7511993,120.9074735",177.0,第三分局,
供公眾使用建築物,FOA00020,鹽水里,新竹市香山區鹽水里中華路6段67巷3弄1號,"24.748866,120.9071917",48.0,第三分局,
供公眾使用建築物,FOA00021,朝山里,新竹市香山區朝山里大湖路9號地下第1層,"24.7650039,120.9137754",54.0,第三分局,
一般住宅,FOA00022,頂竹里,新竹市東區頂竹里21鄰食品路155巷6弄1-3號,"24.7968464,120.9764848",104.0,第三分局,
供公眾使用建築物,FOA00024,中隘里,新竹市香山區中隘里中華路六段823號,"24.7194415,120.9158326",80.0,第三分局,
一般住宅,FOA00025,南隘里,新竹市香山區南隘里柳仔湳46號,"24.8185578,120.9705579",57.0,第三分局,
一般住宅,FOA00026,中隘里,新竹市香山區中隘里中華路6段668號,"24.7272855,120.9175225",160.0,第三分局,
一般住宅,FOA00028,中隘里,新竹市香山區中隘里中華路6段799號,"24.7199553,120.916602",268.0,第三分局,
一般住宅,FOA00029,關帝里,新竹市東區關帝里西大路364號地下第1層,"24.802236,120.965742",113.0,第三分局,
一般住宅,FOA00030,關帝里,新竹市東區關帝里南門街147號,"24.8031536,120.9664493",37.0,第三分局,
供公眾使用建築物,FOA00031,關帝里,新竹市東區關帝里武昌街51號,"24.801768,120.9679606",300.0,第三分局,
一般住宅,FOA00032,關帝里,新竹市東區關帝里中南街14號,"24.801664,120.967664",89.0,第三分局,
一般住宅,FOA00033,關帝里,新竹市東區關帝里南門街71號,"24.8018545,120.9668944",45.0,第三分局,
一般住宅,FOA00034,關帝里,新竹市東區關帝里南門街80號,"24.8018182,120.9671124",34.0,第三分局,
一般住宅,FOA00035,關帝里,新竹市東區關帝里南門街82號,"24.801858,120.9670993",32.0,第三分局,
一般住宅,FOA00036,關帝里,新竹市東區關帝里文昌街93號,"24.8020548,120.9665549",30.0,第三分局,
一般住宅,FOA00037,關帝里,新竹市東區關帝里南門街88號,"24.802007,120.9670649",41.0,第三分局,
一般住宅,FOA00038,關帝里,新竹市東區關帝里中南街12號,"24.801791,120.967638",85.0,第三分局,
供公眾使用建築物,FOA00039,關帝里,新竹市東區關帝里武昌街81號,"24.8025389,120.967308",948.0,第三分局,
一般住宅,FOA00040,關帝里,新竹市東區關帝里西大路380號,"24.8024252,120.9654528",29.0,第三分局,
一般住宅,FOA00041,關帝里,新竹市東區關帝里西大路370號,"24.8023171,120.965662",38.0,第三分局,
一般住宅,FOA00042,關帝里,新竹市東區關帝里西大路374號,"24.8023078,120.9655381",24.0,第三分局,
一般住宅,FOA00043,關帝里,新竹市東區關帝里西大路376號,"24.8023468,120.9654956",26.0,第三分局,
一般住宅,FOA00044,關帝里,新竹市東區關帝里西大路378號,"24.8024996,120.9654912",62.0,第三分局,
一般住宅,FOA00045,關帝里,新竹市東區關帝里武昌街77號,"24.8023769,120.9674369",38.0,第三分局,
一般住宅,FOA00046,關帝里,新竹市東區關帝里中南街14號,"24.801664,120.967664",24.0,第三分局,
一般住宅,FOA00047,關帝里,新竹市東區關帝里南門街98號,"24.8022273,120.9669946",34.0,第三分局,
一般住宅,FOA00048,關帝里,新竹市東區關帝里南門街96號,"24.8021705,120.9670084",34.0,第三分局,
一般住宅,FOA00049,關帝里,新竹市東區關帝里中南街18號,"24.8015883,120.9675282",30.0,第三分局,
一般住宅,FOA00050,關帝里,新竹市東區關帝里武昌街63號,"24.8020824,120.9676739",45.0,第三分局,
一般住宅,FOA00051,關帝里,新竹市東區關帝里南門街66號,"24.8015105,120.9673008",40.0,第三分局,
一般住宅,FOA00052,關帝里,新竹市東區關帝里西門街21號,"24.8030723,120.9660332",20.0,第三分局,
一般住宅,FOA00053,關帝里,新竹市東區關帝里西門街17號,"24.8031244,120.9660903",22.0,第三分局,
一般住宅,FOA00054,關帝里,新竹市東區關帝里南門街86號,"24.8020114,120.9670978",54.0,第三分局,
一般住宅,FOA00055,關帝里,新竹市東區關帝里文昌街85號,"24.8021162,120.9667017",29.0,第三分局,
一般住宅,FOA00056,關帝里,新竹市東區關帝里中南街46號,"24.8016198,120.9665623",108.0,第三分局,
一般住宅,FOA00057,振興里,新竹市東區振興里食品路547號地下第1層,"24.7951537,120.9648532",534.0,第三分局,
一般住宅,FOA00058,振興里,新竹市東區振興里南大路550巷40號地下第1層,"24.7955778,120.9637499",66.0,第三分局,
一般住宅,FOA00059,振興里,新竹市東區振興里南大路550巷12弄5號,"24.7952294,120.9643803",49.0,第三分局,
一般住宅,FOA00060,振興里,新竹市東區振興里食品路590號地下第1層,"24.7946031,120.965558",101.0,第三分局,
一般住宅,FOA00061,振興里,新竹市東區振興里南大路538號,"24.794741,120.964661",48.0,第三分局,
一般住宅,FOA00062,振興里,新竹市東區振興里食品路551號,"24.7952571,120.9646906",84.0,第三分局,
一般住宅,FOA00063,振興里,新竹市東區振興里興學街44-48號地下第1層,"24.7977178,120.9671582",109.0,第三分局,
一般住宅,FOA00064,振興里,新竹市東區振興里興學街84號,"24.797282,120.966364",33.0,第三分局,
一般住宅,FOA00065,振興里,新竹市東區振興里興學街84號,"24.797282,120.966364",144.0,第三分局,
公有建築物,FOA00066,振興里,新竹市東區振興里興學街106號,"24.7968093,120.966368",280.0,第三分局,
公有建築物,FOA00067,振興里,新竹市東區振興里興學街106號,"24.7968093,120.966368",296.0,第三分局,
一般住宅,FOA00068,振興里,新竹市東區振興里興學街37-39號,"24.7976436,120.9676547",92.0,第三分局,
一般住宅,FOA00069,振興里,新竹市東區振興里興學街5-7號,"24.7980152,120.9682799",172.0,第三分局,
公有建築物,FOA00070,振興里,新竹市東區振興里興學街106號,"24.7968093,120.966368",54.0,第三分局,
公有建築物,FOA00071,振興里,新竹市東區振興里興學街106號,"24.7968093,120.966368",60.0,第三分局,
一般住宅,FOA00072,振興里,新竹市東區振興里興學街23號,"24.7978394,120.9679056",36.0,第三分局,
一般住宅,FOA00074,振興里,新竹市東區振興里興學街109號,"24.796463,120.966976",24.0,第三分局,
供公眾使用建築物,FOA00075,振興里,新竹市東區振興里南大路430號,"24.7970664,120.9684783",108.0,第三分局,
一般住宅,FOA00076,振興里,新竹市東區振興里興學街91113號,"24.7979576,120.9681678",26.0,第三分局,
一般住宅,FOA00077,振興里,新竹市東區振興里南大路446號,"24.7969941,120.968133",38.0,第三分局,
一般住宅,FOA00078,振興里,新竹市東區振興里南大路418號,"24.7972662,120.9689326",20.0,第三分局,
一般住宅,FOA00079,振興里,新竹市東區振興里興學街14號,"24.7954488,120.9639695",20.0,第三分局,
一般住宅,FOA00080,振興里,新竹市東區振興里南大路428號,"24.7971197,120.9686729",1122.0,第三分局,
一般住宅,FOA00081,頂竹里,新竹市東區頂竹里東南街163號地下第1層,"24.7971503,120.9746878",26.0,第三分局,
一般住宅,FOA00082,頂竹里,新竹市東區頂竹里東南街69巷22-26號地下第1層,"24.7989865,120.9736313",33.0,第三分局,
一般住宅,FOA00083,頂竹里,新竹市東區頂竹里東南街53巷16號,"24.7991806,120.975359",38.0,第三分局,
一般住宅,FOA00084,頂竹里,新竹市東區頂竹里食品路204號地下第1層,"24.7969074,120.9755566",77.0,第三分局,
一般住宅,FOA00085,頂竹里,新竹市東區頂竹里東南街75號地下第1層,"24.799102,120.973342",10.0,第三分局,
一般住宅,FOA00086,頂竹里,新竹市東區頂竹里東南街167巷1號地下第1層,"24.7971713,120.9747709",72.0,第三分局,
一般住宅,FOA00087,頂竹里,新竹市東區頂竹里東南街115號地下第1層,"24.7980149,120.9740371",64.0,第三分局,
一般住宅,FOA00088,頂竹里,新竹市東區頂竹里東南街53巷6弄14號,"24.7991288,120.9739633",28.0,第三分局,
一般住宅,FOA00089,頂竹里,新竹市東區頂竹里東南街53巷6弄5號地下第1層,"24.799086,120.974479",272.0,第三分局,
一般住宅,FOA00090,頂竹里,新竹市東區頂竹里東南街53巷10弄16號,"24.7989032,120.9743222",34.0,第三分局,
一般住宅,FOA00092,頂竹里,新竹市東區頂竹里東南街239巷1號,"24.795561,120.976075",161.0,第三分局,
一般住宅,FOA00093,頂竹里,新竹市東區頂竹里食品路169號,"24.7968245,120.9760783",60.0,第三分局,
一般住宅,FOA00094,頂竹里,新竹市東區頂竹里食品路179號,"24.7966696,120.9757901",61.0,第三分局,
一般住宅,FOA00095,頂竹里,新竹市東區頂竹里東南街167巷53弄10號,"24.7977457,120.975535",34.0,第三分局,
一般住宅,FOA00096,頂竹里,新竹市東區頂竹里東南街167巷53弄9.11號,"24.797596,120.975199",65.0,第三分局,
一般住宅,FOA00097,頂竹里,新竹市東區頂竹里東南街237號,"24.7954497,120.9757347",152.0,第三分局,
一般住宅,FOA00098,頂竹里,新竹市東區頂竹里食品路176號,"24.7973581,120.976184",22.0,第三分局,
一般住宅,FOA00099,頂竹里,新竹市東區頂竹里食品路174號,"24.7973811,120.976221",24.0,第三分局,
一般住宅,FOA00100,頂竹里,新竹市東區頂竹里培英街32巷22號,"24.7960826,120.9778156",328.0,第三分局,
一般住宅,FOA00101,頂竹里,新竹市東區頂竹里食品路177巷24號,"24.796078,120.9761972",352.0,第三分局,
一般住宅,FOA00102,頂竹里,新竹市東區頂竹里食品路160號,"24.797583,120.976563",68.0,第三分局,
一般住宅,FOA00103,頂竹里,新竹市東區頂竹里食品路186號,"24.7972301,120.975909",40.0,第三分局,
一般住宅,FOA00104,頂竹里,新竹市東區頂竹里食品路184號,"24.797254,120.975958",40.0,第三分局,
一般住宅,FOA00105,頂竹里,新竹市東區頂竹里食品路182號,"24.79728,120.976013",40.0,第三分局,
一般住宅,FOA00106,頂竹里,新竹市東區頂竹里食品路178號,"24.797335,120.976146",25.0,第三分局,
一般住宅,FOA00107,頂竹里,新竹市東區頂竹里食品路188號,"24.7972051,120.975859",42.0,第三分局,
一般住宅,FOA00108,頂竹里,新竹市東區頂竹里培英街32巷15號,"24.7958473,120.9773103",142.0,第三分局,
一般住宅,FOA00109,頂竹里,新竹市東區頂竹里食品路191巷25號,"24.7956991,120.9761747",160.0,第三分局,
一般住宅,FOA00110,頂竹里,新竹市東區頂竹里食品路165巷40號,"24.7960576,120.9766498",65.0,第三分局,
一般住宅,FOA00111,頂竹里,新竹市東區頂竹里食品路191巷36號,"24.7956262,120.9759623",44.0,第三分局,
公有建築物,FOA00112,下竹里,新竹市東區下竹里東南街15號,"24.8003879,120.9722747",92.0,第三分局,
一般住宅,FOA00113,福德里,新竹市東區福德里中華路2段675號,"24.798266,120.965901",26.0,第三分局,
一般住宅,FOA00114,福德里,新竹市東區福德里德高街4號,"24.8004324,120.9654936",26.0,第三分局,
一般住宅,FOA00115,福德里,新竹市東區福德里福德街14號,"24.7988884,120.9648184",25.0,第三分局,
一般住宅,FOA00116,福德里,新竹市東區福德里林森路180號,"24.7992368,120.964294",392.0,第三分局,
一般住宅,FOA00117,福德里,新竹市東區福德里德高街6號,"24.8003787,120.9654365",44.0,第三分局,
一般住宅,FOA00118,福德里,新竹市東區福德里林森路182巷14號,"24.7995011,120.963841",54.0,第三分局,
一般住宅,FOA00119,福德里,新竹市東區福德里林森路159號,"24.7993905,120.9651413",25.0,第三分局,
一般住宅,FOA00120,福德里,新竹市東區福德里林森路158巷19號,"24.7999345,120.9644995",28.0,第三分局,
一般住宅,FOA00121,福德里,新竹市東區福德里中華路2段733號,"24.7975044,120.9644741",58.0,第三分局,
一般住宅,FOA00122,福德里,新竹市東區福德里中華路2段737號,"24.7974767,120.9644315",26.0,第三分局,
一般住宅,FOA00123,福德里,新竹市東區福德里林森路150號,"24.799769,120.9651455",33.0,第三分局,
一般住宅,FOA00124,福德里,新竹市東區福德里林森路158巷8號,"24.7995804,120.9645154",26.0,第三分局,
一般住宅,FOA00125,福德里,新竹市東區福德里林森路182巷18號,"24.799672,120.963734",85.0,第三分局,
一般住宅,FOA00126,福德里,新竹市東區福德里中華路2段727號,"24.7975927,120.9646418",232.0,第三分局,
一般住宅,FOA00127,福德里,新竹市東區福德里林森路210巷9號,"24.7989773,120.9633152",22.0,第三分局,
一般住宅,FOA00128,福德里,新竹市東區福德里德成街25號,"24.8002372,120.964258",54.0,第三分局,
一般住宅,FOA00129,福德里,新竹市東區福德里中華路2段671號,"24.7982931,120.965955",25.0,第三分局,
一般住宅,FOA00130,福德里,新竹市東區福德里林森路163號,"24.7993775,120.9650403",29.0,第三分局,
一般住宅,FOA00131,福德里,新竹市東區福德里林森路161號,"24.7993543,120.9650817",32.0,第三分局,
一般住宅,FOA00132,福德里,新竹市東區福德里中華路2段700號,"24.7979015,120.9647246",29.0,第三分局,
一般住宅,FOA00133,福德里,新竹市東區福德里中華路2段714號,"24.7977093,120.9644382",24.0,第三分局,
一般住宅,FOA00134,福德里,新竹市東區福德里中華路2段718號,"24.7977605,120.9641912",24.0,第三分局,
一般住宅,FOA00135,福德里,新竹市東區福德里福德街33號,"24.798608,120.9646806",41.0,第三分局,
一般住宅,FOA00136,福德里,新竹市東區福德里林森路158巷2號,"24.7996071,120.9647075",41.0,第三分局,
一般住宅,FOA00137,福德里,新竹市東區福德里林森路158巷6號,"24.799555,120.9645535",33.0,第三分局,
一般住宅,FOA00138,福德里,新竹市東區福德里林森路158巷4號,"24.7995273,120.964602",37.0,第三分局,
一般住宅,FOA00139,福德里,新竹市東區福德里林森路196號,"24.7989339,120.9638481",1177.0,第三分局,
一般住宅,FOA00140,福德里,新竹市東區福德里林森路187號,"24.7989745,120.9643631",580.0,第三分局,
一般住宅,FOA00141,福德里,新竹市東區福德里中華路2段708巷19號,"24.7980659,120.9641288",24.0,第三分局,
一般住宅,FOA00142,福德里,新竹市東區福德里林森路175號,"24.7990563,120.9646288",417.0,第三分局,
一般住宅,FOA00143,福德里,新竹市東區福德里德成街13號,"24.8006561,120.9646586",29.0,第三分局,
一般住宅,FOA00144,福德里,新竹市東區福德里中華路2段658號,"24.7985655,120.965815",26.0,第三分局,
一般住宅,FOA00145,福德里,新竹市東區福德里德高路12號,"24.8000205,120.9651886",28.0,第三分局,
供公眾使用建築物,FOA00147,福德里,新竹市東區福德里中華路2段652號,"24.7986632,120.9659754",54.0,第三分局,
一般住宅,FOA00148,福德里,新竹市東區福德里福德街6號,"24.7990804,120.9649744",26.0,第三分局,
一般住宅,FOA00149,福德里,新竹市東區福德里中華路2段672號,"24.7984231,120.9655642",28.0,第三分局,
