類別,電腦編號,村里別,地址,地下樓層數,可容納人數,placemark_address
公寓,正明003,正明里,基隆市七堵區南光街1巷1號,1.0,203,"公寓 正明003 正明里 基隆市七堵區南光街1巷1號 203 第三分局"
公寓,正明004,正明里,基隆市七堵區南興路102號,1.0,779,"公寓 正明004 正明里 基隆市七堵區南興路102號 779 第三分局"
公寓,正明006,正明里,基隆市七堵區南光街21號,1.0,882,"公寓 正明006 正明里 基隆市七堵區南光街21號 882 第三分局"
大樓,正明007,正明里,基隆市七堵區明德一路271號,1.0,3302,"大樓 正明007 正明里 基隆市七堵區明德一路271號 3302 第三分局"
公寓,正明008,正明里,基隆市七堵區南興路90號,1.0,347,"公寓 正明008 正明里 基隆市七堵區南興路90號 347 第三分局"
公寓,正明009,正明里,基隆市七堵區明德一路235號,1.0,496,"公寓 正明009 正明里 基隆市七堵區明德一路235號 496 第三分局"
大樓,正明010,正明里,基隆市七堵區自治街28巷48號,1.0,1220,"大樓 正明010 正明里 基隆市七堵區自治街28巷48號 1220 第三分局"
大樓,正明011,正明里,基隆市七堵區開元路114號,1.0,2152,"大樓 正明011 正明里 基隆市七堵區開元路114號 2152 第三分局"
公寓,永平001,永平里,基隆市七堵區崇信街41巷19號,1.0,101,"公寓 永平001 永平里 基隆市七堵區崇信街41巷19號 101 第三分局"
公寓,永平002,永平里,基隆市七堵區明德一路184號,1.0,547,"公寓 永平002 永平里 基隆市七堵區明德一路184號 547 第三分局"
公寓,永平003,永平里,基隆市七堵區明德一路190號,1.0,472,"公寓 永平003 永平里 基隆市七堵區明德一路190號 472 第三分局"
公寓,永平004,永平里,基隆市七堵區崇智街11巷13號,1.0,1788,"公寓 永平004 永平里 基隆市七堵區崇智街11巷13號 1788 第三分局"
公寓,永平005,永平里,基隆市七堵區崇智街37號,1.0,531,"公寓 永平005 永平里 基隆市七堵區崇智街37號 531 第三分局"
公寓,永平006,永平里,基隆市七堵區崇智街25號,1.0,199,"公寓 永平006 永平里 基隆市七堵區崇智街25號 199 第三分局"
大樓,永平007,永平里,基隆市七堵區明德一路186號,1.0,620,"大樓 永平007 永平里 基隆市七堵區明德一路186號 620 第三分局"
公寓,永平008,永平里,基隆市七堵區明德一路184號,1.0,1209,"公寓 永平008 永平里 基隆市七堵區明德一路184號 1209 第三分局"
公寓,永安001,永安里,基隆市七堵區崇孝街21號,1.0,606,"公寓 永安001 永安里 基隆市七堵區崇孝街21號 606 第三分局"
公寓,永安002,永安里,基隆市七堵區崇信街37巷20號,1.0,655,"公寓 永安002 永安里 基隆市七堵區崇信街37巷20號 655 第三分局"
大樓,永安004,永安里,基隆市七堵區永富路212之2號,1.0,1322,"大樓 永安004 永安里 基隆市七堵區永富路212之2號 1322 第三分局"
公寓,永安005,永安里,基隆市七堵區永富路238號,1.0,834,"公寓 永安005 永安里 基隆市七堵區永富路238號 834 第三分局"
大樓,永安006,永安里,基隆市七堵區永富路220號,1.0,1757,"大樓 永安006 永安里 基隆市七堵區永富路220號 1757 第三分局"
大樓,永安007,永安里,基隆市七堵區崇孝街42巷47號,1.0,1388,"大樓 永安007 永安里 基隆市七堵區崇孝街42巷47號 1388 第三分局"
公寓,自強001,自強里,基隆市七堵區大華一路46號,1.0,128,"公寓 自強001 自強里 基隆市七堵區大華一路46號 128 第三分局"
大樓,自強002,自強里,基隆市七堵區自強路59號,1.0,788,"大樓 自強002 自強里 基隆市七堵區自強路59號 788 第三分局"
大樓,自強003,自強里,基隆市七堵區大華一路129之6號,1.0,5290,"大樓 自強003 自強里 基隆市七堵區大華一路129之6號 5290 第三分局"
公寓,自強004,自強里,基隆市七堵區大華一路125巷29號,1.0,164,"公寓 自強004 自強里 基隆市七堵區大華一路125巷29號 164 第三分局"
公寓,長興001,長興里,基隆市七堵區東新街6巷47之23號,1.0,136,"公寓 長興001 長興里 基隆市七堵區東新街6巷47之23號 136 第三分局"
公寓,長興002,長興里,基隆市七堵區東新街89巷36號,1.0,352,"公寓 長興002 長興里 基隆市七堵區東新街89巷36號 352 第三分局"
公寓,長興003,長興里,基隆市七堵區東新街91號,1.0,432,"公寓 長興003 長興里 基隆市七堵區東新街91號 432 第三分局"
大樓,長興004,長興里,基隆市七堵區東新街4巷39號,1.0,317,"大樓 長興004 長興里 基隆市七堵區東新街4巷39號 317 第三分局"
大樓,長興005,長興里,基隆市七堵區東新街79巷1號,1.0,273,"大樓 長興005 長興里 基隆市七堵區東新街79巷1號 273 第三分局"
公寓,長興006,長興里,基隆市七堵區東新街3號,1.0,787,"公寓 長興006 長興里 基隆市七堵區東新街3號 787 第三分局"
大樓,長興007,長興里,基隆市七堵區東新街6巷20號,1.0,251,"大樓 長興007 長興里 基隆市七堵區東新街6巷20號 251 第三分局"
大樓,長興008,長興里,基隆市七堵區東新街83之3號,1.0,3956,"大樓 長興008 長興里 基隆市七堵區東新街83之3號 3956 第三分局"
公寓,長興009,長興里,基隆市七堵區東新街22號,1.0,634,"公寓 長興009 長興里 基隆市七堵區東新街22號 634 第三分局"
公寓,長興010,長興里,基隆市七堵區東新街20號,1.0,888,"公寓 長興010 長興里 基隆市七堵區東新街20號 888 第三分局"
大樓,長興011,長興里,基隆市七堵區東新街82之11號,1.0,1436,"大樓 長興011 長興里 基隆市七堵區東新街82之11號 1436 第三分局"
公寓,富民001,富民里,基隆市七堵區明德一路34之11號,1.0,144,"公寓 富民001 富民里 基隆市七堵區明德一路34之11號 144 第三分局"
公寓,富民002,富民里,基隆市七堵區崇禮街135號,1.0,302,"公寓 富民002 富民里 基隆市七堵區崇禮街135號 302 第三分局"
公寓,富民015,富民里,基隆市七堵區明德一路134之3號,1.0,124,"公寓 富民015 富民里 基隆市七堵區明德一路134之3號 124 第三分局"
公寓,富民003,富民里,基隆市七堵區明德一路128號,1.0,122,"公寓 富民003 富民里 基隆市七堵區明德一路128號 122 第三分局"
公寓,富民004,富民里,基隆市七堵區明德一路124號,1.0,135,"公寓 富民004 富民里 基隆市七堵區明德一路124號 135 第三分局"
公寓,富民005,富民里,基隆市七堵區崇禮街34號,1.0,262,"公寓 富民005 富民里 基隆市七堵區崇禮街34號 262 第三分局"
公寓,富民006,富民里,基隆市七堵區明德一路20號,1.0,783,"公寓 富民006 富民里 基隆市七堵區明德一路20號 783 第三分局"
公寓,富民007,富民里,基隆市七堵區崇廉街10巷12號,1.0,340,"公寓 富民007 富民里 基隆市七堵區崇廉街10巷12號 340 第三分局"
公寓,富民008,富民里,基隆市七堵區崇義街46之1號,1.0,447,"公寓 富民008 富民里 基隆市七堵區崇義街46之1號 447 第三分局"
公寓,富民009,富民里,基隆市七堵區崇義街37號,1.0,1161,"公寓 富民009 富民里 基隆市七堵區崇義街37號 1161 第三分局"
大樓,富民010,富民里,基隆市七堵區明德一路6號,1.0,97,"大樓 富民010 富民里 基隆市七堵區明德一路6號 97 第三分局"
大樓,富民011,富民里,基隆市七堵區永富路8號,1.0,1101,"大樓 富民011 富民里 基隆市七堵區永富路8號 1101 第三分局"
公寓,富民013,富民里,基隆市七堵區明德一路158號,1.0,272,"公寓 富民013 富民里 基隆市七堵區明德一路158號 272 第三分局"
公寓,富民014,富民里,基隆市七堵區永富路78之1號,1.0,315,"公寓 富民014 富民里 基隆市七堵區永富路78之1號 315 第三分局"
大樓,六堵001,六堵里,基隆市七堵區工建西路8號,1.0,824,"大樓 六堵001 六堵里 基隆市七堵區工建西路8號 824 第三分局"
大樓,六堵002,六堵里,基隆市七堵區工建路196號,1.0,662,"大樓 六堵002 六堵里 基隆市七堵區工建路196號 662 第三分局"
大樓,六堵003,六堵里,基隆市七堵區工東街54號,1.0,330,"大樓 六堵003 六堵里 基隆市七堵區工東街54號 330 第三分局"
大樓,六堵004,六堵里,基隆市七堵區工建北路3號,1.0,530,"大樓 六堵004 六堵里 基隆市七堵區工建北路3號 530 第三分局"
大樓,六堵005,六堵里,基隆市七堵區工東街20號,1.0,3669,"大樓 六堵005 六堵里 基隆市七堵區工東街20號 3669 第三分局"
大樓,六堵006,六堵里,基隆市七堵區工建路114號,1.0,1329,"大樓 六堵006 六堵里 基隆市七堵區工建路114號 1329 第三分局"
大樓,六堵007,六堵里,基隆市七堵區工建南路21號,1.0,1633,"大樓 六堵007 六堵里 基隆市七堵區工建南路21號 1633 第三分局"
大樓,六堵008,六堵里,基隆市七堵區工建北路9號,1.0,3494,"大樓 六堵008 六堵里 基隆市七堵區工建北路9號 3494 第三分局"
大樓,六堵009,六堵里,基隆市七堵區工建南路21號,1.0,1625,"大樓 六堵009 六堵里 基隆市七堵區工建南路21號 1625 第三分局"
大樓,六堵010,六堵里,基隆市七堵區工建南路5之1號,1.0,459,"大樓 六堵010 六堵里 基隆市七堵區工建南路5之1號 459 第三分局"
大樓,六堵011,六堵里,基隆市七堵區工建北路22號,1.0,1894,"大樓 六堵011 六堵里 基隆市七堵區工建北路22號 1894 第三分局"
大樓,六堵012,六堵里,基隆市七堵區工建路15號,1.0,2344,"大樓 六堵012 六堵里 基隆市七堵區工建路15號 2344 第三分局"
大樓,六堵013,六堵里,基隆市七堵區工建路72號,1.0,771,"大樓 六堵013 六堵里 基隆市七堵區工建路72號 771 第三分局"
大樓,六堵014,六堵里,基隆市七堵區明德二路24之1號,1.0,4080,"大樓 六堵014 六堵里 基隆市七堵區明德二路24之1號 4080 第三分局"
公寓,六堵015,六堵里,基隆市七堵區工建北路26號,1.0,3919,"公寓 六堵015 六堵里 基隆市七堵區工建北路26號 3919 第三分局"
公寓,六堵016,六堵里,基隆市七堵區工建北路6之3號,1.0,1370,"公寓 六堵016 六堵里 基隆市七堵區工建北路6之3號 1370 第三分局"
公寓,百福002,百福里,基隆市七堵區福五街85巷3號,3.0,379,"公寓 百福002 百福里 基隆市七堵區福五街85巷3號 379 第三分局"
大樓,百福003,百福里,基隆市七堵區百七街66號,1.0,5623,"大樓 百福003 百福里 基隆市七堵區百七街66號 5623 第三分局"
大樓,百福004,百福里,基隆市七堵區百五街51號,1.0,524,"大樓 百福004 百福里 基隆市七堵區百五街51號 524 第三分局"
大樓,百福005,百福里,基隆市七堵區福六街51號,1.0,707,"大樓 百福005 百福里 基隆市七堵區福六街51號 707 第三分局"
大樓,百福006,百福里,基隆市七堵區福五街8巷17號,1.0,934,"大樓 百福006 百福里 基隆市七堵區福五街8巷17號 934 第三分局"
大樓,百福007,百福里,基隆市七堵區福二街210號,1.0,577,"大樓 百福007 百福里 基隆市七堵區福二街210號 577 第三分局"
大樓,百福008,百福里,基隆市七堵區百六街106號,1.0,806,"大樓 百福008 百福里 基隆市七堵區百六街106號 806 第三分局"
大樓,百福009,百福里,基隆市七堵區福二街228號,1.0,787,"大樓 百福009 百福里 基隆市七堵區福二街228號 787 第三分局"
大樓,百福010,百福里,基隆市七堵區福五街38號,1.0,1213,"大樓 百福010 百福里 基隆市七堵區福五街38號 1213 第三分局"
大樓,百福011,百福里,基隆市七堵區百六街100巷23號,1.0,1981,"大樓 百福011 百福里 基隆市七堵區百六街100巷23號 1981 第三分局"
大樓,百福012,百福里,基隆市七堵區福六街125號,1.0,1246,"大樓 百福012 百福里 基隆市七堵區福六街125號 1246 第三分局"
大樓,百福013,百福里,基隆市七堵區福五街174號,1.0,952,"大樓 百福013 百福里 基隆市七堵區福五街174號 952 第三分局"
大樓,百福014,百福里,基隆市七堵區福五街171號,1.0,563,"大樓 百福014 百福里 基隆市七堵區福五街171號 563 第三分局"
大樓,百福015,百福里,基隆市七堵區福六街65號,1.0,840,"大樓 百福015 百福里 基隆市七堵區福六街65號 840 第三分局"
大樓,百福016,百福里,基隆市七堵區福五街76之1號,1.0,1613,"大樓 百福016 百福里 基隆市七堵區福五街76之1號 1613 第三分局"
大樓,百福017,百福里,基隆市七堵區福五街87號,1.0,618,"大樓 百福017 百福里 基隆市七堵區福五街87號 618 第三分局"
大樓,百福018,百福里,基隆市七堵區百六街116號,1.0,3973,"大樓 百福018 百福里 基隆市七堵區百六街116號 3973 第三分局"
大樓,百福019,百福里,基隆市七堵區福五街137號,1.0,1705,"大樓 百福019 百福里 基隆市七堵區福五街137號 1705 第三分局"
大樓,百福020,百福里,基隆市七堵區百七街56號,1.0,646,"大樓 百福020 百福里 基隆市七堵區百七街56號 646 第三分局"
大樓,百福021,百福里,基隆市七堵區百七街69號,1.0,288,"大樓 百福021 百福里 基隆市七堵區百七街69號 288 第三分局"
大樓,百福022,百福里,基隆市七堵區百七街101巷22號,1.0,2110,"大樓 百福022 百福里 基隆市七堵區百七街101巷22號 2110 第三分局"
大樓,百福023,百福里,基隆市七堵區福五街80號,1.0,665,"大樓 百福023 百福里 基隆市七堵區福五街80號 665 第三分局"
大樓,百福024,百福里,基隆市七堵區福六街113號,1.0,2120,"大樓 百福024 百福里 基隆市七堵區福六街113號 2120 第三分局"
大樓,百福025,百福里,基隆市七堵區百六街136號,1.0,1644,"大樓 百福025 百福里 基隆市七堵區百六街136號 1644 第三分局"
大樓,百福026,百福里,基隆市七堵區福六街61號,1.0,1941,"大樓 百福026 百福里 基隆市七堵區福六街61號 1941 第三分局"
大樓,百福027,百福里,基隆市七堵區福五街26號,1.0,1087,"大樓 百福027 百福里 基隆市七堵區福五街26號 1087 第三分局"
大樓,百福028,百福里,基隆市七堵區福二街328號,1.0,2057
大樓,百福029,百福里,基隆市七堵區福二街300號,1.0,1458
大樓,百福030,百福里,基隆市七堵區百六街107巷11號,1.0,1737,"大樓 百福030 百福里 基隆市七堵區百六街107巷11號 1737 第三分局"
大樓,長安001,長安里,基隆市七堵區長安街233巷50號,1.0,262,"大樓 長安001 長安里 基隆市七堵區長安街233巷50號 262 第三分局"
大樓,泰安001,泰安里,基隆市七堵區明德二路1巷100號,1.0,928,"大樓 泰安001 泰安里 基隆市七堵區明德二路1巷100號 928 第三分局"
大樓,泰安002,泰安里,基隆市七堵區泰和街67號,1.0,266,"大樓 泰安002 泰安里 基隆市七堵區泰和街67號 266 第三分局"
公寓,泰安003,泰安里,基隆市七堵區泰安路20號,1.0,1097,"公寓 泰安003 泰安里 基隆市七堵區泰安路20號 1097 第三分局"
大樓,泰安004,泰安里,基隆市七堵區明德二路15之33號,1.0,13473,"大樓 泰安004 泰安里 基隆市七堵區明德二路15之33號 13473 第三分局"
大樓,泰安005,泰安里,基隆市七堵區明德二路1之4號,1.0,672,"大樓 泰安005 泰安里 基隆市七堵區明德二路1之4號 672 第三分局"
大樓,泰安006,泰安里,基隆市七堵區泰安路21之12號,1.0,4116,"大樓 泰安006 泰安里 基隆市七堵區泰安路21之12號 4116 第三分局"
公寓,泰安007,泰安里,基隆市七堵區泰安路34號,1.0,813,"公寓 泰安007 泰安里 基隆市七堵區泰安路34號 813 第三分局"
大樓,泰安008,泰安里,基隆市七堵區明德二路15之9號,1.0,572,"大樓 泰安008 泰安里 基隆市七堵區明德二路15之9號 572 第三分局"
公寓,泰安009,泰安里,基隆市七堵區泰安路111之1號,1.0,263,"公寓 泰安009 泰安里 基隆市七堵區泰安路111之1號 263 第三分局"
公寓,泰安010,泰安里,基隆市七堵區泰和街88號,1.0,1372,"公寓 泰安010 泰安里 基隆市七堵區泰和街88號 1372 第三分局"
公寓,泰安011,泰安里,基隆市七堵區泰安路1之2號,1.0,728,"公寓 泰安011 泰安里 基隆市七堵區泰安路1之2號 728 第三分局"
大樓,泰安012,泰安里,基隆市七堵區泰安路1之8號,1.0,1006,"大樓 泰安012 泰安里 基隆市七堵區泰安路1之8號 1006 第三分局"
公寓,堵北001,堵北里,基隆市七堵區福一街208號,1.0,710,"公寓 堵北001 堵北里 基隆市七堵區福一街208號 710 第三分局"
大樓,堵北002,堵北里,基隆市七堵區福二街215號,1.0,757,"大樓 堵北002 堵北里 基隆市七堵區福二街215號 757 第三分局"
大樓,堵北003,堵北里,基隆市七堵區福一街110巷9號,1.0,853,"大樓 堵北003 堵北里 基隆市七堵區福一街110巷9號 853 第三分局"
公寓,堵北004,堵北里,基隆市七堵區福一街114號,1.0,606,"公寓 堵北004 堵北里 基隆市七堵區福一街114號 606 第三分局"
大樓,堵北005,堵北里,基隆市七堵區實踐路176號,1.0,2105,"大樓 堵北005 堵北里 基隆市七堵區實踐路176號 2105 第三分局"
大樓,堵北006,堵北里,基隆市七堵區百六街86號,1.0,2528,"大樓 堵北006 堵北里 基隆市七堵區百六街86號 2528 第三分局"
大樓,堵北007,堵北里,基隆市七堵區實踐路286號,1.0,3351,"大樓 堵北007 堵北里 基隆市七堵區實踐路286號 3351 第三分局"
大樓,堵北008,堵北里,基隆市七堵區福一街105號,1.0,309,"大樓 堵北008 堵北里 基隆市七堵區福一街105號 309 第三分局"
大樓,堵北009,堵北里,基隆市七堵區福一街167號,1.0,323,"大樓 堵北009 堵北里 基隆市七堵區福一街167號 323 第三分局"
大樓,堵北010,堵北里,基隆市七堵區福一街192號,1.0,1438,"大樓 堵北010 堵北里 基隆市七堵區福一街192號 1438 第三分局"
大樓,堵北011,堵北里,基隆市七堵區福一街202號,1.0,1109,"大樓 堵北011 堵北里 基隆市七堵區福一街202號 1109 第三分局"
公寓,堵北012,堵北里,基隆市七堵區福一街179號,1.0,927,"公寓 堵北012 堵北里 基隆市七堵區福一街179號 927 第三分局"
公寓,堵北013,堵北里,基隆市七堵區福一街133號,1.0,319,"公寓 堵北013 堵北里 基隆市七堵區福一街133號 319 第三分局"
大樓,堵北014,堵北里,基隆市七堵區實踐路240號,1.0,2775,"大樓 堵北014 堵北里 基隆市七堵區實踐路240號 2775 第三分局"
公寓,堵南001,堵南里,基隆市七堵區堵南街44之1號,1.0,49,"公寓 堵南001 堵南里 基隆市七堵區堵南街44之1號 49 第三分局"
大樓,堵南002,堵南里,基隆市七堵區大德路120號,1.0,1488,"大樓 堵南002 堵南里 基隆市七堵區大德路120號 1488 第三分局"
大樓,堵南003,堵南里,基隆市七堵區堵南街12號,1.0,14,"大樓 堵南003 堵南里 基隆市七堵區堵南街12號 14 第三分局"
大樓,堵南004,堵南里,基隆市七堵區明德三路101之1號,1.0,309,"大樓 堵南004 堵南里 基隆市七堵區明德三路101之1號 309 第三分局"
大樓,堵南005,堵南里,基隆市七堵區大德路32號,1.0,262,"大樓 堵南005 堵南里 基隆市七堵區大德路32號 262 第三分局"
大樓,堵南006,堵南里,基隆市七堵區堵南街51號,1.0,651,"大樓 堵南006 堵南里 基隆市七堵區堵南街51號 651 第三分局"
大樓,堵南007,堵南里,基隆市七堵區大德路24號,1.0,230,"大樓 堵南007 堵南里 基隆市七堵區大德路24號 230 第三分局"
公寓,堵南008,堵南里,基隆市七堵區大德路120號,1.0,577,"公寓 堵南008 堵南里 基隆市七堵區大德路120號 577 第三分局"
大樓,堵南009,堵南里,基隆市七堵區堵南街48號,1.0,601,"大樓 堵南009 堵南里 基隆市七堵區堵南街48號 601 第三分局"
公寓,堵南010,堵南里,基隆市七堵區明德三路111之2號,1.0,40
大樓,堵南011,堵南里,基隆市七堵區大德路85之2號,1.0,1109,"大樓 堵南011 堵南里 基隆市七堵區大德路85之2號 1109 第三分局"
大樓,堵南012,堵南里,基隆市七堵區大德路35之8號,1.0,705,"大樓 堵南012 堵南里 基隆市七堵區大德路35之8號 705 第三分局"
大樓,堵南013,堵南里,基隆市七堵區大德路132號,1.0,2093,"大樓 堵南013 堵南里 基隆市七堵區大德路132號 2093 第三分局"
公寓,堵南014,堵南里,基隆市七堵區大德路131號,1.0,28,"公寓 堵南014 堵南里 基隆市七堵區大德路131號 28 第三分局"
大樓,堵南015,堵南里,基隆市七堵區大德路77號,1.0,217,"大樓 堵南015 堵南里 基隆市七堵區大德路77號 217 第三分局"
大樓,堵南016,堵南里,基隆市七堵區堵南街46號,1.0,2087,"大樓 堵南016 堵南里 基隆市七堵區堵南街46號 2087 第三分局"
公寓,堵南017,堵南里,基隆市七堵區堵南街20號,1.0,327,"公寓 堵南017 堵南里 基隆市七堵區堵南街20號 327 第三分局"
大樓,堵南018,堵南里,基隆市七堵區大德路166號,1.0,827,"大樓 堵南018 堵南里 基隆市七堵區大德路166號 827 第三分局"
公寓,堵南019,堵南里,基隆市七堵區堵南街20號,1.0,759,"公寓 堵南019 堵南里 基隆市七堵區堵南街20號 759 第三分局"
大樓,堵南020,堵南里,基隆市七堵區堵南街181號,1.0,251,"大樓 堵南020 堵南里 基隆市七堵區堵南街181號 251 第三分局"
公寓,實踐001,實踐里,基隆市七堵區福一街20巷29號,1.0,175,"公寓 實踐001 實踐里 基隆市七堵區福一街20巷29號 175 第三分局"
公寓,實踐002,實踐里,基隆市七堵區百一街25號,1.0,499,"公寓 實踐002 實踐里 基隆市七堵區百一街25號 499 第三分局"
公寓,實踐003,實踐里,基隆市七堵區百一街25號,1.0,326,"公寓 實踐003 實踐里 基隆市七堵區百一街25號 326 第三分局"
大樓,實踐004,實踐里,基隆市七堵區福一街37號,1.0,1886,"大樓 實踐004 實踐里 基隆市七堵區福一街37號 1886 第三分局"
大樓,實踐005,實踐里,基隆市七堵區實踐路76號,1.0,2133,"大樓 實踐005 實踐里 基隆市七堵區實踐路76號 2133 第三分局"
大樓,實踐006,實踐里,基隆市七堵區福六街27號,1.0,2090,"大樓 實踐006 實踐里 基隆市七堵區福六街27號 2090 第三分局"
公寓,實踐007,實踐里,基隆市七堵區工建西路7號,1.0,642,"公寓 實踐007 實踐里 基隆市七堵區工建西路7號 642 第三分局"
大樓,實踐008,實踐里,基隆市七堵區百一街195號,1.0,288,"大樓 實踐008 實踐里 基隆市七堵區百一街195號 288 第三分局"
大樓,實踐009,實踐里,基隆市七堵區百二街26號,1.0,205,"大樓 實踐009 實踐里 基隆市七堵區百二街26號 205 第三分局"
大樓,實踐010,實踐里,基隆市七堵區實踐路86號,1.0,1431,"大樓 實踐010 實踐里 基隆市七堵區實踐路86號 1431 第三分局"
公寓,實踐011,實踐里,基隆市七堵區百一街25號,1.0,300,"公寓 實踐011 實踐里 基隆市七堵區百一街25號 300 第三分局"
公寓,實踐012,實踐里,基隆市七堵區百一街25號,1.0,485,"公寓 實踐012 實踐里 基隆市七堵區百一街25號 485 第三分局"
大樓,實踐013,實踐里,基隆市七堵區百一街147號,1.0,723,"大樓 實踐013 實踐里 基隆市七堵區百一街147號 723 第三分局"
大樓,實踐014,實踐里,基隆市七堵區百三街146號,1.0,551,"大樓 實踐014 實踐里 基隆市七堵區百三街146號 551 第三分局"
大樓,實踐015,實踐里,基隆市七堵區百二街6之1號,1.0,649,"大樓 實踐015 實踐里 基隆市七堵區百二街6之1號 649 第三分局"
大樓,友一001,友一里,基隆市七堵區綠葉街63巷1號,1.0,6625,"大樓 友一001 友一里 基隆市七堵區綠葉街63巷1號 6625 第三分局"
大樓,友一002,友一里,基隆市七堵區綠葉街128號,1.0,2433,"大樓 友一002 友一里 基隆市七堵區綠葉街128號 2433 第三分局"
公寓,友二001,友二里,基隆市七堵區華新二路121之1號,1.0,572,"公寓 友二001 友二里 基隆市七堵區華新二路121之1號 572 第三分局"
公寓,八西001,八西里,基隆市暖暖區過港路246號,1.0,326,"公寓 八西001 八西里 基隆市暖暖區過港路246號 326 第三分局"
大樓,八西002,八西里,基隆市暖暖區八堵路6之1號,1.0,7147,"大樓 八西002 八西里 基隆市暖暖區八堵路6之1號 7147 第三分局"
公寓,八中001,八中里,基隆市暖暖區金華街190之1號,1.0,106,"公寓 八中001 八中里 基隆市暖暖區金華街190之1號 106 第三分局"
大樓,八中002,八中里,基隆市暖暖區金華街267號,1.0,3322,"大樓 八中002 八中里 基隆市暖暖區金華街267號 3322 第三分局"
公寓,八南002,八南里,基隆市暖暖區八堵路167之1號,1.0,1392,"公寓 八南002 八南里 基隆市暖暖區八堵路167之1號 1392 第三分局"
大樓,八南003,八南里,基隆市暖暖區八堵路185巷95之1號,1.0,616,"大樓 八南003 八南里 基隆市暖暖區八堵路185巷95之1號 616 第三分局"
大樓,八南004,八南里,基隆市暖暖區八堵路159之9號,1.0,1490,"大樓 八南004 八南里 基隆市暖暖區八堵路159之9號 1490 第三分局"
公寓,八堵001,八堵里,基隆市暖暖區水源路9之8號,1.0,228,"公寓 八堵001 八堵里 基隆市暖暖區水源路9之8號 228 第三分局"
大樓,八堵002,八堵里,基隆市暖暖區源遠路29之1號,1.0,622,"大樓 八堵002 八堵里 基隆市暖暖區源遠路29之1號 622 第三分局"
