類別,電腦編號,村里別,地址,地下樓層數,可容納人數,placemark_address
公寓,八德001,八德里,基隆市七堵區八德路3之2號,1.0,202,"公寓 八德001 八德里 基隆市七堵區八德路3之2號 202 第三分局"
公寓,八德002,八德里,基隆市七堵區大華一路29之3號,1.0,402,"公寓 八德002 八德里 基隆市七堵區大華一路29之3號 402 第三分局"
公寓,八德004,八德里,基隆市七堵區大華一路1巷22號,1.0,121,"公寓 八德004 八德里 基隆市七堵區大華一路1巷22號 121 第三分局"
公寓,八德007,八德里,基隆市七堵區八德路2之2號,1.0,163,"公寓 八德007 八德里 基隆市七堵區八德路2之2號 163 第三分局"
公寓,八德008,八德里,基隆市七堵區八德路72號,1.0,145,"公寓 八德008 八德里 基隆市七堵區八德路72號 145 第三分局"
公寓,八德009,八德里,基隆市七堵區八德路23號,1.0,863,"公寓 八德009 八德里 基隆市七堵區八德路23號 863 第三分局"
公寓,八德010,八德里,基隆市七堵區大華一路63之1號,1.0,743,"公寓 八德010 八德里 基隆市七堵區大華一路63之1號 743 第三分局"
公寓,八德011,八德里,基隆市七堵區大華一路33號,1.0,134,"公寓 八德011 八德里 基隆市七堵區大華一路33號 134 第三分局"
公寓,正光002,正光里,基隆市七堵區明德一路41之4號,1.0,113,"公寓 正光002 正光里 基隆市七堵區明德一路41之4號 113 第三分局"
公寓,正光003,正光里,基隆市七堵區崇禮街23號,1.0,94,"公寓 正光003 正光里 基隆市七堵區崇禮街23號 94 第三分局"
公寓,正光004,正光里,基隆市七堵區明德一路169號,1.0,114,"公寓 正光004 正光里 基隆市七堵區明德一路169號 114 第三分局"
公寓,正光005,正光里,基隆市七堵區明德一路157之3號,1.0,182,"公寓 正光005 正光里 基隆市七堵區明德一路157之3號 182 第三分局"
公寓,正光006,正光里,基隆市七堵區崇禮街29號,1.0,42,"公寓 正光006 正光里 基隆市七堵區崇禮街29號 42 第三分局"
大樓,正光007,正光里,基隆市七堵區南興路23號,1.0,102,"大樓 正光007 正光里 基隆市七堵區南興路23號 102 第三分局"
大樓,正光008,正光里,基隆市七堵區崇義街1號,1.0,290,"大樓 正光008 正光里 基隆市七堵區崇義街1號 290 第三分局"
大樓,正光009,正光里,基隆市七堵區明德一路13號,1.0,259,"大樓 正光009 正光里 基隆市七堵區明德一路13號 259 第三分局"
大樓,正光010,正光里,基隆市七堵區明德一路85號,1.0,1154,"大樓 正光010 正光里 基隆市七堵區明德一路85號 1154 第三分局"
大樓,正光011,正光里,基隆市七堵區光明路118號,1.0,264,"大樓 正光011 正光里 基隆市七堵區光明路118號 264 第三分局"
大樓,正光012,正光里,基隆市七堵區崇智街5號,1.0,126,"大樓 正光012 正光里 基隆市七堵區崇智街5號 126 第三分局"
大樓,正光013,正光里,基隆市七堵區崇禮街1之4號,1.0,1442,"大樓 正光013 正光里 基隆市七堵區崇禮街1之4號 1442 第三分局"
大樓,正光014,正光里,基隆市七堵區光明路21號,1.0,2284,"大樓 正光014 正光里 基隆市七堵區光明路21號 2284 第三分局"
大樓,正光015,正光里,基隆市七堵區光明路15號,1.0,5128,"大樓 正光015 正光里 基隆市七堵區光明路15號 5128 第三分局"
公寓,正光016,正光里,基隆市七堵區光明路26號,1.0,185,"公寓 正光016 正光里 基隆市七堵區光明路26號 185 第三分局"
公寓,正明001,正明里,基隆市七堵區南光街17號,1.0,152,"公寓 正明001 正明里 基隆市七堵區南光街17號 152 第三分局"
