建築物名稱,縣(市),鄉鎮市區,村里別,地址,避難樓層,"防空避難 設備面積 (平方公尺)",是否兼作停車空間,"容量 （自動計算）",轄管分局,"建檔日期 （西元年/月/日）","最後修正日期 （西元年/月/日）",緯經度,備註
卓蘭國小,苗栗縣,卓蘭鎮,新厝里15鄰,苗栗縣卓蘭鎮新厝里15鄰中山路125號,B01,500.0,0.0,555.0,大湖分局,731229.0,1111231.0,"24.31251160265144, 120.82497698095708",
公寓,苗栗縣,卓蘭鎮,中街里6鄰,苗栗縣卓蘭鎮中街里6鄰中山路101號,B01,85.0,0.0,94.0,大湖分局,741224.0,1111231.0,"24.312003338628156,120.82644027573909",
住宅,苗栗縣,卓蘭鎮,新厝里1鄰,苗栗縣卓蘭鎮新厝里1鄰新厝路7-6號,B01,20.0,0.0,22.0,大湖分局,751222.0,1111231.0,"  24.305903292032934, 120.82401069154668",
培德幼兒園,苗栗縣,卓蘭鎮,中街里10鄰,苗栗縣卓蘭鎮中街里民族路88號,B01,70.0,0.0,77.0,大湖分局,770709.0,1111231.0,"24.31370740226156,120.82708956681005",
卓蘭高中(勵學樓),苗栗縣,卓蘭鎮,老庄里18鄰,苗栗縣卓蘭鎮老庄里老庄161號,B01,800.0,0.0,888.0,大湖分局,821107.0,1111231.0,"24.31287419859529,120.8319717263379",
卓蘭高中(崇德樓),苗栗縣,卓蘭鎮,老庄里18鄰,苗栗縣卓蘭鎮老庄里老庄161號,B01,800.0,0.0,888.0,大湖分局,830601.0,1111231.0,"24.31287419859529,120.8319717263379",
昭忠廟,苗栗縣,卓蘭鎮,老庄里1鄰,苗栗縣卓蘭鎮老庄里1鄰老庄2-6號,B01,150.0,0.0,166.0,大湖分局,850903.0,1111231.0,"24.311084212464674,120.83442800982574",
大樓,苗栗縣,卓蘭鎮,中街里4鄰,苗栗縣卓蘭鎮中街里4鄰中山路82號,B01,625.0,1.0,434.0,大湖分局,850701.0,1111231.0,"24.312188549903226,120.82639674468531",
卓蘭鎮戶政事務所,苗栗縣,卓蘭鎮,新厝里16鄰,苗栗縣卓蘭鎮新厝里16鄰三和路15號,B01,605.0,1.0,420.0,大湖分局,850701.0,1111231.0,"24.31287766278021,120.82536753561939",
卓蘭高中(活動中心),苗栗縣,卓蘭鎮,老庄里18鄰,苗栗縣卓蘭鎮老庄里老庄161號,B01,2259.0,0.0,2510.0,大湖分局,860402.0,1111231.0,"24.31287419859529,120.8319717263379",
虎山溫泉會館,苗栗縣,泰安鄉,錦水村11鄰,苗栗縣泰安鄉錦水村11鄰圓墩73號,B01,282.0,0.0,313.0,大湖分局,791114.0,1111231.0,"24.46852522862672,120.94050609750403",
苗栗區農業改良場大湖分場(生物大樓),苗栗縣,大湖鄉,大湖村14鄰,苗栗縣大湖鄉大湖村14鄰民族路42號,B01,52.0,0.0,57.0,大湖分局,670711.0,1111231.0,"24.423717327382455,120.86974162035048",
大湖鄉公所,苗栗縣,大湖鄉,明湖村12鄰,苗栗縣大湖鄉明湖村中正路80號,B01,250.0,0.0,277.0,大湖分局,660803.0,1111231.0,"24.423525309380697,120.86617809750328",
大湖農會酒莊,苗栗縣,大湖鄉,富興村8鄰,苗栗縣大湖鄉富興村9鄰八寮灣2-4號,B01,953.76,1.0,662.0,大湖分局,680101.0,1111231.0,"24.429178192831024, 120.86834548354337",
苗栗區農業改良場大湖分場(行政大樓),苗栗縣,大湖鄉,大湖村14鄰,苗栗縣大湖鄉大湖村14鄰民族路42號,B01,125.0,0.0,138.0,大湖分局,720223.0,1111231.0,"24.423717327382455,120.86974162035048",
中華電信苗栗營運處大湖服務中心,苗栗縣,大湖鄉,靜湖村5鄰,苗栗縣大湖鄉靜湖村5鄰民族路105號,B01,700.0,0.0,777.0,大湖分局,741024.0,1111231.0,"24.4260796755726, 120.87029533983042",
大湖地政事務所,苗栗縣,大湖鄉,明湖村12鄰,苗栗縣大湖鄉明湖村12鄰博愛街35號,B01,150.0,0.0,166.0,大湖分局,791009.0,1111231.0,"24.42383949575475, 120.86629558860875",
大湖鄉圖書館,苗栗縣,大湖鄉,大湖村15鄰,苗栗縣大湖鄉大湖村15鄰民族路40之2號,B01,150.0,0.0,166.0,大湖分局,791107.0,1111231.0,"24.423341964178864, 120.86951805379282",
大順醫院,苗栗縣,大湖鄉,大湖村6鄰,苗栗縣大湖鄉大湖村6鄰中正路48-5號,B01,250.0,0.0,277.0,大湖分局,820906.0,1111231.0,"24.42248298389276, 120.86760627178772",
全泰建設公司,苗栗縣,大湖鄉,大湖村11鄰,苗栗縣大湖鄉大湖村11鄰重光路105-123號,B01,3000.0,1.0,2083.0,大湖分局,831125.0,1111231.0,"  24.421535847974678, 120.8675489176451",
國立大湖農工,苗栗縣,大湖鄉,大寮村17鄰,苗栗縣大湖鄉大寮村17鄰竹高屋68號,B01,500.0,0.0,555.0,大湖分局,850501.0,1111231.0,"24.42140604920819, 120.86159745517607",
中華電信卓蘭服務中心,苗栗縣,卓蘭鎮,新厝里18鄰,苗栗縣卓蘭鎮新厝里18鄰中山路140號,B01,686.0,0.0,762.0,大湖分局,870402.0,1111231.0,"24.313508215790588, 120.82453305657727",
大湖天主教堂,苗栗縣,大湖鄉,大湖村18鄰,苗栗縣大湖鄉大湖村18鄰中正路46號,B01,649.0,0.0,721.0,大湖分局,870502.0,1111231.0,"24.422357442960855, 120.86795479939035",
雪霸國家公園警察隊,苗栗縣,大湖鄉,富興村1鄰,苗栗縣大湖鄉富興村1鄰水尾坪99號,B01,1323.0,0.0,1470.0,大湖分局,900103.0,1111231.0,"24.448286416525324, 120.87971346729694",
錦水溫泉大飯店,苗栗縣,大湖鄉,錦水村10鄰,苗栗縣泰安鄉錦水村10鄰橫龍山72號,B01,1084.0,0.0,1204.0,大湖分局,900702.0,1111231.0,"24.4681556719445, 120.96746434168607",
采莓行館,苗栗縣,大湖鄉,大湖村3鄰,苗栗縣大湖鄉大湖村3鄰中山路37號,B01,1056.28,1.0,733.0,大湖分局,940204.0,1111231.0,"24.42386870720058, 120.86799461920089",
大湖衛生所,苗栗縣,大湖鄉,明湖村2鄰,苗栗縣大湖鄉明湖村中原路87號,B01,534.7,0.0,594.0,大湖分局,941004.0,1111231.0,"24.4241764511252, 120.86587319827673",
