類別,電腦編號,村里別,地址,緯經度,地下樓層數,可容納人數,備註
西淋診所,ONA00001,慈福里,臺南市學甲區慈福里9鄰濟生路62號,"23.232413,120.183798",1.0,33.0,
學甲區公所,ONA00003,仁得里,臺南市學甲區仁得里6鄰華宗路313號,"23.230357,120.182205",1.0,570.0,
嘉鴻旅社,ONA00004,明宜里,臺南市學甲區明宜里9鄰宮西路10號,"23.233984,120.179663",1.0,93.0,
西湖戲院,ONA00005,明宜里,臺南市學甲區明宜里2鄰中山路151號,"23.234672,120.178837",1.0,96.0,
慈濟宮,ONA00007,慈福里,臺南市學甲區慈福里12鄰濟生路170號,"23.233771,120.180496",1.0,306.0,
信立化工,ONA00009,新達里,臺南市學甲區新達里10鄰興業路99號,"23.242194,120.19247",1.0,418.0,
信立化工,ONA00010,新榮里,臺南市學甲區新榮里6鄰華宗路121號,"23.224568,120.181715",1.0,232.0,
信立化工,ONA00011,新榮里,臺南市學甲區新榮里6鄰華宗路121號,"23.224568,120.181715",1.0,1062.0,
立興盛纖維公司,ONA00012,新榮里,臺南市學甲區新榮里6鄰華宗路126號之1,"23.22296,120.185086",1.0,89.0,
立興盛纖維公司,ONA00013,新榮里,臺南市學甲區新榮里6鄰華宗路126號,"23.222816,120.185795",1.0,104.0,
匹士克公司,ONA00014,新榮里,臺南市學甲區新榮里6鄰華宗路71號,"23.221236,120.183516",1.0,221.0,
東陽新城,ONA00015,新榮里,臺南市學甲區新榮里5鄰華宗路202號,"23.225555,120.183791",1.0,1088.0,
隆豐製冰冷凍廠,ONA00016,新榮里,臺南市學甲區新榮里6鄰華宗路137號之2,"23.225024,120.182588",1.0,74.0,
東盟公司,ONA00017,秀昌里,臺南市學甲區秀昌里5鄰一秀155號,"23.261267,120.16856",1.0,529.0,
東盟公司,ONA00018,秀昌里,臺南市學甲區秀昌里5鄰一秀155號,"23.261267,120.16856",1.0,48.0,
崑洲實業公司,ONA00019,大灣里,臺南市學甲區大灣里1鄰大灣39號之10,"23.211617,120.1863",1.0,222.0,
東盟公司,ONA00021,秀昌里,臺南市學甲區秀昌里5鄰一秀155號,"23.261267,120.16856",1.0,1800.0,
摩登新雅族第二期,ONA00022,仁得里,臺南市學甲區仁得里17鄰八德街161號,"23.227741,120.17801",1.0,500.0,
中洲市場,ONA00024,中洲里,臺南市學甲區中洲里4鄰中洲109號之2,"23.244312,120.15733",1.0,129.0,
金長榮國際實業公司,ONA00025,光華里,臺南市學甲區光華里8鄰頭港子1號,"23.252897,120.15231",1.0,234.0,
日農公司,ONA00026,宅港里,臺南市學甲區宅港里7鄰德安寮3號之28,"23.249026,120.196715",1.0,90.0,
將軍區公所,ONA00027,忠嘉里,臺南市將軍區忠嘉里11鄰忠興190號,"23.198948,120.158797",1.0,36.0,
將軍區農會糧米倉,ONA00030,忠嘉里,臺南市將軍區忠嘉里11鄰忠興189號,"23.199442,120.158581",1.0,33.0,
洽益農藥廠,ONA00031,長榮里,臺南市將軍區長榮里5鄰長榮165號,"23.189779,120.158931",1.0,36.0,
寶一金屬公司,ONA00032,忠嘉里,臺南市將軍區忠嘉里6鄰忠興132之6號,"23.204407,120.158621",1.0,45.0,
