類別,電腦編號,村里別,地址,地下樓層數,可容納人數,備註,placemark_address
公寓,TQA0001,蘇北里,宜蘭縣蘇澳鎮中原路200號,1.0,129.0,,"TQA0001 宜蘭縣蘇澳鎮中原路200號"
公寓,TQA0002,蘇東里,宜蘭縣蘇澳鎮蘇東路6號,1.0,1616.0,,"TQA0002 宜蘭縣蘇澳鎮蘇東路6號"
公寓,TQA0003,蘇東里,宜蘭縣蘇澳鎮蘇東北路2號之67,1.0,29.0,,"TQA0003 宜蘭縣蘇澳鎮蘇東北路2號之67"
公寓,TQA0004,蘇東里,宜蘭縣蘇澳鎮蘇東北路2號之68,1.0,30.0,,"TQA0004 宜蘭縣蘇澳鎮蘇東北路2號之68"
公寓,TQA0005,蘇東里,宜蘭縣蘇澳鎮蘇東北路2號之69,1.0,25.0,,"TQA0005 宜蘭縣蘇澳鎮蘇東北路2號之69"
公寓,TQA0006,蘇東里,宜蘭縣蘇澳鎮蘇東北路2號之70,1.0,25.0,,"TQA0006 宜蘭縣蘇澳鎮蘇東北路2號之70"
公寓,TQA0007,蘇東里,宜蘭縣蘇澳鎮蘇東北路2號之71,1.0,25.0,,"TQA0007 宜蘭縣蘇澳鎮蘇東北路2號之71"
公寓,TQA0008,蘇東里,宜蘭縣蘇澳鎮蘇東北路2號之72,1.0,43.0,,"TQA0008 宜蘭縣蘇澳鎮蘇東北路2號之72"
公寓,TQA0009,蘇東里,宜蘭縣蘇澳鎮蘇東北路2號之76,1.0,33.0,,"TQA0009 宜蘭縣蘇澳鎮蘇東北路2號之76"
大樓,TQA0010,蘇東里,宜蘭縣蘇澳鎮蘇東中路10號,1.0,26.0,,"TQA0010 宜蘭縣蘇澳鎮蘇東中路10號"
公寓,TQA0011,蘇東里,宜蘭縣蘇澳鎮蘇東北路2號之63,1.0,26.0,,"TQA0011 宜蘭縣蘇澳鎮蘇東北路2號之63"
公寓,TQA0012,蘇東里,宜蘭縣蘇澳鎮蘇東北路2號之64,1.0,26.0,,"TQA0012 宜蘭縣蘇澳鎮蘇東北路2號之64"
公寓,TQA0013,蘇東里,宜蘭縣蘇澳鎮蘇東北路2號之65,1.0,37.0,,"TQA0013 宜蘭縣蘇澳鎮蘇東北路2號之65"
公寓,TQA0014,蘇東里,宜蘭縣蘇澳鎮蘇東北路2號之66,1.0,35.0,,"TQA0014 宜蘭縣蘇澳鎮蘇東北路2號之66"
公寓,TQA0015,長安里,宜蘭縣蘇澳鎮成功路6號,1.0,37.0,,"TQA0015 宜蘭縣蘇澳鎮成功路6號"
公寓,TQA0016,長安里,宜蘭縣蘇澳鎮成功路53號,1.0,408.0,,"TQA0016 宜蘭縣蘇澳鎮成功路53號"
工廠,TQA0017,長安里,宜蘭縣蘇澳鎮永昌路46號,1.0,780.0,,"TQA0017 宜蘭縣蘇澳鎮永昌路46號"
工廠,TQA0018,長安里,宜蘭縣蘇澳鎮永昌路46號,1.0,212.0,,"TQA0018 宜蘭縣蘇澳鎮永昌路46號"
銀行,TQA0019,蘇北里,宜蘭縣蘇澳鎮太平路17號,1.0,175.0,,"TQA0019 宜蘭縣蘇澳鎮太平路17號"
公賣局,TQA0020,蘇西里,宜蘭縣蘇澳鎮蘇南路199號,1.0,59.0,,"TQA0020 宜蘭縣蘇澳鎮蘇南路199號"
公寓,TQA0021,蘇西里,宜蘭縣蘇澳鎮華中街5號,1.0,797.0,,"TQA0021 宜蘭縣蘇澳鎮華中街5號"
大樓,TQA0022,蘇西里,宜蘭縣蘇澳鎮蘇港路195號,1.0,54.0,,"TQA0022 宜蘭縣蘇澳鎮蘇港路195號"
公寓,TQA0023,蘇西里,宜蘭縣蘇澳鎮蘇西里華中街15號,1.0,183.0,,"TQA0023 宜蘭縣蘇澳鎮蘇西里華中街15號"
公家機關,TQA0024,蘇西里,宜蘭縣蘇澳鎮中山路一段252號,1.0,311.0,,"TQA0024 宜蘭縣蘇澳鎮中山路一段252號"
銀行,TQA0025,蘇北里,宜蘭縣蘇澳鎮中山路一段96號之1,1.0,83.0,,"TQA0025 宜蘭縣蘇澳鎮中山路一段96號之1"
公寓,TQA0026,蘇北里,宜蘭縣蘇澳鎮冷泉路30號,1.0,165.0,,"TQA0026 宜蘭縣蘇澳鎮冷泉路30號"
公寓,TQA0027,蘇西里,宜蘭縣蘇澳鎮志成路15巷15號,1.0,80.0,,"TQA0027 宜蘭縣蘇澳鎮志成路15巷15號"
工廠,TQA0028,龍德里,宜蘭縣蘇澳鎮德興一路7號,1.0,266.0,,"TQA0028 宜蘭縣蘇澳鎮德興一路7號"
工廠,TQA0029,龍德里,宜蘭縣蘇澳鎮德興一路23號,1.0,127.0,,"TQA0029 宜蘭縣蘇澳鎮德興一路23號"
工廠,TQA0030,龍德里,宜蘭縣蘇澳鎮德興一路29號,1.0,130.0,,"TQA0030 宜蘭縣蘇澳鎮德興一路29號"
工廠,TQA0031,龍德里,宜蘭縣蘇澳鎮德興一路041號,1.0,33.0,,"TQA0031 宜蘭縣蘇澳鎮德興一路041號"
工廠,TQA0033,龍德里,宜蘭縣蘇澳鎮德興六路2號,1.0,95.0,,"TQA0033 宜蘭縣蘇澳鎮德興六路2號"
工廠,TQA0034,龍德里,宜蘭縣蘇澳鎮德興六路8號,1.0,114.0,,"TQA0034 宜蘭縣蘇澳鎮德興六路8號"
工廠,TQA0036,龍德里,宜蘭縣蘇澳鎮德興七路6號,1.0,123.0,,"TQA0036 宜蘭縣蘇澳鎮德興七路6號"
工廠,TQA0037,龍德里,宜蘭縣蘇澳鎮德興六路11號,1.0,38.0,,"TQA0037 宜蘭縣蘇澳鎮德興六路11號"
工廠,TQA0038,龍德里,宜蘭縣蘇澳鎮自強路11號,1.0,72.0,,"TQA0038 宜蘭縣蘇澳鎮自強路11號"
工廠,TQA0039,龍德里,宜蘭縣蘇澳鎮自強路17號,1.0,50.0,,"TQA0039 宜蘭縣蘇澳鎮自強路17號"
工廠,TQA0040,龍德里,宜蘭縣蘇澳鎮自強路19號,1.0,199.0,,"TQA0040 宜蘭縣蘇澳鎮自強路19號"
學校,TQA0041,龍德里,宜蘭縣蘇澳鎮自強路23號,1.0,262.0,,"TQA0041 宜蘭縣蘇澳鎮自強路23號"
工廠,TQA0042,永榮里,宜蘭縣蘇澳鎮大同路108號,1.0,592.0,,"TQA0042 宜蘭縣蘇澳鎮大同路108號"
工廠,TQA0043,隘丁里,宜蘭縣蘇澳鎮仁愛路14號,1.0,105.0,,"TQA0043 宜蘭縣蘇澳鎮仁愛路14號"
學校,TQA0044,永榮里,宜蘭縣蘇澳鎮新馬路2號,1.0,167.0,,"TQA0044 宜蘭縣蘇澳鎮新馬路2號"
工廠,TQA0045,龍德里,宜蘭縣蘇澳鎮福德路244號,1.0,310.0,,"TQA0045 宜蘭縣蘇澳鎮福德路244號"
學校,TQA0046,龍德里,宜蘭縣蘇澳鎮福德路134號,1.0,80.0,,"TQA0046 宜蘭縣蘇澳鎮福德路134號"
工廠,TQA0047,龍德里,宜蘭縣蘇澳鎮德興七路14號,1.0,105.0,,"TQA0047 宜蘭縣蘇澳鎮德興七路14號"
工廠,TQA0048,龍德里,宜蘭縣蘇澳鎮德興一路45號,1.0,128.0,,"TQA0048 宜蘭縣蘇澳鎮德興一路45號"
工廠,TQA0049,龍德里,宜蘭縣蘇澳鎮德興一路17號,1.0,291.0,,"TQA0049 宜蘭縣蘇澳鎮德興一路17號"
公寓,TQA0052,隘丁里,宜蘭縣蘇澳鎮忠孝路166巷18號,1.0,505.0,,"TQA0052 宜蘭縣蘇澳鎮忠孝路166巷18號"
公家機關,TQA0053,隘丁里,宜蘭縣蘇澳鎮隘丁路12號,1.0,685.0,,"TQA0053 宜蘭縣蘇澳鎮隘丁路12號"
電信局,TQA0054,龍德里,宜蘭縣蘇澳鎮自強路10號,1.0,189.0,,"TQA0054 宜蘭縣蘇澳鎮自強路10號"
工廠,TQA0055,龍德里,宜蘭縣蘇澳鎮德興八路5號,1.0,24.0,,"TQA0055 宜蘭縣蘇澳鎮德興八路5號"
公寓,TQA0056,永榮里,宜蘭縣蘇澳鎮隘界路75號,1.0,24.0,,"TQA0056 宜蘭縣蘇澳鎮隘界路75號"
公寓,TQA0057,永榮里,宜蘭縣蘇澳鎮隘界路77號,1.0,25.0,,"TQA0057 宜蘭縣蘇澳鎮隘界路77號"
公寓,TQA0058,永榮里,宜蘭縣蘇澳鎮隘界路79號,1.0,128.0,,"TQA0058 宜蘭縣蘇澳鎮隘界路79號"
教會,TQA0059,聖湖里,宜蘭縣蘇澳鎮中山路一段427號,1.0,47.0,,"TQA0059 宜蘭縣蘇澳鎮中山路一段427號"
公寓,TQA0060,聖湖里,宜蘭縣蘇澳鎮聖愛路12號,1.0,247.0,,"TQA0060 宜蘭縣蘇澳鎮聖愛路12號"
學校,TQA0061,聖湖里,宜蘭縣蘇澳鎮中山路二段1號,1.0,940.0,,"TQA0061 宜蘭縣蘇澳鎮中山路二段1號"
學校,TQA0062,聖湖里,宜蘭縣蘇澳鎮中山路二段1號,1.0,1423.0,,"TQA0062 宜蘭縣蘇澳鎮中山路二段1號"
工廠,TQA0063,聖湖里,宜蘭縣蘇澳鎮中山路二段235號,1.0,121.0,,"TQA0063 宜蘭縣蘇澳鎮中山路二段235號"
公家機關,TQA0064,南安里,宜蘭縣蘇澳鎮漁港路84號,1.0,162.0,,"TQA0064 宜蘭縣蘇澳鎮漁港路84號"
學校,TQA0065,港邊里,宜蘭縣蘇澳鎮嶺腳路140號,1.0,328.0,,"TQA0065 宜蘭縣蘇澳鎮嶺腳路140號"
電信局,TQA0066,南澳村,宜蘭縣南澳鄉蘇花路181號,1.0,43.0,,"TQA0066 宜蘭縣南澳鄉蘇花路181號"
