電腦編號,里別,地址,緯度,經度,避難樓層,可容納人數,轄管分局,備註
EQA00001,大同里,桃園市楊梅區大同里新農街337號,"24.911108 ","121.154911 ",B01,5595.0,楊梅分局,B
EQA00002,大同里,桃園市楊梅區大同里新農街85號,"24.910091 ","121.148595 ",B01,755.0,楊梅分局,B
EQA00003,紅梅里,桃園市楊梅區紅梅里校前路1號,"24.906138 ","121.144202 ",B01,1540.0,楊梅分局,B
EQA00004,紅梅里,桃園市楊梅區紅梅里中山路155號,"24.906123 ","121.143096 ",B01,93.0,楊梅分局,C
EQA00005,紅梅里,桃園市楊梅區紅梅里武營街108號,"24.908055 ","121.143186 ",B01,322.0,楊梅分局,C
EQA00006,紅梅里,桃園市楊梅區紅梅里中山路125巷85號之91,"24.906072 ","121.145747 ",B01,668.0,楊梅分局,C
EQA00007,紅梅里,桃園市楊梅區紅梅里秀才路106號,"24.904512 ","121.142509 ",B01,406.0,楊梅分局,C
EQA00008,紅梅里,桃園市楊梅區紅梅里中山路125巷77號,"24.905874 ","121.146768 ",B01,320.0,楊梅分局,C
EQA00010,楊江里,桃園市楊梅區楊江里大模街85號,"24.910458 ","121.144741 ",B01,38.0,楊梅分局,C
EQA00011,楊江里,桃園市楊梅區楊江里大成路2號,"24.907690 ","121.146142 ",B01,172.0,楊梅分局,B
EQA00015,楊梅里,桃園市楊梅區楊梅里大模街2號,"24.913744 ","121.144698 ",B01,143.0,楊梅分局,C
EQA00018,水美里,桃園市楊梅區水美里楊新路一段231號,"24.914825 ","121.141771 ",B01,152.0,楊梅分局,B
EQA00019,大平里,桃園市楊梅區大平里秀才路241巷25號,"24.899661 ","121.140994 ",B01,71.0,楊梅分局,C
EQA00020,秀才里,桃園市楊梅區秀才里新江路100號,"24.896472 ","121.141484 ",B01,93.0,楊梅分局,B
EQA00021,秀才里,桃園市楊梅區秀才里秀才路511巷3號,"24.895148 ","121.137889 ",B01,190.0,楊梅分局,C
EQA00022,秀才里,桃園市楊梅區秀才里秀才路845巷250號,"24.884294 ","121.141027 ",B01,222.0,楊梅分局,B
EQA00024,大平里,桃園市楊梅區大平里中山南路567號,"24.903457 ","121.128726 ",B01,884.0,楊梅分局,B
EQA00026,大平里,桃園市楊梅區大平里楊湖路一段365號,"24.911165 ","121.133416 ",B01,84.0,楊梅分局,B
EQA00027,永寧里,桃園市楊梅區永寧里揚昇路256號,"24.880067 ","121.157318 ",B01,13359.0,楊梅分局,B
EQA00028,永寧里,桃園市楊梅區永寧里環南路223巷37號,"24.902145 ","121.143468 ",B01,286.0,楊梅分局,C
EQA00031,上田里,桃園市楊梅區上田里和平路576號,"24.946774 ","121.132968 ",B01,236.0,楊梅分局,B
EQA00033,梅新里,桃園市楊梅區梅新里貴山街117號,"24.906553 ","121.148130 ",B01,311.0,楊梅分局,C
