類別,電腦編號,村里別,地址,"地下樓 層數",可容納人數,派出所,備註,經度,緯度
中興名門,D401000001,中興里,新北市三重區中興里中興北街133號,1.0,447.0,二重派出所,,121.46941,25.050535
湯城10號大樓,D401000003,中興里,新北市三重區中興里重新路5段609巷10號,3.0,21123.0,二重派出所,,121.4685,25.045901
湯城2號大樓,D401000004,中興里,新北市三重區中興里重新路5段609巷2號,3.0,11362.0,二重派出所,,121.46844,25.045563
銧利企業大樓,D401000005,中興里,新北市三重區中興里光復路1段70號,2.0,416.0,二重派出所,,121.4719,25.049436
圻積有限公司,D401000006,中興里,新北市三重區中興里中興北街51號,1.0,475.0,二重派出所,,121.46966,25.047271
華瑄企業有限公司,D401000007,谷王里,新北市三重區谷王里光復路2段35號,1.0,580.0,二重派出所,,121.47222,25.055111
宜富大地,D401000008,頂崁里,新北市三重區頂崁里光華路69號,1.0,531.0,二重派出所,,121.4666,25.059947
龍觀天下社區,D401000010,中興里,新北市三重區中興里中興北街52號,1.0,588.0,二重派出所,,121.46907,25.050771
金陵女子高級中學,D401000016,中興里,新北市三重區中興里重新路5段656號,1.0,235.0,二重派出所,,121.4664,25.042508
金陵女子高級中學,D401000018,中興里,新北市三重區中興里重新路5段656號,1.0,136.0,二重派出所,,121.4664,25.042508
王達實業有限公司,D401000019,五谷里,新北市三重區五谷里光復路1段99巷8號,1.0,103.0,二重派出所,,121.47306,25.051347
大方模特兒衣架行,D401000020,五谷里,新北市三重區五谷里光復路1段99巷4號,1.0,103.0,二重派出所,,121.47297,25.051064
私人住宅大樓,D401000021,頂崁里,新北市三重區頂崁里光復路2段210號,1.0,1354.0,二重派出所,,121.46952,25.063206
捷竣新站,D401000022,中興里,新北市三重區中興里重新路5段519號,1.0,234.0,二重派出所,,121.47141,25.04645
臺北豪邁,D401000023,中興里,新北市三重區頂崁里中興北街136巷21號,1.0,70.0,二重派出所,,121.46849,25.056299
薩摩亞商大煜有限公司,D401000024,頂崁里,新北市三重區頂崁里光復路2段102巷55號,1.0,70.0,二重派出所,,121.46932,25.058187
私人住宅大樓,D401000025,中興里,新北市三重區中興里光復路2段266號,3.0,2812.0,二重派出所,,121.47181,25.054974
龍騰科技大樓,D401000026,中興里,新北市三重區中興里光復路1段138號,2.0,787.0,二重派出所,,121.47193,25.052637
弘爺國際企業股份有限公司,D401000027,中興里,新北市三重區中興里光復路2段42巷39號,1.0,442.0,二重派出所,,121.46933,25.054613
私人住宅大樓,D401000028,中興里,新北市三重區中興里中興北街17巷18號,1.0,297.0,二重派出所,,121.46825,25.051599
先嗇宮活動中心,D401000029,五谷里,新北市三重區五谷里五谷王北街46號,1.0,773.0,二重派出所,,121.47555,25.050969
四季紅大樓,D401000030,中興里,新北市三重區中興里中興北街119號,1.0,773.0,二重派出所,,121.46982,25.0489
贏翼,D401000031,中興里,新北市三重區中興里興德路111號,1.0,6500.0,二重派出所,,121.47143,25.053249
萬國財星大樓,D401000032,頂崁里,新北市三重區頂崁里光復路2段80號,2.0,1720.0,二重派出所,,121.47195,25.056961
愛菲爾大廈,D401000033,中興里,新北市三重區中興里重新路5段572號,1.0,477.0,二重派出所,,121.46972,25.045571
台灣莫仕股份有限公司,D401000034,中興里,新北市三重區中興里中興北街44號,1.0,1238.0,二重派出所,,121.4695,25.049675
台北科技城,D401000035,中興里,新北市三重區中興里光復路1段78號,1.0,5987.0,二重派出所,,121.4719,25.050119
豪邁私大樓,D401000036,頂崁里,新北市三重區頂崁里中興北街177號,1.0,473.0,二重派出所,,121.46909,25.056103
前瞻企業大樓B棟,D401000037,頂崁里,新北市三重區頂崁里新北大道二段252號,1.0,959.0,二重派出所,,121.46676,25.061685
前瞻企業大樓A棟,D401000038,頂崁里,新北市三重區頂崁里新北大道二段260號,1.0,1499.0,二重派出所,,121.46604,25.061721
遠見科技總部,D401000039,谷王里,新北市三重區谷王里興德路82號,3.0,3397.0,二重派出所,,121.47403,25.053404
金陵女子高級中學,D401000040,中興里,新北市三重區中興里重新路5段656號,1.0,525.0,二重派出所,,121.4664,25.042508
誥銓企業有限公司,D401000041,頂崁里,新北市三重區頂崁里光復路2段88巷22弄4號,1.0,146.0,二重派出所,,121.47114,25.057204
威盛出風口有限公司,D401000042,頂崁里,新北市三重區頂崁里光復路2段5658號,1.0,280.0,二重派出所,,121.46952,25.063206
金陵科技大樓,D401000043,中興里,新北市三重區中興里重新路5段639號,1.0,1085.0,二重派出所,,121.46679,25.043408
金陵女子高級中學,D401000044,中興里,新北市三重區中興里重新路5段656號,1.0,238.0,二重派出所,,121.4664,25.042508
家樂福重新店,D401000045,中興里,新北市三重區中興里重新路5段654號,1.0,4463.0,二重派出所,,121.46712,25.04307
世紀登豐,D401000046,中興里,新北市三重區中興里重新路5段646號,1.0,4680.0,二重派出所,,121.46854,25.044137
鋐鍏企業股份有限公司,D401000047,谷王里,新北市三重區谷王里光復路2段9號,1.0,936.0,二重派出所,,121.47241,25.054182
萊爾富三重初戀店,D401000048,中興里,新北市三重區中興里中興北街153號,1.0,281.0,二重派出所,,121.46914,25.05316
私人住宅大樓,D401000049,五谷里,新北市三重區五谷里光復路1段61巷24弄63號,1.0,978.0,二重派出所,,121.47354,25.0509
統一實業有限公司,D401000050,中興里,新北市三重區中興里光復路2段42巷15號,1.0,464.0,二重派出所,,121.47094,25.054918
金陵女子高級中學,D401000051,中興里,新北市三重區中興里重新路5段656號,1.0,1695.0,二重派出所,,121.4664,25.042508
燦郁實業有限公司,D401000052,頂崁里,新北市三重區頂崁里光復路2段133號,1.0,1000.0,二重派出所,,121.47223,25.059149
美麗新境,D401000053,中興里,新北市三重區中興里重新路5段509號,1.0,913.0,二重派出所,,121.47187,25.046668
玉山金融希望園區,D401001362,中興里,新北市三重區中興里中興北街42巷17弄10號,3.0,2168.0,二重派出所,,121.46885,25.050327
和運銅品金屬有限公司,D401001363,頂崁里,新北市三重區頂崁里光華路39號,1.0,254.0,二重派出所,,121.46774,25.059947
寶石上城,D401001364,五谷里,新北市三重區五谷里重新路5段489號,1.0,361.0,二重派出所,,121.47281,25.046913
新濠漾,D401001365,頂崁里,新北市三重區頂崁里重化街2號,1.0,414.0,二重派出所,,121.46791,25.063769
年紀青,D401001366,五谷里,新北市三重區五谷里五谷王北街58巷26號,1.0,230.0,二重派出所,,121.47484,25.0517
紳公館,D401001367,五谷里,新北市三重區五谷里五谷王北街45巷1號,1.0,172.0,二重派出所,,121.47589,25.049167
辰光曜,D401001369,谷王里,新北市三重區興德路55號,1.0,513.0,二重派出所,,121.47565,25.054196
台明賓士汽車股份有限公司,D401001370,頂崁里,新北市三重區頂崁里光復路2段81號,1.0,2640.0,二重派出所,,121.47226,25.057363
私人住宅大樓,D401001371,五谷里,新北市三重區五谷里五谷王北街36號,1.0,189.0,二重派出所,,121.47563,25.048936
"ONE BOY營運總部",D401001372,頂崁里,新北市三重區頂崁里重化街38號,1.0,699.0,二重派出所,,121.46653,25.063771
水丰景,D401001373,頂崁里,新北市三重區頂崁里神農街481號,1.0,676.0,二重派出所,,121.47423,25.058209
立瑾醞,D401001374,頂崁里,新北市三重區頂崁里神農街435號,1.0,784.0,二重派出所,,121.47423,25.057432
育達新莊大樓,D401001375,谷王里,新北市三重區谷王里神農街256號,1.0,582.0,二重派出所,,121.47406,25.053258
靖登實業,D401001376,谷王里,新北市三重區谷王里頂文路1號,1.0,2066.0,二重派出所,,121.47638,25.055866
國泰悅,D401001377,德厚里,新北市三重區德厚里2鄰重新路5段353號,1.0,1536.0,二重派出所,,121.47697,25.048344
金色山脈,D401001378,中興里,新北市三重區中興里29鄰中興北街50號,1.0,453.0,二重派出所,,121.46936,25.050182
川森,D401001379,德厚里,新北市三重區德厚里2鄰五谷王北街45巷51號,1.0,699.0,二重派出所,,121.47717,25.049169
群光智慧綠能大樓,D401001380,頂崁里,新北市三重區頂崁里光復路2段69號,1.0,1259.0,二重派出所,,121.47225,25.056943
三花棉業企業總部,D401001381,頂崁里,新北市三重區頂崁里新北大道2段88號,1.0,1482.0,二重派出所,,121.46928,25.061726
