編號,地址,避難所在之地下樓層數,可容納人數,轄區分局,經度,緯度,村里別
1.0,臺中市南區南和里工學路82巷16號,1.0,124.0,第三分局,120.663086,24.117271,南和里
2.0,臺中市南區福興里美村路二段247號,1.0,126.0,第三分局," 120.666087",24.123359,福興里
3.0,臺中市南區福興里福東街1號,1.0,134.0,第三分局," 120.666306",24.125196,福興里
4.0,臺中市南區福興里復興路三段2巷1弄12號,1.0,150.0,第三分局,120.6674229,24.127649,福興里
5.0,臺中市南區福興里福新街32號,1.0,266.0,第三分局," 120.666473",24.126461,福興里
6.0,臺中市南區福興里福中街47號,1.0,214.0,第三分局," 120.667326",24.126753,福興里
7.0,臺中市南區福平里建國北路二段16號,1.0,262.0,第三分局,120.6607513,24.127051,福平里
8.0,臺中市南區福平里光輝街52巷10號,1.0,165.0,第三分局," 120.660693",24.129374,福平里
9.0,臺中市南區福興里美村路二段281號,1.0,427.0,第三分局," 120.666968",24.122757,福興里
10.0,臺中市南區平和里美和街102號,1.0,1210.0,第三分局," 120.666097",24.121956,平和里
11.0,臺中市南區福興里美村路二段245號,1.0,280.0,第三分局," 120.666074",24.123607,福興里
12.0,臺中市南區平和里美村南路7號,1.0,784.0,第三分局," 120.666662",24.122115,平和里
13.0,臺中市南區平和里新和街36號,1.0,265.0,第三分局," 120.665988",24.120682,平和里
14.0,臺中市南區平和里美村南路1號,1.0,123.0,第三分局," 120.666669",24.122237,平和里
15.0,臺中市南區南和里南和路211號,1.0,292.0,第三分局," 120.668072",24.117844,南和里
16.0,臺中市南區福興里福新街35號,1.0,125.0,第三分局," 120.667220",24.125985,福興里
17.0,臺中市南區福平里懷寧街227號,1.0,459.0,第三分局,120.6609933,24.129482,福平里
18.0,臺中市南區永興里高工路266巷3號,1.0,102.0,第三分局,120.6648796,24.113415,永興里
19.0,臺中市南區永興里美村南路72號,1.0,233.0,第三分局," 120.667025",24.116529,永興里
20.0,臺中市南區永興里工學路67號,1.0,223.0,第三分局," 120.665028",24.117000,永興里
21.0,臺中市南區永興里高工路248號,1.0,197.0,第三分局,120.6645808,24.113768,永興里
22.0,臺中市南區永興里工學路107號,1.0,399.0,第三分局," 120.661460",24.116786,永興里
23.0,臺中市南區永興里高工路282號,1.0,750.0,第三分局,120.6651406,24.113957,永興里
24.0,臺中市南區永興里高工路239號,1.0,959.0,第三分局,120.6638470,24.113831,永興里
25.0,臺中市南區永興里高工路233號,1.0,559.0,第三分局,120.663013,24.113693,永興里
26.0,臺中市南區永興里南和路173號,1.0,2508.0,第三分局," 120.668182",24.116226,永興里
27.0,臺中市南區永興里美村南路82號,1.0,2508.0,第三分局," 120.666915",24.116257,永興里
28.0,臺中市南區永興里工學路59巷1號,1.0,3516.0,第三分局," 120.665804",24.116678,永興里
29.0,臺中市南區福平里復興路二段145號,1.0,150.0,第三分局," 120.664440",24.126198,福平里
30.0,臺中市南區福興里和昌街246號,1.0,107.0,第三分局,120.6676235,24.124078,福興里
31.0,臺中市南區福興里和昌街270號,1.0,100.0,第三分局," 120.668061",24.124552,福興里
32.0,臺中市南區福興里和昌街276號,1.0,100.0,第三分局," 120.668177",24.124566,福興里
33.0,臺中市南區福興里福新街102號,1.0,100.0,第三分局," 120.668448",24.124469,福興里
34.0,臺中市南區福興里福新街106號,1.0,100.0,第三分局," 120.668462",24.124336,福興里
35.0,臺中市南區福興里福新街110號,1.0,100.0,第三分局," 120.668516",24.124303,福興里
