編號,村里別,地址,建築物名稱,類別,地下樓層數,可容納人數,電腦編號,緯經度,備註,placemark_address
1.0,下廍里,彰化縣彰化市下廍里永安街208巷44號,民宅,地下室,1.0,69.0,JMA00797,24.08852834770606，120.54554208365586,,彰化縣彰化市下廍里永安街208巷44號
2.0,下廍里,彰化縣彰化市下廍里自強路198號,民宅,地下室,1.0,66.0,JMA00971,24.090223928337892，120.54471081194839,,彰化縣彰化市下廍里自強路198號
3.0,下廍里,彰化縣彰化市下廍里自強路200號,民宅,地下室,1.0,66.0,JMA01031,24.09002181733066，120.54485017941262,,彰化縣彰化市下廍里自強路200號
4.0,下廍里,彰化縣彰化市下廍里自強路204號,民宅,地下室,1.0,66.0,JMA01032,24.090202956340836，120.54468906591981,,彰化縣彰化市下廍里自強路204號
5.0,下廍里,彰化縣彰化市下廍里茄苳路1段35巷22號,民宅,地下室,1.0,69.0,JMA01051,24.089790289740133，120.54438616406985,,彰化縣彰化市下廍里茄苳路1段35巷22號
6.0,下廍里,彰化縣彰化市下廍里茄苳路1段35巷24號,民宅,地下室,1.0,69.0,JMA01052,24.089773162072095，120.54502196537666,,彰化縣彰化市下廍里茄苳路1段35巷24號
7.0,下廍里,彰化縣彰化市下廍里茄苳路1段50號,民宅,地下室,1.0,315.0,JMA01078,24.089780078639023，120.54548250639843,,彰化縣彰化市下廍里茄苳路1段50號
8.0,下廍里,彰化縣彰化市下廍里泰和路1段169號,民宅,地下室,1.0,77.0,JMA01088,24.090671444892973，120.54970401564833,,彰化縣彰化市下廍里泰和路1段169號
9.0,下廍里,彰化縣彰化市下廍里泰和路1段171號,民宅,地下室,1.0,81.0,JMA01089,24.09083934328916，120.54933526221986,,彰化縣彰化市下廍里泰和路1段171號
10.0,下廍里,彰化縣彰化市下廍里永安街238號,民宅,地下室,1.0,83.0,JMA01091,24.088861312904523，120.54448748920561,,彰化縣彰化市下廍里永安街238號
11.0,下廍里,彰化縣彰化市下廍里永安街236號,娃娃機店,地下室,1.0,73.0,JMA01092,24.088878185437032，120.54510230400525,,彰化縣彰化市下廍里永安街236號
12.0,下廍里,彰化縣彰化市下廍里泰和路1段167巷15號,民宅,地下室,1.0,93.0,JMA01096,24.09082633205174，120.54895729714865,,彰化縣彰化市下廍里泰和路1段167巷15號
13.0,下廍里,彰化縣彰化市下廍里茄苳路1段9號,民宅,地下室,1.0,77.0,JMA01125,24.08873951850739，120.54501435427689,,彰化縣彰化市下廍里茄苳路1段9號
14.0,下廍里,彰化縣彰化市下廍里長順街215巷14號,民宅,地下室,1.0,120.0,JMA01392,24.089981395065365，120.54899003153425,,彰化縣彰化市下廍里長順街215巷14號
15.0,下廍里,彰化縣彰化市下廍里建國北路101巷15號,民宅,地下室,1.0,73.0,JMA01138,24.094631101237038，120.54946989660556,,彰化縣彰化市下廍里建國北路101巷15號
