建築物名稱,類別,村里別,地址,緯經度,地下樓層數,可容納人數,轄管分局,轄管所別,備註
sunny大樓,大樓,竹南里,苗栗縣竹南鎮和平街79號,"24.686681360093367, 120.87762558425827",1.0,3142.0,竹南分局,竹南,
照南國中,學校,佳興里,苗栗縣竹南鎮公教路2號,"24.694257333378776, 120.87604599775278",1.0,564.0,竹南分局,竹南,
竹南高中,學校,正南里,苗栗縣竹南鎮中正路98號,"24.684408592697526, 120.87465939775271",1.0,16.0,竹南分局,竹南,
大樓,大樓,山佳里,苗栗縣竹南鎮龍山路三段142號,"24.70250312507067, 120.87992958425842",1.0,1072.0,竹南分局,竹南,
恩德科技公司,公司企業,埔頂里,苗栗縣後龍鎮中華路1498之2號,"24.62593907741062, 120.81719895501972",1.0,34.0,竹南分局,新港,
公寓,公寓,大埔里,苗栗縣竹南鎮中埔街20號,"24.71571192031004, 120.90675026891802",1.0,100.0,竹南分局,大同,
鼎元光電公司,公司企業,崎頂里,苗栗縣竹南鎮仁愛路1387號,"24.708853161685898, 120.88616802474188",1.0,1289.0,竹南分局,大同,
儒鴻企業,公司企業,溪洲里,苗栗縣後龍鎮三好路39號,"24.623017535285484, 120.77884069775196",1.0,562.0,竹南分局,後龍,
超豐電子,公司企業,崎頂里,苗栗縣竹南鎮和興路358號,"24.712603648049825, 120.8772024112475",1.0,7657.0,竹南分局,大同,
廣瀚開發,公司企業,新南里,苗栗縣竹南鎮勝利街36號,"24.69361002999827, 120.88416912658802",1.0,2376.0,竹南分局,竹南,
民景企業,公司企業,山佳里,苗栗縣竹南鎮公義路230巷6號,"24.699591866049165, 120.88380038425834",1.0,5406.0,竹南分局,竹南,
仁德醫校,學校,溪洲里,苗栗縣後龍鎮溪洲79之3號,"24.6218104855099,120.7812593969667",1.0,740.0,竹南分局,後龍,
仁德醫校,學校,溪洲里,苗栗縣後龍鎮溪洲79之3號,"24.6218104855099,120.7812593969667",1.0,894.0,竹南分局,後龍,
年興紡織公司,公司企業,東明里,苗栗縣後龍鎮東明里8鄰下浮尾119之3號,"24.626412749801116, 120.79907317843359",1.0,665.0,竹南分局,後龍,
育達科技大學,學校,談文村,苗栗縣造橋鄉學府路168號,"24.651105899035674, 120.84221343823562",1.0,7290.0,竹南分局,談文,
彰化銀行,銀行,中華里,苗栗縣竹南鎮環市路2段110號,"24.68663104991179, 120.86955672658786",1.0,654.0,竹南分局,中港海口,
友旺科技公司陳來毅,公司企業,公義里,苗栗縣竹南鎮友義路77號,"24.72393518225871, 120.90798826891782",1.0,898.0,竹南分局,大同,
秦億浪板公司,公司企業,佳興里,苗栗縣竹南鎮公義路178巷12號,"24.69786702200326, 120.88348371309355",1.0,93.0,竹南分局,竹南,
竹興國小,學校,竹興里,苗栗縣竹南鎮竹圍街27號,"24.687344193520644, 120.86495778241188",1.0,187.0,竹南分局,中港海口,
正裕啟動公司,公司企業,公館里,苗栗縣竹南鎮公館仔74號,"24.663574, 120.874311",1.0,61.0,竹南分局,談文,
惠普實業公司,公司企業,公館里,苗栗縣竹南鎮公館仔68號,"24.66447300085625, 120.87503838249143",1.0,100.0,竹南分局,談文,
連泰紙業公司,公司企業,朝陽村,苗栗縣造橋鄉朝陽路107號,"24.654440, 120.867122",1.0,540.0,竹南分局,談文,
勝文百貨,公司企業,照南里,苗栗縣竹南鎮博愛街42號,"24.687092587028992, 120.87878838610453",1.0,140.0,竹南分局,竹南,
新光明大旅社,公司企業,照南里,苗栗縣竹南鎮博愛街44號,"24.68711034916179, 120.8786277670711",1.0,144.0,竹南分局,竹南,
公寓,公寓,龍昇村,苗栗縣造橋鄉龍昇村中潭11鄰21號之1號,"24.632318782263248, 120.82002422658717",1.0,141.0,竹南分局,造橋,
電子遊藝場,公司企業,照南里,苗栗縣竹南鎮民族街97號,"24.687401682860123, 120.87827855357676",1.0,186.0,竹南分局,竹南,
伯樂手作活力早點,公司企業,照南里,苗栗縣竹南鎮博愛街128號,"24.68717025256171, 120.87604999959909",1.0,29.0,竹南分局,竹南,
金典文化廣場,公司企業,照南里,苗栗縣竹南鎮照南里12鄰博愛街56號,"24.687209186782678, 120.87814265357663",1.0,36.0,竹南分局,竹南,
公寓,公寓,照南里,苗栗縣竹南鎮照南里12鄰博愛街52號,"24.68717709033437, 120.8782707400824",1.0,22.0,竹南分局,竹南,
