電腦編號,村里別,地址,緯度,經度,避難樓層,容量,轄管分局,備註,placemark_address
SQA00001,鳳禮里,花蓮縣鳳林鎮中華路164號,23.747629,121.451438,B1,157.0,鳳林分局,,花蓮縣鳳林鎮中華路164號
SQA00002,鳳智里,花蓮縣鳳林鎮中山路43號,23.746351,121.446978,B1,83.0,鳳林分局,,花蓮縣鳳林鎮中山路43號
SQA00003,鳳智里,花蓮縣鳳林鎮中華路42號,23.742584,121.449456,B1,42.0,鳳林分局,,花蓮縣鳳林鎮中華路42號
SQA00004,鳳智里,花蓮縣鳳林鎮信義路37號,23.74229,121.450909,B1,222.0,鳳林分局,,花蓮縣鳳林鎮信義路37號
SQA00005,鳳智里,花蓮縣鳳林鎮大同街19號,23.746218,121.450137,B1,83.0,鳳林分局,,花蓮縣鳳林鎮大同街19號
SQA00006,鳳智里,花蓮縣鳳林鎮中美路58號,23.745916,121.447766,B1,100.0,鳳林分局,,花蓮縣鳳林鎮中美路58號
SQA00007,鳳信里,花蓮縣鳳林鎮中正路一段2號,23.727428,121.439215,B1,222.0,鳳林分局,,花蓮縣鳳林鎮中正路一段2號
SQA00009,鳳智里,花蓮縣鳳林鎮信義路117號,23.745002,121.452338,B1,166.0,鳳林分局,,花蓮縣鳳林鎮信義路117號
SQA00048,鳳禮里,花蓮縣鳳林鎮中正路二段148號,23.747658,121.449457,B1,241.0,鳳林分局,,花蓮縣鳳林鎮中正路二段148號
SQA00047,鳳禮里,花蓮縣鳳林鎮中華路140號,23.74632,121.451159,B1,111.0,鳳林分局,,花蓮縣鳳林鎮中華路140號
SQA00049,鳳禮里,花蓮縣鳳林鎮成功街165號,23.747444,121.447968,B1,11.0,鳳林分局,,花蓮縣鳳林鎮成功街165號
SQA00050,鳳禮里,花蓮縣鳳林鎮中正路二段172號,23.748327,121.449714,B1,66.0,鳳林分局,,花蓮縣鳳林鎮中正路二段172號
SQA00051,鳳禮里,花蓮縣鳳林鎮信義路200號,23.746285,121.453337,B1,66.0,鳳林分局,,花蓮縣鳳林鎮信義路200號
SQA00010,林榮里,花蓮縣鳳林鎮林榮路338號,23.807887,121.451256,B1,166.0,鳳林分局,,花蓮縣鳳林鎮林榮路338號
SQA00045,萬榮村,花蓮縣萬榮鄉萬榮23號,23.714907,121.410439,B1,42.0,鳳林分局,,花蓮縣萬榮鄉萬榮23號
SQA00016,大安村,花蓮縣光復鄉中正路一段132號,23.665192,121.42505,B1,11.0,鳳林分局,,花蓮縣光復鄉中正路一段132號
SQA00017,大進村,花蓮縣光復鄉糖廠街12號,23.657041,121.420578,B1,143.0,鳳林分局,,花蓮縣光復鄉糖廠街12號
SQA00018,大進村,花蓮縣光復鄉糖廠街12號,23.657041,121.420578,B1,266.0,鳳林分局,,花蓮縣光復鄉糖廠街12號
SQA00024,大華村,花蓮縣光復鄉中山路二段322號,23.667193,121.424404,B1,55.0,鳳林分局,,花蓮縣光復鄉中山路二段322號
SQA00025,大華村,花蓮縣光復鄉中華路193號,23.666813,121.422858,B1,42.0,鳳林分局,,花蓮縣光復鄉中華路193號
SQA00026,大安村,花蓮縣光復鄉中正路一段124號,23.665286,121.424719,B1,25.0,鳳林分局,,花蓮縣光復鄉中正路一段124號
SQA00028,大馬村,花蓮縣光復鄉林森路200號,23.671001,121.425186,B1,111.0,鳳林分局,,花蓮縣光復鄉林森路200號
SQA00029,大華村,花蓮縣光復鄉中正路一段127號,23.665583,121.42477,B1,55.0,鳳林分局,,花蓮縣光復鄉中正路一段127號
SQA00030,大華村,花蓮縣光復鄉中正路一段131號,23.665424,121.425123,B1,33.0,鳳林分局,,花蓮縣光復鄉中正路一段131號
SQA00031,大同村,花蓮縣光復鄉中正路一段293號,23.663889,121.430042,B1,18.0,鳳林分局,,花蓮縣光復鄉中正路一段293號
SQA00032,大華村,花蓮縣光復鄉中華路360號,23.669395,121.423903,B1,25.0,鳳林分局,,花蓮縣光復鄉中華路360號
SQA00034,大進村,花蓮縣光復鄉糖廠街19號,23.658676,121.420631,B1,108.0,鳳林分局,,花蓮縣光復鄉糖廠街19號
SQA00035,大馬村,花蓮縣光復鄉中山路三段41號,23.67171,121.426467,B1,11.0,鳳林分局,,花蓮縣光復鄉中山路三段41號
SQA00053,大同村,花蓮縣光復鄉林森路100號,23.667348,121.427173,B1,576.0,鳳林分局,,花蓮縣光復鄉林森路100號
SQA00036,瑞穗村,花蓮縣瑞穗鄉中山路一段28號,23.49736,121.377807,B1,16.0,鳳林分局,,花蓮縣瑞穗鄉中山路一段28號
SQA00037,瑞穗村,花蓮縣瑞穗鄉中正北路一段13號,23.497745,121.377654,B1,16.0,鳳林分局,,花蓮縣瑞穗鄉中正北路一段13號
SQA00038,瑞穗村,花蓮縣瑞穗鄉中正北路90號,23.500147,121.377197,B1,16.0,鳳林分局,,花蓮縣瑞穗鄉中正北路90號
SQA00039,瑞穗村,花蓮縣瑞穗鄉民生街63巷42號,23.498778,121.378939,B1,22.0,鳳林分局,,花蓮縣瑞穗鄉民生街63巷42號
SQA00041,瑞美村,花蓮縣瑞穗鄉中山路二段377號,23.493776,121.390474,B1,83.0,鳳林分局,,花蓮縣瑞穗鄉中山路二段377號
SQA00042,瑞穗村,花蓮縣瑞穗鄉成功南路23號,23.496138,121.376092,B1,25.0,鳳林分局,,花蓮縣瑞穗鄉成功南路23號
SQA00043,豐濱村,花蓮縣豐濱鄉三民路30號,23.600424,121.52233,B1,22.0,鳳林分局,,花蓮縣豐濱鄉三民路30號
SQA00044,豐濱村,花蓮縣豐濱鄉光豐路41號,23.601975,121.521306,B1,208.0,鳳林分局,,花蓮縣豐濱鄉光豐路41號
SQA00046,紅葉村,花蓮縣萬榮鄉紅葉23號,23.496534,121.343648,B1,11.0,鳳林分局,,花蓮縣萬榮鄉紅葉23號
SQA00052,瑞穗村,花蓮縣瑞穗鄉四維街130號,23.497376,121.376767,B1,83.0,鳳林分局,
,,,,,,,.,
