電腦編號,村里別,地址,緯經度,地下樓層數,可容納人數,轄管分局,備駐
QNA00083,城南里,屏東縣恆春鎮城南里文化路78號,"22.003142709309966, 120.74689167829773",1,238.0,恆春分局,
QNA00001,城南里,屏東縣恆春鎮城南里文化路79號,"22.00230702914059, 120.74704114989282",1,104.0,恆春分局,共有2處、總計可容納人數312人
QNA00003,城南里,屏東縣恆春鎮城南里文化路79號,"22.001996461953897, 120.74726244013735",1,208.0,恆春分局,共有2處、總計可容納人數312人
QNA00004,城南里,屏東縣恆春鎮城南里天文路1號,"22.003738197516125, 120.74725472393712",1,752.0,恆春分局,
QNA00005,城南里,屏東縣恆春鎮城南里天文路3號,"22.003817776222892, 120.74698449139647",1,322.0,恆春分局,
QNB00001,城南里,屏東縣恆春鎮城南里天文路33號,"22.003392510904963, 120.74611730285291",1,40.0,恆春分局,
QNF00002,城南里,屏東縣恆春鎮城南里天文路50號,"22.00380080411696, 120.74607857358352",1,150.0,恆春分局,
QNA00007,城南里,屏東縣恆春鎮城南里中正路17號,"22.002089288098595, 120.74528576732183",1,266.0,恆春分局,
QNA00002,城南里,屏東縣恆春鎮城南里中正路119號,"22.003787765126184, 120.74416085891481",1,404.0,恆春分局,
QNA00006,城南里,屏東縣恆春鎮城南里中山路41號,"22.00243934342905, 120.74438014876614",1,26.0,恆春分局,
QNA00008,城南里,屏東縣恆春鎮城南里新興路68號,"22.004693784924765, 120.74478969424125",1,286.0,恆春分局,
QNA00009,城北里,屏東縣恆春鎮城北里中正路143號,"22.0046579660286, 120.74394744185149",1,49.0,恆春分局,
QNA00011,城北里,屏東縣恆春鎮城北里中正路152號,"22.004803020827264, 120.74416311777367",1,218.0,恆春分局,
QNA00010,城北里,屏東縣恆春鎮城北里西門路146號,"22.008782611014972, 120.74382237451502",1,600.0,恆春分局,
QNA00012,城北里,屏東縣恆春鎮城北里北門路39巷26號,"22.00584853035364, 120.74650581500113",1,550.0,恆春分局,
QNA00080,城北里,屏東縣恆春鎮城北里北門路39巷28號,"22.00564958795618, 120.74605212966873",1,2321.0,恆春分局,
QNA00013,城北里,屏東縣恆春鎮城北里新興路36巷35號,"22.00468404282902, 120.74613971142985",1,80.0,恆春分局,
QNA00084,城西里,屏東縣恆春鎮城西里草埔路11號,"22.008323275972216, 120.7395948071925",1,577.0,恆春分局,
QNA00043,山腳里,屏東縣恆春鎮山腳里恆南路1巷60號,"21.99773840659466, 120.74316053040674",1,80.0,恆春分局,
