編號,村里別,地址,避難所在之地下樓層數,可容納人數,轄區分局,經度,緯度,"unnamed (1)"
1048.0,何成里,臺中市西屯區何成里大洲街118號,1.0,86.0,第六分局,"120.651712 ","24.159519 ",
1049.0,何成里,臺中市西屯區何成里大洲街116號,1.0,87.0,第六分局,"120.651750 ","24.159573 ",
1050.0,何成里,臺中市西屯區何成里大洲街112號,1.0,86.0,第六分局,"120.651785 ","24.159632 ",
1051.0,何成里,臺中市西屯區何成里大墩路919號,1.0,247.0,第六分局,"120.650868 ","24.157581 ",
1052.0,何成里,臺中市西屯區何成里大墩十七街68號,1.0,485.0,第六分局,"120.649175 ","24.155681 ",
1053.0,何成里,臺中市西屯區何成里大容東一街11號,1.0,636.0,第六分局,"120.648270 ","24.156764 ",
1054.0,何成里,臺中市西屯區何成里大洲街11號,1.0,521.0,第六分局,"120.649035 ","24.156652 ",
1055.0,何成里,臺中市西屯區何成里大祥街120號,1.0,664.0,第六分局,"120.649165 ","24.160285 ",
1056.0,何成里,臺中市西屯區何成里大容東一街7號,1.0,143.0,第六分局,"120.648141 ","24.156673 ",
1057.0,何成里,臺中市西屯區何成里大恩街32號,1.0,563.0,第六分局,"120.649486 ","24.159382 ",
1058.0,何成里,臺中市西屯區何成里大墩十八街87號,1.0,1212.0,第六分局,"120.649382 ","24.156974 ",
1059.0,何成里,臺中市西屯區何成里大墩二十街173號,1.0,737.0,第六分局,"120.650457 ","24.160668 ",
1060.0,何南里,臺中市西屯區何南里大墩路712號,1.0,983.0,第六分局,"120.652313 ","24.159085 ",
1061.0,何南里,臺中市西屯區何南里大墩十九街83號,1.0,336.0,第六分局,"120.655364 ","24.156338 ",
1062.0,何南里,臺中市西屯區何南里大墩二十街112號,1.0,471.0,第六分局,"120.653499 ","24.159257 ",
1063.0,何南里,臺中市西屯區何南里東興路三段313號,1.0,3671.0,第六分局,"120.654055 ","24.156376 ",
1064.0,何南里,臺中市西屯區何南里大隆路72號,1.0,1113.0,第六分局,"120.652529 ","24.156697 ",
1065.0,何南里,臺中市西屯區何南里大墩二十街108號,1.0,181.0,第六分局,"120.653568 ","24.159206 ",
1066.0,何成里,臺中市西屯區何成里大墩十九街223號,1.0,1124.0,第六分局,"120.650527 ","24.158999 ",
1067.0,何南里,臺中市西屯區何南里大安街15號,1.0,562.0,第六分局,"120.653402 ","24.156811 ",
1068.0,何南里,臺中市西屯區何南里大墩十九街87號,1.0,541.0,第六分局,"120.654183 ","24.156936 ",
1069.0,何南里,臺中市西屯區何南里大安街37號,1.0,396.0,第六分局,"120.654011 ","24.157693 ",
1070.0,何成里,臺中市西屯區何成里大墩路917號之1,1.0,1723.0,第六分局,"120.650535 ","24.157095 ",
